bodyCapacity-int,captureHp-int,captureSkillCastPool-int[][],combatDist-int,combatPotentiality-int[],desc-string,exp-int,farmPotentiality-int[],favoriteItem-int[],gatherPotentiality-int[],icon-string,id-int,initialAttribute-int[][],lockEnemyRange-int,name-string,pushDist-int,pushDmg-int,roleAssetID-int,skillCastPool-int[][],dropId-int
30,50,"169,100",0,"800,1200",,19,"800,1200",374383,"800,1200",monster-icon-26,26,"13,105,1;15,90,1;11,3000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,スケルトン兵士,20,100,58,"393,100",47
50,50,"169,100",0,"800,1200",,22,"800,1200",375384,"800,1200",monster-icon-27,27,"13,85,1;15,105,1;11,3300,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,オレンジリーフエッグヘッド,30,100,59,"394,100",48
30,50,"169,100",0,"800,1200",,19,"800,1200",376385,"800,1200",monster-icon-28,28,"13,85,1;15,105,1;11,3300,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,怒りのスタンプ,10,100,60,"395,100",49
30,60,"169,100",0,"800,1200",,16,"800,1200",377386,"800,1200",monster-icon-29,29,"13,105,1;15,90,1;11,3000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,スケルトンキャプテン,10,150,61,"396,100;417,100",50
50,60,"169,100",0,"800,1200",,19,"800,1200",378387,"800,1200",monster-icon-30,30,"13,85,1;15,105,1;11,3300,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,シャドウベヒモス,20,150,62,"397,100",51
30,60,"169,100",0,"800,1200",,18,"800,1200",379388,"800,1200",monster-icon-31,31,"13,100,1;15,80,1;11,2400,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,ダークスノースプライト,30,150,63,"398,100;405,100",52
30,70,"169,100",0,"800,1200",,15,"800,1200",380389,"800,1200",monster-icon-32,32,"13,85,1;15,105,1;11,3300,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,アイスシェルジャイアント,30,200,64,"399,100",53
30,70,"169,100",0,"800,1200",,12,"800,1200",381390,"800,1200",monster-icon-33,33,"13,100,1;15,80,1;11,2400,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,スケルトンアーチャー,20,200,65,"400,100;406,100",54
30,70,"169,100",0,"800,1200",,13,"800,1200",382391,"800,1200",monster-icon-34,34,"13,85,1;15,85,1;11,3000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",20000,ウサギウィザード,10,200,66,"401,100;407,100",55
30,1010,"169,100",0,",",,19,",",6961,",",monster-icon-35,35,"13,100,1;15,1000,1;11,4,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",3000,トラップ_プッシュ,0,1,67,"402,100",
30,1010,"169,100",0,",",,19,",",,",",monster-icon-36,36,"13,100,1;15,1000,1;11,1,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",3000,トラップ_ボム,0,1,68,"403,100",
150,400010,"169,100",0,",",,44,",",,",",monster-icon-37,37,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",1000,フォレストの支配者,10,1000,69,"408,100;409,100;422,25",83
150,500010,"169,100",0,",",,36,",",,",",monster-icon-38,38,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",1000,アークティックの支配者,10,1000,70,"410,100;411,100;423,25",84
150,600010,"169,100",0,",",,27,",",,",",monster-icon-39,39,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",1000,ソウルの支配者,10,1000,71,"412,100;413,100;414,100;424,100",85
150,400010,"169,100",0,",",,44,",",,",",monster-icon-40,40,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",1000,魂 - 森の主,10,1000,72,"408,100;422,25",83
150,500010,"169,100",0,",",,36,",",,",",monster-icon-41,41,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",1000,魂 - 北極の主,10,1000,73,"410,100;423,25",84
150,70,"169,100",0,",",,19,",",,",",monster-icon-42,42,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",1000,戦士の魂,10,1000,74,"425,100",
150,70,"169,100",0,",",,19,",",,",",monster-icon-43,43,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",1000,タンクの魂,10,1000,75,"426,100",
150,70,"169,100",0,",",,19,",",,",",monster-icon-44,44,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",1000,射撃の魂,10,1000,76,"424,100",
30,20,"169,100",0,"800,1200",,17,"800,1200",6961,"800,1200",monster-icon-45,45,"13,105,1;15,90,1;11,3000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,メタルマット,30,20,77,"179,100;359,100;31,100",
30,20,"169,100",0,"800,1200",,19,"800,1200",6961,"800,1200",monster-icon-46,46,"13,100,1;15,80,1;11,2400,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,パンプキンフィーンド,30,20,78,"32,100;180,100;40,100;361,100",
30,20,"169,100",0,"800,1200",,17,"800,1200",6961,"800,1200",monster-icon-47,47,"13,85,1;15,105,1;11,3300,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,サボテンの戦士,30,30,79,"33,100;181,100;360,100",
30,30,"169,100",0,"800,1200",,18,"800,1200",6961,"800,1200",monster-icon-48,48,"13,85,1;15,105,1;11,3300,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,鉱石を持つ猫,30,20,80,"112,100;184,100;363,100",
30,30,"169,100",0,"800,1200",,23,"800,1200",6961,"800,1200",monster-icon-49,49,"13,105,1;15,90,1;11,3000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,リーフィールカー,30,20,81,"111,100;183,100;364,100",
30,30,"169,100",0,"800,1200",,21,"800,1200",6961,"800,1200",monster-icon-50,50,"13,100,1;15,80,1;11,2400,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,ブンブン蜂,30,20,82,"96,100;182,100;346,100;362,100",
30,40,"169,100",0,"800,1200",,26,"800,1200",6961,"800,1200",monster-icon-51,51,"13,100,1;15,80,1;11,2400,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,カオス・レイス,20,20,83,"206,100;207,100;366,100",
30,40,"169,100",0,"800,1200",,21,"800,1200",6961,"800,1200",monster-icon-52,52,"13,105,1;15,90,1;11,3000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,クリムゾンスラッガー,20,20,84,"208,100;209,100;365,100",
30,40,"169,100",0,"800,1200",,24,"800,1200",6961,"800,1200",monster-icon-53,53,"13,85,1;15,105,1;11,3300,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,フロストミニオン,10,20,85,"210,100;211,100;367,100",
50,200010,"169,100",0,",",,42,",",,",",monster-icon-54,54,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,サイバーレス,10,200,86,"369,100;370,100;371,100",
100,300010,"169,100",0,",",,48,",",,",",monster-icon-55,55,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,フロストロード,10,500,87,"372,100;373,100;374,100",
30,1010,"169,100",0,",",,19,",",,",",monster-icon-56,56,"13,100,1;15,1000,1;11,4,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",3000,トラップバフ,0,1,88,"427,100",
30,80,"169,100",0,"800,1200",,121,"800,1200",,"800,1200",,57,"13,52,1;15,45,1;11,3000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,89,"452,100",89
30,80,"169,100",0,"800,1200",,99,"800,1200",,"800,1200",,58,"13,42,1;15,52,1;11,3300,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,90,"446,100",90
30,80,"169,100",0,"800,1200",,110,"800,1200",,"800,1200",,59,"13,50,1;15,40,1;11,2400,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,91,"441,100",91
50,700010,,0,"800,1200",,220,"800,1200",,"800,1200",,60,"13,50,1;15,50,1;11,120000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,98,"453,100",
100,700010,,0,",",,220,",",,",",,61,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,99,"443,100;456,100;444,100",
30,90,"169,100",0,"800,1200",,138,"800,1200",,"800,1200",,62,"13,52,1;15,45,1;11,3000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,92,,101
30,90,"169,100",0,"800,1200",,113,"800,1200",,"800,1200",,63,"13,42,1;15,52,1;11,3300,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,93,"435,100",102
30,90,"169,100",0,"800,1200",,125,"800,1200",,"800,1200",,64,"13,50,1;15,40,1;11,2400,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,94,,103
50,800010,,0,"800,1200",,251,"800,1200",,"800,1200",,65,"13,50,1;15,50,1;11,120000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,100,"438,100;447,100",
100,800010,,0,",",,251,",",,",",,66,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,101,"440,100;439,100",
30,100,"169,100",0,"800,1200",,155,"800,1200",,"800,1200",,67,"13,52,1;15,45,1;11,3000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,95,,113
30,100,"169,100",0,"800,1200",,127,"800,1200",,"800,1200",,68,"13,42,1;15,52,1;11,3300,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,96,"445,100",114
30,100,"169,100",0,"800,1200",,141,"800,1200",,"800,1200",,69,"13,50,1;15,40,1;11,2400,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,97,"437,100",115
50,900010,,0,"800,1200",,282,"800,1200",,"800,1200",,70,"13,50,1;15,50,1;11,120000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,102,"458,100;457,100",
100,900010,,0,",",,282,",",,",",,71,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,103,"455,100;454,100",
100,100010,,0,"800,1200",,38,"800,1200",,"800,1200",,72,"13,100,1;15,100,1;11,30000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,127,,
100,200010,,0,"800,1200",,42,"800,1200",,"800,1200",,73,"13,100,1;15,100,1;11,30000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,126,,
100,300010,,0,"800,1200",,48,"800,1200",,"800,1200",,74,"13,100,1;15,100,1;11,120000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,125,,
100,400010,,0,"800,1200",,44,"800,1200",,"800,1200",,75,"13,100,1;15,100,1;11,120000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,124,,
100,500010,,0,"800,1200",,36,"800,1200",,"800,1200",,76,"13,100,1;15,100,1;11,120000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",2000,,10,500,123,,
100,600010,,0,"800,1200",,27,"800,1200",,"800,1200",,77,"13,100,1;15,100,1;11,120000,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,,10,1000,122,,
50,200010,,0,",",,38,",",,",",,78,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,104,,125
100,300010,,0,",",,38,",",,",",,79,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,113,,134
150,400010,,0,",",,42,",",,",",,80,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,105,,126
150,500010,,0,",",,42,",",,",",,81,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,114,,135
150,600010,,0,",",,48,",",,",",,82,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,106,,127
50,700010,,0,",",,48,",",,",",,83,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,115,,136
100,700010,,0,",",,44,",",,",",,84,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,107,,128
50,800010,,0,",",,44,",",,",",,85,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,116,,137
100,800010,,0,",",,36,",",,",",,86,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,108,,129
50,900010,,0,",",,36,",",,",",,87,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,117,,138
100,900010,,0,",",,27,",",,",",,88,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,109,,130
100,100010,,0,",",,27,",",,",",,89,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,118,,139
100,200010,,0,",",,220,",",,",",,90,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,110,"453,100",131
100,300010,,0,",",,220,",",,",",,91,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,119,"443,100;456,100;444,100",140
100,400010,,0,",",,251,",",,",",,92,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,111,"438,100;447,100",132
100,500010,,0,",",,251,",",,",",,93,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,120,"440,100;439,100",141
100,600010,,0,",",,282,",",,",",,94,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,112,"458,100;457,100",133
100,600010,,0,",",,282,",",,",",,95,"13,0,1;15,0,1;11,0,0;19,,0;20,,1;14,,0;16,,0;17,,0;7,,0;12,10,0",2000,,10,500,121,"455,100;454,100",142
30,50,"169,100",0,"800,1200",,19,"800,1200",374383,"800,1200",monster-icon-96,96,"13,105,1;15,90,1;11,750,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,,20,100,128,"393,100",47
50,50,"169,100",0,"800,1200",,22,"800,1200",375384,"800,1200",monster-icon-97,97,"13,85,1;15,105,1;11,825,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,,30,100,129,"394,100",48
30,50,"169,100",0,"800,1200",,19,"800,1200",376385,"800,1200",monster-icon-98,98,"13,85,1;15,105,1;11,825,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,,10,100,130,"395,100",49
30,60,"169,100",0,"800,1200",,16,"800,1200",377386,"800,1200",monster-icon-99,99,"13,105,1;15,90,1;11,750,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,,10,150,131,"396,100;417,100",50
50,60,"169,100",0,"800,1200",,19,"800,1200",378387,"800,1200",monster-icon-100,100,"13,85,1;15,105,1;11,825,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,,20,150,132,"397,100",51
30,60,"169,100",0,"800,1200",,18,"800,1200",379388,"800,1200",monster-icon-101,101,"13,100,1;15,80,1;11,600,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,,30,150,133,"398,100;405,100",52
30,70,"169,100",0,"800,1200",,15,"800,1200",380389,"800,1200",monster-icon-102,102,"13,85,1;15,105,1;11,825,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,,30,200,134,"399,100",53
30,70,"169,100",0,"800,1200",,12,"800,1200",381390,"800,1200",monster-icon-103,103,"13,100,1;15,80,1;11,600,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",1000,,20,200,135,"400,100;406,100",54
30,70,"169,100",0,"800,1200",,13,"800,1200",382391,"800,1200",monster-icon-104,104,"13,85,1;15,85,1;11,750,0;19,5,0;20,50,1;14,1,0;16,100,0;17,100,0;7,500,0;12,10,0",20000,,10,200,136,"401,100;407,100",55
