assetRes-string,dropId-int,exp-int,grassDef-int,homeAction-int,icon-string,id-int,lv-int,maxActionValue-int,name-string,oreDef-int,rankScore-int,requiredProficiency-int,totemScore-int,treeDef-int
homeresource-30,0,0,100,5,2D_caijiziyuan_kucao1,30,1,750,Lv 1 植物繊維,0,14,150,1,0
homeresource-31,0,0,100,5,2D_caijiziyuan_kucao2,31,1,750,Lv 1 植物繊維,0,14,150,1,0
homeresource-32,0,0,100,5,2D_caijiziyuan_kucao3,32,1,750,Lv 1 植物繊維,0,14,150,1,0
homeresource-33,32,15,100,5,2D_caijiziyuan_kucao4,33,1,750,Lv 1 植物繊維,0,14,150,1,0
2D_caijiziyuan_shikuai_4,26,15,0,7,2D_caijiziyuan_shikuai_4,34,1,750,Lv 1 石,100,14,150,1,0
homeresource-35,27,15,0,6,2d_shu_06,35,1,750,Lv 1 一般的な木材,0,14,150,1,100
homeresource-36,28,21.21320344,0,6,2d_shu_07,36,2,1500,Lv 2 砂漠の木の木,0,20,300,2,200
homeresource-37,29,30,0,6,2d_shu_08,37,3,2250,Lv 3 ダークウッド,0,28,450,3,300
homeresource-38,31,30,0,7,2d_shitou_06,38,3,2250,Lv 3 赤い水晶鉱山,300,28,450,3,0
homeresource-41,30,21.21320344,0,7,2d_shitou_05,41,2,1500,Lv 2 黒い鉄鉱石,200,20,300,2,0
homeresource-42,26,15,0,7,2d_shitou_04,42,1,750,Lv 1 石,100,14,150,1,0
homeresource-43,33,21.21320344,200,5,2d_cao_10,43,2,1500,Lv 2 アイスキノコ,0,20,300,2,0
homeresource-44,34,30,300,5,2d_cao_11,44,3,2250,Lv 3 テキーラ,0,28,450,3,0
homeresource-45,0,0,100,5,2d_cao_09,45,1,750,Lv 1 植物繊維,0,14,150,1,0
homeresource-47,9,0,0,16,2D_zhandouziyuan_xianrenzhangnianye_icon,47,1,0,Lv 1 グリーンスライム,0,14,10,0,0
homeresource-48,8,0,0,16,2D_zhandouziyuan_nanguatengman_icon,48,1,0,Lv 1 カボチャの蔓,0,14,10,0,0
homeresource-49,7,0,0,16,2D_zhandouziyuan_tiesiwang_icon,49,1,0,Lv 1 有刺鉄線,0,14,10,0,0
homeresource-50,26,0,0,16,2D_caijiziyuan_tukuangshi_icon,50,1,0,Lv 1 石,0,14,10,0,0
homeresource-51,32,0,0,16,lv2_herb,51,1,0,Lv 1 植物繊維,0,14,10,0,0
homeresource-52,27,0,0,16,2D_caijiziyuan_xianrenzhang_icon,52,1,0,Lv 1 一般的な木材,0,14,10,0,0
homeresource-53,30,0,0,16,2D_caijiziyuan_tiekuangshi_icon,53,2,0,Lv 2 黒い鉄鉱石,0,20,10,0,0
homeresource-54,28,0,0,16,2D_caijiziyuan_shumu_shamoshu_icon,54,2,0,Lv 2 砂漠の木の木,0,20,10,0,0
homeresource-55,33,0,0,16,2D_caijiziyuan_bingyuangu_icon,55,2,0,Lv 2 アイスキノコ,0,20,10,0,0
homeresource-56,10,0,0,16,2D_zhandouziyuan_kuangshangmaojianya_icon,56,2,0,Lv 2 マイナーキャットの牙,0,20,10,0,0
homeresource-57,12,0,0,16,2D_zhandouziyuan_qingzhibomo_icon,57,2,0,Lv 2 軽量フィルム,0,20,10,0,0
homeresource-58,11,0,0,16,2D_zhandouziyuan_caoyaotouguan_icon,58,2,0,Lv 2 グラスヘッドクラウン,0,20,10,0,0
homeresource-59,13,0,0,16,2D_zhandouziyuan_xichanggouzhua_icon,59,3,0,Lv 3 スレンダーフック,0,28,10,0,0
homeresource-60,14,0,0,16,2D_zhandouziyuan_chihongpimao_icon,60,3,0,Lv 3 赤い毛皮,0,28,10,0,0
homeresource-61,15,0,0,16,2D_zhandouziyuan_binxuerongmaok=_icon,61,3,0,Lv 3 氷雪,0,28,10,0,0
homeresource-62,31,0,0,16,2D_caijiziyuan_hongbaoshi_icon,62,3,0,Lv 3 赤い水晶鉱山,0,28,10,0,0
homeresource-63,34,0,0,16,2D_caijiziyuan_hongcaoguo_icon,63,3,0,Lv 3 テキーラ,0,28,10,0,0
homeresource-64,29,0,0,16,2D_caijiziyuan_anheimucai_icon,64,3,0,Lv 3 ダークウッド,0,28,10,0,0
homeresource-65,56,42.42640687,400,5,黄金蒲公英修改,65,4,3000,Lv 4 ゴールデンダンデライオン,0,40,600,4,0
homeresource-66,57,42.42640687,0,6,图层 25,66,4,3000,Lv 4 サボテンの花,0,40,600,4,400
homeresource-67,58,42.42640687,0,7,图层 16,67,4,3000,Lv 4 ラクソ,400,40,600,4,0
homeresource-68,59,60,500,5,水晶草变异种,68,5,3750,Lv 5 ファイバーダイヤモンド,0,56,750,5,0
homeresource-69,60,60,0,6,图层 20 拷贝 5,69,5,3750,Lv 5 ノート形状のダイヤモンド,0,56,750,5,500
homeresource-70,61,60,0,7,图层 18,70,5,3750,Lv 5 ベアシェイプダイヤモンド,500,56,750,5,0
homeresource-71,62,84.85281374,600,5,仙女草,71,6,4500,Lv 6 エルフの花,0,80,900,6,0
homeresource-72,63,84.85281374,0,6,图层 31,72,6,4500,Lv 6 缶入りスター,0,80,900,6,600
homeresource-73,64,84.85281374,0,7,星星矿石变异,73,6,4500,Lv 6 隕石,600,80,900,6,0
homeresource-74,56,42.42640687,400,5,变异修改,74,4,3000,Lv 4 ゴールデンダンデライオン,0,40,600,4,0
homeresource-75,57,42.42640687,0,6,图层 30,75,4,3000,Lv 4 サボテンの花,0,40,600,4,400
homeresource-76,58,42.42640687,0,7,图层 17,76,4,3000,Lv 4 ラクソ,400,40,600,4,0
homeresource-77,59,60,500,5,homeresource-77,77,5,3750,Lv 5 ファイバーダイヤモンド,0,56,750,5,0
homeresource-78,60,60,0,6,未标题-2,78,5,3750,Lv 5 ノート形状のダイヤモンド,0,56,750,5,500
homeresource-79,61,60,0,7,图层 85,79,5,3750,Lv 5 ベアシェイプダイヤモンド,500,56,750,5,0
homeresource-80,62,84.85281374,600,5,仙女草变异,80,6,4500,Lv 6 エルフの花,0,80,900,6,0
homeresource-81,63,84.85281374,0,6,图层 20,81,6,4500,Lv 6 缶入りスター,0,80,900,6,600
homeresource-82,64,84.85281374,0,7,星星矿石,82,6,4500,Lv 6 隕石,600,80,900,6,0
homeresource-83,0,0,0,6,2D_caijiziyuan_shumu01_1,83,0,750,,0,14,150,,100
homeresource-84,88,0,0,16,ic_battery,84,1,0,Lv 1 LUAG未来（N）,0,0,10,0,0
homeresource-85,92,120,700,5,3-2,85,7,5250,Lv 7 溶岩の花,0,113,1050,7,0
homeresource-86,92,120,700,5,3-2,86,7,5250,Lv 7 溶岩の花,0,113,1050,7,0
homeresource-87,93,120,0,6,3-1,87,7,5250,Lv 7 ファイアウッド,0,113,1050,7,700
homeresource-88,93,120,0,6,3-1,88,7,5250,Lv 7 ファイアウッド,0,113,1050,7,700
homeresource-89,94,120,0,7,3-3,89,7,5250,Lv 7 溶岩,700,113,1050,7,0
homeresource-90,94,120,0,7,3-3,90,7,5250,Lv 7 溶岩,700,113,1050,7,0
homeresource-91,104,169.7056275,800,5,2-2,91,8,6000,Lv 8 中空繊維,0,160,1200,8,0
homeresource-92,104,169.7056275,800,5,2-2,92,8,6000,Lv 8 中空繊維,0,160,1200,8,0
homeresource-93,105,169.7056275,0,6,2-1,93,8,6000,Lv 8 ホロウウッド[433]ホロウストーン[434]ホロウリーフ[435]ホロウフルーツ[436]ホロウフラワー[437]イーグルの卵[438]ドラゴンの涙[439]黄色いストライプの吐物[440]スピリットコア[441]像のコア[442]スパイクコア[443]ブロンズ繊維[444]ブロンズウッド[445]ブロンズストーン[446]溶鉱果実[447]幻覚野菜[448]力の花[449]スパイクパウダー[450]像のレンガ[451]蛍光パウダー[452]溶岩の剣[453]溶岩のハンマー[454]溶岩の弓[455]溶岩の戦闘帽子[456]溶岩の戦闘コート,0,160,1200,8,800
homeresource-94,105,169.7056275,0,6,2-1,94,8,6000,Lv 8 ホロウウッド[433]ホロウストーン[434]ホロウリーフ[435]ホロウフルーツ[436]ホロウフラワー[437]イーグルの卵[438]ドラゴンの涙[439]黄色いストライプの吐物[440]スピリットコア[441]像のコア[442]スパイクコア[443]ブロンズ繊維[444]ブロンズウッド[445]ブロンズストーン[446]溶鉱果実[447]幻覚野菜[448]力の花[449]スパイクパウダー[450]像のレンガ[451]蛍光パウダー[452]溶岩の剣[453]溶岩のハンマー[454]溶岩の弓[455]溶岩の戦闘帽子[456]溶岩の戦闘コート,0,160,1200,8,800
homeresource-95,106,169.7056275,0,7,2-3,95,8,6000,Lv 8 ホロウストーン,800,160,1200,8,0
homeresource-96,106,169.7056275,0,7,2-3,96,8,6000,Lv 8 ホロウストーン,800,160,1200,8,0
homeresource-97,116,240,900,5,1-2,97,9,6750,Lv 9 ブロンズ繊維,0,226,1350,9,0
homeresource-98,116,240,900,5,1-2,98,9,6750,Lv 9 ブロンズ繊維,0,226,1350,9,0
homeresource-99,117,240,0,6,1-1,99,9,6750,Lv 9 ブロンズウッド,0,226,1350,9,900
homeresource-100,117,240,0,6,1-1,100,9,6750,Lv 9 ブロンズウッド,0,226,1350,9,900
homeresource-101,118,240,0,7,1-3,101,9,6750,Lv 9 ブロンズストーン,900,226,1350,9,0
homeresource-102,118,240,0,7,1-3,102,9,6750,Lv 9 ブロンズストーン,900,226,1350,9,0
homeresource-103,0,0,0,16,魂火,103,1,0,,0,0,10,0,0
