dismantlingMats-int[][],gearAttribute-int[][],gearAvatar-int,gearDurabilityMax-int,gearQuality-int,gearType-int,gender-string,givenSkillId-int[],id-int,itemId-int,weaponSubtype-int
"747,1,80","49,1,6,19;50,1,6,19;44,1,139,416;47,1,35,104;43,1,1,3;46,1,1,3",60,999,1,5,unisex,,35,107,0
"748,1,80","49,1,19,25;50,1,19,25;44,1,416,554;47,1,104,138;43,1,3,3;46,1,3,3",36,999,1,5,unisex,,36,108,0
"749,1,80","49,1,32,36;50,1,32,36;44,1,693,785;47,1,173,196;43,1,4,4;46,1,4,4",95,999,1,5,unisex,,37,109,0
"747,1,80","8,1,5,10;49,1,9,27;50,1,9,27;44,1,184,551;47,1,46,138",66,999,1,4,unisex,,38,110,0
"748,1,80","8,1,11,15;49,1,27,35;50,1,27,35;44,1,551,734;47,1,138,184",88,999,1,4,unisex,,39,111,0
"749,1,80","8,1,16,20;49,1,44,50;50,1,44,50;44,1,918,1040;47,1,230,260",97,999,1,4,unisex,,40,112,0
"756,1,80","54,1,8,25;55,1,8,25;56,1,8,25",67,999,1,4,unisex,,41,113,0
"757,1,80","54,1,25,33;55,1,25,33;56,1,25,33",93,999,1,4,unisex,,42,114,0
"758,1,80","54,1,41,46;55,1,41,46;56,1,41,46",102,999,1,4,unisex,,43,115,0
"756,1,80","23,1,50,80;54,1,8,25;55,1,8,25;56,1,8,25",55,999,1,1,unisex,,44,116,0
"757,1,80","23,1,80,110;54,1,25,33;55,1,25,33;56,1,25,33",89,999,1,1,unisex,,45,117,0
"758,1,80","23,1,130,150;54,1,41,46;55,1,41,46;56,1,41,46",98,999,1,1,unisex,,46,118,0
"756,1,80","26,1,50,80;54,1,10,30;55,1,10,30;56,1,10,30",58,999,1,2,unisex,,47,119,0
"757,1,80","26,1,80,110;54,1,30,39;55,1,30,39;56,1,30,39",90,999,1,2,unisex,,48,120,0
"758,1,80","26,1,130,150;54,1,49,55;55,1,49,55;56,1,49,55",99,999,1,2,unisex,,49,121,0
"756,1,80","32,1,50,80;54,1,8,24;55,1,8,24;56,1,8,24",64,999,1,3,unisex,,50,122,0
"757,1,80","32,1,80,110;54,1,24,31;55,1,24,31;56,1,24,31",92,999,1,3,unisex,,51,123,0
"758,1,80","32,1,130,150;54,1,39,44;55,1,39,44;56,1,39,44",101,999,1,3,unisex,,52,124,0
"756,1,80","30,1,50,80;51,1,5,14;22,1,5,14;29,1,5,14;54,1,6,19;55,1,6,19;56,1,6,19",61,999,1,5,unisex,,53,125,0
"757,1,80","30,1,80,110;51,1,14,18;22,1,14,18;29,1,14,18;54,1,19,25;55,1,19,25;56,1,19,25",91,999,1,5,unisex,,54,126,0
"758,1,80","30,1,130,150;51,1,23,26;22,1,23,26;29,1,23,26;54,1,31,35;55,1,31,35;56,1,31,35",100,999,1,5,unisex,,55,127,0
"739,1,80","13,1,121,162;19,1,32,62;51,1,20,25;16,1,0,2",30,999,1,8,unisex,"17,18,19",56,41,1
"740,1,80","13,1,202,229;19,1,39,67;51,1,20,25;16,1,5,6",31,999,1,8,unisex,"17,18,19",57,42,1
"739,1,80","15,1,28,37;11,1,101,136",34,999,1,1,unisex,,58,44,0
"740,1,80","15,1,46,52;11,1,167,190",39,999,1,1,unisex,,59,45,0
"739,1,80","15,1,33,44;11,1,78,105",35,999,1,2,unisex,,60,47,0
"740,1,80","15,1,55,62;11,1,128,146",40,999,1,2,unisex,,61,48,0
"739,1,80","11,1,105,142;15,1,26,35",37,999,1,3,unisex,,62,50,0
"740,1,80","11,1,175,199;15,1,43,49",42,999,1,3,unisex,,63,51,0
"739,1,80","13,1,13,18;15,1,21,28;11,1,78,105",86,999,1,5,unisex,,65,53,0
"740,1,80","13,1,22,25;15,1,35,39;11,1,128,146",41,999,1,5,unisex,,66,54,0
"739,1,80","7,1,15,20;15,1,28,37;11,1,105,142",38,999,1,4,unisex,,68,56,0
"740,1,80","7,1,30,35;15,1,46,52;11,1,175,199",43,999,1,4,unisex,,69,57,0
-,"36,1,1,8",20,999,1,8,unisex,21,70,79,7
"747,1,80","13,1,20,25;36,1,13,17;43,1,8,24",27,999,1,8,unisex,21,71,80,7
"748,1,80","13,1,20,25;36,1,18,21;43,1,23,30",28,999,1,8,unisex,21,72,81,7
"749,1,80","13,1,20,25;36,1,24,26;43,1,36,40",29,999,1,8,unisex,21,73,82,7
-,"38,1,30,40",22,999,1,8,unisex,22,74,83,8
"747,1,80","38,1,23,37",71,999,1,8,unisex,22,75,84,8
"748,1,80","38,1,38,45",72,999,1,8,unisex,22,76,85,8
"749,1,80","38,1,53,57",73,999,1,8,unisex,22,77,86,8
-,"29,1,5,10",21,999,1,8,unisex,25,78,87,6
"756,1,80","13,1,20,25;29,1,41,122",68,999,1,8,unisex,25,79,88,6
"757,1,80","13,1,20,25;29,1,122,162",69,999,1,8,unisex,25,80,89,6
"758,1,80","13,1,20,25;29,1,203,230",70,999,1,8,unisex,25,81,90,6
-,"22,1,5,10",23,999,1,8,unisex,26,82,91,5
"756,1,80","13,1,20,25;22,1,41,122",74,999,1,8,unisex,26,83,92,5
"757,1,80","13,1,20,25;22,1,122,162",75,999,1,8,unisex,26,84,93,5
"758,1,80","13,1,20,25;22,1,203,230",76,999,1,8,unisex,26,85,94,5
-,"46,1,1,8",24,999,1,8,unisex,30,86,95,9
-,-,25,999,1,8,unisex,28,87,96,10
-,-,26,999,1,8,unisex,29,88,97,11
"748,1,80","49,1,33,42;50,1,33,42;44,1,734,918;47,1,184,230",83,999,2,1,unisex,,99,99,0
"749,1,80","49,1,47,53;50,1,47,53;44,1,1040,1162;47,1,260,290",84,999,2,1,unisex,,100,100,0
"749,1,80","49,1,53,59;50,1,53,59;44,1,1162,1285;47,1,290,321",84,999,3,1,unisex,,101,100,0
"748,1,80","49,1,25,32;50,1,25,32;44,1,878,1098;47,1,220,275",85,999,2,2,unisex,,102,102,0
"749,1,80","49,1,36,40;50,1,36,40;44,1,1244,1390;47,1,311,347",94,999,2,2,unisex,,103,103,0
"749,1,80","49,1,40,45;50,1,40,45;44,1,1390,1537;47,1,347,384",94,999,3,2,unisex,,104,103,0
"748,1,80","37,1,110,140;49,1,35,44;50,1,35,44;44,1,698,873;47,1,174,218",87,999,2,3,unisex,,105,105,0
"749,1,80","37,1,160,180;49,1,50,56;50,1,50,56;44,1,989,1105;47,1,247,276",96,999,2,3,unisex,,106,106,0
"749,1,80","37,1,180,200;49,1,56,62;50,1,56,62;44,1,1105,1222;47,1,276,306",96,999,3,3,unisex,,107,106,0
"748,1,80","49,1,25,32;50,1,25,32;44,1,554,693;47,1,138,173;43,1,3,4;46,1,3,4",36,999,2,5,unisex,,108,108,0
"749,1,80","49,1,36,40;50,1,36,40;44,1,785,877;47,1,196,219;43,1,4,4;46,1,4,4",95,999,2,5,unisex,,109,109,0
"749,1,80","49,1,40,45;50,1,40,45;44,1,877,970;47,1,219,243;43,1,4,5;46,1,4,5",95,999,3,5,unisex,,110,109,0
"748,1,80","8,1,11,15;36,1,1,8;49,1,35,44;50,1,35,44;44,1,734,918;47,1,184,230",88,999,2,4,unisex,,111,111,0
"749,1,80","8,1,21,25;36,1,13,17;49,1,50,56;50,1,50,56;44,1,1040,1162;47,1,260,290",97,999,2,4,unisex,,112,112,0
"749,1,80","8,1,21,25;36,1,18,21;49,1,56,62;50,1,56,62;47,1,290,321;44,1,1162,1285",97,999,3,4,unisex,,113,112,0
"757,1,80","54,1,33,41;55,1,33,41;56,1,33,41",93,999,2,4,unisex,,114,114,0
"758,1,80","54,1,46,52;55,1,46,52;56,1,46,52",102,999,2,4,unisex,,115,115,0
"758,1,80","54,1,52,58;55,1,52,58;56,1,52,58",102,999,3,4,unisex,,116,115,0
"757,1,80","23,1,110,130;54,1,33,41;55,1,33,41;56,1,33,41",89,999,2,1,unisex,,117,117,0
"758,1,80","24,1,50,100;23,1,130,150;54,1,46,52;55,1,46,52;56,1,46,52",98,999,2,1,unisex,,118,118,0
"758,1,80","24,1,100,150;23,1,130,150;54,1,52,58;55,1,52,58;56,1,52,58",98,999,3,1,unisex,,119,118,0
"757,1,80","26,1,80,110;54,1,39,49;55,1,39,49;56,1,39,49",90,999,2,2,unisex,,120,120,0
"758,1,80","27,1,50,100;26,1,130,150;54,1,55,62;55,1,55,62;56,1,55,62",99,999,2,2,unisex,,121,121,0
"758,1,80","27,1,100,150;26,1,130,150;54,1,62,69;55,1,62,69;56,1,62,69",99,999,3,2,unisex,,122,121,0
"757,1,80","32,1,110,130;54,1,31,39;55,1,31,39;56,1,31,39",92,999,2,3,unisex,,123,123,0
"758,1,80","33,1,50,100;32,1,130,150;54,1,44,49;55,1,44,49;56,1,44,49",101,999,2,3,unisex,,124,124,0
"758,1,80","33,1,100,150;32,1,130,150;54,1,49,55;55,1,49,55;56,1,49,55",101,999,3,3,unisex,,125,124,0
"757,1,80","30,1,110,130;51,1,18,23;22,1,18,23;29,1,18,23;54,1,25,31;55,1,25,31;56,1,25,31",91,999,2,5,unisex,,126,126,0
"758,1,80","31,1,50,100;30,1,130,150;51,1,26,29;22,1,26,29;29,1,26,29;54,1,35,39;55,1,35,39;56,1,35,39",100,999,2,5,unisex,,127,127,0
"758,1,80","31,1,100,150;30,1,130,150;51,1,29,32;22,1,29,32;29,1,29,32;54,1,39,44;55,1,39,44;56,1,39,44",100,999,3,5,unisex,,128,127,0
"739,1,80","13,1,162,203;19,1,32,62;51,1,20,25;16,1,2,5",30,999,2,8,unisex,"17,18,19",129,41,1
"740,1,80","13,1,229,256;19,1,39,67;51,1,20,25;16,1,6,8",31,999,2,8,unisex,"17,18,19",130,42,1
"740,1,80","13,1,256,284;19,1,39,67;51,1,20,25;16,1,8,10",31,999,3,8,unisex,"17,18,19",131,42,1
"739,1,80","15,1,37,46;11,1,136,171",34,999,2,1,unisex,,132,44,0
"740,1,80","15,1,52,58;11,1,190,213",39,999,2,1,unisex,,133,45,0
"740,1,80","15,1,58,64;11,1,213,237",39,999,3,1,unisex,,134,45,0
"739,1,80","15,1,44,55;11,1,105,132",35,999,2,2,unisex,,135,47,0
"740,1,80","15,1,62,69;11,1,146,164",40,999,2,2,unisex,,136,48,0
"740,1,80","15,1,69,77;11,1,164,182",40,999,3,2,unisex,,137,48,0
"739,1,80","11,1,142,179;15,1,35,44",37,999,2,3,unisex,,138,50,0
"740,1,80","11,1,199,224;15,1,49,55",42,999,2,3,unisex,,139,51,0
"740,1,80","11,1,224,249;15,1,55,61",42,999,3,3,unisex,,140,51,0
"739,1,80","13,1,18,23;15,1,28,35;11,1,105,132",86,999,2,5,unisex,,141,53,0
"740,1,80","13,1,25,28;15,1,39,44;11,1,146,164",41,999,2,5,unisex,,142,54,0
"740,1,80","13,1,28,32;15,1,44,49;11,1,164,182",41,999,3,5,unisex,,143,54,0
"739,1,80","7,1,21,25;15,1,37,46;11,1,142,179",38,999,2,4,unisex,,144,56,0
"740,1,80","7,1,36,40;17,2,10,10;15,1,52,58;11,1,199,224",43,999,2,4,unisex,,145,57,0
"740,1,80","7,1,41,45;17,2,20,20;15,1,58,64;11,1,224,249",43,999,3,4,unisex,,146,57,0
"748,1,80","13,1,20,25;36,1,21,23;43,1,30,37",28,999,2,8,unisex,21,147,81,7
"749,1,80","13,1,20,25;36,1,27,30;43,1,40,44",29,999,2,8,unisex,21,148,82,7
"749,1,80","13,1,20,25;36,1,31,35;43,1,44,48",29,999,3,8,unisex,21,149,82,7
"748,1,80","38,1,45,52",72,999,2,8,unisex,22,150,85,8
"749,1,80","38,1,57,62",73,999,2,8,unisex,22,151,86,8
"749,1,80","38,1,62,67",73,999,3,8,unisex,22,152,86,8
"757,1,80","13,1,20,25;29,1,162,203",69,999,2,8,unisex,25,153,89,6
"758,1,80","13,1,20,25;29,1,230,257",70,999,2,8,unisex,25,154,90,6
"758,1,80","13,1,20,25;29,1,257,284",70,999,3,8,unisex,25,155,90,6
"757,1,80","13,1,20,25;22,1,162,203",75,999,2,8,unisex,26,156,93,5
"758,1,80","13,1,20,25;22,1,230,257",76,999,2,8,unisex,26,157,94,5
"758,1,80","13,1,20,25;22,1,257,284",76,999,3,8,unisex,26,158,94,5
-,"13,1,20,25;19,1,20,45",103,999,1,8,unisex,"202,203,204",188,222,2
-,"13,1,20,25;19,1,20,45",104,999,1,8,unisex,"205,344,345",189,223,3
-,"51,1,20,25",166,999,1,8,unisex,323,192,225,4
"758,1,80","13,1,20,25;51,1,203,230",174,999,1,8,unisex,323,193,228,4
"756,1,80","13,1,20,25;51,1,41,122",167,999,1,8,unisex,323,194,226,4
"757,1,80","13,1,20,25;51,1,122,162",173,999,1,8,unisex,323,195,227,4
"759,1,80","13,1,20,25",175,999,1,8,unisex,323,196,229,4
"760,1,80","13,1,20,25",176,999,1,8,unisex,323,197,230,4
"761,1,80","13,1,20,25",177,999,1,8,unisex,323,198,231,4
-,"10,1,0,0",216,999,5,1,unisex,,199,267,0
-,"10,1,0,0",217,999,5,2,unisex,,200,268,0
-,"10,1,0,0",218,999,5,5,unisex,,201,269,0
-,"10,1,0,0",219,999,5,3,unisex,,202,270,0
-,"10,1,0,0",220,999,5,4,unisex,,203,271,0
-,"10,1,0,0",221,999,5,1,unisex,,204,272,0
-,"10,1,0,0",222,999,5,2,unisex,,205,273,0
-,"10,1,0,0",223,999,5,5,unisex,,206,274,0
-,"10,1,0,0",224,999,5,3,unisex,,207,275,0
-,"10,1,0,0",225,999,5,4,unisex,,208,276,0
-,"10,1,0,0",231,999,5,1,unisex,,209,282,0
-,"10,1,0,0",232,999,5,2,unisex,,210,283,0
-,"10,1,0,0",233,999,5,5,unisex,,211,284,0
-,"10,1,0,0",234,999,5,3,unisex,,212,285,0
-,"10,1,0,0",235,999,5,4,unisex,,213,286,0
-,"10,1,0,0",188,999,5,1,unisex,,214,241,0
-,"10,1,0,0",192,999,5,2,unisex,,215,242,0
-,"10,1,0,0",193,999,5,5,unisex,,216,243,0
-,"10,1,0,0",194,999,5,3,unisex,,217,244,0
-,"10,1,0,0",195,999,5,4,unisex,,218,245,0
-,"10,1,0,0",196,999,5,1,unisex,,219,246,0
-,"10,1,0,0",197,999,5,2,unisex,,220,247,0
-,"10,1,0,0",198,999,5,5,unisex,,221,248,0
-,"10,1,0,0",199,999,5,3,unisex,,222,249,0
-,"10,1,0,0",200,999,5,4,unisex,,223,250,0
-,"10,1,0,0",201,999,5,1,unisex,,224,251,0
-,"10,1,0,0",202,999,5,2,unisex,,225,252,0
-,"10,1,0,0",203,999,5,5,unisex,,226,253,0
-,"10,1,0,0",204,999,5,3,unisex,,227,254,0
-,"10,1,0,0",205,999,5,4,unisex,,228,255,0
-,"10,1,0,0",206,999,5,1,unisex,,229,257,0
-,"10,1,0,0",207,999,5,2,unisex,,230,258,0
-,"10,1,0,0",208,999,5,5,unisex,,231,259,0
-,"10,1,0,0",209,999,5,3,unisex,,232,260,0
-,"10,1,0,0",210,999,5,4,unisex,,233,261,0
-,"10,1,0,0",211,999,5,1,unisex,,234,262,0
-,"10,1,0,0",212,999,5,2,unisex,,235,263,0
-,"10,1,0,0",213,999,5,5,unisex,,236,264,0
-,"10,1,0,0",214,999,5,3,unisex,,237,265,0
-,"10,1,0,0",215,999,5,4,unisex,,238,266,0
-,"10,1,0,0",226,999,5,1,unisex,,239,277,0
-,"10,1,0,0",227,999,5,2,unisex,,240,278,0
-,"10,1,0,0",228,999,5,5,unisex,,241,279,0
-,"10,1,0,0",229,999,5,3,unisex,,242,280,0
-,"10,1,0,0",230,999,5,4,unisex,,243,281,0
"738,1,80","13,1,40,122;16,1,0,0",236,999,1,8,unisex,"205,344,345",244,287,3
"739,1,80","13,1,121,162;16,1,0,2",237,999,1,8,unisex,"205,344,345",245,288,3
"739,1,80","13,1,162,203;16,1,2,5",237,999,2,8,unisex,"205,344,345",246,288,3
"740,1,80","13,1,202,229;16,1,5,6",238,999,1,8,unisex,"205,344,345",247,289,3
"740,1,80","13,1,229,256;16,1,6,8",238,999,2,8,unisex,"205,344,345",248,289,3
"740,1,80","13,1,256,284;16,1,8,10",238,999,3,8,unisex,"205,344,345",249,289,3
"741,1,80","13,1,283,303;16,1,10,11;51,1,20,25;19,1,45,75",49,999,1,8,unisex,"17,18,19",250,317,1
"741,1,80","13,1,303,324;16,1,11,12;51,1,20,25;19,1,45,75",49,999,2,8,unisex,"17,18,19",251,317,1
"741,1,80","13,1,324,344;16,1,12,13;51,1,20,25;19,1,45,75",49,999,3,8,unisex,"17,18,19",252,317,1
"741,1,80","13,1,344,365;16,1,13,15;51,1,20,25;19,1,45,75",49,999,4,8,unisex,"17,18,19",253,317,1
"742,1,80","13,1,364,380;16,1,15,16;51,1,20,25;19,1,50,80",241,999,1,8,unisex,"17,18,19",254,318,1
"742,1,80","13,1,380,396;16,1,16,17;51,1,20,25;19,1,50,80",241,999,2,8,unisex,"17,18,19",255,318,1
"742,1,80","13,1,396,413;16,1,17,18;51,1,20,25;19,1,50,80",241,999,3,8,unisex,"17,18,19",256,318,1
"742,1,80","13,1,413,429;16,1,18,19;51,1,20,25;19,1,50,80",241,999,4,8,unisex,"17,18,19",257,318,1
"742,1,80","13,1,429,446;16,1,19,20;51,1,20,25;19,1,50,80",241,999,5,8,unisex,"17,18,19",258,318,1
"743,1,80","13,1,445,461;16,1,20,21;51,1,20,25;19,1,54,84",242,999,1,8,unisex,"17,18,19",259,319,1
"743,1,80","13,1,461,477;16,1,21,22;51,1,20,25;19,1,54,84",242,999,2,8,unisex,"17,18,19",260,319,1
"743,1,80","13,1,477,494;16,1,22,23;51,1,20,25;19,1,54,84",242,999,3,8,unisex,"17,18,19",261,319,1
"743,1,80","13,1,494,510;16,1,23,24;51,1,20,25;19,1,54,84",242,999,4,8,unisex,"17,18,19",262,319,1
"743,1,80","13,1,510,527;16,1,24,25;51,1,20,25;19,1,54,84",242,999,5,8,unisex,"17,18,19",263,319,1
"750,1,80","43,1,48,50;44,1,,",243,999,1,8,unisex,21,264,299,7
"750,1,80","43,1,50,53;44,1,,",243,999,2,8,unisex,21,265,299,7
"750,1,80","43,1,53,56;44,1,,",243,999,3,8,unisex,21,266,299,7
"750,1,80","43,1,56,59;44,1,,",243,999,4,8,unisex,21,267,299,7
"751,1,80","43,1,58,60;44,1,,",249,999,1,8,unisex,21,268,305,7
"751,1,80","43,1,60,62;44,1,,",249,999,2,8,unisex,21,269,305,7
"751,1,80","43,1,62,64;44,1,,",249,999,3,8,unisex,21,270,305,7
"751,1,80","43,1,64,66;44,1,,",249,999,4,8,unisex,21,271,305,7
"751,1,80","43,1,66,68;44,1,,",249,999,5,8,unisex,21,272,305,7
"752,1,80","43,1,68,69;44,1,,",255,999,1,8,unisex,21,273,311,7
"752,1,80","43,1,69,71;44,1,,",255,999,2,8,unisex,21,274,311,7
"752,1,80","43,1,71,73;44,1,,",255,999,3,8,unisex,21,275,311,7
"752,1,80","43,1,73,75;44,1,,",255,999,4,8,unisex,21,276,311,7
"752,1,80","43,1,75,77;44,1,,",255,999,5,8,unisex,21,277,311,7
"759,1,80","22,1,284,304",244,999,1,8,unisex,26,278,300,5
"759,1,80","22,1,304,324",244,999,2,8,unisex,26,279,300,5
"759,1,80","22,1,324,344",244,999,3,8,unisex,26,280,300,5
"759,1,80","22,1,344,365",244,999,4,8,unisex,26,281,300,5
"760,1,80","22,1,365,381",250,999,1,8,unisex,26,282,306,5
"760,1,80","22,1,381,397",250,999,2,8,unisex,26,283,306,5
"760,1,80","22,1,397,413",250,999,3,8,unisex,26,284,306,5
"760,1,80","22,1,413,429",250,999,4,8,unisex,26,285,306,5
"760,1,80","22,1,429,446",250,999,5,8,unisex,26,286,306,5
"761,1,80","22,1,446,462",256,999,1,8,unisex,26,287,312,5
"761,1,80","22,1,462,478",256,999,2,8,unisex,26,288,312,5
"761,1,80","22,1,478,494",256,999,3,8,unisex,26,289,312,5
"761,1,80","22,1,494,510",256,999,4,8,unisex,26,290,312,5
"761,1,80","22,1,510,527",256,999,5,8,unisex,26,291,312,5
"759,1,80","29,1,284,304",245,999,1,8,unisex,25,292,301,6
"759,1,80","29,1,304,324",245,999,2,8,unisex,25,293,301,6
"759,1,80","29,1,324,344",245,999,3,8,unisex,25,294,301,6
"759,1,80","29,1,344,365",245,999,4,8,unisex,25,295,301,6
"760,1,80","29,1,365,381",251,999,1,8,unisex,25,296,307,6
"760,1,80","29,1,381,397",251,999,2,8,unisex,25,297,307,6
"760,1,80","29,1,397,413",251,999,3,8,unisex,25,298,307,6
"760,1,80","29,1,413,429",251,999,4,8,unisex,25,299,307,6
"760,1,80","29,1,429,446",251,999,5,8,unisex,25,300,307,6
"761,1,80","29,1,446,462",257,999,1,8,unisex,25,301,313,6
"761,1,80","29,1,462,478",257,999,2,8,unisex,25,302,313,6
"761,1,80","29,1,478,494",257,999,3,8,unisex,25,303,313,6
"761,1,80","29,1,494,510",257,999,4,8,unisex,25,304,313,6
"761,1,80","29,1,510,527",257,999,5,8,unisex,25,305,313,6
"750,1,80",-,246,999,1,8,unisex,28,306,302,10
"750,1,80",-,246,999,2,8,unisex,28,307,302,10
"750,1,80",-,246,999,3,8,unisex,28,308,302,10
"750,1,80",-,246,999,4,8,unisex,28,309,302,10
"751,1,80",-,252,999,1,8,unisex,28,310,308,10
"751,1,80",-,252,999,2,8,unisex,28,311,308,10
"751,1,80",-,252,999,3,8,unisex,28,312,308,10
"751,1,80",-,252,999,4,8,unisex,28,313,308,10
"751,1,80",-,252,999,5,8,unisex,28,314,308,10
"752,1,80",-,258,999,1,8,unisex,28,315,314,10
"752,1,80",-,258,999,2,8,unisex,28,316,314,10
"752,1,80",-,258,999,3,8,unisex,28,317,314,10
"752,1,80",-,258,999,4,8,unisex,28,318,314,10
"752,1,80",-,258,999,5,8,unisex,28,319,314,10
"759,1,80","51,1,284,304",175,999,1,8,unisex,323,320,303,4
"759,1,80","51,1,304,324",175,999,2,8,unisex,323,321,303,4
"759,1,80","51,1,324,344",175,999,3,8,unisex,323,322,303,4
"759,1,80","51,1,344,365",175,999,4,8,unisex,323,323,303,4
"760,1,80","51,1,365,381",176,999,1,8,unisex,323,324,309,4
"760,1,80","51,1,381,397",176,999,2,8,unisex,323,325,309,4
"760,1,80","51,1,397,413",176,999,3,8,unisex,323,326,309,4
"760,1,80","51,1,413,429",176,999,4,8,unisex,323,327,309,4
"760,1,80","51,1,429,446",176,999,5,8,unisex,323,328,309,4
"761,1,80","51,1,446,462",177,999,1,8,unisex,323,329,315,4
"761,1,80","51,1,462,478",177,999,2,8,unisex,323,330,315,4
"761,1,80","51,1,478,494",177,999,3,8,unisex,323,331,315,4
"761,1,80","51,1,494,510",177,999,4,8,unisex,323,332,315,4
"761,1,80","51,1,510,527",177,999,5,8,unisex,323,333,315,4
"741,1,80","15,1,64,68;11,1,233,250",276,999,1,1,unisex,,334,335,0
"741,1,80","15,1,68,73;11,1,250,268",276,999,2,1,unisex,,335,335,0
"741,1,80","15,1,73,77;11,1,268,285",276,999,3,1,unisex,,336,335,0
"741,1,80","15,1,77,82;11,1,285,303",276,999,4,1,unisex,,337,335,0
"742,1,80","15,1,83,86;11,1,297,311",281,999,1,1,unisex,,338,340,0
"742,1,80","15,1,86,90;11,1,311,325",281,999,2,1,unisex,,339,340,0
"742,1,80","15,1,90,93;11,1,325,339",281,999,3,1,unisex,,340,340,0
"742,1,80","15,1,93,97;11,1,339,353",281,999,4,1,unisex,,341,340,0
"742,1,80","15,1,97,101;11,1,353,367",281,999,5,1,unisex,,342,340,0
"743,1,80","15,1,101,104;11,1,364,378",286,999,1,1,unisex,,343,345,0
"743,1,80","15,1,104,108;11,1,378,392",286,999,2,1,unisex,,344,345,0
"743,1,80","15,1,108,111;11,1,392,406",286,999,3,1,unisex,,345,345,0
"743,1,80","15,1,111,115;11,1,406,420",286,999,4,1,unisex,,346,345,0
"743,1,80","15,1,115,119;11,1,420,434",286,999,5,1,unisex,,347,345,0
"741,1,80","15,1,77,82;11,1,179,192",277,999,1,2,unisex,,348,336,0
"741,1,80","15,1,82,88;11,1,192,206",277,999,2,2,unisex,,349,336,0
"741,1,80","15,1,88,93;11,1,206,219",277,999,3,2,unisex,,350,336,0
"741,1,80","15,1,93,99;11,1,219,233",277,999,4,2,unisex,,351,336,0
"742,1,80","15,1,99,103;11,1,228,238",282,999,1,2,unisex,,352,341,0
"742,1,80","15,1,103,107;11,1,238,249",282,999,2,2,unisex,,353,341,0
"742,1,80","15,1,107,112;11,1,249,260",282,999,3,2,unisex,,354,341,0
"742,1,80","15,1,112,116;11,1,260,271",282,999,4,2,unisex,,355,341,0
"742,1,80","15,1,116,121;11,1,271,282",282,999,5,2,unisex,,356,341,0
"743,1,80","15,1,121,125;11,1,279,289",287,999,1,2,unisex,,357,346,0
"743,1,80","15,1,125,129;11,1,289,300",287,999,2,2,unisex,,358,346,0
"743,1,80","15,1,129,134;11,1,300,311",287,999,3,2,unisex,,359,346,0
"743,1,80","15,1,134,138;11,1,311,322",287,999,4,2,unisex,,360,346,0
"743,1,80","15,1,138,143;11,1,322,333",287,999,5,2,unisex,,361,346,0
"741,1,80","15,1,61,65;11,1,244,262",279,999,1,3,unisex,,362,338,0
"741,1,80","15,1,65,70;11,1,262,281",279,999,2,3,unisex,,363,338,0
"741,1,80","15,1,70,74;11,1,281,299",279,999,3,3,unisex,,364,338,0
"741,1,80","15,1,74,79;11,1,299,318",279,999,4,3,unisex,,365,338,0
"742,1,80","15,1,78,81;11,1,311,325",284,999,1,3,unisex,,366,343,0
"742,1,80","15,1,81,85;11,1,325,340",284,999,2,3,unisex,,367,343,0
"742,1,80","15,1,85,88;11,1,340,355",284,999,3,3,unisex,,368,343,0
"742,1,80","15,1,88,92;11,1,355,370",284,999,4,3,unisex,,369,343,0
"742,1,80","15,1,92,96;11,1,370,385",284,999,5,3,unisex,,370,343,0
