dropId-int,exp-int,farmPotentiality-int[],functionType-int,growRes-string[],harvestRes-string,id-int,initialAttribute-int[][],lv-int,progressScore-int,rankScore-int,worldDropGroup-int,functionAvatar-string
108,169,"587,590",0,"seed-618-p1,seed-618-p2,seed-618-p3,seed-618-p4",seed-618-final,618,"71,450,0;72,182,0;73,3420,0;74,14884,0;75,60480000,0",8,256,160,8,
109,169,"587,590",0,"seed-619-p1,seed-619-p2,seed-619-p3,seed-619-p4",seed-619-final,619,"71,450,0;72,182,0;73,3420,0;74,14884,0;75,60480000,0",8,256,160,8,
119,240,"590,590",0,"seed-620-p1,seed-620-p2,seed-620-p3,seed-620-p4",seed-620-final,620,"71,500,0;72,190,0;73,3840,0;74,20025,0;75,60480000,0",9,512,226,9,
120,240,"590,590",0,"seed-621-p1,seed-621-p2,seed-621-p3,seed-621-p4",seed-621-final,621,"71,500,0;72,190,0;73,3840,0;74,20025,0;75,60480000,0",9,512,226,9,
121,240,"590,590",0,"seed-622-p1,seed-622-p2,seed-622-p3,seed-622-p4",seed-622-final,622,"71,500,0;72,190,0;73,3840,0;74,20025,0;75,60480000,0",9,512,226,9,
,0,"520,520",1,seed-692-p1,,692,"71,100,0;72,10,0;73,3,0;74,10,0;75,0,0",1,2,0,0,Totem/TotemTest
,0,"520,520",1,seed-719-p1,seed-719-final,719,"71,100,0;72,10,0;73,3,0;74,10,0;75,0,0",1,2,0,0,Totem/TotemA
,0,"520,520",1,seed-720-p1,seed-720-final,720,"71,100,0;72,10,0;73,3,0;74,10,0;75,0,0",1,2,0,0,Totem/TotemB
,0,"520,520",1,seed-721-p1,seed-721-final,721,"71,100,0;72,10,0;73,3,0;74,10,0;75,0,0",1,2,0,0,Totem/TotemC
,0,"520,520",1,seed-722-p1,seed-722-final,722,"71,100,0;72,10,0;73,3,0;74,10,0;75,0,0",1,2,0,0,Totem/TotemD
,0,"520,520",1,seed-723-p1,seed-723-final,723,"71,100,0;72,10,0;73,3,0;74,10,0;75,0,0",1,2,0,0,Totem/TotemE
224,15,"520,520",0,"seed-824-p1,seed-824-p2,seed-824-p3",seed-824-final,824,"71,100,0;72,85,0;73,360,0;74,2054,0;75,60480000,0",1,10,14,0,
225,21,"538,538",0,"seed-825-p1,seed-825-p2,seed-825-p3",seed-825-final,825,"71,150,0;72,97,0;73,675,0;74,4899,0;75,60480000,0",2,20,20,0,
226,30,"553,553",0,"seed-826-p1,seed-826-p2,seed-826-p3",seed-826-final,826,"71,200,0;72,110,0;73,990,0;74,19445,0;75,60480000,0",3,40,28,0,
227,42,"565,565",0,"seed-827-p1,seed-827-p2,seed-827-p3",seed-827-final,827,"71,250,0;72,137,0;73,1305,0;74,6614,0;75,60480000,0",4,80,40,0,
228,60,"575,575",0,"seed-828-p1,seed-828-p2,seed-828-p3",seed-828-final,828,"71,300,0;72,146,0;73,1620,0;74,10156,0;75,60480000,0",5,160,56,0,
229,84,"582,582",0,"seed-829-p1,seed-829-p2,seed-829-p3",seed-829-final,829,"71,350,0;72,155,0;73,1935,0;74,31396,0;75,60480000,0",6,320,80,0,
230,120,"587,587",0,"seed-830-p1,seed-830-p2,seed-830-p3",seed-830-final,830,"71,400,0;72,175,0;73,2250,0;74,7921,0;75,60480000,0",7,640,113,0,
231,169,"590,590",0,"seed-831-p1,seed-831-p2,seed-831-p3",seed-831-final,831,"71,450,0;72,182,0;73,2565,0;74,15061,0;75,60480000,0",8,1280,160,0,
232,240,"590,590",0,"seed-832-p1,seed-832-p2,seed-832-p3",seed-832-final,832,"71,500,0;72,190,0;73,2880,0;74,39449,0;75,60480000,0",9,2560,226,0,
