canMint-int,desc-string,givenSkillId-int,icon-string,id-int,name-string,quality-int[],type-int,useLv-int,userType-int
1,"有人曾在峽谷中看到這種材料。
它可以用來製作裝備或物品。
-------
草妖頭冠是一種二級戰鬥材料，由草妖的頭部製成，具有強大的戰鬥能力。
",0,item-icon-35,35,草妖頭冠,1,4,2,1
1,"有人曾在黑森林中看到這種材料。
它可以用來製作裝備或物品。
-------
這種細長鉤爪由堅硬的金屬製成，非常鋒利，適合在戰鬥中使用。它的形狀纖細，可以輕易穿透敵人的防禦。
",0,item-icon-36,36,細長鉤爪,1,4,3,1
1,"有人曾在紅森林中看到這種材料。
它可以用來製作裝備或物品。
-------
赤紅皮毛是一種具有出色防禦性能的高級毛皮，適合製作戰鬥裝備。它是一種稀有的原材料，收集難度高。
",0,item-icon-37,37,赤紅皮毛,1,4,3,1
1,"有人曾在雪山上看到這種材料。
它可以用來製作裝備或物品。
-------
這是一種在戰鬥中獲得的稀有原材料。它外觀如冰雪般，質地毛茸茸的，讓人忍不住想觸摸。
",0,item-icon-38,38,冰雪茸毛,1,4,3,1
1,"你可以通過合成獲得這個物品。
裝備後，可以增強屬性。
-------
這是一把由堅實的石頭製成的銳利而堅固的武器，非常適合近身戰鬥。它的重量和平衡使得揮舞起來輕鬆，能夠精確地發動強力的打擊。
",0,item-icon-40,40,石劍,1,1,1,1
1,"你可以通過合成獲得這個物品。
裝備後，可以增強屬性。
-------
這是一把由鐵製成的銳利而堅固的武器，能夠輕易地切割敵人。它的重量提供了令人滿意的重量感，使得能夠發動令人震撼的打擊。
",0,item-icon-41,41,鐵劍,"1,2",1,2,1
1,"你可以通過合成獲得這個物品。
裝備後，可以增強屬性。
-------
這是一把由純水晶鑄造的強大武器，能夠輕易地切割敵人。它閃爍的刀刃反射著光芒，令對手目眩心驚。每一次揮舞，水晶劍都能釋放出速度和精確度的致命組合。",0,item-icon-42,42,水晶劍,"1,2,3",1,3,1
1,"你可以通過合成獲得這個物品。
裝備後，可以增強屬性。
-------
這是一把為快速而精確打擊而製作的堅固木質武器，非常適合初學者磨練戰鬥技能。它的輕巧設計使得靈活的移動成為可能，是那些追求多功能和可靠武器的理想選擇。
",0,item-icon-39,39,木劍,1,1,0,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这款时尚的饰品为任何服装增添了一丝优雅。精细的细节制作，使这个戒指散发出精致和魅力。其独特的设计一定会吸引其他时尚爱好者的目光。
",0,item-icon-43,43,碎晶頭環,1,1,1,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这顶帽子由一种柔软的独特材料制成，触感非常舒适。它提供了奢华而舒适的贴合感，非常适合长时间的游戏会话。
",0,item-icon-44,44,戰士頭盔 晶皮軟帽,"1,2",1,2,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这是一顶由闪烁的水晶制成的坚固头盔，提供了卓越的保护力而不影响敏捷性。它迷人的光芒使佩戴者在黑暗的地下城中拥有增强的视觉。
",0,item-icon-45,45,戰士頭盔 晶石頭盔,"1,2,3",1,3,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这件盔甲以其碎裂的水晶设计散发出坚韧和力量的气息。其闪亮的表面反射着光线，吸引着所有看到它的人的目光。作为力量和耐力的象征，它是任何经验丰富的战士必备的装备。
",0,item-icon-46,46,戰士上衣 碎晶藤甲,1,1,1,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这件盔甲采用独特的类似水晶的材料制成，提供了卓越的保护力而不影响机动性。其流线型的设计和闪亮的表面使其成为工艺的杰作。穿上晶皮上衣，你将在战场上感到无敌。
",0,item-icon-47,47,戰士上衣 晶皮上衣,"1,2",1,2,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这是一件由附魔水晶锻造而成的强大盔甲，对物理和魔法攻击提供了无与伦比的保护。其闪亮的表面反射光线，令敌人眼花缭乱，心生畏惧。佩戴这件盔甲会赋予佩戴者一种无敌的气息，在战场上成为无可阻挡的力量。
",0,item-icon-48,48,戰士上衣 晶石甲胄,"1,2,3",1,3,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这是一件由精致水晶制成的独特服装，这条草裙为任何服装增添了一丝优雅。其破裂的质地赋予它神秘而迷人的魅力，使其成为时尚前卫的冒险者必备的物品。
",0,item-icon-49,49,戰士褲子 碎晶草裙,1,1,1,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这条裤子具有独特的类似水晶的质地，使其具有流线型和未来感的外观。光滑的面料触感凉爽，使其在激烈的战斗中提供最大的舒适度。凭借其引人注目的设计，这条裤子肯定会让你在战场上脱颖而出。
",0,item-icon-50,50,戰士褲子 晶皮長褲,"1,2",1,2,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这条护腿是由稀有的水晶石制成，提供了无与伦比的保护和耐久性。闪亮的表面反射光线，使佩戴者看起来飘渺而神秘。
",0,item-icon-51,51,戰士褲子 晶石腿甲,"1,2,3",1,3,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这款闪亮的饰品上有细微的裂纹，散发出一种神秘而坚韧的气息。其破碎的表面反映出佩戴者的力量和决心，成为坚韧和毅力的象征。
",0,item-icon-52,52,戰士手套 碎晶手環,1,1,1,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这款手套采用类似水晶的独特材料制成，提供了光滑而柔软的质地，增强了握力和灵活性。其轻巧的设计使得轻松移动成为可能，成为追求精准和舒适的游戏玩家的最爱。
",0,item-icon-53,53,戰士手套 晶皮手套,"1,2",1,2,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这款强大的臂铠融合了水晶的能量，赋予佩戴者增强的力量和操控元素力量的能力。驾驭大自然的原始力量，释放对敌人的毁灭性攻击。用晶石護手主宰战场！
",0,item-icon-54,54,戰士手套 晶石護手,"1,2,3",1,3,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这双鞋子采用一种提供出色抓地力和牢固性的独特材料制成，非常适合行走在湿滑的表面上。破碎的水晶设计为你的服装增添了一丝优雅和神秘感。穿上它们，感受到踏上任何地形时的自信。
",0,item-icon-55,55,戰士鞋子 碎晶草鞋,1,1,1,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这双靴子采用一种独特的材料制成，增强了敏捷性并提供出色的保护。其流线型的设计使得迅速移动成为可能，成为冒险者们的最爱。晶皮长靴是任何追求风格和功能性的玩家必备的装备。
",0,item-icon-56,56,戰士鞋子 晶皮長靴,"1,2",1,2,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这双鞋子采用独特的水晶石设计，为你的每一步增添一丝优雅。鞋子上闪烁的宝石创造出迷人的效果，使你成为任何场合的焦点。穿上这双精美的鞋子，感受它们为你的服装带来的魔力。
",0,item-icon-57,57,戰士鞋子 晶石鞋,"1,2,3",1,3,1
1,"有人曾在海边看到过这种材料。
它可以用来制作装备或物品。
-------
这种石头是一级品质的，可以用来采集树木等原材料。
",0,item-icon-58,58,石頭,1,4,1,1
1,"有人曾在峡谷看到过这种材料。
它可以用来制作装备或物品。
-------
黑铁矿石是一种次级原材料，可以通过采矿获得。它呈黑色，质地坚硬，含有丰富的铁元素。
",0,item-icon-59,59,黑鐵礦,1,4,2,1
1,"有人曾在雪山上看到过这种材料。
它可以用来制作装备或物品。
-------
这是一种三级红色水晶矿石，可以在森林中采集到。它是一种重要的原材料，可以用来制作各种装备和物品。
",0,item-icon-60,60,紅色水晶礦,1,4,3,1
1,"有人曾在海边看到过这种材料。
它可以用来制作装备或物品。
-------
这种木材通常用于制作简单的家具或建筑材料。其质地相对柔软，易于加工和雕刻。",0,item-icon-62,62,普通木材,1,4,1,1
1,"有人曾在沙漠中看到过这种材料。
它可以用来制作装备或物品。
-------
沙漠树是一种生长在沙漠中的树木。它们通常较矮小，树干粗壮，叶子呈浅绿色。它们可以用来采集原材料，并适用于制作一些特殊物品。
",0,item-icon-63,63,沙漠樹木材,1,4,2,1
1,"有人曾在红色森林中看到过这种材料。
它可以用来制作装备或物品。
-------
暗黑木是一种高级木材，具有黑色纹理和坚硬的质地，适用于制作高端家具和手工艺品。它只能在特定的采集点采集，采集难度较大，但也非常有利可图。
",0,item-icon-64,64,暗黑木材,1,4,3,1
1,"你可以通过种植获得这种类型的材料。
它可以用来制作装备或物品。
-------
这种竹子是农业产出的一种植物，用于制作各种农业原材料。在农业中非常常见，生长速度很快。
",0,item-icon-70,70,竹子,1,4,1,1
1,"你可以通过种植获得这种类型的材料。
它可以用来制作装备或物品。
-------
这种物品是农业产出的原材料，通常在Lv 1时可收获。它的形状类似三叶草，因此被称为幸运三叶草。它可以用来制作许多不同的物品，是一种非常有用的资源。
",0,item-icon-71,71,三葉草,1,4,1,1
1,"你可以通过种植获得这种类型的材料。
它可以用来制作装备或物品。
-------
这种胡萝卜是一种农业产出的一级产品，可以在农田中获得。它是一种重要的原材料。
",0,item-icon-72,72,胡蘿蔔,1,4,1,1
1,"你可以通过种植获得这种类型的材料。
它可以用来制作装备或物品。
-------
豬籠草是一种独特的植物，可以吸引并捕获昆虫作为食物。它被视为农业产出的一种，可以用作农业领域的原材料。
",0,item-icon-73,73,豬籠草,1,4,2,1
1,"你可以通过种植获得这种类型的材料。
它可以用来制作装备或物品。
-------
这种棉花是二级品质的，适用于制造纺织品。
",0,item-icon-74,74,棉花,1,4,2,1
1,"你可以通过种植获得这种类型的材料。
它可以用来制作装备或物品。
-------
这种忍耐果实是农业产出的原材料，可以在2级农田中种植，每次可产出2-3个果实。它具有耐久性强、保存时间长的特点，是制作各种食品和药物的重要材料。
",0,item-icon-75,75,忍耐果實,1,4,2,1
1,"你可以通过种植获得这种类型的材料。
它可以用来制作装备或物品。
-------
这种火爆辣椒是3级的，非常辣，适合喜欢辣食的人。它是农业产出的，可以在田地中种植。作为农业原材料，它可以用来制作各种辣椒制品，如辣椒酱和辣椒油。
",0,item-icon-76,76,火爆辣椒,1,4,3,1
1,"你可以通过种植获得这种类型的材料。
它可以用来制作装备或物品。
-------
这种坚硬果实是高产的农业原材料，可以用来制作各种食品和药物。它具有坚硬的质地和丰富的营养成分，是农业生产中不可或缺的一部分。
",0,item-icon-77,77,堅硬果實,1,4,3,1
1,"你可以通过种植获得这种类型的材料。
它可以用来制作装备或物品。
-------
这种蓝幻菇是一种高级蘑菇品种，通常在农业领域生产。它是一种非常有价值的原材料，可用于制作药物和美食。
",0,item-icon-78,78,藍幻菇,1,4,3,1
1,"你可以通过合成获得这个物品。
装备后，可以增强属性。
-------
这是一种农耕工具，可以帮助您轻松耕种土壤和除草。适合初学者使用。
",0,item-icon-79,79,木質鋤頭,1,1,0,1
1,"你可以通过合成获得这个物品。
装备后，可以增强属性。
-------
铁锄是一种由坚固的铁制成的耐用农耕工具。在游戏中，它是耕种土壤和种植作物的必备工具。
",0,item-icon-80,80,鐵質鋤頭,1,1,1,1
1,"你可以通过合成获得这个物品。
装备后，可以增强属性。
-------
这把锄头可以帮助农民更轻松地耕种土地，但同时也带来了一些神秘的诅咒。
",0,item-icon-81,81,詛咒鋤頭,"1,2",1,2,1
1,"你可以通过合成获得这个物品。
装备后，可以增强属性。
-------
祝福锄头是一种强大的工具，可以提高农业效率，增加作物产量。它散发着神圣的光芒，每一次挥击都蕴含着祝福，促进健康生长和丰收。拥有这把附魔锄头，玩家可以轻松耕种土地，享受辛勤劳动的回报的喜悦。",0,item-icon-82,82,祝福鋤頭,"1,2,3",1,3,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这个木制水壶是一件适合农业使用的装备，可以用来装清水或灌溉水。
",0,item-icon-83,83,木質水壺,1,1,0,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这是一个坚固可靠的烹饪器具，由耐用的铁制成。它可以快速均匀地加热，使烹饪更加高效。其人体工程学设计的手柄确保握持舒适。
",0,item-icon-84,84,鐵質水壺,1,1,1,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这是一个神秘的水壶，拥有它的人将带来厄运，引发混乱和绝望。它散发着黑暗的气息，散发出一种怪异的存在感，每一次沏茶都在诱惑命运。要小心，因为它的诅咒力量甚至可以将最幸运的人变成自己灭亡的受害者。
",0,item-icon-85,85,詛咒水壺,"1,2",1,2,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这是一件神圣的神器，为主人带来祝福和好运，增强他们的运气，给予他们意想不到的机会。这个神秘的水壶据说散发着积极的能量，无论走到哪里都能吸引繁荣和幸福。对于那些寻求神圣干预的人来说，它是一件珍贵的财产。
",0,item-icon-86,86,祝福水壺,"1,2,3",1,3,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这是一个坚固的木制工具，非常适合高效地采矿和采集资源。它的耐久性确保不易损坏，是任何冒险者可靠的选择。
",0,item-icon-87,87,木質鎬子,1,1,0,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这是一个坚固的铁制工具，非常适合采矿和挖掘有价值的资源。其锋利的刃和耐用的结构使其成为任何冒险者的必备物品。拿着这把鎬子，你将能够挖掘更深，发现隐藏的宝藏。
",0,item-icon-88,88,鐵質鎬子,1,1,1,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这把诅咒鎬子可以帮助你更快地采集树木和矿石。它是一件具有强大采集能力的2级装备。
",0,item-icon-89,89,詛咒鎬子,"1,2",1,2,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
祝福鎬子是一件被赋予神圣力量的神器，轻松劈开最坚硬的岩石，留下一串闪烁的碎片。它的附魔刀刃散发着辉煌的光芒，引导矿工们深入地底寻找隐藏的宝藏。每一次挥动都赐予幸运和繁荣的祝福，使其成为任何冒险者的必备伙伴。
",0,item-icon-90,90,祝福鎬子,"1,2,3",1,3,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这是一把木制工具，适用于户外采集工作。它是一种可以帮助你更高效地完成采集任务的装备。
",0,item-icon-91,91,木質斧頭,1,1,0,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这把铁制斧头可以用来砍伐树木，是采集木材的必备工具。它也可以作为装备来增加战斗效果。
",0,item-icon-92,92,鐵質斧頭,1,1,1,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这把斧头的锋利度达到了2级，可以轻松采集树木。然而，它也被诅咒了，因此在使用时需要小心。
",0,item-icon-93,93,詛咒斧頭,"1,2",1,2,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
一把被神圣祝福的强大武器，能够轻松劈开任何障碍物。它的锋利刀刃闪烁着神圣的光芒，让敌人心生恐惧。祝福之斧是战场上力量和正义的真正象征。
",0,item-icon-94,94,祝福斧頭,"1,2,3",1,3,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这顶时尚的帽子为佩戴者带来好运，为任何服装增添了一丝魅力。鲜艳的颜色和精美的设计使它成为时尚前卫的玩家必备配饰。戴上它，让好运与你同在！
",0,item-icon-98,98,農業帽子 幸運三葉草帽子,1,1,1,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这顶时尚的帽子由柔软舒适的棉花制成，为佩戴者带来好运。鲜艳的颜色和精美的设计使它成为任何服装的时尚配饰。有了这顶帽子，你会感到自信，并准备好迎接任何冒险。
",0,item-icon-99,99,農業帽子 幸運棉花帽子,"1,2",1,2,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这顶坚固的硬帽为佩戴者带来好运，提供额外的保护，并增加他们找到宝贵宝藏的机会。鲜艳的颜色和耐用的结构使它成为冒险家们的最爱。
",0,item-icon-100,100,農業帽子 幸運堅硬帽子,"1,2,3",1,3,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这是一件时尚的夹克，非常适合户外冒险，提供温暖和防护。其耐用的材料和实用的设计使其成为任何冒险者的必备品。穿上它，保持舒适和时尚。
",0,item-icon-101,101,農業上衣,1,1,1,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这是一件为农民设计的耐用夹克，提供防护和适应各种恶劣环境的能力。其加固的缝线和坚固的面料使其成为户外工作的理想选择。穿上这件可靠的服装，保持舒适并专注于任务。",0,item-icon-102,102,農業上衣,"1,2",1,2,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这件夹克是专为从事农业工作的人设计的。它具有保护性、透气性和耐用性，使您在田间工作更加舒适和安全。
",0,item-icon-103,103,農業上衣,"1,2,3",1,3,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这条裤子是专为农民设计的，为长时间在田间工作提供舒适和耐用性。采用高质量材料制成，能很好地防护污垢和污渍。凭借其实用的设计和可调节的合身度，这条裤子是任何专注于农业的农民必备的。
",0,item-icon-104,104,農業褲子,1,1,1,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这款农业裤子专为农业工作而设计，具有防水和耐磨的特点，使您的田间工作更加舒适和安全。
",0,item-icon-105,105,農業褲子,"1,2",1,2,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这条裤子专为农业工作者设计，采用高质量材料制成，舒适耐用。它具有防水、防污和防刺功能，有效保护工作者的身体和衣物。此外，它还有多个口袋和精心设计，方便携带工具，提高工作效率。
",0,item-icon-106,106,農業褲子,"1,2,3",1,3,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这副手套适用于田间工作，可以保护手部免受荆棘、污垢和其他尖锐物体的伤害。它还具有防滑功能，在湿润的土壤上更加稳定。
",0,item-icon-107,107,農業手套,1,1,1,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这副手套专为农业任务设计，提供出色的抓握力和对荆棘和粗糙表面的保护。它采用耐用材料制成，可以经受长时间在田间工作的考验。有了这些手套，您可以轻松应对任何农业工作。
",0,item-icon-108,108,農業手套,"1,2",1,2,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这副手套适用于农业工作，提供舒适的握持力和保护，帮助农民完成各种农业活动。
",0,item-icon-109,109,農業手套,"1,2,3",1,3,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这款采集鞋专为采集而设计。穿上它们，您在森林中行走更加敏捷，轻松收集所需资源。
",0,item-icon-113,113,採集鞋子,1,1,1,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这款采集鞋专为采集而设计。它可以帮助您更快、更高效地收集资源，使您的采集之旅更加顺利。
",0,item-icon-114,114,採集鞋子,"1,2",1,2,1
1,"你可以通过合成获得这个物品。
装备后，它可以增强属性。
-------
这款鞋子专为热衷于采集的人设计，长时间的探险中提供了更好的敏捷性和舒适性。它们坚固而轻便，让玩家轻松穿越各种地形，轻松采集资源。鞋子还具有专门的抓地力，确保稳定性，即使在恶劣环境中也能防止滑倒。
",0,item-icon-115,115,採集鞋子,"1,2,3",1,3,1
1,"你可以通过合成获得这个物品。
使用它可以触发特殊效果。
-------
使用这种肥料可以促进作物的生长，确保丰收。增强您的农业效率，观察您的植物茁壮成长，享受这种强大的肥料带来的好处。
",98,item-icon-128,128,加速肥料,1,3,0,1
1,"你可以通过合成获得这个物品。
使用它可以触发特殊效果。
-------
增产肥料是专为LV0及以上的农业生产而设计的消耗品。它可以为作物提供充足的营养，促进其生长发育，提高产量和品质。
",98,item-icon-129,129,增產肥料,1,3,0,1
1,"你可以通过合成获得这个物品。
使用它可以触发特殊效果。
-------
这种富含营养的配方深层滋养植物，促进健康生长和鲜艳的花朵。它增强土壤保水能力，确保植物长时间保持水分。用这种必备肥料提升您花园的活力。
",98,item-icon-130,130,濕潤肥料,1,3,0,1
1,"你可以通过合成获得这个物品。使用它可以触发特殊效果。
-------
这种药水可以在战斗中使用，提供轻微的治疗效果。
",0,item-icon-134,134,次治療藥水,1,3,1,1
1,"你可以通过合成获得这个物品。使用它可以触发特殊效果。
-------
这种药水可以增强你的攻击力。
",0,item-icon-135,135,次攻擊藥水,1,3,1,1
1,"你可以通过合成获得这个物品。使用它可以触发特殊效果。
-------
这种药水增强你的敏捷性，使你能够迅速移动和轻松闪避攻击。它给予你短暂的速度提升，在战场上成为一股强大的力量。策略性地使用它来超越对手，在战斗中占据上风。
",0,item-icon-136,136,次移速藥水,1,3,1,1
1,"你可以通过合成获得这个物品。使用它可以触发特殊效果。
-------
这种药水增加你的暴击几率，使你能够对敌人造成毁灭性的打击。对于任何希望最大化伤害输出的玩家来说，这是必备之物。明智地使用它，看着你的敌人在你面前崩溃。
",0,item-icon-137,137,次暴擊藥水,1,3,1,1
1,"你可以通过合成获得这个物品。使用它可以触发特殊效果。
-------
这种药水是游戏中的救命稻草，为你的角色提供急需的生命值提升。它可以立即恢复大量的生命值，让你可以毫不中断地继续冒险。它鲜艳的颜色和清爽的口感，是任何危急情况下的完美解药。
",0,item-icon-138,138,次生命藥水,1,3,1,1
1,"你可以通过合成获得这个物品。使用它可以触发特殊效果。
-------
这种药水可以提供临时的防御效果，适用于战斗中的紧急情况。
",0,item-icon-139,139,次防禦藥水,1,3,1,1
1,"收集相同等级的材料可能会获得额外的种子，杀死相同等级的怪物可能会获得这个物品。使用它可以触发特殊效果。
-------
这是一种种子，可以种植竹子，适用于农业领域。
",97,item-icon-146,146,竹子種子,1,3,1,1
1,"收集相同等级的材料可能会获得额外的种子，杀死相同等级的怪物可能会获得这个物品。使用它可以触发特殊效果。
-------
三叶草种子是农业用品，用于种植三叶草，适用于低等级的土地。它们可以在适宜的环境中快速生长，并产生丰富的营养价值。
",97,item-icon-147,147,三葉草種子,1,3,1,1
1,"收集相同等级的材料可能会获得额外的种子，杀死相同等级的怪物可能会获得这个物品。使用它可以触发特殊效果。
-------
这种胡萝卜种子可以种植出新鲜美味的胡萝卜。适用于家庭花园或小农场，可以在春季和秋季种植。从这些种子种植出来的胡萝卜味道鲜美，营养丰富。
",97,item-icon-148,148,胡蘿蔔種子,1,3,1,1
1,"收集相同等级的材料可能会获得额外的种子，杀死相同等级的怪物可能会获得这个物品。使用它可以触发特殊效果。
-------
豬籠草種子是一种农业用品，可以用来种植豬籠草。这种植物是一种食肉植物，可以从昆虫中吸收营养。种植后需要充足的阳光和水分才能顺利生长。
",97,item-icon-149,149,豬籠草種子,1,3,2,1
1,"收集相同等级的材料可能会获得额外的种子，杀死相同等级的怪物可能会获得这个物品。使用它可以触发特殊效果。
-------
这种棉花种子可以种植在田地中，收获棉花用于纺织品生产。
",97,item-icon-150,150,棉花種子,1,3,2,1
1,"收集相同等级的材料可能会获得额外的种子，杀死相同等级的怪物可能会获得这个物品。使用它可以触发特殊效果。
-------
这种种子具有坚韧耐用的外壳，非常适合保护和延长寿命。它的强大特性使其能够承受恶劣的环境条件，在任何环境中都能茁壮成长。这种种子是坚韧和力量的象征。
",97,item-icon-151,151,仙人掌種子,1,3,2,1
1,"收集相同等级的材料可能会获得额外的种子，杀死相同等级的怪物可能会获得这个物品。使用它可以触发特殊效果。
-------
这种种子承载着一个充满活力的蓝色蘑菇的希望，准备为你的花园带来一抹色彩。种植它，观察它生长成为一个迷人的真菌，让你的感官为之沉醉。
",97,item-icon-152,152,火爆辣椒種子,1,3,3,1
1,"这是一种强大的护身符，增强你的魔法能力，使你能够施展更精确、更强大的法术。它散发着神秘的能量氛围，让你在追求胜利的道路上更加强大。
",97,item-icon-153,153,堅硬果實種子,1,3,3,1
1,"这个独特的NFT护身符是一件强大的神器，增强你的能力，提升你在游戏中的运气。它散发着神秘的能量氛围，让你能够克服挑战，取得伟大的成就。装备它，释放潜力，踏上非凡的旅程。
",97,item-icon-154,154,藍幻菇種子,1,3,3,1
1,"这个NFT护身符#2是一件强大的神器，增强你的角色能力，提供力量和敏捷性的提升。它散发着神秘的气息，吸引着运气和财富来到你的冒险中。有了这个护身符，你将成为游戏中无可阻挡的力量。
",0,item-icon-161,161,護身符,"1,2,3,4,5",4,0,1
1,"你可以通过合成获得这个物品。
使用它可以触发特殊效果。
-------
这种强效肥料可以增强植物生长，提高产量，让作物在短时间内茁壮成长。它提供必需的营养物质，促进根系发育，从而获得更健康、更丰富的收成。使用这种先进的肥料，农民可以期待农业生产力的显著提升。
",98,item-icon-131,131,高加速肥料,1,3,0,1
1,"你可以通过合成获得这个物品。
使用它可以触发特殊效果。
-------
这种强效肥料显著提高作物产量，获得丰富的收成。它促进植物生长，最大限度地吸收营养，确保作物更健康、更强壮。有了这种先进肥料，农民可以期待农业生产力的显著提升。",98,item-icon-132,132,高增產肥料,1,3,0,1
1,"你可以通过合成获得这个物品。使用它可以触发特殊效果。
-------
这种肥料经过特殊配方，可以为植物提供深层次的水分和营养，使其生长更健康、更繁盛。其先进的配方确保土壤保持最佳的湿润度，促进根系强壮，叶片茂盛。用这种先进的保湿肥料给你的植物提供终极的水分补充。
",98,item-icon-133,133,高濕潤肥料,1,3,0,1
1,"你可以通过合成获得这个物品。使用它可以触发特殊效果。
-------
这种药水可以在战斗中使用，可以治愈你的伤口。
",0,item-icon-140,140,治療藥水,1,3,2,1
