ability-int[][],autoHarvest-bool,breedingDifficulty-int,eggItemId-int,extendSkill-int[],harvestAction-int,harvestDropId-int,harvestTime-int,hungerSpeed-int,id-int,incubationDuration-int,incubationMat-int[][],initialAttribute-int[][],maxHunger-int,potWashingItem-int[],requiredHappiness-int,requiredProficiency-int,toEggProbability-int,upgradeEXP-int[]
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,6000,678,"435,446,447",12,75,100,1,27,100,"66,5;213,2","13,31,1;15,31,1;11,1380,1;19,5,0;20,50,0;16,120,0;17,120,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,30,1;55,30,1;56,30,1;43,96,0;49,30,1;38,24,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",143,400,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,6000,679,"435,446,447",12,76,100,1,28,100,"66,5;213,2","13,31,1;15,31,1;11,1380,1;19,5,0;20,50,0;16,120,0;17,120,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,30,1;55,30,1;56,30,1;43,96,0;49,30,1;38,24,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",143,400,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,8400,680,"435,446,447",11,77,100,1,29,100,"66,5;213,2","13,31,1;15,31,1;11,1452,1;19,5,0;20,50,0;16,125,0;17,125,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,97,0;49,31,1;38,25,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",155,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,8400,681,"435,446,447",11,78,100,1,30,100,"66,5;213,2","13,31,1;15,31,1;11,1452,1;19,5,0;20,50,0;16,125,0;17,125,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,97,0;49,31,1;38,25,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",155,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,8400,682,"435,446,447",12,79,100,1,31,100,"66,5;213,2","13,31,1;15,31,1;11,1452,1;19,5,0;20,50,0;16,125,0;17,125,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,97,0;49,31,1;38,25,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",155,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,9600,683,"435,446,447",11,80,100,1,32,100,"66,5;213,2","13,31,1;15,31,1;11,1518,1;19,5,0;20,50,0;16,130,0;17,130,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,98,0;49,31,1;38,26,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",165,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,9600,684,"435,446,447",11,81,100,1,33,100,"66,5;213,2","13,31,1;15,31,1;11,1518,1;19,5,0;20,50,0;16,130,0;17,130,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,98,0;49,31,1;38,26,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",165,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,9600,685,"435,446,447",12,82,100,1,34,100,"66,5;213,2","13,31,1;15,31,1;11,1518,1;19,5,0;20,50,0;16,130,0;17,130,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,98,0;49,31,1;38,26,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",165,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,1385,670,"435,446,447",11,36,100,1,47,100,"66,5;213,2","13,26,1;15,26,1;11,1036,1;19,5,0;20,50,0;16,105,0;17,105,0;14,1,0;51,26,1;53,5,0;58,50,0;59,1,0;22,26,1;24,5,0;25,50,0;26,1,1;29,26,1;31,5,0;32,50,0;33,1,1;54,26,1;55,26,1;56,26,1;43,91,0;49,26,1;38,21,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",101,100,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,3000,671,"435,446,447",12,37,100,1,45,100,"66,5;213,2","13,29,1;15,29,1;11,1193,1;19,5,0;20,50,0;16,110,0;17,110,0;14,1,0;51,29,1;53,5,0;58,50,0;59,1,0;22,29,1;24,5,0;25,50,0;26,1,1;29,29,1;31,5,0;32,50,0;33,1,1;54,29,1;55,29,1;56,29,1;43,93,0;49,29,1;38,22,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",117,100,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,3000,672,"435,446,447",12,38,100,1,46,100,"66,5;213,2","13,29,1;15,29,1;11,1193,1;19,5,0;20,50,0;16,110,0;17,110,0;14,1,0;51,29,1;53,5,0;58,50,0;59,1,0;22,29,1;24,5,0;25,50,0;26,1,1;29,29,1;31,5,0;32,50,0;33,1,1;54,29,1;55,29,1;56,29,1;43,93,0;49,29,1;38,22,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",117,100,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,3000,673,"435,446,447",11,40,100,1,50,100,"66,5;213,2","13,29,1;15,29,1;11,1193,1;19,5,0;20,50,0;16,110,0;17,110,0;14,1,0;51,29,1;53,5,0;58,50,0;59,1,0;22,29,1;24,5,0;25,50,0;26,1,1;29,29,1;31,5,0;32,50,0;33,1,1;54,29,1;55,29,1;56,29,1;43,93,0;49,29,1;38,22,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",117,200,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,5000,674,"435,446,447",11,41,100,1,49,100,"66,5;213,2","13,30,1;15,30,1;11,1298,1;19,5,0;20,50,0;16,115,0;17,115,0;14,1,0;51,30,1;53,5,0;58,50,0;59,1,0;22,30,1;24,5,0;25,50,0;26,1,1;29,30,1;31,5,0;32,50,0;33,1,1;54,30,1;55,30,1;56,30,1;43,95,0;49,30,1;38,23,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",131,200,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,5000,675,"435,446,447",12,39,100,1,48,100,"66,5;213,2","13,30,1;15,30,1;11,1298,1;19,5,0;20,50,0;16,115,0;17,115,0;14,1,0;51,30,1;53,5,0;58,50,0;59,1,0;22,30,1;24,5,0;25,50,0;26,1,1;29,30,1;31,5,0;32,50,0;33,1,1;54,30,1;55,30,1;56,30,1;43,95,0;49,30,1;38,23,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",131,200,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,5000,676,"435,446,447",11,42,100,1,51,100,"66,5;213,2","13,30,1;15,30,1;11,1298,1;19,5,0;20,50,0;16,115,0;17,115,0;14,1,0;51,30,1;53,5,0;58,50,0;59,1,0;22,30,1;24,5,0;25,50,0;26,1,1;29,30,1;31,5,0;32,50,0;33,1,1;54,30,1;55,30,1;56,30,1;43,95,0;49,30,1;38,23,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",131,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,6000,677,"435,446,447",11,43,100,1,52,100,"66,5;213,2","13,31,1;15,31,1;11,1380,1;19,5,0;20,50,0;16,120,0;17,120,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,30,1;55,30,1;56,30,1;43,96,0;49,30,1;38,24,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",143,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,6000,678,"435,446,447",12,44,100,1,53,100,"66,5;213,2","13,31,1;15,31,1;11,1380,1;19,5,0;20,50,0;16,120,0;17,120,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,30,1;55,30,1;56,30,1;43,96,0;49,30,1;38,24,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",143,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,6000,677,"435,446,447",11,74,100,1,96,100,"66,5;213,2","13,31,1;15,31,1;11,1380,1;19,5,0;20,50,0;16,120,0;17,120,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,30,1;55,30,1;56,30,1;43,96,0;49,30,1;38,24,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",143,400,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,6000,678,"435,446,447",12,75,100,1,97,100,"66,5;213,2","13,31,1;15,31,1;11,1380,1;19,5,0;20,50,0;16,120,0;17,120,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,30,1;55,30,1;56,30,1;43,96,0;49,30,1;38,24,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",143,400,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,6000,679,"435,446,447",12,76,100,1,98,100,"66,5;213,2","13,31,1;15,31,1;11,1380,1;19,5,0;20,50,0;16,120,0;17,120,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,30,1;55,30,1;56,30,1;43,96,0;49,30,1;38,24,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",143,400,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,8400,680,"435,446,447",11,77,100,1,101,100,"66,5;213,2","13,31,1;15,31,1;11,1452,1;19,5,0;20,50,0;16,125,0;17,125,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,97,0;49,31,1;38,25,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",155,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,8400,681,"435,446,447",11,78,100,1,99,100,"66,5;213,2","13,31,1;15,31,1;11,1452,1;19,5,0;20,50,0;16,125,0;17,125,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,97,0;49,31,1;38,25,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",155,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,8400,682,"435,446,447",12,79,100,1,100,100,"66,5;213,2","13,31,1;15,31,1;11,1452,1;19,5,0;20,50,0;16,125,0;17,125,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,97,0;49,31,1;38,25,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",155,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,9600,683,"435,446,447",11,80,100,1,103,100,"66,5;213,2","13,31,1;15,31,1;11,1518,1;19,5,0;20,50,0;16,130,0;17,130,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,98,0;49,31,1;38,26,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",165,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,9600,684,"435,446,447",11,81,100,1,104,100,"66,5;213,2","13,31,1;15,31,1;11,1518,1;19,5,0;20,50,0;16,130,0;17,130,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,98,0;49,31,1;38,26,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",165,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,9600,685,"435,446,447",12,82,100,1,102,100,"66,5;213,2","13,31,1;15,31,1;11,1518,1;19,5,0;20,50,0;16,130,0;17,130,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,98,0;49,31,1;38,26,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",165,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,9600,685,"435,446,447",11,0,100,1,57,100,"66,5;213,2","13,31,1;15,31,1;11,1518,1;19,5,0;20,50,0;16,130,0;17,130,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,98,0;49,31,1;38,26,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",165,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,9600,685,"435,446,447",11,0,100,1,58,100,"66,5;213,2","13,31,1;15,31,1;11,1518,1;19,5,0;20,50,0;16,130,0;17,130,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,98,0;49,31,1;38,26,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",165,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,6000,679,"435,446,447",12,0,0,0,59,100,"66,5;213,2","13,31,1;15,31,1;11,1380,1;19,5,0;20,50,0;16,120,0;17,120,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,30,1;55,30,1;56,30,1;43,96,0;49,30,1;38,24,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",0,"66,1",143,200,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,8400,680,"435,446,447",12,0,0,0,62,100,"66,5;213,2","13,31,1;15,31,1;11,1452,1;19,5,0;20,50,0;16,125,0;17,125,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,97,0;49,31,1;38,25,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",0,"66,1",155,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,8400,681,"435,446,447",12,0,0,0,63,100,"66,5;213,2","13,31,1;15,31,1;11,1452,1;19,5,0;20,50,0;16,125,0;17,125,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,97,0;49,31,1;38,25,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",0,"66,1",155,700,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,8400,682,"435,446,447",11,0,0,0,64,100,"66,5;213,2","13,31,1;15,31,1;11,1452,1;19,5,0;20,50,0;16,125,0;17,125,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,97,0;49,31,1;38,25,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",0,"66,1",155,700,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,9600,683,"435,446,447",11,0,0,0,67,100,"66,5;213,2","13,31,1;15,31,1;11,1518,1;19,5,0;20,50,0;16,130,0;17,130,0;14,1,0;51,31,1;53,5,0;58,50,0;59,1,0;22,31,1;24,5,0;25,50,0;26,1,1;29,31,1;31,5,0;32,50,0;33,1,1;54,31,1;55,31,1;56,31,1;43,98,0;49,31,1;38,26,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",0,"66,1",165,700,750,"100,200,300,400,500,600,700,800"
