id-int,note-string,strValue-string,strValueArray-string[],valueArray2-int[][],value-int,valueArray-int[]
118,世界图腾的强制间隔距离(cm),,,,500,
119,世界图腾的密度计算距离(cm),,,,1000,
120,能量石CID以及对应的能量,,,,0,"962,1"
121,基础扣除能量间隔时长(min)和扣除能量数量,,,,0,"60,1"
145,挖矿间隔(min),,,,60,
122,通过密度计算扣除能量间隔时长的底数(千分比),,,,700,
123,传送费用(千分位),,,,100,
124,强化费用分配(万分位权重),,,,0,"6500,2500,1000"
125,图腾生产的三种令牌CID,,,,0,"942,943,944"
126,强化等级转能力等级的系数（千分比）,,,,100,
127,最小额充值能量石,,,,49,
128,Npc附近多少距离不能放置世界图腾(cm),,,,300,
129,Lumi Fragment 兑换base值,,,,90,
130,Mystery每人每日兑换上限,,,,1,
131,全服每日兑换总上限,,,,50,
132,Mystery损耗消耗间隔时长(min),,,,1440,
133,Mystery基础损耗和百分比加成(千分比),,,"10,20,30,40",0,
134,"Mystery宏观收益率调控值(根据Base值计算,千分比)",,,,1000,
135,总分布比例(A玩家群，B玩家群，C玩家群),,,"300,300,400",0,
136,Slime的检测半径(m),,,,3,
137,百层抽奖成功几率（千分位）,,,,750,
138,失败销毁装备概率（千分位）,,,,5,
139,Slime的护卫范围（cm）,,,,1000,
140,设置价格间隔时长(min),,,,1440,
141,百层抽奖最大奖励权重（千分位）,,,,50,
142, Rob次数上限(次),,,,2,
143,"排行榜S_default值(Farming1-3,4-6,7-9;Combat1-3,4-6,7-9;Gathering1-3,4-6,7-9",,,"400,80,16;500,100,20;400,80,16",0,
144,"排行榜R值(千分位)(Farming1-3,4-6,7-9;Combat1-3,4-6,7-9;Gathering1-3,4-6,7-9",,,"200,500,800;200,500,800;200,500,800",0,
146,百层试炼保存点间隔,,,,5,
147,劫镖R值(千分比),,,,750,
148,Totem BigMap 外观档次,,,,0,"0,10,100"
149,押镖活动说明书,,,,521,
151,异常装备强化R值(超强千分比，超弱千分比),,,"300,1500",0,"300,1500"
152,副本关卡通过后给予选择是否下一关的时间（秒）,,,,30,
153,Onchain white list,,,"1000,1005",0,
154,装备抽奖成功率折算(千分比),,,,900,
156,排行榜激活说明,,,,0,
