col-int,desc-string,gainsArgs-string,gainsType-int[],icon-string,id-int,isTrunk-bool,layer-int,lvLimit-int,name-string,type-int,upgradeEXP-int[],upgradeRequireTreeLv-int,upgradeToken-int[],preNode-int[]
0," Kapasiti Kesuburan + 1
Kemahiran Menanam + 4
Kapasiti Kebahagiaan Haiwan Peliharaan + 1
Kemahiran Membiak + 4
Tenaga Maksimum + 10
","66,10000","1,3",talentTree-13,13,1,1,1,Penguasaan Penanaman 1,1,450,0,0,
0," Kapasiti Kesuburan + 1
Kemahiran Menanam + 4
Kapasiti Kebahagiaan Haiwan Peliharaan + 1
Kemahiran Membiak + 4
Tenaga Maksimum + 10
","67,10000","1,3",talentTree-14,14,1,2,1,Penguasaan Penanaman 2,1,900,1,1,13
0," Kapasiti Kesuburan + 1
Kemahiran Menanam + 4
Kapasiti Kebahagiaan Haiwan Peliharaan + 1
Kemahiran Membiak + 4
Tenaga Maksimum + 10
","68531,10000","1,3",talentTree-15,15,1,3,1,Penguasaan Penanaman 3,1,1800,2,2,14
0," Kapasiti Kesuburan + 1
Kemahiran Menanam + 4
Kapasiti Kebahagiaan Haiwan Peliharaan + 1
Kemahiran Membiak + 4
Tenaga Maksimum + 10
","69,10000","1,3",talentTree-16,16,1,4,1,Penguasaan Penanaman 4,1,3600,3,3,15
0," Kapasiti Kesuburan + 1
Kemahiran Menanam + 4
Kapasiti Kebahagiaan Haiwan Peliharaan + 1
Kemahiran Membiak + 4
Tenaga Maksimum + 10
","70,10000","1,3",talentTree-17,17,1,5,1,Penguasaan Penanaman 5,1,7200,4,4,16
0," Kapasiti Kesuburan + 1
Kemahiran Menanam + 4
Kapasiti Kebahagiaan Haiwan Peliharaan + 1
Kemahiran Membiak + 4
Tenaga Maksimum + 10
","71,10000","1,3",talentTree-18,18,1,6,1,Penguasaan Penanaman 6,1,14400,5,5,17
0," Kapasiti Kesuburan + 1
Kemahiran Menanam + 4
Kapasiti Kebahagiaan Haiwan Peliharaan + 1
Kemahiran Membiak + 4
Tenaga Maksimum + 10
","72,10000","1,3",talentTree-19,19,1,7,1,Penguasaan Pertanian 7,1,28800,6,6,18
0," Kapasiti Kesuburan + 1
Kemahiran Menanam + 4
Kapasiti Kebahagiaan Haiwan Peliharaan + 1
Kemahiran Membiak + 4
Tenaga Maksimum + 10
","73,10000","1,3",talentTree-20,20,1,8,1,Penguasaan Penanaman 8,1,57600,7,7,19
0," Kapasiti Kesuburan + 1
Kemahiran Menanam + 4
Kapasiti Kebahagiaan Haiwan Peliharaan + 1
Kemahiran Membiak + 4
Tenaga Maksimum + 10
","74,10000","1,3",talentTree-21,21,1,9,1,Penguasaan Penanaman 9,1,115200,8,8,20
1,"Kapasiti Kesuburan + 1
",228,1,talentTree-22,22,0,1,1,Pertanian - Output kesuburan setiap unit tanah,1,95,0,0,
-1," Siram bidang kecil di sekeliling anda.
",99,0,talentTree-23,23,0,2,1,Sentuhan Menarik,1,210,0,1,77
0," Serangan Rumput + 5
Serangan Pokok + 5
Serangan Bijih + 5
Kemahiran Memetik Rumput + 5
Kemahiran Memotong Pokok + 5
Kemahiran Perlombongan + 5
Tenaga Maksimum + 10
","81,10000","1,3",talentTree-24,24,1,1,1,Penguasaan Kumpulan 1,3,450,0,0,
0," Serangan Rumput + 5
Serangan Pokok + 5
Serangan Bijih + 5
Kemahiran Memetik Rumput + 5
Kemahiran Memotong Pokok + 5
Kemahiran Perlombongan + 5
Tenaga Maksimum + 10
","82,10000","1,3",talentTree-25,25,1,2,1,Kumpulkan Pertempuran 2,3,900,1,1,24
0," Serangan Rumput + 5
Serangan Pokok + 5
Serangan Bijih + 5
Kemahiran Memetik Rumput + 5
Kemahiran Memotong Pokok + 5
Kemahiran Perlombongan + 5
Tenaga Maksimum + 10
","83,10000","1,3",talentTree-26,26,1,3,1,Kumpulkan Pertempuran 3,3,1800,2,2,25
0," Serangan Rumput + 5
Serangan Pokok + 5
Serangan Bijih + 5
Kemahiran Memetik Rumput + 5
Kemahiran Memotong Pokok + 5
Kemahiran Perlombongan + 5
Tenaga Maksimum + 10
","84530,10000","1,3",talentTree-27,27,1,4,1,Kumpulkan Pertempuran 4,3,3600,3,3,26
0," Serangan Rumput + 5
Serangan Pokok + 5
Serangan Bijih + 5
Kemahiran Memetik Rumput + 5
Kemahiran Memotong Pokok + 5
Kemahiran Perlombongan + 5
Tenaga Maksimum + 10
","85,10000","1,3",talentTree-28,28,1,5,1,Kumpulkan Pertempuran 5,3,7200,4,4,27
0," Serangan Rumput + 5
Serangan Pokok + 5
Serangan Bijih + 5
Kemahiran Memetik Rumput + 5
Kemahiran Memotong Pokok + 5
Kemahiran Perlombongan + 5
Tenaga Maksimum + 10
","86,10000","1,3",talentTree-29,29,1,6,1,Kumpulkan Pertempuran 6,3,14400,5,5,28
0," Serangan Rumput + 5
Serangan Pokok + 5
Serangan Bijih + 5
Kemahiran Memetik Rumput + 5
Kemahiran Memotong Pokok + 5
Kemahiran Perlombongan + 5
Tenaga Maksimum + 10
","87,10000","1,3",talentTree-30,30,1,7,1,Kumpulkan Pertempuran 7,3,28800,6,6,29
0," Serangan Rumput + 5
Serangan Pokok + 5
Serangan Bijih + 5
Kemahiran Memetik Rumput + 5
Kemahiran Memotong Pokok + 5
Kemahiran Perlombongan + 5
Tenaga Maksimum + 10
","88,10000","1,3",talentTree-31,31,1,8,1,Kumpulkan Pertempuran 8,3,57600,7,7,30
0," Serangan Rumput + 5
Serangan Pokok + 5
Serangan Bijih + 5
Kemahiran Memetik Rumput + 5
Kemahiran Memotong Pokok + 5
Kemahiran Perlombongan + 5
Tenaga Maksimum + 10
","89,10000","1,3",talentTree-32,32,1,9,1,Kumpulkan Pertempuran 9,3,115200,8,8,31
-3,"Buka Resipi Set Tahap 1
Buka Resipi Slime Tenaga Tahap 1
",70#74#201#267;111#178;177#179#180,2,talentTree-33,33,0,1,3,Menginjak - Tingkatkan,3,"131,131,131",0,"0,0,0",
-3,"Buka Resipi Set Tahap 2
Buka Resipi Slime Tenaga Tahap 2
",71#75#203#268;112#182;181#183#184#480#468#477#461#478#465#476#474,2,talentTree-34,34,0,2,3,Menginjak - Tingkatkan,3,"262,262,262",0,"0,0,0",33
-1,"Sentuhan Yang Menarik
",415,0,talentTree-45,45,0,3,1,Pemisah Bumi,1,420,0,2,23
-1,"Kemahiran Kecekapan - Cangkul Berkumpulan
",103,0,talentTree-46,46,0,4,1,Hujan Salji Ringan,1,840,0,3,45
2,"Kemahiran Penanaman + 4
",246,1,talentTree-48,48,0,3,1,Pertanian - Kemahiran menuai,1,420,0,2,81
-2," Buka Resipi Essence Haiwan Peliharaan Tahap 2
",156,2,talentTree-49,49,0,2,1,Resipi Esensi Haiwan Peliharaan,1,210,0,0,72
2,"Kemahiran Penanaman + 4
",249,1,talentTree-50,50,0,4,1,Pertanian - Kemahiran menuai,1,840,0,3,48
-3,"Tingkatkan tempoh kejutan musuh
",333,1,talentTree-52,52,0,3,1,Menginjak Perang,2,323,0,2,10
-2," Caj, tolak musuh, 50% kerosakan.
",122,0,talentTree-54,54,0,2,1,Serangan Liar - Tingkatkan,2,175,0,1,
-2,"Kurangkan kelajuan pergerakan musuh
",336,1,talentTree-55,55,0,3,1,Serangan Liar - Tingkatkan,2,323,0,2,54
-2,"Kurangkan kelajuan pergerakan musuh
",337,1,talentTree-56,56,0,4,1,Serangan Hiu,2,646,0,3,55
-2," Tolak musuh dalam kawasan kecil di hadapan anda dan terbalik ke belakang.
",123,0,talentTree-57,57,0,5,1,Lari ,2,1292,0,4,56
-1,"Berikan kerosakan tinggi kepada 5 raksasa sekeliling
",137,0,talentTree-60,60,0,3,1,Pengumpul Gila Tahap 1,2,323,0,2,
-3," Musuh yang pening dalam julat tertentu, tidak dapat mengenai semasa pelepasan kemahiran
",485,0,talentTree-61,61,0,4,1,Resipi Set Kumpulan,2,646,0,3,52
-3,"Buka Resipi Set Tahap 3
Buka Resipi Slime Tenaga Tahap 3
",72#76#204#585;113#186;185#187#188#483#485#491#486#503#484#504,2,talentTree-62,62,0,3,3,Resipi Set Kumpulan,3,"525,525,525",0,"0,0,0",34
-1,"Buka Resipi Ramuan. Buka Resipi Ramuan Tenaga
",95#902#605,2,talentTree-65,65,0,1,1,Orang Terpilih Tahap 1,3,131,0,0,
-1,"Buka Resipi Minuman. Buka Resipi Minuman Tenaga
",96#903#606,2,talentTree-66,66,0,2,1,Resipi Prop Sihir,3,262,0,0,65
-1,"Buka Resipi Ramuan. Buka Resipi Minuman Tenaga.
",132#904#607,2,talentTree-67,67,0,3,1,Pengumpul Gila Tahap 2,3,525,0,0,66
-1,"Buka Resipi Minuman. Buka Resipi Minuman Tenaga
",346#905#608,2,talentTree-68,68,0,4,1,Orang Terpilih Tahap 2,3,1050,0,10,67
-1,"Buka Resipi Minuman. Buka Resipi Minuman Tenaga
",347#906#609,2,talentTree-69,69,0,5,1,Hujan Salji Ringan - Tingkatkan,3,2100,0,15,68
-1,"Kurangkan kelajuan pergerakan musuh
",340,1,talentTree-70,70,0,4,1,Pemisah Bumi,2,646,0,3,60
-3,"Tingkatkan tempoh kejutan musuh.
",334,1,talentTree-71,71,0,5,1,Menginjak Perang - Tingkatkan,2,1292,0,4,61
-2," Buka Resipi Essence Haiwan Peliharaan Tahap 1
",155,2,talentTree-72,72,0,1,1,Resipi Esensi Haiwan Peliharaan,1,95,0,0,
2,"Kemahiran Penanaman + 4
",230,1,talentTree-73,73,0,1,1,Pertanian - Output kesuburan tanah maksimum,1,95,0,0,
3,"Kapasiti Kebahagiaan Haiwan Peliharaan +1 
",231,1,talentTree-74,74,0,1,1,Pertanian - Kemahiran menuai,1,95,0,0,
4,"Kemahiran Membiak + 4
",233,1,talentTree-76,76,0,1,1,Pertanian - Indeks Kebahagiaan Output Unit Haiwan Peliharaan,1,95,0,0,
-1," Kemahiran Kecekapan - Cangkul Berkumpulan
",102,0,talentTree-77,77,0,1,1,Hujan Salji Ringan - Tingkatkan,1,95,0,0,
-4,"Buka Resipi Set Tahap 1
Buka Resipi Slime Tenaga Tahap 1
Buka Resipi Penyusunan Semula
",62#376#66#123#125#124#205#588;108#165;166#167#168,2,talentTree-78,78,0,1,3,Resipi Set Pertanian,1,"95,95,95",0,"0,0,0",
-4,"Buka Resipi Set Tahap 2
Buka Resipi Slime Tenaga Tahap 2
Buka Resipi Penyelarasan
",63#377#67#127#128#126#206#269;109#169;170#171#172#462#460#463#472#466#481#475#473,2,talentTree-79,79,0,2,3,Resipi Set Pertanian,1,"210,210,210",0,"0,0,0",78
1,"Kapasiti Kesuburan + 1
",229,1,talentTree-80,80,0,2,1,Pertanian - Output kesuburan setiap unit tanah,1,210,0,1,22
2,Kemahiran Penanaman + 4,245,1,talentTree-81,81,0,2,1,Pertanian - Output kesuburan tanah maksimum,1,210,0,1,73
3,"Kapasiti Kebahagiaan Haiwan Peliharaan +1 
",232,1,talentTree-82,82,0,2,1,Pertanian - Kemahiran menuai,1,210,0,1,74
4,"Kemahiran Membiak + 4
",247,1,talentTree-83,83,0,2,1,Pertanian - Indeks Kebahagiaan Output Unit Haiwan Peliharaan,1,210,0,1,76
1,"Kapasiti Kesuburan + 1
",236,1,talentTree-84,84,0,4,1,Pertanian - Output kesuburan setiap unit tanah,1,840,0,3,93
4,"Kemahiran Membiak + 4
",289,1,talentTree-85,85,0,5,1,Pertanian - Kemahiran menuai,1,1680,0,4,90
-4,"Buka Resipi Set Tahap 3
Buka Resipi Slime Tenaga Tahap 3
Buka Resipi Penyulihan
",64#378#68#131#130#129#592#920;110#173;174#175#176#487#506#505#501#490#499#500#580#488,2,talentTree-88,88,0,3,3,Resipi Set Pertanian,1,"420,420,420",0,"0,0,0",79
3,"Kapasiti Kebahagiaan Haiwan Peliharaan +1 
",282,1,talentTree-89,89,0,4,1,Pertanian - Indeks Kebahagiaan Pertempuran Haiwan Peliharaan,1,840,0,3,92
4,"Kemahiran Membiak + 4
",288,1,talentTree-90,90,0,4,1,Pertanian - Kemahiran menuai,1,840,0,3,91
4,"Kemahiran Membiak + 4
",248,1,talentTree-91,91,0,3,1,Pertempuran - HP,1,420,0,2,83
3,"Kapasiti Kebahagiaan Haiwan Peliharaan +1 
",244,1,talentTree-92,92,0,3,1,Pertempuran - Pertahanan,1,420,0,2,82
1,"Kapasiti Kesuburan + 1
",235,1,talentTree-93,93,0,3,1,Pakar,1,420,0,2,80
-2,"Buka Resipi Essence Haiwan Peliharaan Tahap 3
",157,2,talentTree-94,94,0,3,1,Serangan Hiu - Tingkatkan,1,420,0,0,49
-5,"Buka Resipi Set Tahap 1
Buka Resipi Slime Tenaga Tahap 1
",44#364#370#591#597;133#136;139#142#145,2,talentTree-95,95,0,1,3,Resipi Set Pertempuran,2,"95,95,95",0,"0,0,0",
4," HP Maksimum Tempur +20
",264,1,talentTree-96,96,0,1,1,Pertempuran - HP,2,95,0,0,
3," Pertahanan Tempur +5
",258,1,talentTree-97,97,0,1,1,Pertempuran - Pertahanan,2,95,0,0,
2," Serangan Tempur +5
",252,1,talentTree-98,98,0,1,1,Pertempuran - Kuasa Serangan,2,95,0,0,
1," Tingkatkan kelajuan sebanyak 10%/20%/30%.
",116;117;118,1,talentTree-99,99,0,1,3,Pakar,2,"95,95,95",0,"0,0,0",
4," HP Maksimum Tempur +20
",265,1,talentTree-100,100,0,2,1,Pertempuran - HP,2,175,0,1,96
-5,"Buka Resipi Set Tahap 2
Buka Resipi Minuman Tenaga Tahap 2
Buka Resipi Penyelarasan
",45#365#371#598#593;134#137;140#143#146#479#469#470#464#471#482#467#579,2,talentTree-101,101,0,2,3,Resipi Set Pertempuran,2,"175,175,175",0,"0,0,0",95
3," Pertahanan Tempur +5
",259,1,talentTree-102,102,0,2,1,Pertempuran - Pertahanan,2,175,0,1,97
2," Serangan Tempur +5
",253,1,talentTree-103,103,0,2,1,Pertempuran - Kuasa Serangan,2,175,0,1,98
1,CombatHit + 2/4/6% ,134;135;136,1,talentTree-104,104,0,2,3,Pakar,2,"175,175,175",0,"1,1,1",99
-5,"Buka Resipi Set Tahap 3
Buka Resipi Minuman Tenaga Tahap 3
Buka Resipi Penyulihan
",46#366#372#599#596;135#138;141#144#147#497#495#494#498#489#496#492#493,2,talentTree-105,105,0,3,3,Resipi Set Pertempuran,2,"323,323,323",0,"0,0,0",101
3," Pertahanan Tempur +5
",260,1,talentTree-106,106,0,3,1,Pertempuran - Pertahanan,2,323,0,2,102
2," Serangan Tempur +5
",254,1,talentTree-107,107,0,3,1,Pertempuran - Kuasa Serangan,2,323,0,2,103
1,"Dapatkan kadar elakan sebanyak 2/4/6%
",125;126;127,1,talentTree-108,108,0,3,3,Pakar,2,"323,323,323",0,"2,2,2",104
4," HP Maksimum Tempur +20
",266,1,talentTree-109,109,0,3,1,Pertempuran - HP,2,323,0,2,100
3," Pertahanan Tempur +5
",261,1,talentTree-111,111,0,4,1,Pertempuran - Pertahanan,2,646,0,3,106
1," Setiap 20/10/5 saat, jika anda tidak menerima sebarang kerosakan, anda akan mendapat peningkatan kerosakan sebanyak 10%.
",119;120;121,1,talentTree-112,112,0,4,3,Pakar,2,"646,646,646",0,"3,3,3",108
2," Serangan Tempur +5
",255,1,talentTree-113,113,0,4,1,Pertempuran - Kuasa Serangan,2,646,0,3,107
4," HP Maksimum Tempur +20
",267,1,talentTree-114,114,0,4,1,Pertempuran - HP,2,646,0,3,109
3," Pertahanan Tempur +5
",262,1,talentTree-116,116,0,5,1,Pertempuran - Pertahanan,2,1292,0,4,111
2," Serangan Tempur +5
",256,1,talentTree-117,117,0,5,1,Pertempuran - Kuasa Serangan,2,1292,0,4,113
1,"Tingkatkan Kebarangkalian Serangan Kritikal sebanyak 5/10/15%
",60;61;62,1,talentTree-118,118,0,5,3,Pakar,2,"1292,1292,1292",0,"4,4,4",112
-1,"Kurangkan kelajuan pergerakan musuh.
",341,1,talentTree-119,119,0,5,1,Hujan Bilah,2,1292,0,4,70
4," HP Maksimum Tempur +20
",268,1,talentTree-120,120,0,5,1,Pertempuran - HP,2,1292,0,4,114
-3,"Kurangkan kelajuan pergerakan musuh.
",335,1,talentTree-122,122,0,6,1,War Trampling - Tingkatkan ,2,2584,0,5,71
-2,"Kurangkan kelajuan pergerakan musuh.
",338,1,talentTree-123,123,0,6,1, Larian - Tingkatkan,2,2584,0,5,57
1,"Tingkatkan kerosakan kritikal kepada raksasa sebanyak 10/20/30%.
",113;114;115,1,talentTree-124,124,0,6,3,Pakar,2,"2584,2584,2584",0,"5,5,5",118
-1," Jatuhkan bom dan berikan kerosakan tinggi kepada musuh dalam julat letupan.
",487,0,talentTree-125,125,0,6,1, Seni Letupan,2,2584,0,5,119
-3," Mengalahkan kawasan luas musuh di hadapan anda dan menyebabkan peningkatan sementara.
",459,0,talentTree-127,127,0,7,1, Menyapu,2,5169,0,6,122
-2," Mengurangkan kelajuan pergerakan musuh
",339,1,talentTree-128,128,0,7,1, Pelarian - Tingkatkan,2,5169,0,6,123
-1," Mengurangkan kelajuan pergerakan musuh
",342,1,talentTree-129,129,0,7,1, Seni Letupan - Tingkatkan,2,5169,0,6,125
1," Kelajuan serangan meningkat sebanyak 10/20/30%
",131;132;133,1,talentTree-130,130,0,7,3,Pakar,2,"5169,5169,5169",0,"6,6,6",124
2," Serangan Tempur +5
",257,1,talentTree-131,131,0,6,1,Pertempuran - Kuasa Serangan,2,2584,0,5,117
3," Pertahanan Tempur +5
",263,1,talentTree-132,132,0,6,1,Pertempuran - Pertahanan,2,2584,0,5,116
4," HP Maksimum Tempur +20
",269,1,talentTree-133,133,0,6,1,Pertempuran - HP,2,2584,0,5,120
2," Serangan Tempur +5
",270,1,talentTree-134,134,0,7,1,Pertempuran - Kuasa Serangan,2,5169,0,6,131
3," Pertahanan Tempur +5
",273,1,talentTree-135,135,0,7,1,Pertempuran - Pertahanan,2,5169,0,6,132
4," HP Maksimum Tempur +20
",276,1,talentTree-136,136,0,7,1,Pertempuran - Kesihatan,2,5169,0,6,133
-2," Melompat ke arah musuh berdekatan dan menyebabkan peningkatan julat dan kerosakan di tempat pendaratan.
",484,0,talentTree-139,139,0,8,1,Pengejaran,2,11200,0,7,128
-1," Mengurangkan kelajuan pergerakan musuh
",343,1,talentTree-140,140,0,8,1,Seni Letupan - Tingkatkan,2,11200,0,7,129
1," Bonus kerosakan sebanyak 0.1/0.2/0.3% setiap 1% kesihatan hilang
",128;129;130,1,talentTree-141,141,0,8,3,Pakar,2,"11200,11200,11200",0,"7,7,7",130
2," Serangan Tempur +5
",271,1,talentTree-142,142,0,8,1,Pertempuran - Kuasa Serangan,2,11200,0,7,134
3," Pertahanan Tempur +5
",274,1,talentTree-143,143,0,8,1,Pertempuran - Pertahanan,2,11200,0,7,135
4," HP Maksimum Tempur +20
",277,1,talentTree-144,144,0,8,1,Pertempuran - HP,2,11200,0,7,136
-1," Selepas jangka masa pendek pengumpulan tenaga, bebaskan tenaga di dalam badan, menyebabkan kerosakan tinggi yang berterusan kepada musuh dalam julat tertentu. Semasa pelepasan kemahiran, kekal dalam keadaan tidak dapat mengenai.
",432,0,talentTree-149,149,0,9,1,,2,24436,0,8,140
2," Serangan Tempur +5
",272,1,talentTree-150,150,0,9,1,Pertanian - Kemahiran mengumpul,2,24436,0,8,142
1," Serangan senjata meninggalkan luka, memberikan kerosakan serangan sebanyak 1%/2%/3% setiap 0.5 saat selama 5 saat, dan boleh bertindak sehingga 5 lapisan.
",172;173;174,1,talentTree-151,151,0,9,3,Pertanian - Output kesuburan setiap unit tanah,2,"24436,24436,24436",0,"8,8,8",141
3," Pertahanan Tempur +5
",275,1,talentTree-152,152,0,9,1,Pertanian - Indeks Kebahagiaan Output Haiwan Peliharaan,2,24436,0,8,143
4," HP Maksimum Tempur +20
",278,1,talentTree-153,153,0,9,1,Pertanian - Kemahiran menuai,2,24436,0,8,144
-1,"Siram bidang kecil di sekeliling anda.
",100,0,talentTree-157,157,0,5,1,Sentuhan Menarik,1,1680,0,4,46
1,"Kapasiti Kesuburan + 1
",237,1,talentTree-158,158,0,5,1,Pertanian - Output kesuburan setiap unit tanah,1,1680,0,4,84
2,"Kemahiran Menanam +4 
",250,1,talentTree-159,159,0,5,1,Pertanian - Kemahiran mengumpul,1,1680,0,4,50
3,"Kapasiti Kebahagiaan Haiwan Peliharaan +1 
",283,1,talentTree-160,160,0,5,1,Pertanian - Indeks Kebahagiaan Output Haiwan Peliharaan,1,1680,0,4,89
1,"Kapasiti Kesuburan + 1
",238,1,talentTree-163,163,0,6,1,Pertanian - Output kesuburan setiap unit tanah,1,3360,0,5,158
3,"Kapasiti Kebahagiaan Haiwan Peliharaan +1 
",284,1,talentTree-164,164,0,6,1,Pertanian - Indeks Kebahagiaan Output Unit Haiwan Peliharaan,1,3360,0,5,160
2,"Kemahiran Menanam +4 
",251,1,talentTree-165,165,0,6,1,Pertanian - Kemahiran mengumpul,1,3360,0,5,159
4,"Kemahiran Membiak + 4
",290,1,talentTree-166,166,0,6,1,Pertanian - Kemahiran menuai,1,3360,0,5,85
-1," Kemahiran Kecekapan - Cangkul Berkumpulan
",104,0,talentTree-169,169,0,6,1,Kemahiran Bekalan Air,1,3360,0,5,157
1,"Kapasiti Kesuburan + 1
",239,1,talentTree-170,170,0,7,1,Pertanian - Output kesuburan setiap unit tanah,1,6720,0,6,163
2,"Kemahiran Menanam +4 
",279,1,talentTree-171,171,0,7,1,Pertanian - Kemahiran menuai,1,6720,0,6,165
3,"Kapasiti Kebahagiaan Haiwan Peliharaan +1 
",285,1,talentTree-172,172,0,7,1,Pertanian - Indeks Kebahagiaan Output Unit Haiwan Peliharaan,1,6720,0,6,164
4,"Kemahiran Membiak + 4
",291,1,talentTree-173,173,0,7,1,Pertanian - Kemahiran menuai,1,6720,0,6,166
-1," Menyiram bidang kecil di sekeliling anda
",101,0,talentTree-176,176,0,8,1,Sentuhan Menarik,1,13440,0,7,298
2,"Kemahiran Menanam +4 
",280,1,talentTree-177,177,0,8,1,Pertanian - Kemahiran menuai,1,13440,0,7,171
1,"Kapasiti Kesuburan + 1
",240,1,talentTree-178,178,0,8,1,Pertanian - Output kesuburan setiap unit tanah,1,13440,0,7,170
3,"Kapasiti Kebahagiaan Haiwan Peliharaan +1 
",286,1,talentTree-179,179,0,8,1,Pertanian - Indeks Kebahagiaan Output Haiwan Peliharaan,1,13440,0,7,172
4,"Kemahiran Membiak + 4
",292,1,talentTree-180,180,0,8,1,Pertanian - Kemahiran menuai,1,13440,0,7,173
1,"Kapasiti Kesuburan + 1
",241,1,talentTree-184,184,0,9,1,Kumpulkan - Rumput,1,26880,0,8,178
2,"Kemahiran Menanam +4 
",281,1,talentTree-185,185,0,9,1,Nilai Kumpulkan - Pokok,1,26880,0,8,177
3,"Kapasiti Kebahagiaan Haiwan Peliharaan +1 
",287,1,talentTree-186,186,0,9,1,Nilai Kumpulkan - Perlombongan,1,26880,0,8,179
4,"Kemahiran Membiak + 4
",293,1,talentTree-187,187,0,9,1,Menangkap,1,26880,0,8,180
1," Serangan Rumput Berkumpul ++ Kemahiran ++
",294,1,talentTree-188,188,0,1,1,Kumpulkan - Rumput,3,131,0,0,
2," Serangan Pokok Berkumpul ++ Kemahiran ++
",303,1,talentTree-189,189,0,1,1,Kumpulkan - Pokok,3,131,0,0,
3," Serangan Bijih Berkumpul ++ Kemahiran ++
",312,1,talentTree-190,190,0,1,1,Nilai Kumpulkan - Perlombongan,3,131,0,0,
1," Serangan Rumput Berkumpul ++ Kemahiran ++
",295,1,talentTree-191,191,0,2,1,Kumpulkan - Rumput,3,262,0,1,188
2," Serangan Pokok Berkumpul ++ Kemahiran ++
",304,1,talentTree-192,192,0,2,1,Kumpulkan - Pokok,3,262,0,1,189
3," Serangan Bijih Berkumpul ++ Kemahiran ++
",313,1,talentTree-193,193,0,2,1,Kumpulkan - Perlombongan,3,262,0,1,190
1,"Serangan Rumput Mengumpul ++ Kemahiran ++
",296,1,talentTree-194,194,0,3,1,Kumpulkan - Rumput,3,525,0,2,191
2,"Serangan Pokok Mengumpul ++ Kemahiran ++
",305,1,talentTree-195,195,0,3,1,Kumpulkan - Pokok,3,525,0,2,192
3,"Serangan Bijih Mengumpul ++ Kemahiran ++
",314,1,talentTree-196,196,0,3,1,Nilai Kumpulkan - Perlombongan,3,525,0,2,193
1,"Serangan Rumput Mengumpul ++ Kemahiran ++
",297,1,talentTree-197,197,0,4,1,Kumpulkan - Rumput,3,1050,0,3,194
2,"Serangan Pokok Mengumpul ++ Kemahiran ++
",306,1,talentTree-198,198,0,4,1,Nilai Kumpulkan - Pokok,3,1050,0,3,195
3,Serangan Bijih Mengumpul ++ Kemahiran ++,315,1,talentTree-199,199,0,4,1,Kumpulkan - Perlombongan,3,1050,0,3,196
1,"Serangan Rumput Mengumpul ++ Kemahiran ++
",298,1,talentTree-200,200,0,5,1,Nilai Kumpulkan - Rumput,3,2100,0,4,197
2,"Serangan Pokok Mengumpul ++ Kemahiran ++
",307,1,talentTree-201,201,0,5,1,Kumpulkan - Pokok,3,2100,0,4,198
3,"Serangan Bijih Mengumpul ++ Kemahiran ++
",316,1,talentTree-202,202,0,5,1,Nilai Kumpulkan - Perlombongan,3,2100,0,4,199
-1,"Buka Resipi Minuman. Buka Resipi Minuman Tenaga
",348#907#610,2,talentTree-204,204,0,6,1,Pengumpul Gila Tahap 3,3,4200,0,20,69
