gearAttribute-int[][],gearAvatar-int,gearDurabilityMax-int,gearQuality-int,gearType-int,gender-string,givenSkillId-int[],id-int,itemId-int
"10,1,0,0",196,999,5,1,unisex,,219,246
"10,1,0,0",197,999,5,2,unisex,,220,247
"10,1,0,0",198,999,5,5,unisex,,221,248
"10,1,0,0",199,999,5,3,unisex,,222,249
"10,1,0,0",200,999,5,4,unisex,,223,250
"10,1,0,0",201,999,5,1,unisex,,224,251
"10,1,0,0",202,999,5,2,unisex,,225,252
"10,1,0,0",203,999,5,5,unisex,,226,253
"10,1,0,0",204,999,5,3,unisex,,227,254
"10,1,0,0",205,999,5,4,unisex,,228,255
"10,1,0,0",206,999,5,1,unisex,,229,257
"10,1,0,0",207,999,5,2,unisex,,230,258
"10,1,0,0",208,999,5,5,unisex,,231,259
"10,1,0,0",209,999,5,3,unisex,,232,260
"10,1,0,0",210,999,5,4,unisex,,233,261
"10,1,0,0",211,999,5,1,unisex,,234,262
"10,1,0,0",212,999,5,2,unisex,,235,263
"10,1,0,0",213,999,5,5,unisex,,236,264
"10,1,0,0",214,999,5,3,unisex,,237,265
"10,1,0,0",215,999,5,4,unisex,,238,266
"10,1,0,0",226,999,5,1,unisex,,239,277
"10,1,0,0",227,999,5,2,unisex,,240,278
"10,1,0,0",228,999,5,5,unisex,,241,279
"10,1,0,0",229,999,5,3,unisex,,242,280
"10,1,0,0",230,999,5,4,unisex,,243,281
"13,1,27,81;16,1,0,0",236,999,1,8,unisex,"205,344,345",244,287
"13,1,81,108;16,1,0,2",237,999,1,8,unisex,"205,344,345",245,288
"13,1,108,135;16,1,2,5",237,999,2,8,unisex,"205,344,345",246,288
"13,1,135,153;16,1,5,6",238,999,1,8,unisex,"205,344,345",247,289
"13,1,153,171;16,1,6,8",238,999,2,8,unisex,"205,344,345",248,289
"13,1,171,189;16,1,8,10",238,999,3,8,unisex,"205,344,345",249,289
"13,1,189,202;16,1,10,11;51,1,20,25;19,1,45,75",49,999,1,8,unisex,"17,18,19",250,317
"13,1,202,216;16,1,11,12;51,1,20,25;19,1,45,75",49,999,2,8,unisex,"17,18,19",251,317
"13,1,216,229;16,1,12,13;51,1,20,25;19,1,45,75",49,999,3,8,unisex,"17,18,19",252,317
"13,1,229,243;16,1,13,15;51,1,20,25;19,1,45,75",49,999,4,8,unisex,"17,18,19",253,317
"13,1,243,253;16,1,15,16;51,1,20,25;19,1,50,80",241,999,1,8,unisex,"17,18,19",254,318
"13,1,253,264;16,1,16,17;51,1,20,25;19,1,50,80",241,999,2,8,unisex,"17,18,19",255,318
"13,1,264,275;16,1,17,18;51,1,20,25;19,1,50,80",241,999,3,8,unisex,"17,18,19",256,318
"13,1,275,286;16,1,18,19;51,1,20,25;19,1,50,80",241,999,4,8,unisex,"17,18,19",257,318
"13,1,286,297;16,1,19,20;51,1,20,25;19,1,50,80",241,999,5,8,unisex,"17,18,19",258,318
"13,1,297,307;16,1,20,21;51,1,20,25;19,1,54,84",242,999,1,8,unisex,"17,18,19",259,319
"13,1,307,318;16,1,21,22;51,1,20,25;19,1,54,84",242,999,2,8,unisex,"17,18,19",260,319
"13,1,318,329;16,1,22,23;51,1,20,25;19,1,54,84",242,999,3,8,unisex,"17,18,19",261,319
"13,1,329,340;16,1,23,24;51,1,20,25;19,1,54,84",242,999,4,8,unisex,"17,18,19",262,319
"13,1,340,351;16,1,24,25;51,1,20,25;19,1,54,84",242,999,5,8,unisex,"17,18,19",263,319
"43,1,32,33;44,1,,",243,999,1,8,unisex,21,264,299
"43,1,33,35;44,1,,",243,999,2,8,unisex,21,265,299
"43,1,35,37;44,1,,",243,999,3,8,unisex,21,266,299
"43,1,37,39;44,1,,",243,999,4,8,unisex,21,267,299
"43,1,39,40;44,1,,",249,999,1,8,unisex,21,268,305
"43,1,40,41;44,1,,",249,999,2,8,unisex,21,269,305
"43,1,41,42;44,1,,",249,999,3,8,unisex,21,270,305
"43,1,42,43;44,1,,",249,999,4,8,unisex,21,271,305
"43,1,43,45;44,1,,",249,999,5,8,unisex,21,272,305
"43,1,45,46;44,1,,",255,999,1,8,unisex,21,273,311
"43,1,46,47;44,1,,",255,999,2,8,unisex,21,274,311
"43,1,47,48;44,1,,",255,999,3,8,unisex,21,275,311
"43,1,48,49;44,1,,",255,999,4,8,unisex,21,276,311
"43,1,49,51;44,1,,",255,999,5,8,unisex,21,277,311
"22,1,189,202",244,999,1,8,unisex,26,278,300
"22,1,202,216",244,999,2,8,unisex,26,279,300
"22,1,216,229",244,999,3,8,unisex,26,280,300
"22,1,229,243",244,999,4,8,unisex,26,281,300
"22,1,243,253",250,999,1,8,unisex,26,282,306
"22,1,253,264",250,999,2,8,unisex,26,283,306
"22,1,264,275",250,999,3,8,unisex,26,284,306
"22,1,275,286",250,999,4,8,unisex,26,285,306
"22,1,286,297",250,999,5,8,unisex,26,286,306
"22,1,297,307",256,999,1,8,unisex,26,287,312
"22,1,307,318",256,999,2,8,unisex,26,288,312
"22,1,318,329",256,999,3,8,unisex,26,289,312
"22,1,329,340",256,999,4,8,unisex,26,290,312
"22,1,340,351",256,999,5,8,unisex,26,291,312
"29,1,189,202",245,999,1,8,unisex,25,292,301
"29,1,202,216",245,999,2,8,unisex,25,293,301
"29,1,216,229",245,999,3,8,unisex,25,294,301
"29,1,229,243",245,999,4,8,unisex,25,295,301
"29,1,243,253",251,999,1,8,unisex,25,296,307
"29,1,253,264",251,999,2,8,unisex,25,297,307
"29,1,264,275",251,999,3,8,unisex,25,298,307
"29,1,275,286",251,999,4,8,unisex,25,299,307
"29,1,286,297",251,999,5,8,unisex,25,300,307
"29,1,297,307",257,999,1,8,unisex,25,301,313
"29,1,307,318",257,999,2,8,unisex,25,302,313
"29,1,318,329",257,999,3,8,unisex,25,303,313
"29,1,329,340",257,999,4,8,unisex,25,304,313
"29,1,340,351",257,999,5,8,unisex,25,305,313
-,246,999,1,8,unisex,28,306,302
-,246,999,2,8,unisex,28,307,302
-,246,999,3,8,unisex,28,308,302
-,246,999,4,8,unisex,28,309,302
-,252,999,1,8,unisex,28,310,308
-,252,999,2,8,unisex,28,311,308
-,252,999,3,8,unisex,28,312,308
-,252,999,4,8,unisex,28,313,308
-,252,999,5,8,unisex,28,314,308
-,258,999,1,8,unisex,28,315,314
-,258,999,2,8,unisex,28,316,314
-,258,999,3,8,unisex,28,317,314
-,258,999,4,8,unisex,28,318,314
-,258,999,5,8,unisex,28,319,314
"51,1,189,202",175,999,1,8,unisex,323,320,303
"51,1,202,216",175,999,2,8,unisex,323,321,303
"51,1,216,229",175,999,3,8,unisex,323,322,303
"51,1,229,243",175,999,4,8,unisex,323,323,303
"51,1,243,253",176,999,1,8,unisex,323,324,309
"51,1,253,264",176,999,2,8,unisex,323,325,309
"51,1,264,275",176,999,3,8,unisex,323,326,309
"51,1,275,286",176,999,4,8,unisex,323,327,309
"51,1,286,297",176,999,5,8,unisex,323,328,309
"51,1,297,307",177,999,1,8,unisex,323,329,315
"51,1,307,318",177,999,2,8,unisex,323,330,315
"51,1,318,329",177,999,3,8,unisex,323,331,315
"51,1,329,340",177,999,4,8,unisex,323,332,315
"51,1,340,351",177,999,5,8,unisex,323,333,315
"15,1,32,34;11,1,183,198",276,999,1,1,unisex,,334,335
"15,1,34,37;11,1,198,213",276,999,2,1,unisex,,335,335
"15,1,37,39;11,1,213,228",276,999,3,1,unisex,,336,335
"15,1,39,42;11,1,228,243",276,999,4,1,unisex,,337,335
"15,1,41,43;11,1,234,246",281,999,1,1,unisex,,338,340
"15,1,43,45;11,1,246,258",281,999,2,1,unisex,,339,340
"15,1,45,47;11,1,258,270",281,999,3,1,unisex,,340,340
"15,1,47,49;11,1,270,282",281,999,4,1,unisex,,341,340
"15,1,49,51;11,1,282,294",281,999,5,1,unisex,,342,340
"15,1,50,52;11,1,286,298",286,999,1,1,unisex,,343,345
"15,1,52,54;11,1,298,310",286,999,2,1,unisex,,344,345
"15,1,54,56;11,1,310,322",286,999,3,1,unisex,,345,345
"15,1,56,58;11,1,322,334",286,999,4,1,unisex,,346,345
"15,1,58,60;11,1,334,346",286,999,5,1,unisex,,347,345
"15,1,39,41;11,1,140,151",277,999,1,2,unisex,,348,336
"15,1,41,44;11,1,151,163",277,999,2,2,unisex,,349,336
"15,1,44,46;11,1,163,174",277,999,3,2,unisex,,350,336
"15,1,46,49;11,1,174,186",277,999,4,2,unisex,,351,336
"15,1,50,52;11,1,180,189",282,999,1,2,unisex,,352,341
"15,1,52,54;11,1,189,198",282,999,2,2,unisex,,353,341
"15,1,54,56;11,1,198,207",282,999,3,2,unisex,,354,341
"15,1,56,58;11,1,207,216",282,999,4,2,unisex,,355,341
"15,1,58,60;11,1,216,226",282,999,5,2,unisex,,356,341
"15,1,61,63;11,1,220,229",287,999,1,2,unisex,,357,346
"15,1,63,65;11,1,229,238",287,999,2,2,unisex,,358,346
"15,1,65,67;11,1,238,247",287,999,3,2,unisex,,359,346
"15,1,67,69;11,1,247,256",287,999,4,2,unisex,,360,346
"15,1,69,71;11,1,256,266",287,999,5,2,unisex,,361,346
"15,1,31,33;11,1,191,206",279,999,1,3,unisex,,362,338
"15,1,33,35;11,1,206,222",279,999,2,3,unisex,,363,338
"15,1,35,37;11,1,222,237",279,999,3,3,unisex,,364,338
"15,1,37,39;11,1,237,253",279,999,4,3,unisex,,365,338
"15,1,40,41;11,1,246,258",284,999,1,3,unisex,,366,343
"15,1,41,43;11,1,258,270",284,999,2,3,unisex,,367,343
"15,1,43,44;11,1,270,283",284,999,3,3,unisex,,368,343
"15,1,44,46;11,1,283,295",284,999,4,3,unisex,,369,343
"15,1,46,48;11,1,295,308",284,999,5,3,unisex,,370,343
"15,1,48,49;11,1,300,312",289,999,1,3,unisex,,371,348
"15,1,49,51;11,1,312,324",289,999,2,3,unisex,,372,348
"15,1,51,52;11,1,324,337",289,999,3,3,unisex,,373,348
"15,1,52,54;11,1,337,349",289,999,4,3,unisex,,374,348
"15,1,54,56;11,1,349,362",289,999,5,3,unisex,,375,348
"15,1,25,26;11,1,140,151",278,999,1,5,unisex,,376,337
"15,1,26,28;11,1,151,163",278,999,2,5,unisex,,377,337
"15,1,28,29;11,1,163,174",278,999,3,5,unisex,,378,337
"15,1,29,31;11,1,174,186",278,999,4,5,unisex,,379,337
"15,1,32,33;11,1,180,189",283,999,1,5,unisex,,380,342
"15,1,33,34;11,1,189,198",283,999,2,5,unisex,,381,342
"15,1,34,35;11,1,198,207",283,999,3,5,unisex,,382,342
"15,1,35,36;11,1,207,216",283,999,4,5,unisex,,383,342
"15,1,36,38;11,1,216,226",283,999,5,5,unisex,,384,342
"15,1,39,40;11,1,220,229",288,999,1,5,unisex,,385,347
"15,1,40,41;11,1,229,238",288,999,2,5,unisex,,386,347
"15,1,41,42;11,1,238,247",288,999,3,5,unisex,,387,347
"15,1,42,43;11,1,247,256",288,999,4,5,unisex,,388,347
"15,1,43,45;11,1,256,266",288,999,5,5,unisex,,389,347
"15,1,32,34;11,1,191,206",280,999,1,4,unisex,,390,339
"15,1,34,37;11,1,206,222",280,999,2,4,unisex,,391,339
"15,1,37,39;11,1,222,237",280,999,3,4,unisex,,392,339
"15,1,39,42;11,1,237,253",280,999,4,4,unisex,,393,339
"15,1,41,43;11,1,246,258",285,999,1,4,unisex,,394,344
"15,1,43,45;11,1,258,270",285,999,2,4,unisex,,395,344
"15,1,45,47;11,1,270,283",285,999,3,4,unisex,,396,344
"15,1,47,49;11,1,283,295",285,999,4,4,unisex,,397,344
"15,1,49,51;11,1,295,308",285,999,5,4,unisex,,398,344
"15,1,50,52;11,1,300,312",290,999,1,4,unisex,,399,349
"15,1,52,54;11,1,312,324",290,999,2,4,unisex,,400,349
"15,1,54,56;11,1,324,337",290,999,3,4,unisex,,401,349
"15,1,56,58;11,1,337,349",290,999,4,4,unisex,,402,349
"15,1,58,60;11,1,349,362",290,999,5,4,unisex,,403,349
"49,1,41,43;50,1,41,43;44,1,857,918;47,1,857,918",291,999,1,1,unisex,,404,350
"49,1,43,46;50,1,43,46;44,1,918,979;47,1,918,979",291,999,2,1,unisex,,405,350
"49,1,46,49;50,1,46,49;44,1,979,1040;47,1,979,1040",291,999,3,1,unisex,,406,350
"49,1,49,52;50,1,49,52;44,1,1040,1102;47,1,1040,1102",291,999,4,1,unisex,,407,350
"49,1,52,54;50,1,52,54;44,1,1102,1150;47,1,1102,1150",296,999,1,1,unisex,,408,355
"49,1,54,56;50,1,54,56;44,1,1150,1199;47,1,1150,1199",296,999,2,1,unisex,,409,355
"49,1,56,59;50,1,56,59;44,1,1199,1248;47,1,1199,1248",296,999,3,1,unisex,,410,355
"49,1,59,61;50,1,59,61;44,1,1248,1297;47,1,1248,1297",296,999,4,1,unisex,,411,355
"49,1,61,64;50,1,61,64;44,1,1297,1346;47,1,1297,1346",296,999,5,1,unisex,,412,355
"49,1,64,66;50,1,64,66;44,1,1346,1395;47,1,1346,1395",301,999,1,1,unisex,,413,360
"49,1,66,68;50,1,66,68;44,1,1395,1444;47,1,1395,1444",301,999,2,1,unisex,,414,360
"49,1,68,71;50,1,68,71;44,1,1444,1493;47,1,1444,1493",301,999,3,1,unisex,,415,360
"49,1,71,73;50,1,71,73;44,1,1493,1542;47,1,1493,1542",301,999,4,1,unisex,,416,360
"49,1,73,76;50,1,73,76;44,1,1542,1591;47,1,1542,1591",301,999,5,1,unisex,,417,360
"49,1,31,33;50,1,31,33;44,1,1025,1098;47,1,1025,1098",292,999,1,2,unisex,,418,351
"49,1,33,35;50,1,33,35;44,1,1098,1171;47,1,1098,1171",292,999,2,2,unisex,,419,351
"49,1,35,37;50,1,35,37;44,1,1171,1244;47,1,1171,1244",292,999,3,2,unisex,,420,351
"49,1,37,40;50,1,37,40;44,1,1244,1318;47,1,1244,1318",292,999,4,2,unisex,,421,351
"49,1,40,41;50,1,40,41;44,1,1318,1376;47,1,1318,1376",297,999,1,2,unisex,,422,356
"49,1,41,43;50,1,41,43;44,1,1376,1434;47,1,1376,1434",297,999,2,2,unisex,,423,356
