dropList-int[][],extraDropList-int[][],id-int
"727,1,45,1000","823,1,1,10000",142
"725,1,1,1000","823,1,1,10000",143
"726,1,1,1000","823,1,1,10000",144
"30,1,1,10000;147,1,1,1500,41;718,1,1,10","823,1,1,10000",145
"32,1,1,10000;146,1,1,1500,41;718,1,1,10","823,1,1,10000",146
"31,1,1,10000;148,1,1,1500,41;718,1,1,10","823,1,1,10000",147
"34,1,1,10000;150,1,1,1500,41;718,1,1,10","823,1,1,10000",148
"35,1,1,10000;149,1,1,1500,41;718,1,1,10","823,1,1,10000",149
"33,1,1,10000;151,1,1,1500,41;718,1,1,10","823,1,1,10000",150
"36,1,1,10000;153,1,1,1500,41;718,1,2,10","823,1,1,10000",151
"37,1,1,10000;152,1,1,1500,41;718,1,2,10","823,1,1,10000",152
"38,1,1,10000;154,1,1,1500,41;718,1,2,10","823,1,1,10000",153
"367,1,1,10000;415,1,1,1500,41;728,1,2,50","823,1,1,10000",154
"366,1,1,10000;414,1,1,1500,41;728,1,2,50","823,1,1,10000",155
"365,1,1,10000;413,1,1,1500,41;728,1,2,50","823,1,1,10000",156
"370,1,1,10000;418,1,1,1500,41;728,1,2,50","823,1,1,10000",157
"369,1,1,10000;417,1,1,1500,41;728,1,2,50","823,1,1,10000",158
"368,1,1,10000;416,1,1,1500,41;728,1,2,50","823,1,1,10000",159
"371,1,1,10000;419,1,1,1500,41;728,1,4,50","823,1,1,10000",160
"373,1,1,10000;421,1,1,1500,41;728,1,4,50","823,1,1,10000",161
"372,1,1,10000;420,1,1,1500,41;728,1,4,50","823,1,1,10000",162
"492,1,1,10000;615,1,1,1500,41;729,1,4,200","823,1,1,10000",163
"491,1,1,10000;614,1,1,1500,41;729,1,4,200","823,1,1,10000",164
"493,1,1,10000;616,1,1,1500,41;729,1,4,200","823,1,1,10000",165
"504,1,1,10000;618,1,1,1500,41;729,1,4,200","823,1,1,10000",166
"505,1,1,10000;619,1,1,1500,41;729,1,4,200","823,1,1,10000",167
"503,1,1,10000;617,1,1,1500,41;729,1,4,200","823,1,1,10000",168
"515,1,1,10000;620,1,1,1500,41;729,1,8,200","823,1,1,10000",169
"516,1,1,10000;621,1,1,1500,41;729,1,8,200","823,1,1,10000",170
"517,1,1,10000;622,1,1,1500,41;729,1,8,200","823,1,1,10000",171
"718,1,1,10","823,1,1,10000",172
"728,1,2,50","823,1,1,10000",173
"729,1,4,200","823,1,1,10000",174
"492,1,1,10000;615,1,1,1500,41","823,1,1,10000",176
"491,1,1,10000;614,1,1,1500,41","823,1,1,10000",177
"493,1,1,10000;616,1,1,1500,41","823,1,1,10000",178
"504,1,1,10000;618,1,1,1500,41","823,1,1,10000",179
"505,1,1,10000;619,1,1,1500,41","823,1,1,10000",180
"503,1,1,10000;617,1,1,1500,41","823,1,1,10000",181
"515,1,1,10000;620,1,1,1500,41","823,1,1,10000",182
"516,1,1,10000;621,1,1,1500,41","823,1,1,10000",183
"517,1,1,10000;622,1,1,1500,41","823,1,1,10000",184
,"823,1,1,10000",185
,"823,1,1,10000",186
,"823,1,1,10000",187
,"823,1,1,10000",188
,"823,1,1,10000",189
,"823,1,1,10000",190
,"823,1,1,10000",191
,"823,1,1,10000",192
,"823,1,1,10000",193
