col-int,desc-string,gainsArgs-string,gainsType-int[],icon-string,id-int,isTrunk-bool,layer-int,lvLimit-int,name-string,preNode-int[],type-int,upgradeEXP-int[],upgradeRequireTreeLv-int,resetCost-int,upgradeToken-int[]
-1, Etrafındaki düşmanları sersemlet.,63,0,talentTree-11,11,0,1,1, Ezme,0,2,15,0,0,0
0,"Verimlilik Kapasitesi + 1
Ekim Yetkinliği + 4
Evcil Hayvan Mutluluk Kapasitesi + 1
Üreme Yetkinliği + 4
Maksimum Enerji + 10
Tarım Fitness: Belirli bir yüzdeye orantılı olarak tarım yetkinliğini savaş savunması ve sağlık sınırlarına dönüştürür, tarım araçları giyildiğinde etkilidir
Enerji Reçetelerini Aç","66#531,591#597#1183#1277,10000","1,2,3",talentTree-13,13,1,1,1, Tarım Ustalığı 1,0,1,450,0,0,0
0," Verimlilik Kapasitesi + 1
Ekim Yetkinliği + 4
Evcil Hayvan Mutluluk Kapasitesi + 1
Üreme Yetkinliği + 4
Maksimum Enerji + 10
Enerji Reçetelerini Aç","67,593#598#1184#1278,10000","1,2,3",talentTree-14,14,1,2,1, Tarım Ustalığı 2,13,1,900,1,0,0
0," Verimlilik Kapasitesi + 1
Ekim Yetkinliği + 4
Evcil Hayvan Mutluluk Kapasitesi + 1
Üreme Yetkinliği + 4
MaxEnerji + 10
Enerji Tarifelerini Aç","68,596#599#1188#1279,10000","1,2,3",talentTree-15,15,1,3,1, Tarım Ustalığı 3,"13,14",1,1800,2,0,200
0," Verimlilik Kapasitesi + 1
Ekim Yetkinliği + 4
Evcil Hayvan Mutluluk Kapasitesi + 1
Üreme Yetkinliği + 4
MaxEnerji + 10
Enerji Tarifelerini Aç","69,594#600#1190#1280,10000","1,2,3",talentTree-16,16,1,4,1, Tarım Ustalığı 4,15,1,3600,3,0,1000
0," Verimlilik Kapasitesi + 1
Ekim Yetkinliği + 4
Evcil Hayvan Mutluluk Kapasitesi + 1
Üreme Yetkinliği + 4
MaxEnerji + 10
Enerji Tarifelerini Aç","70,601#587#1185#1281,10000","1,2,3",talentTree-17,17,1,5,1, Tarım Ustalığı 5,16,1,7200,4,0,2000
0," Verimlilik Kapasitesi + 1
Ekim Yetkinliği + 4
Evcil Hayvan Mutluluk Kapasitesi + 1
Üreme Yetkinliği + 4
MaxEnerji + 10
Enerji Tarifelerini Aç","71,602#586#1189#1282,10000","1,2,3",talentTree-18,18,1,6,1, Tarım Ustalığı 6,17,1,14400,5,0,3200
0," Verimlilik Kapasitesi + 1
Ekim Yetkinliği + 4
Evcil Hayvan Mutluluk Kapasitesi + 1
Üreme Yetkinliği + 4
MaxEnerji + 10
Enerji Tarifelerini Aç","72,620#617#1187#1283,10000","1,2,3",talentTree-19,19,1,7,1, Tarım Ustalığı 7,18,1,28800,6,0,4600
0, Verimlilik Kapasitesi + 1,"73,624#621#1186#1284,10000","1,2,3",talentTree-20,20,1,8,1, Tarım Ustalığı 8,19,1,57600,7,0,6200
0, Etrafındaki küçük tarlaları sulama,"74,625#616#1191#1285,10000","1,2,3",talentTree-21,21,1,9,1, Tarım Ustalığı 9,20,1,115200,8,0,8000
1, Verimlilik Kapasitesi + 1,228,1,talentTree-22,22,0,1,1, Tarla - Verimlilik Kapasitesi,0,1,95,0,0,0
-1, Etrafındaki küçük tarlaları sulayın.,99,0,talentTree-23,23,0,2,1, Sulama Kabı Ustalığı,77,1,210,0,0,0
0," Çimen Saldırısı + 5
Ağaç Saldırısı + 5
Maden Saldırısı + 5
Çimen Yetkinliği + 5
Ağaç Yetkinliği + 5
Maden Yetkinliği + 5
Maksimum Enerji + 10
Toplama Fitness: Belirli bir oranda toplama yetkinliğini savaş savunması ve sağlık açısından dönüştürür, toplama araçları giyildiğinde etkilidir
Enerji Reçetelerini Aç","81#530,267#605#1268,10000","1,2,3",talentTree-24,24,1,1,1, Toplama Ustalığı 1,0,3,450,0,0,0
0," Çimen Saldırısı + 5
Ağaç Saldırısı + 5
Maden Saldırısı + 5
Çimen Yetkinliği + 5
Ağaç Yetkinliği + 5
Maden Yetkinliği + 5
Maksimum Enerji + 10
Enerji Reçetelerini Aç","82,268#606#1269,10000","1,2,3",talentTree-25,25,1,2,1, Toplama Ustalığı 2,24,3,900,1,0,0
0," Çimen Saldırısı + 5
Ağaç Saldırısı + 5
Maden Saldırısı + 5
Çimen Yetkinliği + 5
Ağaç Yetkinliği + 5
Maden Yetkinliği + 5
MaxEnerji + 10
Enerji Tarifelerini Aç","83,269#607#1270,10000","1,2,3",talentTree-26,26,1,3,1, Toplama Ustalığı 3,25,3,1800,2,0,200
0," Çimen Saldırısı + 5
Ağaç Saldırısı + 5
Maden Saldırısı + 5
Çimen Yetkinliği + 5
Ağaç Yetkinliği + 5
Maden Yetkinliği + 5
MaxEnerji + 10
Enerji Tarifelerini Aç","84,382#608#1271,10000","1,2,3",talentTree-27,27,1,4,1, Toplama Ustalığı 4,26,3,3600,3,0,1000
0," Çimen Saldırısı + 5
Ağaç Saldırısı + 5
Maden Saldırısı + 5
Çimen Yetkinliği + 5
Ağaç Yetkinliği + 5
Maden Yetkinliği + 5
MaxEnerji + 10
Enerji Tarifelerini Aç","85,383#609#1272,10000","1,2,3",talentTree-28,28,1,5,1, Toplama Ustalığı 5,27,3,7200,4,0,2000
0," Çimen Saldırısı + 5
Ağaç Saldırısı + 5
Maden Saldırısı + 5
Çimen Yetkinliği + 5
Ağaç Yetkinliği + 5
Maden Yetkinliği + 5
MaxEnerji + 10
Enerji Tarifelerini Aç","86,384#610#1273,10000","1,2,3",talentTree-29,29,1,6,1, Toplama Ustalığı 6,28,3,14400,5,0,3200
0, LV 1 Ekipman Seti Tarifelerini Aç,"87,623#611#1274,10000","1,2,3",talentTree-30,30,1,7,1, Toplama Ustalığı 7,29,3,28800,6,0,4600
0," LV 2 Ekipman Seti Tarifelerini Aç, maksimum seviyeye ulaşıldığında yeniden dökme tarifelerini ve parça yapım tarifelerini açar","88,618#612#1275,10000","1,2,3",talentTree-31,31,1,8,1, Toplama Ustalığı 8,30,3,57600,7,0,6200
0, Boş,"89,622#613#1276,10000","1,2,3",talentTree-32,32,1,9,1, Toplama Ustalığı 9,31,3,115200,8,0,8000
-3, LV 1 Ekipman Seti Reçetelerini Aç,70#74#201;111#178;177#179#180,2,talentTree-33,33,0,1,3, Toplama Seti Tarifleri,0,3,"131,131,131",0,0,"0,0,0"
-3," LV 2 Ekipman Seti Reçetelerini Aç, maksimum seviyeye ulaşıldığında yeniden dökme reçetelerini ve parça yapım reçetelerini açar.",71#75#203;112#182;181#183#184#480#468#477#461#478#465#476#474#956#960#963#969#971#972#973#975,2,talentTree-34,34,0,2,3, Toplama Seti Tarifleri,33,3,"262,262,262",0,0,"0,0,0"
-1, Hayvancılık Özü Tarifelerini Aç Lv 2,415,0,talentTree-45,45,0,3,1, Boş,23,1,420,0,0,0
-1, Ekim Yetkinliği + 4,103,0,talentTree-46,46,0,4,1, Toprak Parçalayıcı,45,1,840,0,0,600
2, Düşmanın sersemletme süresini artır,246,1,talentTree-48,48,0,3,1, Tarla - Ekim Yetkinliği,81,1,420,0,0,0
-2, Hayvancılık Özü Reçetelerini Aç Lv 2,156,2,talentTree-49,49,0,2,1, Tarımsal Hayvancılık Özü Tarifleri,72,1,210,0,0,0
2, Düşmanın hareket hızını azalt,249,1,talentTree-50,50,0,4,1, Tarla - Ekim Yetkinliği,48,1,840,0,0,600
-1, Düşmanın hareket hızını azalt,333,1,talentTree-52,52,0,3,1, Ezme - Geliştirme,10,2,323,0,0,0
-2," Şarj, düşmanları geri it, %50 hasar.",122,0,talentTree-54,54,0,2,1, Boğa Hücumu,0,2,175,0,0,0
-2, Etrafındaki 5 canavara yüksek hasar ver,336,1,talentTree-55,55,0,3,1, Boğa Hücumu - Geliştirme,54,2,323,0,0,0
-2, Geçici olarak savaş geri çekilme HP iyileşmesini MaxHP yüzdesine dayalı olarak artır,337,1,talentTree-56,56,0,4,1, Boğa Hücumu - Geliştirme,55,2,646,0,0,600
-2," LV 3 Ekipman Seti Tarifelerini Aç, maksimum seviyeye ulaşıldığında yeniden dökme tarifelerini ve parça yapım tarifelerini açar",123,0,talentTree-57,57,0,5,1, Kaçış,56,2,1292,0,0,800
-3, İksir Tarifelerini Aç,137,0,talentTree-60,60,0,3,1, Hafif Kıpırtı,0,2,323,0,0,0
-1, İksir Tarifelerini Aç,485,0,talentTree-61,61,0,4,1, İyileştirme Dalgası,52,2,646,0,0,600
-3, İksir Tarifelerini Aç,72#76#204;113#186;185#187#188#483#485#491#486#503#484#504#978#979#980#981#986#997#998#982#487,2,talentTree-62,62,0,3,3, Toplama Seti Tarifleri,34,3,"525,525,525",0,0,"600,600,600"
-1, İksir Reçetesini Aç,95#902,2,talentTree-65,65,0,1,1, Büyülü Eşya Tarifleri,0,3,131,0,0,0
-1, İksir Reçetesini Aç,96#903,2,talentTree-66,66,0,2,1, Büyülü Eşya Tarifleri,65,3,262,0,0,0
-1, Düşmanın hareket hızını azalt.,132#904,2,talentTree-67,67,0,3,1, Büyülü Eşya Tarifleri,66,3,525,0,0,600
-1,Kilit Açma İksiri Tarifi.,346#905,2,talentTree-68,68,0,4,1, Büyülü Eşya Tarifleri,67,3,1050,0,0,600
-1, Kilit Açma İksiri Tarifi.,347#906,2,talentTree-69,69,0,5,1,Büyü Malzemeleri Tarifleri,68,3,2100,0,0,800
-3, Düşmanın hareket hızını azaltır.,340,1,talentTree-70,70,0,4,1, Hafif Kar Fırtınası - Geliştirme,60,2,646,0,0,600
-1,Düşmanın sersemleme süresini arttırın.,334,1,talentTree-71,71,0,5,1, Savaş Ezme - Geliştirme,61,2,1292,0,0,800
-2, Hayvancılık Özü Reçetelerini Aç Lv 1,155,2,talentTree-72,72,0,1,1, Tarım Hayvanı Özü Tarifleri,0,1,95,0,0,0
2, Ekim Yetkinliği + 4,230,1,talentTree-73,73,0,1,1, Tarla - Ekim Yetkinliği,0,1,95,0,0,0
3, Evcil Hayvan Mutluluk Kapasitesi + 1,231,1,talentTree-74,74,0,1,1, Tarla - Evcil Hayvan Mutluluk Kapasitesi,0,1,95,0,0,0
4, Üreme Yetkinliği + 4,233,1,talentTree-76,76,0,1,1, Tarla - Üreme Yetkinliği,0,1,95,0,0,0
-1, Verimlilik Becerileri - Grup Çapa,102,0,talentTree-77,77,0,1,1, Toprak Parçalayıcı,0,1,95,0,0,0
-4, LV 1 Ekipman Seti Reçetelerini Aç,62#376#66#123#125#124#205;108#165;166#167#168,2,talentTree-78,78,0,1,3, Tarım Seti Tarifleri,0,1,"95,95,95",0,0,"0,0,0"
-4," LV 2 Ekipman Seti Reçetelerini Aç, maksimum seviyeye ulaşıldığında yeniden dökme reçetelerini ve parça yapım reçetelerini açar.",63#377#67#127#128#126#206;109#169;170#171#172#462#460#463#472#466#481#475#473#955#957#958#961#967#968#970#976,2,talentTree-79,79,0,2,3, Tarım Seti Tarifleri,78,1,"210,210,210",0,0,"0,0,0"
1, Verimlilik Kapasitesi + 1,229,1,talentTree-80,80,0,2,1, Tarla - Birim başına verimlilik,22,1,210,0,0,0
2, Ekim Yetkinliği + 4,245,1,talentTree-81,81,0,2,1, Tarla - Ekim Yetkinliği,73,1,210,0,0,0
3, Evcil Hayvan Mutluluk Kapasitesi + 1,232,1,talentTree-82,82,0,2,1, Tarla - Hasat yetkinliği,74,1,210,0,0,0
4, Üreme Yetkinliği + 4,247,1,talentTree-83,83,0,2,1, Tarla - Evcil Hayvan Birimi Çıkış Mutluluk İndeksi,76,1,210,0,0,0
1, Verimlilik Kapasitesi + 1,236,1,talentTree-84,84,0,4,1, Tarla - Verimlilik Kapasitesi,93,1,840,0,0,600
4, Üreme Yetkinliği + 4,289,1,talentTree-85,85,0,5,1, Tarla - Üreme Yetkinliği,90,1,1680,0,0,800
-4," LV 3 Ekipman Seti Tariflerini Açma, maksimum seviyeye ulaşıldığında Yeniden Döküm tariflerini ve parça yapım tariflerini açma",64#378#68#131#130#129#920;110#173;174#175#176#506#505#501#490#499#500#580#488#983#985#994#995#996#999#1000#1071,2,talentTree-88,88,0,3,3, Tarım Seti Tarifleri,79,1,"420,420,420",0,0,"600,600,600"
3, Evcil Hayvan Mutluluk Kapasitesi + 1,282,1,talentTree-89,89,0,4,1, Tarla - Evcil Hayvan Mutluluk Kapasitesi,92,1,840,0,0,600
4, Üreme Yetkinliği + 4,288,1,talentTree-90,90,0,4,1, Tarla - Üreme Yetkinliği,91,1,840,0,0,600
4, Üreme Yetkinliği + 4,248,1,talentTree-91,91,0,3,1, Tarla - Üreme Yetkinliği,83,1,420,0,0,0
3, Evcil Hayvan Mutluluk Kapasitesi + 1,244,1,talentTree-92,92,0,3,1, Tarla - Evcil Hayvan Mutluluk Kapasitesi,82,1,420,0,0,0
1, Verimlilik Kapasitesi + 1,235,1,talentTree-93,93,0,3,1, Tarla - Verimlilik Kapasitesi,80,1,420,0,0,0
-2, Hayvancılık Özü Tariflerini Açma Seviyesi 3,157,2,talentTree-94,94,0,3,1, Tarım Hayvanı Özü Tarifleri,49,1,420,0,0,300
-5, LV 1 Ekipman Seti Reçetelerini Aç,44#364#370;133#136;139#142#145,2,talentTree-95,95,0,1,3, Savaş Seti Tarifleri,0,2,"95,95,95",0,0,"0,0,0"
4, Savaş MaxHP + 20,264,1,talentTree-96,96,0,1,1, Savaş - HP,0,2,95,0,0,0
3, Savaş Savunması + 5,258,1,talentTree-97,97,0,1,1, Savaş - Savunma,0,2,95,0,0,0
2, Savaş Saldırısı + 5,252,1,talentTree-98,98,0,1,1, Savaş - Saldırı Gücü,0,2,95,0,0,0
1, Hızı %10/%20/%30 artırır.,116;117;118,1,talentTree-99,99,0,1,3, Uzman,0,2,"95,95,95",0,0,"0,0,0"
4, Savaş MaxHP + 20,265,1,talentTree-100,100,0,2,1, Savaş - HP,96,2,175,0,0,0
-5," LV 2 Ekipman Seti Reçetelerini Aç, maksimum seviyeye ulaşıldığında yeniden dökme reçetelerini ve parça yapım reçetelerini açar.",45#365#371;134#137;140#143#146#479#469#470#464#471#482#467#579#959#962#964#965#966#974#977#1070,2,talentTree-101,101,0,2,3, Savaş Seti Tarifleri,95,2,"175,175,175",0,0,"0,0,0"
3, Savaş Savunması + 5,259,1,talentTree-102,102,0,2,1, Savaş - Savunma,97,2,175,0,0,0
2, Savaş Saldırısı + 5,253,1,talentTree-103,103,0,2,1, Savaş - Saldırı Gücü,98,2,175,0,0,0
1, Savaş İsabeti + 2/4/6%,134;135;136,1,talentTree-104,104,0,2,3, Uzman,99,2,"175,175,175",0,0,"0,0,0"
-5," LV 3 Ekipman Seti Tariflerini Açma, maksimum seviyeye ulaşıldığında Yeniden Döküm tariflerini ve parça yapım tariflerini açma",46#366#372;135#138;141#144#147#497#495#494#498#489#496#492#493#984#987#988#989#990#991#992#993,2,talentTree-105,105,0,3,3, Savaş Seti Tarifleri,101,2,"323,323,323",0,0,"600,600,600"
3, Savaş DEF +5,260,1,talentTree-106,106,0,3,1, Savaş - Savunma,102,2,323,0,0,0
2, Savaş ATK +5,254,1,talentTree-107,107,0,3,1, Savaş - Saldırı Gücü,103,2,323,0,0,0
1, 2/4/6% kaçırma oranı kazanın,125;126;127,1,talentTree-108,108,0,3,3, Uzman,104,2,"323,323,323",0,0,"0,0,0"
4, Savaş MaxHP +20,266,1,talentTree-109,109,0,3,1, Savaş - HP,100,2,323,0,0,0
3, Savaş DEF +5,261,1,talentTree-111,111,0,4,1, Savaş - Savunma,106,2,646,0,0,600
1," Her 20/10/5 saniyede, hiçbir hasar almadıysanız, hasarınızı %10 artırırsınız",119;120;121,1,talentTree-112,112,0,4,3, Uzman,108,2,"646,646,646",0,0,"600,600,600"
2, Savaş ATK +5,255,1,talentTree-113,113,0,4,1, Savaş - Saldırı Gücü,107,2,646,0,0,600
4, Savaş MaxHP +20,267,1,talentTree-114,114,0,4,1, Savaş - HP,109,2,646,0,0,600
3, Savaş DEF +5,262,1,talentTree-116,116,0,5,1, Savaş - Savunma,111,2,1292,0,0,800
2, Savaş ATK +5,256,1,talentTree-117,117,0,5,1, Savaş - Saldırı Gücü,113,2,1292,0,0,800
1, Eleştiri Olasılığını %5/10/15 artırın,60;61;62,1,talentTree-118,118,0,5,3, Uzman,112,2,"1292,1292,1292",0,0,"800,800,800"
-3, Düşmanın hareket hızını azaltın,341,1,talentTree-119,119,0,5,1, Hafif Kar Fırtınası - Geliştirme,70,2,1292,0,0,800
4, Savaş MaxHP +20,268,1,talentTree-120,120,0,5,1, Savaş - HP,114,2,1292,0,0,800
-1, Düşmanın hareket hızını azaltın,335,1,talentTree-122,122,0,6,1, Savaş Ezme - Geliştirme,71,2,2584,0,0,1000
-2, Düşmanın hareket hızını azaltın,338,1,talentTree-123,123,0,6,1, Kaçış - Geliştirme,57,2,2584,0,0,1000
1, Canavarlara karşı eleştiri hasarını %10/20/30 artırın,113;114;115,1,talentTree-124,124,0,6,3, Uzman,118,2,"2584,2584,2584",0,0,"1000,1000,1000"
-3, İleri doğru itme,487,0,talentTree-125,125,0,6,1,Explosion Art: Patlama Sanatı,119,2,2584,0,0,1000
-1, Önünüzdeki geniş bir alanı düşmanlardan temizleyin ve geçici baş dönmesine neden olun,459,0,talentTree-127,127,0,7,1, Sweeping: Süpürme,122,2,5169,0,0,1200
-2,Azami düşmanın hareket hızını azaltın.,339,1,talentTree-128,128,0,7,1, Escape - Enhance: Kaçış - Geliştirme,123,2,5169,0,0,1200
-3, Azami düşmanın hareket hızını azaltın.,342,1,talentTree-129,129,0,7,1, Explosion Art - Enhance: Patlama Sanatı - Geliştirme,125,2,5169,0,0,1200
1, Saldırı hızı %10/20/30 arttı.,131;132;133,1,talentTree-130,130,0,7,3, Expert: Uzman,124,2,"5169,5169,5169",0,0,"1200,1200,1200"
2, Savaş ATK +5,257,1,talentTree-131,131,0,6,1, Combat - Attack Power: Savaş - Saldırı Gücü,117,2,2584,0,0,1000
3, Savaş DEF +5,263,1,talentTree-132,132,0,6,1, Combat - Defense: Savaş - Savunma,116,2,2584,0,0,1000
4, Savaş MaxHP +20,269,1,talentTree-133,133,0,6,1, Combat - HP: Savaş - HP,120,2,2584,0,0,1000
2, Savaş ATK +5,270,1,talentTree-134,134,0,7,1, Combat - Attack Power: Savaş - Saldırı Gücü,131,2,5169,0,0,1200
3, Savaş DEF +5,273,1,talentTree-135,135,0,7,1, Combat - Defense: Savaş - Savunma,132,2,5169,0,0,1200
4, Savaş MaxHP +20,276,1,talentTree-136,136,0,7,1, Combat - HP: Savaş - HP,133,2,5169,0,0,1200
-2, Yakındaki düşmanlara çoklu hasar verir,558,0,talentTree-139,139,0,8,1, Thunderstorm: Fırtına,128,2,11200,0,0,1400
-3, Azami düşmanın hareket hızını azaltın.,343,1,talentTree-140,140,0,8,1, Explosion Art - Enhance: Patlama Sanatı - Geliştirme,129,2,11200,0,0,1400
1," %0.1/0.2/0.3 hasar bonusu, kaybedilen her %1 sağlık için.",128;129;130,1,talentTree-141,141,0,8,3, Expert: Uzman,130,2,"11200,11200,11200",0,0,"1400,1400,1400"
2, Savaş ATK +5,271,1,talentTree-142,142,0,8,1, Combat - Attack Power: Savaş - Saldırı Gücü,134,2,11200,0,0,1400
3, Savaş DEF +5,274,1,talentTree-143,143,0,8,1, Combat - Defense: Savaş - Savunma,135,2,11200,0,0,1400
4, Savaş MaxHP +20,277,1,talentTree-144,144,0,8,1, Combat - Health: Savaş - Sağlık,136,2,11200,0,0,1400
-3, Boş,432,0,talentTree-149,149,0,9,1, Inspire: İlham vermek,140,2,24436,0,0,1600
2, Savaş ATK +5,272,1,talentTree-150,150,0,9,1, Combat - Attack Power: Savaş - Saldırı Gücü,142,2,24436,0,0,1600
1," Silahın saldırısı yaralar bırakır, her 0.5 saniyede 5 saniye boyunca %1/2/3 saldırı hasarı verir.",172;173;174,1,talentTree-151,151,0,9,3, Expert: Uzman,141,2,"24436,24436,24436",0,0,"1600,1600,1600"
3, Savaş DEF +5,275,1,talentTree-152,152,0,9,1, Combat - Defense: Savaş - Savunma,143,2,24436,0,0,1600
4, Savaş MaxHP +20,278,1,talentTree-153,153,0,9,1, Combat - HP: Savaş - HP,144,2,24436,0,0,1600
-1, Etrafınızdaki küçük tarlaları sulayın.,100,0,talentTree-157,157,0,5,1, Watering Can Mastery: Sulama Kabı Ustalığı,46,1,1680,0,0,800
1, Verimlilik Kapasitesi +1,237,1,talentTree-158,158,0,5,1, Farm - FertilityCapacity: Çiftlik - Verimlilik Kapasitesi,84,1,1680,0,0,800
2, Ekim Yetkinliği +4,250,1,talentTree-159,159,0,5,1, Farm - PlantingProficiency: Çiftlik - Ekim Yetkinliği,50,1,1680,0,0,800
3, Evcil Hayvan Mutluluk Kapasitesi +1,283,1,talentTree-160,160,0,5,1, Farm - PetHappinessCapacity: Çiftlik - Evcil Hayvan Mutluluk Kapasitesi,89,1,1680,0,0,800
1, Verimlilik Kapasitesi +1,238,1,talentTree-163,163,0,6,1, Farm - FertilityCapacity: Çiftlik - Verimlilik Kapasitesi,158,1,3360,0,0,1000
3, Evcil Hayvan Mutluluk Kapasitesi +1,284,1,talentTree-164,164,0,6,1, Farm - PetHappinessCapacity: Çiftlik - Evcil Hayvan Mutluluk Kapasitesi,160,1,3360,0,0,1000
2, Ekim Yetkinliği +4,251,1,talentTree-165,165,0,6,1, Farm - PlantingProficiency: Çiftlik - Ekim Yetkinliği,159,1,3360,0,0,1000
4, Üreme Yetkinliği +4,290,1,talentTree-166,166,0,6,1, Farm - BreedingProficiency: Çiftlik - Üreme Yetkinliği,85,1,3360,0,0,1000
-1, Verimlilik Kapasitesi +1,104,0,talentTree-169,169,0,6,1, Earth Splitter: Toprak Bölücü,157,1,3360,0,0,1000
1, Ekim Yetkinliği +4,239,1,talentTree-170,170,0,7,1, Farm - FertilityCapacity: Çiftlik - Verimlilik Kapasitesi,163,1,6720,0,0,1200
2, Evcil Hayvan Mutluluk Kapasitesi +1,279,1,talentTree-171,171,0,7,1, Farm - PlantingProficiency: Çiftlik - Ekim Yetkinliği,165,1,6720,0,0,1200
3, Üreme Yetkinliği +4,285,1,talentTree-172,172,0,7,1, Farm - PetHappinessCapacity: Çiftlik - Evcil Hayvan Mutluluk Kapasitesi,164,1,6720,0,0,1200
4, Etrafınızdaki küçük tarlaları sulayın.,291,1,talentTree-173,173,0,7,1, Farm - BreedingProficiency: Çiftlik - Üreme Yetkinliği,166,1,6720,0,0,1200
-1, Ekim Yetkinliği +4,101,0,talentTree-176,176,0,8,1, Watering Can Mastery: Sulama Kabı Ustalığı,298,1,13440,0,0,1400
2, Verimlilik Kapasitesi +1,280,1,talentTree-177,177,0,8,1, Farm - PlantingProficiency: Çiftlik - Ekim Yetkinliği,171,1,13440,0,0,1400
1, Evcil Hayvan Mutluluk Kapasitesi +1,240,1,talentTree-178,178,0,8,1, Farm - FertilityCapacity: Çiftlik - Verimlilik Kapasitesi,170,1,13440,0,0,1400
3, Üreme Yetkinliği +4,286,1,talentTree-179,179,0,8,1, Farm - PetHappinessCapacity: Çiftlik - Evcil Hayvan Mutluluk Kapasitesi,172,1,13440,0,0,1400
4, Verimlilik Kapasitesi +1,292,1,talentTree-180,180,0,8,1, Farm - BreedingProficiency: Çiftlik - Üreme Yetkinliği,173,1,13440,0,0,1400
1, Ekim Yetkinliği +4,241,1,talentTree-184,184,0,9,1, Farm - FertilityCapacity: Çiftlik - Verimlilik Kapasitesi,178,1,26880,0,0,1600
2, Evcil Hayvan Mutluluk Kapasitesi +1,281,1,talentTree-185,185,0,9,1, Farm - PlantingProficiency: Çiftlik - Ekim Yetkinliği,177,1,26880,0,0,1600
3, Üreme Yetkinliği +4,287,1,talentTree-186,186,0,9,1, Farm - PetHappinessCapacity: Çiftlik - Evcil Hayvan Mutluluk Kapasitesi,179,1,26880,0,0,1600
4, Toplama Çimen Saldırısı ++ Yetkinlik ++,293,1,talentTree-187,187,0,9,1, Farm - BreedingProficiency: Çiftlik - Üreme Yetkinliği,180,1,26880,0,0,1600
1, Çimen Saldırısı ++ Yetkinlik ++,294,1,talentTree-188,188,0,1,1, Gather - Grass: Toplama - Çimen,0,3,131,0,0,0
2, Ağaç Saldırısı ++ Yetkinlik ++,303,1,talentTree-189,189,0,1,1, Gather value - Trees: Toplama değeri - Ağaçlar,0,3,131,0,0,0
3, Maden Saldırısı ++ Yetkinlik ++,312,1,talentTree-190,190,0,1,1, Gather value - Mining: Toplama değeri - Madencilik,0,3,131,0,0,0
1, Çimen Saldırısı ++ Yetkinlik ++,295,1,talentTree-191,191,0,2,1, Gather - Grass: Toplama - Çimen,188,3,262,0,0,0
2, Ağaç Saldırısı ++ Yetkinlik ++,304,1,talentTree-192,192,0,2,1, Gather - Trees: Toplama - Ağaçlar,189,3,262,0,0,0
3, Maden Saldırısı ++ Yetkinlik ++,313,1,talentTree-193,193,0,2,1, Gather value - Mining: Toplama değeri - Madencilik,190,3,262,0,0,0
1, Toplama Ağaç Saldırısı ++ Yetkinlik ++,296,1,talentTree-194,194,0,3,1,Topla - Çimen,191,3,525,0,0,0
2, Topla Ağaç Saldırı ++ Yetkinlik ++ ,305,1,talentTree-195,195,0,3,1, Topla - Ağaçlar,192,3,525,0,0,0
