id-int,rewardList-int[][],rewardTimes-int[][],rewardType-int
92,"481,1,1,1000","1,1;0,9999",2
93,"481,1,1,1000","1,1;0,9999",2
96,"481,1,1,1000","1,1;0,9999",2
97,"481,1,1,1000","1,1;0,9999",2
98,"481,1,1,1000","1,1;0,9999",2
99,"728,1,4,1000","1,1;0,9999",2
100,"727,1,1,1000","1,1;0,9999",2
101,,"0,9750;1,250",2
102,"732,1,1,1","1,1",1
103,"732,1,1,1","1,1",1
104,"732,1,1,1","1,1",1
105,"732,1,1,1","1,1",1
106,"732,1,1,1","1,1",1
107,"732,1,1,1","1,1",1
108,"732,1,1,1","1,1",1
109,"732,1,1,1","1,1",1
110,"732,1,1,1","1,1",1
111,"733,1,2,1","1,1",1
112,"733,1,2,1","1,1",1
113,"733,1,2,1","1,1",1
114,"733,1,2,1","1,1",1
115,"733,1,2,1","1,1",1
116,"733,1,2,1","1,1",1
117,"733,1,2,1","1,1",1
118,"733,1,2,1","1,1",1
119,"733,1,2,1","1,1",1
120,"732,1,1,1","0,5000;1,5000",2
121,"732,1,1,1","0,5000;1,5000",2
122,"732,1,1,1","0,5000;1,5000",2
123,"732,1,1,1","0,5000;1,5000",2
124,"732,1,1,1","0,5000;1,5000",2
125,"732,1,1,1","0,5000;1,5000",2
126,"732,1,1,1","0,5000;1,5000",2
127,"732,1,1,1","0,5000;1,5000",2
128,"732,1,1,1","0,5000;1,5000",2
129,"479,1,1,2000;733,1,1,2000;792,1,1,2000","0,2000;1,8000",2
130,"479,1,1,2000;733,1,1,2000;793,1,1,2000","0,2000;1,8000",2
131,"479,1,1,2000;733,1,1,2000;794,1,1,2000","0,2000;1,8000",2
132,"479,1,1,2000;733,1,1,2000;795,1,1,2000","0,2000;1,8000",2
133,"479,1,1,2000;733,1,1,2000;796,1,1,2000","0,2000;1,8000",2
134,"479,1,1,2000;733,1,1,2000;797,1,1,2000","0,2000;1,8000",2
135,"479,1,1,2000;733,1,1,2000;798,1,1,2000","0,2000;1,8000",2
136,"479,1,1,2000;733,1,1,2000;799,1,1,2000","0,2000;1,8000",2
137,"479,1,1,2000;733,1,1,2000;800,1,1,2000","0,2000;1,8000",2
138,"134,1,1,1000;733,1,1,2000;479,1,1,2000;792,1,1,2000","0,2000;1,8000",2
139,"134,1,1,1000;733,1,1,2000;479,1,1,2000;793,1,1,2000","0,2000;1,8000",2
140,"134,1,1,1000;733,1,1,2000;479,1,1,2000;794,1,1,2000","0,2000;1,8000",2
141,"134,1,1,1000;733,1,1,2000;479,1,1,2000;795,1,1,2000","0,2000;1,8000",2
142,"134,1,1,1000;733,1,1,2000;479,1,1,2000;796,1,1,2000","0,2000;1,8000",2
143,"134,1,1,1000;733,1,1,2000;479,1,1,2000;797,1,1,2000","0,2000;1,8000",2
144,"134,1,1,1000;733,1,1,2000;479,1,1,2000;798,1,1,2000","0,2000;1,8000",2
145,"134,1,1,1000;733,1,1,2000;479,1,1,2000;799,1,1,2000","0,2000;1,8000",2
146,"134,1,1,1000;733,1,1,2000;479,1,1,2000;800,1,1,2000","0,2000;1,8000",2
147,"28,1,1,2000;733,1,1,2000;479,1,1,2000;792,1,1,2000","0,2000;1,8000",2
148,"28,1,1,2000;733,1,1,2000;479,1,1,2000;793,1,1,2000","0,2000;1,8000",2
149,"28,1,1,2000;733,1,1,2000;479,1,1,2000;794,1,1,2000","0,2000;1,8000",2
150,"28,1,1,2000;733,1,1,2000;479,1,1,2000;795,1,1,2000","0,2000;1,8000",2
151,"28,1,1,2000;733,1,1,2000;479,1,1,2000;796,1,1,2000","0,2000;1,8000",2
152,"28,1,1,2000;733,1,1,2000;479,1,1,2000;797,1,1,2000","0,2000;1,8000",2
153,"28,1,1,2000;733,1,1,2000;479,1,1,2000;798,1,1,2000","0,2000;1,8000",2
154,"28,1,1,2000;733,1,1,2000;479,1,1,2000;799,1,1,2000","0,2000;1,8000",2
155,"28,1,1,2000;733,1,1,2000;479,1,1,2000;800,1,1,2000","0,2000;1,8000",2
157,"479,1,5,1","1,1",1
158,"297,1,1,1","1,1",1
159,"783,1,4,1;58,1,2,1;62,1,2,1;66,1,2,1","1,1",1
160,"784,1,2,1;59,1,1,1;63,1,1,1;67,1,1,1;479,1,1,1000","1,1",1
161,"785,1,1,1;60,1,1,1;64,1,1,1;68,1,1,1;479,1,1,1000","1,1",1
162,"786,1,4,1;479,1,4,1000;482,1,1,1","1,1",1
163,"787,1,2,1;479,1,4,1000;482,1,1,1","1,1",1
164,"788,1,1,1;479,1,8,1000;483,1,1,1","1,1",1
165,"789,1,4,1;479,1,32,1000;485,1,1,1","1,1",1
166,"790,1,2,1;479,1,32,1000;485,1,1,1","1,1",1
167,"791,1,1,1;479,1,64,1000;486,1,1,1","1,1",1
168,"783,1,4,1;146,1,4,1;147,1,4,1;148,1,4,1","1,1",1
169,"784,1,2,1;149,1,2,1;150,1,2,1;151,1,2,1;479,1,1,1000","1,1",1
170,"785,1,1,1;152,1,1,1;153,1,1,1;154,1,1,1;479,1,1,1000","1,1",1
171,"786,1,4,1;479,1,4,1000;482,1,1,1","1,1",1
172,"787,1,2,1;482,1,1,1","1,1",1
173,"788,1,1,1;479,1,8,1000;483,1,1,1","1,1",1
174,"789,1,4,1;479,1,32,1000;485,1,1,1","1,1",1
175,"790,1,2,1;479,1,32,1000;485,1,1,1","1,1",1
176,"791,1,1,1;479,1,64,1000;486,1,1,1","1,1",1
177,"733,1,1,1","1,1",1
178,"718,1,2,1000","1,1;0,9999",2
179,"718,1,2,1000","1,1;0,9999",2
180,"718,1,4,1000","1,1;0,9999",2
181,"728,1,4,1000","1,1;0,9999",2
182,"728,1,8,1000","1,1;0,9999",2
183,"728,1,8,1000","1,1;0,9999",2
184,"729,1,8,1000","1,1;0,9999",2
185,"729,1,8,1000","1,1;0,9999",2
186,"729,1,16,1000","1,1;0,9999",2
187,"718,1,2,1000","1,1;0,9999",2
188,"718,1,2,1000","1,1;0,9999",2
189,"718,1,4,1000","1,1;0,9999",2
190,"728,1,4,1000","1,1;0,9999",2
191,"728,1,8,1000","1,1;0,9999",2
192,"728,1,8,1000","1,1;0,9999",2
193,"729,1,8,1000","1,1;0,9999",2
194,"729,1,8,1000","1,1;0,9999",2
195,"729,1,16,1000","1,1;0,9999",2
197,"835,1,1,1;836,1,1,1;837,1,1,1;297,1,1,1","1,1",1
199,"733,1,1,1;297,1,1,1","1,1",1
