assetRes-string,dropId-int,exp-int,homeAction-int[],icon-string,id-int,initialAttribute-int[][],lv-int,name-string,progressScore-int,rankScore-int,tokenTaskLevel-int[],totemScore-int,worldDropGroup-int
homeresource-36,28,21.21320344,6,homeresource-36,36,"60,0,0;61,200,0;62,0,0;63,225,0;76,1500,0",2,Lv 2  Çöl Ağacı Ahşap#36,4,20,2,2,2
homeresource-37,29,30,6,homeresource-37,37,"60,0,0;61,300,0;62,0,0;63,330,0;76,2250,0",3,Lv 3  Koyu Ahşap#37,8,28,3,3,3
homeresource-38,31,30,7,homeresource-38,38,"60,0,0;61,0,0;62,300,0;63,330,0;76,2250,0",3,Lv 3  Kırmızı Kristal Cevheri#38,8,28,3,3,3
homeresource-41,30,21.21320344,7,homeresource-41,41,"60,0,0;61,0,0;62,200,0;63,225,0;76,1500,0",2,Lv 2  Koyu Demir#41,4,20,2,2,2
homeresource-42,26,15,7,homeresource-42,42,"60,0,0;61,0,0;62,100,0;63,120,0;76,750,0",1,Lv 1  Mineral#42,2,14,"0, 1",1,1
homeresource-43,33,21.21320344,5,homeresource-43,43,"60,200,0;61,0,0;62,0,0;63,225,0;76,1500,0",2,Lv 2  Donmuş Mantar#43,4,20,2,2,2
homeresource-44,34,30,5,homeresource-44,44,"60,300,0;61,0,0;62,0,0;63,330,0;76,2250,0",3,Lv 3  Maguey#44,8,28,3,3,3
homeresource-45,0,0,5,homeresource-45,45,"60,100,0;61,0,0;62,0,0;63,120,0;76,750,0",1,Lv 1  Bitki Lifleri#45,2,14,999,1,0
homeresource-47,9,0,16,homeresource-47,47,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",1,Lv 1  Yeşil Sümüklüböcek#47,2,14,999,0,0
homeresource-48,8,0,16,homeresource-48,48,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",1,Lv 1  Kabak Sarmaşıkları#48,2,14,999,0,0
homeresource-49,7,0,16,homeresource-49,49,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",1,Lv 1  Tel Örgü#49,2,14,999,0,0
homeresource-50,26,0,16,homeresource-50,50,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",1,Lv 1  Mineral#50,2,14,999,0,0
homeresource-51,32,0,16,homeresource-51,51,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",1,Lv 1  Bitki Lifleri#51,2,14,999,0,0
homeresource-52,27,0,16,homeresource-52,52,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",1,Lv 1  Sıradan Ahşap#52,2,14,999,0,0
homeresource-53,30,0,16,homeresource-53,53,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",2,Lv 2  Koyu Demir#53,4,20,999,0,0
homeresource-54,28,0,16,homeresource-54,54,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",2,Lv 2  Çöl Ağacı Ahşap#54,4,20,999,0,0
homeresource-55,33,0,16,homeresource-55,55,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",2,Lv 2  Donmuş Mantar#55,4,20,999,0,0
homeresource-56,10,0,16,homeresource-56,56,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",2,Lv 2  Maden Kedisi Keskin Diş#56,4,20,999,0,0
homeresource-57,12,0,16,homeresource-57,57,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",2,Lv 2  Hafif İnce Film#57,4,20,999,0,0
homeresource-58,11,0,16,homeresource-58,58,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",2,Lv 2  Çimen Şeytan Tacı#58,4,20,999,0,0
homeresource-59,13,0,16,homeresource-59,59,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",3,Lv 3  İnce Kanca Pençe#59,8,28,999,0,0
homeresource-60,14,0,16,homeresource-60,60,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",3,Lv 3  Kızıl Kürk#60,8,28,999,0,0
homeresource-61,15,0,16,homeresource-61,61,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",3,Lv 3  Buz Kar Tüyü#61,8,28,999,0,0
homeresource-62,31,0,16,homeresource-62,62,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",3,Lv 3  Kırmızı Kristal Cevheri#62,8,28,999,0,0
homeresource-63,34,0,16,homeresource-63,63,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",3,Lv 3  Maguey#63,8,28,999,0,0
homeresource-64,29,0,16,homeresource-64,64,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",3,Lv 3  Koyu Ahşap#64,8,28,999,0,0
homeresource-65,56,42.42640687,5,homeresource-65,65,"60,400,0;61,0,0;62,0,0;63,435,0;76,3000,0",4,Lv 4  Golden Dandelion: Altın Papatya#65,16,40,4,4,4
homeresource-66,57,42.42640687,6,homeresource-66,66,"60,0,0;61,400,0;62,0,0;63,435,0;76,3000,0",4,Lv 4  Cactus Flower: Kaktüs Çiçeği#66,16,40,4,4,4
homeresource-67,58,42.42640687,7,homeresource-67,67,"60,0,0;61,0,0;62,400,0;63,435,0;76,3000,0",4,Lv 4  Racso: Racso#67,16,40,4,4,4
homeresource-68,59,60,5,homeresource-68,68,"60,500,0;61,0,0;62,0,0;63,540,0;76,3750,0",5,Lv 5  Fiber Diamond: Lif Elması#68,32,56,5,5,5
homeresource-69,60,60,6,homeresource-69,69,"60,0,0;61,500,0;62,0,0;63,540,0;76,3750,0",5,Lv 5  Note Shape Diamond: Not Şeklinde Elmas#69,32,56,5,5,5
homeresource-70,61,60,7,homeresource-70,70,"60,0,0;61,0,0;62,500,0;63,540,0;76,3750,0",5,Lv 5  Bear Shaped Diamond: Ayı Şeklinde Elmas#70,32,56,5,5,5
homeresource-71,62,84.85281374,5,homeresource-71,71,"60,600,0;61,0,0;62,0,0;63,645,0;76,4500,0",6,Lv 6  Elf Flower: Elf Çiçeği#71,64,80,6,6,6
homeresource-72,63,84.85281374,6,homeresource-72,72,"60,0,0;61,600,0;62,0,0;63,645,0;76,4500,0",6,Lv 6  Canned Star: Konserve Yıldız#72,64,80,6,6,6
homeresource-73,64,84.85281374,7,homeresource-73,73,"60,0,0;61,0,0;62,600,0;63,645,0;76,4500,0",6,Lv 6  Meteorite: Meteorit#73,64,80,6,6,6
homeresource-74,56,42.42640687,5,homeresource-74,74,"60,400,0;61,0,0;62,0,0;63,435,0;76,3000,0",4,Lv 4  Golden Dandelion: Altın Papatya#74,16,40,4,4,4
homeresource-75,57,42.42640687,6,homeresource-75,75,"60,0,0;61,400,0;62,0,0;63,435,0;76,3000,0",4,Lv 4  Cactus Flower: Kaktüs Çiçeği#75,16,40,4,4,4
homeresource-76,58,42.42640687,7,homeresource-76,76,"60,0,0;61,0,0;62,400,0;63,435,0;76,3000,0",4,Lv 4  Racso: Racso#76,16,40,4,4,4
homeresource-77,59,60,5,homeresource-77,77,"60,500,0;61,0,0;62,0,0;63,540,0;76,3750,0",5,Lv 5  Fiber Diamond: Lif Elması#77,32,56,5,5,5
homeresource-78,60,60,6,homeresource-78,78,"60,0,0;61,500,0;62,0,0;63,540,0;76,3750,0",5,Lv 5  Note Shape Diamond: Not Şeklinde Elmas#78,32,56,5,5,5
homeresource-79,61,60,7,homeresource-79,79,"60,0,0;61,0,0;62,500,0;63,540,0;76,3750,0",5,Lv 5  Bear Shaped Diamond: Ayı Şeklinde Elmas#79,32,56,5,5,5
homeresource-80,62,84.85281374,5,homeresource-80,80,"60,600,0;61,0,0;62,0,0;63,645,0;76,4500,0",6,Lv 6  Elf Flower: Elf Çiçeği#80,64,80,6,6,6
homeresource-81,63,84.85281374,6,homeresource-81,81,"60,0,0;61,600,0;62,0,0;63,645,0;76,4500,0",6,Lv 6  Canned Star: Konserve Yıldız#81,64,80,6,6,6
homeresource-82,64,84.85281374,7,homeresource-82,82,"60,0,0;61,0,0;62,600,0;63,645,0;76,4500,0",6,Lv 6  Meteorite: Meteorit#82,64,80,6,6,6
homeresource-83,0,0,6,homeresource-83,83,"60,0,0;61,100,0;62,0,0;63,120,0;76,750,0",1,#83,2,14,999,1,0
homeresource-84,88,0,16,homeresource-84,84,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",1,Lv 1  LUAG Gelecek (N)#84,2,0,999,0,0
homeresource-85,92,120,5,homeresource-85,85,"60,700,0;61,0,0;62,0,0;63,750,0;76,5250,0",7,Lv 7  Lav Çiçeği#85,128,113,7,7,7
homeresource-86,92,120,5,homeresource-86,86,"60,700,0;61,0,0;62,0,0;63,750,0;76,5250,0",7,Lv 7  Lav Çiçeği#86,128,113,7,7,7
homeresource-87,93,120,6,homeresource-87,87,"60,0,0;61,700,0;62,0,0;63,750,0;76,5250,0",7,Lv 7  Ateş Odunu#87,128,113,7,7,7
homeresource-88,93,120,6,homeresource-88,88,"60,0,0;61,700,0;62,0,0;63,750,0;76,5250,0",7,Lv 7  Ateş Odunu#88,128,113,7,7,7
homeresource-89,94,120,7,homeresource-89,89,"60,0,0;61,0,0;62,700,0;63,750,0;76,5250,0",7,Lv 7  Lav#89,128,113,7,7,7
homeresource-90,94,120,7,homeresource-90,90,"60,0,0;61,0,0;62,700,0;63,750,0;76,5250,0",7,Lv 7  Lav#90,128,113,7,7,7
homeresource-91,104,169.7056275,5,homeresource-91,91,"60,800,0;61,0,0;62,0,0;63,855,0;76,6000,0",8,Lv 8  Boş Lif#91,256,160,8,8,8
homeresource-92,104,169.7056275,5,homeresource-92,92,"60,800,0;61,0,0;62,0,0;63,855,0;76,6000,0",8,Lv 8  Boş Lif#92,256,160,8,8,8
homeresource-93,105,169.7056275,6,homeresource-93,93,"60,0,0;61,800,0;62,0,0;63,855,0;76,6000,0",8,Lv 8  Boş Ahşap#93,256,160,8,8,8
homeresource-94,105,169.7056275,6,homeresource-94,94,"60,0,0;61,800,0;62,0,0;63,855,0;76,6000,0",8,Lv 8  Boş Ahşap#94,256,160,8,8,8
homeresource-95,106,169.7056275,7,homeresource-95,95,"60,0,0;61,0,0;62,800,0;63,855,0;76,6000,0",8,Lv 8  Boş Taş#95,256,160,8,8,8
homeresource-96,106,169.7056275,7,homeresource-96,96,"60,0,0;61,0,0;62,800,0;63,855,0;76,6000,0",8,Lv 8  Boş Taş#96,256,160,8,8,8
homeresource-97,116,240,5,homeresource-97,97,"60,900,0;61,0,0;62,0,0;63,960,0;76,6750,0",9,Lv 9  Bronz Lif#97,512,226,9,9,9
homeresource-98,116,240,5,homeresource-98,98,"60,900,0;61,0,0;62,0,0;63,960,0;76,6750,0",9,Lv 9  Bronz Lif#98,512,226,9,9,9
homeresource-99,117,240,6,homeresource-99,99,"60,0,0;61,900,0;62,0,0;63,960,0;76,6750,0",9,Lv 9  Bronz Ahşap#99,512,226,9,9,9
homeresource-100,117,240,6,homeresource-100,100,"60,0,0;61,900,0;62,0,0;63,960,0;76,6750,0",9,Lv 9  Bronz Ahşap#100,512,226,9,9,9
homeresource-101,118,240,7,homeresource-101,101,"60,0,0;61,0,0;62,900,0;63,960,0;76,6750,0",9,Lv 9  Bronz Taş#101,512,226,9,9,9
homeresource-102,118,240,7,homeresource-102,102,"60,0,0;61,0,0;62,900,0;63,960,0;76,6750,0",9,Lv 9  Bronz Taş#102,512,226,9,9,9
homeresource-103,0,0,16,homeresource-103,103,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",1,#103,2,0,999,0,0
homeresource-104,215,15,5,homeresource-104,104,"60,100,0;61,0,0;62,0,0;63,120,0;76,75000,0",1,#104,10,14,999,1,0
homeresource-105,216,21.21320344,6,homeresource-105,105,"60,0,0;61,200,0;62,0,0;63,225,0;76,150000,0",2,#105,20,20,999,2,0
homeresource-106,217,30,7,homeresource-106,106,"60,0,0;61,0,0;62,300,0;63,330,0;76,225000,0",3,#106,40,28,999,3,0
homeresource-107,218,42.42640687,5,homeresource-107,107,"60,400,0;61,0,0;62,0,0;63,435,0;76,300000,0",4,#107,80,40,999,4,0
homeresource-108,219,60,6,homeresource-108,108,"60,0,0;61,500,0;62,0,0;63,540,0;76,375000,0",5,#108,160,56,999,5,0
homeresource-109,220,84.85281374,5,homeresource-109,109,"60,600,0;61,0,0;62,0,0;63,645,0;76,450000,0",7,#109,640,80,999,7,0
homeresource-110,221,120,7,homeresource-110,110,"60,0,0;61,0,0;62,700,0;63,750,0;76,525000,0",6,#110,320,113,999,6,0
homeresource-111,222,169.7056275,6,homeresource-111,111,"60,0,0;61,800,0;62,0,0;63,855,0;76,600000,0",8,#111,1280,160,999,8,0
homeresource-112,223,240,7,homeresource-112,112,"60,0,0;61,0,0;62,900,0;63,960,0;76,675000,0",9,#112,2560,226,999,9,0
homeresource-113,196,15,5,homeresource-113,113,"60,100,0;61,0,0;62,0,0;63,100,0;76,500,0",0,Lv 0  Çürüyen yapraklar#113,0,10,999,0,10
homeresource-114,197,15,6,homeresource-114,114,"60,0,0;61,100,0;62,0,0;63,100,0;76,500,0",0,Lv 0  Çürüyen ahşap#114,0,10,999,0,10
homeresource-115,198,15,7,homeresource-115,115,"60,0,0;61,0,0;62,100,0;63,100,0;76,500,0",0,Lv 0  Kırık taş#115,0,10,999,0,10
homeresource-116,199,0,16,homeresource-116,116,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,Lv 0 Balık Kemiği#116,0,0,,0,10
homeresource-117,200,0,16,homeresource-117,117,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,Lv 0  Açılmış Konserve#117,0,0,,0,10
homeresource-118,201,0,16,homeresource-118,118,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,Lv 0  Filizlenmiş Fasulye#118,0,0,,0,10
homeresource-119,202,0,16,homeresource-119,119,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,Lv 0  Dinozor Yumurtası#119,0,0,,0,10
homeresource-120,203,0,16,homeresource-120,120,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,Lv 0  Soya Fasulyesi#120,0,0,,0,10
homeresource-121,204,0,16,homeresource-121,121,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,Lv 0  Dişli#121,0,0,,0,10
homeresource-122,205,0,16,homeresource-122,122,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,Lv 0  Pergament#122,0,0,,0,10
homeresource-123,233,0,16,homeresource-123,123,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#123,0,0,,0,0
homeresource-124,236,0,16,homeresource-124,124,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#124,0,0,,0,0
homeresource-125,237,0,16,homeresource-125,125,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#125,0,0,,0,0
homeresource-126,238,0,16,homeresource-126,126,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#126,0,0,,0,0
homeresource-127,239,0,16,homeresource-127,127,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#127,0,0,,0,0
homeresource-128,240,0,16,homeresource-128,128,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#128,0,0,,0,0
homeresource-129,241,0,16,homeresource-129,129,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#129,0,0,,0,0
homeresource-130,242,0,16,homeresource-130,130,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#130,0,0,,0,0
homeresource-131,243,0,16,homeresource-131,131,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#131,0,0,,0,0
homeresource-132,244,0,16,homeresource-132,132,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#132,0,0,,0,0
homeresource-133,245,0,16,homeresource-133,133,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#133,0,0,,0,0
homeresource-134,246,0,16,homeresource-134,134,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#134,0,0,,0,0
homeresource-135,247,0,16,homeresource-135,135,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#135,0,0,,0,0
homeresource-136,248,0,16,homeresource-136,136,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#136,0,0,,0,0
homeresource-137,249,0,16,homeresource-137,137,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#137,0,0,,0,0
homeresource-138,250,0,16,homeresource-138,138,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#138,0,0,,0,0
homeresource-139,251,0,16,homeresource-139,139,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#139,0,0,,0,0
homeresource-140,252,0,16,homeresource-140,140,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#140,0,0,,0,0
homeresource-141,253,0,16,homeresource-141,141,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#141,0,0,,0,0
homeresource-142,254,0,16,homeresource-142,142,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#142,0,0,,0,0
homeresource-143,255,0,16,homeresource-143,143,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#143,0,0,,0,0
homeresource-144,256,0,16,homeresource-144,144,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#144,0,0,,0,0
homeresource-145,257,0,16,homeresource-145,145,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#145,0,0,,0,0
homeresource-146,258,0,16,homeresource-146,146,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#146,0,0,,0,0
homeresource-147,259,0,16,homeresource-147,147,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#147,0,0,,0,0
homeresource-148,260,0,16,homeresource-148,148,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#148,0,0,,0,0
homeresource-149,261,0,16,homeresource-149,149,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#149,0,0,,0,0
homeresource-150,262,0,16,homeresource-150,150,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#150,0,0,,0,0
homeresource-151,263,0,16,homeresource-151,151,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#151,0,0,,0,0
homeresource-152,264,0,16,homeresource-152,152,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#152,0,0,,0,0
homeresource-153,265,0,16,homeresource-153,153,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#153,0,0,,0,0
homeresource-154,266,0,16,homeresource-154,154,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#154,0,0,,0,0
homeresource-155,267,0,16,homeresource-155,155,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#155,0,0,,0,0
homeresource-163,268,0,16,homeresource-163,163,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#163,0,0,,0,0
homeresource-164,269,0,16,homeresource-164,164,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#164,0,0,,0,0
homeresource-165,270,0,16,homeresource-165,165,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#165,0,0,,0,0
homeresource-167,271,0,16,homeresource-167,167,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#167,0,0,,0,0
homeresource-168,271,0,16,homeresource-168,168,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#168,0,0,,0,0
homeresource-169,309,0,16,homeresource-169,169,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#169,0,0,,0,0
homeresource-170,310,0,16,homeresource-170,170,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#170,0,0,,0,0
homeresource-171,311,0,16,homeresource-171,171,"60,0,0;61,0,0;62,0,0;63,10,0;76,0,0",0,#171,0,0,,0,0
