areaSort-int,deathDrop-int[],deathEXPDrop-int,deathTaxation-int[][],desc-string,id-int,lockBackpack-bool,name-string,type-int
0,"30,20,15",5,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10", Orta Derecede Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),12,1, Mezarlık ,3
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Hafif Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),13,0, Ruhun Dinlenmesi ,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Hafif Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),14,0, Göksel Göl Dağı ,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,15,0, Merkezi Sunak ,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Hafif Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),16,0, Çevre Sunak ,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Hafif Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),17,0, Buz Ovası ,2
0,"30,20,15",5,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10", Orta Derecede Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),18,1, Buz Ovası Derinlikleri ,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,19,0, Vahşi Doğa ,1
1,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ağır Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),20,1, Acemi Arena 1/3 ,3
2,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ağır Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),21,1, Acemi Arena 2/3 ,3
3,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ağır Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),22,1, Acemi Arena 3/3 ,3
1,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ağır Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),23,1, Orta Seviye Arena 1/3 ,3
2,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ağır Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),24,1, Orta Seviye Arena 2/3 ,3
3,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ağır Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),25,1, Orta Seviye Arena 3/3 ,3
1,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ağır Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),26,1, İleri Seviye Arena 1/3 ,3
2,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ağır Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),27,1, İleri Seviye Arena 2/3 ,3
3,"30,3,1",0,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ağır Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),28,1, İleri Seviye Arena 3/3 ,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,29,0, Eşleştirme Kampı ,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,30,0, Yeniden Doğuş Sunağı ,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Hafif Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),31,0, Meydan Okuma ,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Hafif Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),32,0, Antik Bölge - Yanardağ ,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Hafif Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),33,0, Antik Bölge - Boşluk ,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Hafif Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),34,0, Antik Bölge - Kalıntı ,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5", Hafif Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),35,0, Vahşi ,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,36,0, Köprü ,1
0,"50,3,1",0,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10", Orta Derecede Ölüm Cezası (Sırt çantası öğelerinin yüzdesi),37,1, Kolezyum ,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,38,0, Günlük Meydan Okuma ,1
1,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,39,1, Eğitim Alanı 1/3 ,3
2,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,40,1, Eğitim Alanı 2/3 ,3
3,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,41,1, Eğitim Alanı 3/3 ,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,42,0, Ayrılış Toprağı,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,43,0,,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,44,0,,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,45,0,,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,46,0,,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,47,0,,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,48,0,,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,49,0,,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,50,0,,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,51,0,,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,52,0,,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0", Ölüm Cezası Yok,53,0,,1
0,"30,20,15",5,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10",,54,0,,3
0,"30,20,15",5,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10",,55,0,,3
