areaSort-int,deathDrop-int[],deathEXPDrop-int,deathTaxation-int[][],desc-string,id-int,lockBackpack-bool,name-string,type-int
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de Pénalité de Mort,29,0, Camp de matchmaking,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de Pénalité de Mort,30,0,Autel de résurrection,1
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",Légère Pénalité de Mort (Pourcentage des objets du sac à dos),31,0,Défi,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",Légère Pénalité de Mort (Pourcentage des objets du sac à dos),32,0,Domaine ancien - Volcan,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",Légère Pénalité de Mort (Pourcentage des objets du sac à dos),33,0,Domaine ancien - Creux,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",Légère Pénalité de Mort (Pourcentage des objets du sac à dos),34,0,Domaine ancien - Relique,2
0,"30,20,10",3,"100,20,10;100,15,5;80,15,5;80,15,5;30,15,5;30,15,5",Légère Pénalité de Mort (Pourcentage des objets du sac à dos),35,0,Sauvage,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de Pénalité de Mort,36,0,Le Pont,1
0,"30,20,15",5,"100,20,15;100,15,10;80,15,10;80,15,10;30,15,10;30,15,10",Pénalité de Mort Modérée (Pourcentage des objets du sac à dos),37,1,Colisée,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de Pénalité de Mort,38,0, Défi quotidien,1
1,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de Pénalité de Mort,39,1,Terrain d'entraînement 1/3,3
2,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de Pénalité de Mort,40,1,Terrain d'entraînement 2/3,3
3,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de Pénalité de Mort,41,1,Terrain d'entraînement 3/3,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0",Pas de peine de mort,42,0,,1
