canDropScene-int[],canMint-int,desc-string,givenSkillId-int,icon-string,id-int,name-string,quality-int[],resourceInstructions-int[],subType-int,talentId-int[],tokenTaskLevel-int[],tokenTaskRefreshType-int,type-int,useLv-int,userType-int,boothFees-int
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre puissance d'attaque en combat
-------
Une arme tranchante et solide forgée en fer, capable de trancher facilement à travers les ennemis. Son poids offre une sensation de satisfaction, permettant des frappes puissantes qui laissent les adversaires étourdis.
",0,item-icon-41,41,Lv 2 Épée en fer,"1,2",271,0,2,999,0,1,2,1,
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre puissance d'attaque en combat
-------
Une arme puissante forgée à partir de cristal pur, capable de trancher facilement à travers les ennemis. Sa lame scintillante reflète la lumière, éblouissant les adversaires et semant la peur dans leur cœur. À chaque coup, l'Épée de Cristal déchaîne une combinaison mortelle de vitesse et de précision.
",0,item-icon-42,42,Lv 3 Épée en cristal,"1,2,3",280,0,2,999,0,1,3,1,
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre puissance d'attaque en combat
-------
Une arme en bois solide conçue pour des frappes rapides et précises, parfaite pour les débutants qui perfectionnent leurs compétences en combat. Sa conception légère permet des mouvements agiles, en faisant un choix idéal pour ceux qui recherchent une arme polyvalente et fiable.
",0,item-icon-39,39,Lv 0 Épée en bois,1,256,0,2,999,0,1,0,1,
4,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Augmentez votre probabilité de survie lors des combats
-------
Un accessoire élégant qui ajoute une touche d'élégance à n'importe quelle tenue. Fabriqué avec des détails complexes, cette bague dégage sophistication et charme. Son design unique ne manquera pas d'attirer l'attention des amateurs de mode.
",0,item-icon-43,43,Lv 1 Bague à tête ébréchée,1,257,0,2,999,0,1,1,1,
4,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Augmentez votre probabilité de survie lors des combats
-------
Ce chapeau est fait d'un matériau unique qui procure une sensation incroyablement douce contre votre peau. Il offre un ajustement luxueux et confortable, ce qui en fait un choix parfait pour de longues sessions de jeu.
",0,item-icon-44,44,Lv 2 Chapeau doux en peau de cristal,"1,2",269,0,2,999,0,1,2,1,
4,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Augmentez votre probabilité de survie lors des combats
-------
Un casque solide fabriqué à partir de cristaux scintillants, offrant une protection exceptionnelle sans compromettre l'agilité. Sa lueur envoûtante accorde au porteur une vision améliorée dans les donjons sombres.
",0,item-icon-45,45,Lv 3 Casque en pierre de cristal,"1,2,3",278,0,2,999,0,1,3,1,
4,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Augmentez votre probabilité de survie lors des combats
-------
Cet armure, avec son design de cristal fissuré, dégage une aura de résilience et de puissance. Sa surface scintillante reflète la lumière, captivant tous ceux qui posent les yeux dessus. Symbole de force et d'endurance, elle est indispensable pour tout guerrier chevronné.
",0,item-icon-46,46,Lv 1 Armure en cristal fissurée,1,259,0,2,999,0,1,1,1,
4,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Augmentez votre probabilité de survie lors des combats
-------
Cette armure est fabriquée avec un matériau cristallin unique, offrant une protection exceptionnelle sans sacrifier la mobilité. Son design élégant et sa surface scintillante en font un véritable chef-d'œuvre d'artisanat. Avec l'Armure en Peau de Cristal, vous vous sentirez invincible sur le champ de bataille.
",0,item-icon-47,47,Lv 2 Armure en peau de cristal,"1,2",265,0,2,999,0,1,2,1,
4,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Augmentez votre probabilité de survie lors des combats
-------
Une armure redoutable forgée à partir de cristaux enchantés, offrant une protection inégalée contre les attaques physiques et magiques. Sa surface scintillante reflète la lumière, éblouissant les ennemis et instillant la peur dans leur cœur. En portant cette armure, le porteur dégage une aura d'invincibilité, faisant de lui une force imparable sur le champ de bataille.
",0,item-icon-48,48,Lv 3 Armure en pierre de cristal,"1,2,3",276,0,2,999,0,1,3,1,
4,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Augmentez votre probabilité de survie lors des combats
-------
Un vêtement unique fabriqué à partir de cristaux délicats, cette jupe en herbe ajoute une touche d'élégance à n'importe quelle tenue. Sa texture fissurée lui confère un attrait mystérieux et envoûtant, en en faisant un incontournable pour les aventuriers à la pointe de la mode.
",0,item-icon-49,49,Lv 1 Jupe en herbe de cristal fissurée,1,262,0,2,999,0,1,1,1,
4,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Augmentez votre probabilité de survie lors des combats
-------
Ces pantalons ont une texture unique semblable à celle du cristal, leur donnant une apparence élégante et futuriste. Le tissu lisse procure une sensation de fraîcheur contre la peau, offrant un confort maximal lors des combats intenses. Avec leur design accrocheur, ces pantalons ne manqueront pas de vous démarquer sur le champ de bataille.
",0,item-icon-50,50,Lv 2 Pantalon en peau de cristal,"1,2",268,0,2,999,0,1,2,1,
4,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Augmentez votre probabilité de survie lors des combats
-------
Ces leggings sont fabriqués à partir d'une rare pierre de cristal, offrant une protection et une durabilité inégalées. Sa surface scintillante reflète la lumière, donnant à celui qui le porte une apparence éthérée et mystérieuse.
",0,item-icon-51,51,Lv 3 Armure de jambe en cristal,"1,2,3",275,0,2,999,0,1,3,1,
4,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Augmentez votre probabilité de survie lors des combats
-------
Un accessoire scintillant avec des fissures délicates, dégageant une aura de mystère et de résilience. Sa surface fracturée reflète la force et la détermination de celui qui le porte, en faisant un symbole de résilience et de persévérance.
",0,item-icon-52,52,Lv 1 Bracelet en cristal fissuré,1,260,0,2,999,0,1,1,1,
4,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Augmentez votre probabilité de survie lors des combats
-------
Ce gant est fabriqué avec un matériau unique semblable au cristal, offrant une texture lisse et lisse qui améliore la prise en main et la dextérité. Sa conception légère permet des mouvements sans effort, en en faisant un favori parmi les joueurs recherchant précision et confort.
",0,item-icon-53,53,Lv 2 Gant en peau de cristal,"1,2",267,0,2,999,0,1,2,1,
4,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Augmentez votre probabilité de survie lors des combats
-------
Un gantelet puissant imprégné de l'énergie des cristaux, conférant au porteur une force accrue et la capacité de manipuler les forces élémentaires. Exploitez la puissance brute de la nature et déchaînez des attaques dévastatrices contre vos ennemis. Dominez le champ de bataille avec le Gantelet en Pierre de Cristal !
",0,item-icon-54,54,Lv 3 Gantelet en pierre de cristal,"1,2,3",277,0,2,999,0,1,3,1,
4,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Augmentez votre probabilité de survie lors des combats
-------
Ces chaussures sont fabriquées à partir d'un matériau unique qui offre une excellente adhérence et traction, les rendant parfaites pour traverser des surfaces glissantes. Le design fissuré du cristal ajoute une touche d'élégance et de mystère à votre tenue. Enfilez-les et ressentez la confiance lorsque vous marchez sur n'importe quel terrain.
",0,item-icon-55,55,Lv 1 Chaussures en herbe de cristal fissurées,1,261,0,2,999,0,1,1,1,
4,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Augmentez votre probabilité de survie lors des combats
-------
Ces bottes sont fabriquées avec un matériau unique qui améliore l'agilité et offre une excellente protection. Leur design élégant permet des mouvements rapides, en en faisant un favori parmi les aventuriers. Les Bottes en Peau de Cristal sont un incontournable pour tout joueur recherchant à la fois style et fonctionnalité.
",0,item-icon-56,56,Lv 2 Bottes en peau de cristal,"1,2",266,0,2,999,0,1,2,1,
4,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Augmentez votre probabilité de survie lors des combats
-------
Ces chaussures sont fabriquées avec un design unique en pierre de cristal, ajoutant une touche d'élégance à chaque pas. Les pierres scintillantes incrustées dans les chaussures créent un effet hypnotisant, vous plaçant au centre de l'attention où que vous alliez. Enfilez ces chaussures exquises et ressentez l'enchantement qu'elles apportent à votre tenue.
",0,item-icon-57,57,Lv 3 Chaussures en pierre de cristal,"1,2,3",279,0,2,999,0,1,3,1,
"1,3,4",1,"Quelqu'un a déjà vu ce matériau au bord de la mer.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Cette pierre est de première qualité et peut être utilisée pour collecter des matières premières telles que les arbres.
",0,item-icon-58,58,Lv 1 Minéral,1,69,0,3,"1,0",1,4,1,1,
"1,3,4",1,"Quelqu'un a déjà vu ce matériau dans le canyon.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Le minerai de fer noir est une matière première secondaire qui peut être obtenue par extraction minière. Il a une couleur noire, une texture dure et contient une abondance d'éléments de fer.
",0,item-icon-59,59,Lv 2 Fer noir,1,71,0,3,2,1,4,2,1,
"1,3,4",1,"Quelqu'un a déjà vu ce matériau sur la montagne enneigée.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Il s'agit d'un minerai de cristal rouge de troisième niveau qui peut être collecté dans la forêt. C'est une matière première importante qui peut être utilisée pour fabriquer divers équipements et objets.
",0,item-icon-60,60,Lv 3 Minerai de cristal rouge,1,73,0,3,3,1,4,3,1,
"1,3,4",1,"Quelqu'un a déjà vu ce matériau au bord de la mer.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Ce type de bois est généralement utilisé pour fabriquer des meubles simples ou des matériaux de construction. Sa texture est relativement douce, ce qui facilite le traitement et la sculpture.",0,item-icon-62,62,Lv 1 Bois ordinaire,1,"49,51",0,3,"1,0",1,4,1,1,
"1,3,4",1,"Quelqu'un a déjà vu ce matériau dans le désert.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Les arbres du désert sont un type d'arbre qui pousse dans le désert. Ils sont généralement de petite taille, avec des troncs épais et des feuilles vert clair. Ils peuvent être utilisés pour collecter des matières premières et sont adaptés pour fabriquer certains objets spéciaux.
",0,item-icon-63,63,Lv 2 Bois d'arbre du désert,1,53,0,3,2,1,4,2,1,
"1,3,4",1,"Quelqu'un a déjà vu ce matériau dans la Forêt Rouge.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Le bois sombre est un type de bois de qualité supérieure avec des textures noires et une texture dure, adapté pour fabriquer des meubles et des objets haut de gamme. Il ne peut être récolté qu'à des points de collecte spécifiques, ce qui est difficile mais aussi très rentable.
",0,item-icon-64,64,Lv 3 Bois sombre,1,55,0,3,3,1,4,3,1,
"1,3,4",1,"Vous pouvez obtenir ce type de matériau en le plantant.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Ce type de bambou est une production agricole et une plante utilisée pour fabriquer diverses matières premières agricoles. Il est très courant en agriculture et peut pousser très rapidement.
",0,item-icon-70,70,Lv 1 Bambou,1,87,0,1,"1,0",1,4,1,1,718
"1,3,4",1,"Vous pouvez obtenir ce type de matériau en le plantant.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Cet article est une matière première produite en agriculture, généralement récoltable au niveau 1. Sa forme ressemble à trois feuilles, d'où son nom de trèfle. Il peut être utilisé pour fabriquer de nombreux objets différents et est une ressource très utile.
",0,item-icon-71,71,Lv 1 Trèfle,1,88,0,1,"1,0",1,4,1,1,718
"1,3,4",1,"Vous pouvez obtenir ce type de matériau en le plantant.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Cette carotte est une production agricole de niveau 1 qui peut être obtenue dans le champ agricole. C'est une matière première importante.
",0,item-icon-72,72,Lv 1 Carotte,1,89,0,1,"1,0",1,4,1,1,718
"1,3,4",1,"Vous pouvez obtenir ce type de matériau en le plantant.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Les plantes carnivores sont un type de plante unique qui peut attirer et capturer des insectes comme source de nourriture. Elles sont considérées comme l'une des productions agricoles et peuvent être utilisées comme matières premières dans le domaine agricole.
",0,item-icon-73,73,Lv 2 Plante carnivore,1,90,0,1,2,1,4,2,1,718
"1,3,4",1,"Vous pouvez obtenir ce type de matériau en le plantant.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Ce coton est de qualité de deuxième classe et convient à la fabrication de textiles.
",0,item-icon-74,74,Lv 2 Coton,1,91,0,1,2,1,4,2,1,718
"1,3,4",1,"Vous pouvez obtenir ce type de matériau en le plantant.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Ce fruit de la patience est une matière première produite en agriculture, qui peut être plantée dans une ferme de niveau 2 et donne 2 à 3 fruits à chaque fois. Il présente les caractéristiques d'une grande durabilité et d'une longue durée de conservation, et est un matériau important pour la fabrication de divers aliments et médicaments.
",0,item-icon-75,75,Lv 2 Fruit d'endurance,1,92,0,1,2,1,4,2,1,718
"1,3,4",1,"Vous pouvez obtenir ce type de matériau en le plantant.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Ce piment fort est de niveau 3 et extrêmement épicé, adapté à ceux qui aiment la cuisine épicée. Il est produit par l'agriculture et peut être cultivé dans les champs. En tant que matière première agricole, il peut être utilisé pour fabriquer divers produits à base de piment, tels que la sauce piquante et l'huile de piment.
",0,item-icon-76,76,Lv 3 Piment fort,1,93,0,1,3,1,4,3,1,718
"1,3,4",1,"Vous pouvez obtenir ce type de matériau en le plantant.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Ce fruit dur est une matière première agricole à haut rendement qui peut être utilisée pour fabriquer divers aliments et médicaments. Il a une texture dure et des composants nutritionnels riches, ce qui en fait une partie indispensable de la production agricole.
",0,item-icon-77,77,Lv 3 Fruit dur,1,94,0,1,3,1,4,3,1,718
"1,3,4",1,"Vous pouvez obtenir ce type de matériau en le plantant.
Il peut être utilisé pour fabriquer des équipements ou des objets.
-------
Ce champignon bleu est une espèce de champignon de qualité supérieure qui est généralement produite dans le secteur agricole. C'est une matière première très précieuse qui peut être utilisée pour fabriquer des médicaments et des plats gastronomiques.
",0,item-icon-78,78,Lv 3 Champignon bleu,1,95,0,1,3,1,4,3,1,718
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Débloquez des produits agricoles de niveau supérieur
-------
Cet outil de jardinage peut vous aider à labourer le sol et à désherber facilement. Il convient aux débutants.
",0,item-icon-79,79,Lv 0 Houe en bois,1,180,0,1,999,0,1,0,1,718
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Débloquez des produits agricoles de niveau supérieur
-------
La Houe en Fer est un outil de jardinage durable fabriqué en fer solide. Il est essentiel pour labourer le sol et cultiver les cultures efficacement dans le jeu.
",0,item-icon-80,80,Lv 1 Houe en fer,1,187,0,1,999,0,1,1,1,718
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Débloquez des produits agricoles de niveau supérieur
-------
Cette houe peut aider les agriculteurs à cultiver la terre plus facilement, mais en même temps, elle apporte également quelques malédictions mystérieuses.
",0,item-icon-81,81,Lv 2 Houe maudite,"1,2",190,0,1,999,0,1,2,1,718
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Débloquez des produits agricoles de niveau supérieur
-------
La Houe Bénie est un outil puissant qui améliore l'efficacité agricole et augmente les rendements des cultures. Elle rayonne d'une aura divine, imprégnant chaque coup de bénédictions qui favorisent une croissance saine et des récoltes abondantes. Avec cette houe enchantée en main, les joueurs peuvent cultiver leur terre avec facilité et ressentir la joie de récolter les fruits de leur travail acharné.
",0,item-icon-82,82,Lv 3 Houe bénie,"1,2,3",198,0,1,999,0,1,3,1,718
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Débloquez des produits agricoles de niveau supérieur
-------
Cette bouilloire en bois est un équipement adapté à une utilisation agricole, qui peut être utilisée pour contenir de l'eau propre ou de l'eau d'irrigation.
",0,item-icon-83,83,Lv 0 Bouilloire en bois,1,181,0,1,999,0,1,0,1,718
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Débloquez des produits agricoles de niveau supérieur
-------
Un ustensile de cuisine solide et fiable en fer durable. Il chauffe rapidement et uniformément, permettant une cuisson efficace. Sa poignée ergonomique assure une prise en main confortable lors du versement.
",0,item-icon-84,84,Lv 1 Bouilloire en fer,1,188,0,1,999,0,1,1,1,718
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Débloquez des produits agricoles de niveau supérieur
-------
Une bouilloire mystérieuse qui apporte le malheur à ceux qui la possèdent, causant le chaos et le désespoir. Son aura sombre émane d'une présence sinistre, tentant le destin à chaque infusion. Soyez prudent, car son pouvoir maudit peut transformer même les plus chanceux en victimes de leur propre destin.
",0,item-icon-85,85,Lv 2 Bouilloire maudite,"1,2",191,0,1,999,0,1,2,1,718
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Débloquez des produits agricoles de niveau supérieur
-------
Un artefact sacré qui apporte des bénédictions et de la bonne fortune à son propriétaire, améliorant sa chance et lui offrant des opportunités inattendues. Cette bouilloire mystique est censée rayonner une énergie positive, attirant la prospérité et le bonheur partout où elle va. Une possession chérie pour ceux qui recherchent une touche d'intervention divine dans leur vie.
",0,item-icon-86,86,Lv 3 Bouilloire bénie,"1,2,3",199,0,1,999,0,1,3,1,718
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre efficacité de collecte
-------
Un outil solide en bois, parfait pour extraire des ressources minières et collecter des ressources efficacement. Sa durabilité garantit qu'il ne se cassera pas facilement, en en faisant un choix fiable pour tout aventurier.
",0,item-icon-87,87,Lv 0 Pioche en bois,1,331,0,3,999,0,1,0,1,
0,1,"Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre efficacité de collecte
-------
Un outil solide en fer, parfait pour extraire et extraire des ressources précieuses. Son tranchant et sa construction durable en font un objet essentiel pour tout aventurier. Avec cette pioche en main, vous pourrez creuser plus profondément et découvrir des trésors cachés.
",0,item-icon-88,88,Lv 1 Pioche en fer,1,339,0,3,999,0,1,1,1,
0,1," Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre efficacité de collecte.
-------
Cette pioche maudite peut vous aider à collecter des arbres et des minerais plus rapidement. C'est un équipement de niveau 2 avec de puissantes capacités de collecte.
",0,item-icon-89,89,Lv 2 Pioche maudite,"1,2",341,0,3,999,0,1,2,1,
0,1," Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre efficacité de collecte.
-------
La Pioche Bénie, un outil sacré doté d'un pouvoir divin, fend sans effort les roches les plus dures, laissant derrière elle une traînée d'éclats scintillants. Sa lame enchantée brille d'une lumière radieuse, guidant les mineurs vers les trésors cachés au plus profond de la terre. À chaque coup, elle accorde des bénédictions de fortune et de prospérité, en faisant un compagnon essentiel pour tout aventurier.
",0,item-icon-90,90,Lv 3 Pioche bénie,"1,2,3",349,0,3,999,0,1,3,1,
0,1," Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre efficacité de collecte.
-------
Cette hache est un outil en bois, adapté aux travaux de collecte en extérieur. C'est un type d'équipement qui peut vous aider à accomplir les tâches de collecte de manière plus efficace.
",0,item-icon-91,91,Lv 0 Hache en bois,1,330,0,3,999,0,1,0,1,
0,1," Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre efficacité de collecte.
-------
Cette hache en fer peut être utilisée pour abattre des arbres et est un outil essentiel pour la collecte de bois. Elle peut également être utilisée comme équipement pour augmenter l'efficacité au combat.
",0,item-icon-92,92,Lv 1 Hache en fer,1,338,0,3,999,0,1,1,1,
0,1," Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre efficacité de collecte.
-------
La netteté de cette hache a atteint le niveau 2, ce qui facilite la collecte des arbres. Cependant, elle a aussi été maudite, donc il faut faire preuve de prudence lors de son utilisation.
",0,item-icon-93,93,Lv 2 Hache maudite,"1,2",340,0,3,999,0,1,2,1,
0,1," Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Améliorez votre efficacité de collecte.
-------
Une arme puissante dotée de bénédictions divines, capable de fendre n'importe quel obstacle avec facilité. Sa lame tranchante brille d'une lumière sainte, inspirant la peur dans le cœur des ennemis. La Hache Bénie est un véritable symbole de force et de droiture sur le champ de bataille.
",0,item-icon-94,94,Lv 3 Hache bénie,"1,2,3",348,0,3,999,0,1,3,1,
4,1," Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Rendez vos cultures moins sujettes au flétrissement.
-------
Ce chapeau élégant apporte de la chance à celui qui le porte, ajoutant une touche de charme à n'importe quelle tenue. Ses couleurs vives et son design complexe en font un accessoire indispensable pour les joueurs à la pointe de la mode. Portez-le et que la chance soit de votre côté !
",0,item-icon-98,98,Lv 1 Chapeau trèfle chanceux,1,189,0,1,999,0,1,1,1,718
4,1," Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Rendez vos cultures moins sujettes au flétrissement.
-------
Ce chapeau élégant est fait de coton doux et confortable, apportant de la chance à celui qui le porte. Ses couleurs vives et son design complexe en font un accessoire à la mode pour n'importe quelle tenue. Avec ce chapeau, vous vous sentirez confiant et prêt à affronter n'importe quelle aventure.
",0,item-icon-99,99,Lv 2 Chapeau en coton chanceux,"1,2",197,0,1,999,0,1,2,1,718
4,1," Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Rendez vos cultures moins sujettes au flétrissement.
-------
Ce solide casque de sécurité apporte de la chance à celui qui le porte, offrant une protection supplémentaire et augmentant ses chances de trouver des trésors précieux. Ses couleurs vives et sa construction robuste en font un favori parmi les joueurs aventureux.
",0,item-icon-100,100,Lv 3 Casque dur chanceux,"1,2,3",205,0,1,999,0,1,3,1,718
4,1," Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Rendez vos cultures moins sujettes au flétrissement.
-------
Une veste élégante parfaite pour les aventures en plein air, offrant chaleur et protection contre les éléments. Son matériau durable et son design pratique en font un accessoire indispensable pour tout aventurier. Restez confortable et élégant avec cette veste de récolte.
",0,item-icon-101,101,Lv 1 Veste de fermier,1,184,0,1,999,0,1,1,1,718
4,1," Vous pouvez obtenir cet objet par synthèse.
Lorsqu'il est équipé, il peut améliorer les attributs. Rendez vos cultures moins sujettes au flétrissement.
-------
Une veste durable conçue pour les agriculteurs, offrant une protection contre les éléments et les terrains accidentés. Ses coutures renforcées et son tissu robuste en font un choix idéal pour le travail en extérieur. Restez confortable et concentré sur vos tâches avec ce vêtement fiable.
",0,item-icon-102,102,Lv 2 Veste de fermier,"1,2",193,0,1,999,0,1,2,1,718
