armatureRes-string,attackSound-string,deathSound-string,desc-string,hurtedCritSound-string,hurtedSound-string,id-int,patrolRadius-int,patrolSpd-int,idleSound-string,aiName-string,patrolPath-string
Monster_lv4_3,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv4_3,GGGrasslands - Hit 2_mp3,meethited_mp3,60,5,1,,MonsterAI-Tank-lv4-2,
Monster_lv5_1,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv5_1,GGGrasslands - Hit 2_mp3,meethited_mp3,61,5,1,,MonsterAI-Warrior-lv5-1,
Monster_lv5_2,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv5_2,GGGrasslands - Hit 2_mp3,meethited_mp3,62,5,1,,MonsterAI-Tank-lv5-1,
Monster_lv5_3,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv5_3,GGGrasslands - Hit 2_mp3,meethited_mp3,63,5,1,,MonsterAI-Ranged-lv5,
Monster_lv6_1,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv6_1,GGGrasslands - Hit 2_mp3,meethited_mp3,64,5,1,,MonsterAI-Tank-lv6-1,
Monster_lv6_2,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv6_2,GGGrasslands - Hit 2_mp3,meethited_mp3,65,5,1,,MonsterAI-Ranged-lv6,
Monster_lv6_3,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv6_3,GGGrasslands - Hit 2_mp3,meethited_mp3,66,5,1,,MonsterAI-Support-lv6,
Monster_Trap_push,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,推推怪陷阱,GGGrasslands - Hit 2_mp3,meethited_mp3,67,0,0,,MonsterAI_Trap_push,
Monster_Trap_bomb,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,炸弹怪陷阱,GGGrasslands - Hit 2_mp3,meethited_mp3,68,0,0,,MonsterAI_Trap_bomb,
Monster_lv4_Boss,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv4_Boss,GGGrasslands - Hit 2_mp3,meethited_mp3,69,5,1,,MonsterAI-Warrior-lv4_boss,
Monster_lv5_Boss,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv5_Boss,GGGrasslands - Hit 2_mp3,meethited_mp3,70,5,1,,MonsterAI-Warrior-lv5_boss,
Monster_lv6_Boss,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv6_Boss,GGGrasslands - Hit 2_mp3,meethited_mp3,71,5,1,,MonsterAI-Warrior-lv6_boss,
Monster_lv4_Boss_Soul,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv4_Boss_Soul,GGGrasslands - Hit 2_mp3,meethited_mp3,72,5,1,,MonsterAI-Warrior-lv4_bossSoul,
Monster_lv5_Boss_Soul,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv5_Boss_Soul,GGGrasslands - Hit 2_mp3,meethited_mp3,73,5,1,,MonsterAI-Warrior-lv5_bossSoul,
Monster_lv6_Boss_WarriorSoul,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv6_Boss_WarriorSoul,GGGrasslands - Hit 2_mp3,meethited_mp3,74,5,1,,MonsterAI-Warrior-lv6_bossWarriorSoul,
Monster_lv6_Boss_TankSoul,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv6_Boss_TankSoul,GGGrasslands - Hit 2_mp3,meethited_mp3,75,5,1,,MonsterAI-Warrior-lv6_bossTankSoul,
Monster_lv6_Boss_RangeSoul,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Monster_lv6_Boss_RangeSoul,GGGrasslands - Hit 2_mp3,meethited_mp3,76,5,1,,MonsterAI-Warrior-lv6_bossRangeSoul,
Monster_lv1_1,,,Metal Mutt,,,77,5,1,,MonsterAI-Attack-Grape,
Monster_lv1_2,,,Pumpkin Fiend,,,78,5,1,,MonsterAI-Spd-Pumpkin,
Monster_lv1_3,,,Cactus Warrior,,,79,5,1,,MonsterAI-Def-Cactus,
Monster_lv2_1,,,Mine Cat,,,80,5,1,,MonsterAI-Def-MineCat,
Monster_lv2_2,,,Leafy Lurker,,,81,5,1,,MonsterAI-Attack-LeafLurker,
Monster_lv2_3,,,Buzz Buddy,,,82,5,1,,MonsterAI-Spd-BuzzBuddy,
Monster_lv3_1,,,Chaos Wraith,,,83,5,1,,MonsterAI-Spd-ChaosWraith,
Monster_lv3_2,,,Crimson Gnasher,,,84,5,1,,MonsterAI-Attack-Crimson,
Monster_lv3_3,,,Frosty Paw,,,85,5,1,,MonsterAI-Def-FrostyPow,
Monster_lv2_boss,,,Monster_CyberRaze,,,86,5,1,,MonsterAI-Ranged-CyberRaze,
Monster_lv3_boss,,,Lord of Frosty,,,87,5,1,,MonsterAI-Warrior-FrostyLord,
Monster_Trap_buff,GGGrasslands - Spikes (Split) - 2_mp3,GGGrasslands - Carrot Death_mp3,Buff怪陷阱,GGGrasslands - Hit 2_mp3,meethited_mp3,88,0,0,,MonsterAI_Trap_buff,
