dropList-int[][],id-int,extraDropList-int[][]
"77,1,1,10000",266,
"78,1,1,10000",267,
"183,1,1,10000",268,
"184,1,1,10000",269,
"185,1,1,10000",270,
"841,1,2,5000;893,1,1,3000;894,1,1,3000;895,1,1,3000;896,1,1,3000;897,1,1,3000;898,1,1,3000;899,1,1,3000",271,
"805,1,1,10000",272,
"815,1,4,10000",273,
"815,1,3,10000",274,
"815,1,2,10000",275,
"815,1,2,10000",276,
"816,1,22,10000",277,
"816,1,16,10000",278,
"816,1,11,10000",279,
"816,1,6,10000",280,
"817,1,92,10000",281,
"817,1,69,10000",282,
"817,1,46,10000",283,
"817,1,25,10000",284,
"818,1,4,10000",285,
"818,1,3,10000",286,
"818,1,2,10000",287,
"818,1,2,10000",288,
"819,1,22,10000",289,
"819,1,16,10000",290,
"819,1,11,10000",291,
"819,1,6,10000",292,
"820,1,92,10000",293,
"820,1,69,10000",294,
"820,1,46,10000",295,
"820,1,25,10000",296,
"937,1,1,10000",309,
"937,1,2,10000",310,
"937,1,4,10000",311,
