designateOptions-string,details-string,difficulty-int,expReward-int[][],id-int,isSelfEnd-bool,itemReward-int,name-string,level-int[][],preTaskReq-int[],chanceOptions-string,unlockDungeon-int[]
,Săn lùng chúng và mang lại một số món lợi.,0,"2,84",41,1,138,Chiến đấu hàng ngày cấp độ 1,,,"{""options"":[{""optionType"":4,""value"":""6,1,100"",""guiderPoint"":0},{""optionType"":4,""value"":""8,1,100"",""guiderPoint"":0},{""optionType"":4,""value"":""7,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""30,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""31,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""32,1,200"",""guiderPoint"":0}]}",
,Săn lùng chúng và mang lại một số món lợi.,0,"2,118",42,1,139,Chiến đấu hàng ngày cấp độ 2,,,"{""options"":[{""optionType"":4,""value"":""9,1,100"",""guiderPoint"":0},{""optionType"":4,""value"":""11,1,100"",""guiderPoint"":0},{""optionType"":4,""value"":""10,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""33,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""34,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""35,1,200"",""guiderPoint"":0}]}",
,Săn lùng chúng và mang lại một số món lợi.,0,"2,168",43,1,140,Chiến đấu hàng ngày cấp độ 3,,,"{""options"":[{""optionType"":4,""value"":""12,1,100"",""guiderPoint"":0},{""optionType"":4,""value"":""14,1,100"",""guiderPoint"":0},{""optionType"":4,""value"":""13,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""36,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""37,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""38,1,200"",""guiderPoint"":0}]}",
"{""options"":[{""optionType"":3,""value"":""30,1"",""guiderPoint"":0}]}",Đi đến trao đổi và mua một cái gì đó.,0,"1,117;2,117;3,117",44,0,0,Giao dịch 2,,37,,
"{""options"":[{""optionType"":1,""value"":""32,1"",""guiderPoint"":30102}]}","Terrance có thể ở trong thị trấn, hãy đi tìm anh ta và mang cho anh ta một số lưới dây.",0,"1,261",45,0,17,Nông dân Terrance,,23,,
"{""options"":[{""optionType"":3,""value"":""178,1"",""guiderPoint"":0}]}",Rỗng,0,,46,0,0,Bắt chó và đầu ra,,45,,
,Hãy cho tôi những thứ này.,0,"2,84",47,1,138,Chiến đấu hàng ngày cấp độ 1,,,"{""options"":[{""optionType"":1,""value"":""30,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""31,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""32,2,200"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"2,118",48,1,139,Chiến đấu hàng ngày cấp độ 2,,,"{""options"":[{""optionType"":1,""value"":""33,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""34,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""35,2,200"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"2,168",49,1,140,Chiến đấu hàng ngày cấp độ 3,,,"{""options"":[{""optionType"":1,""value"":""36,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""37,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""38,2,200"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"2,147",52,1,0,Phần thưởng chiến đấu cấp độ 1,,,"{""options"":[{""optionType"":1,""value"":""482,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""482,2,100"",""guiderPoint"":0},{""optionType"":1,""value"":""482,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""482,2,100"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"2,207",53,1,0,Phần thưởng chiến đấu cấp độ 2,,,"{""options"":[{""optionType"":1,""value"":""483,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""483,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""483,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""483,1,200"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"2,294",54,1,0,Phần thưởng chiến đấu cấp độ 3,,,"{""options"":[{""optionType"":1,""value"":""484,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""484,2,100"",""guiderPoint"":0},{""optionType"":1,""value"":""484,2,100"",""guiderPoint"":0},{""optionType"":1,""value"":""484,2,200"",""guiderPoint"":0}]}",
,Công việc nông trại.,0,"1,84",55,1,147,Nông nghiệp hàng ngày cấp độ 1,,,"{""options"":[{""optionType"":2,""value"":""146,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""147,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""148,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""146,2,200"",""guiderPoint"":0},{""optionType"":2,""value"":""147,2,200"",""guiderPoint"":0},{""optionType"":2,""value"":""148,2,200"",""guiderPoint"":0}]}",
,Công việc nông trại và nộp.,0,"1,84",56,1,147,Nông nghiệp hàng ngày cấp độ 1,,,"{""options"":[{""optionType"":2,""value"":""146,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""147,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""148,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""146,2,200"",""guiderPoint"":0},{""optionType"":2,""value"":""147,2,200"",""guiderPoint"":0},{""optionType"":2,""value"":""148,2,200"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"1,84",57,1,147,Nông nghiệp hàng ngày cấp độ 1,,,"{""options"":[{""optionType"":2,""value"":""146,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""147,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""148,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""146,2,200"",""guiderPoint"":0},{""optionType"":2,""value"":""147,2,200"",""guiderPoint"":0},{""optionType"":2,""value"":""148,2,200"",""guiderPoint"":0}]}",
,Công việc nông trại.,0,"1,118",58,1,148,Nông nghiệp hàng ngày cấp độ 2,,,"{""options"":[{""optionType"":2,""value"":""149,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""150,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""151,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""149,2,200"",""guiderPoint"":0},{""optionType"":2,""value"":""150,2,200"",""guiderPoint"":0},{""optionType"":2,""value"":""151,2,200"",""guiderPoint"":0}]}",
,Công việc nông trại và nộp.,0,"1,118",59,1,148,Nông nghiệp hàng ngày cấp độ 2,,,"{""options"":[{""optionType"":2,""value"":""149,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""150,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""151,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""149,2,200"",""guiderPoint"":0},{""optionType"":2,""value"":""150,2,200"",""guiderPoint"":0},{""optionType"":2,""value"":""151,2,200"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"1,118",60,1,148,Nông nghiệp hàng ngày cấp độ 2,,,"{""options"":[{""optionType"":2,""value"":""149,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""150,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""151,1,200"",""guiderPoint"":0},{""optionType"":2,""value"":""149,2,200"",""guiderPoint"":0},{""optionType"":2,""value"":""150,2,200"",""guiderPoint"":0},{""optionType"":2,""value"":""151,2,200"",""guiderPoint"":0}]}",
,Công việc nông trại.,0,"1,168",61,1,149,Nông nghiệp hàng ngày cấp độ 3,,,"{""options"":[{""optionType"":1,""value"":""78,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""76,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""77,2,200"",""guiderPoint"":0}]}",
,Công việc nông trại và nộp.,0,"1,168",62,1,149,Nông nghiệp hàng ngày cấp độ 3,,,"{""options"":[{""optionType"":1,""value"":""78,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""76,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""77,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""78,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""76,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""77,1,200"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"1,168",63,1,149,Nông nghiệp hàng ngày cấp độ 3,,,"{""options"":[{""optionType"":1,""value"":""78,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""76,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""77,2,200"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"1,147",64,1,0,Phần thưởng nông nghiệp cấp độ 1,,,"{""options"":[{""optionType"":1,""value"":""482,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""482,2,100"",""guiderPoint"":0},{""optionType"":1,""value"":""482,2,100"",""guiderPoint"":0},{""optionType"":1,""value"":""482,2,200"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"1,207",65,1,0,Phần thưởng nông nghiệp cấp độ 2,,,"{""options"":[{""optionType"":1,""value"":""483,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""483,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""483,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""483,1,200"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"1,294",66,1,0,Phần thưởng nông nghiệp cấp độ 3,,,"{""options"":[{""optionType"":1,""value"":""484,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""484,2,100"",""guiderPoint"":0},{""optionType"":1,""value"":""484,2,100"",""guiderPoint"":0},{""optionType"":1,""value"":""484,2,200"",""guiderPoint"":0}]}",
,Công việc thu thập.,0,"3,84",67,1,129,Thu thập hàng ngày cấp độ 1,,,"{""options"":[{""optionType"":3,""value"":""58,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""58,2,200"",""guiderPoint"":0},{""optionType"":3,""value"":""62,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""62,2,200"",""guiderPoint"":0},{""optionType"":3,""value"":""66,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""66,2,200"",""guiderPoint"":0}]}",
,Công việc thu thập và nộp.,0,"3,84",68,1,129,Thu thập hàng ngày cấp độ 1,,,"{""options"":[{""optionType"":1,""value"":""58,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""58,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""62,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""62,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""66,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""66,2,200"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"3,84",69,1,129,Thu thập hàng ngày cấp độ 1,,,"{""options"":[{""optionType"":3,""value"":""58,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""58,2,200"",""guiderPoint"":0},{""optionType"":3,""value"":""62,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""62,2,200"",""guiderPoint"":0},{""optionType"":3,""value"":""66,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""66,2,200"",""guiderPoint"":0}]}",
,Công việc thu thập.,0,"3,118",70,1,130,Thu thập hàng ngày cấp độ 2,,,"{""options"":[{""optionType"":3,""value"":""59,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""59,2,200"",""guiderPoint"":0},{""optionType"":3,""value"":""63,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""63,2,200"",""guiderPoint"":0},{""optionType"":3,""value"":""67,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""67,2,200"",""guiderPoint"":0}]}",
,Công việc thu thập và nộp.,0,"3,118",71,1,130,Thu thập hàng ngày cấp độ 2,,,"{""options"":[{""optionType"":1,""value"":""59,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""59,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""63,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""63,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""67,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""67,2,200"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"3,118",72,1,130,Thu thập hàng ngày cấp độ 2,,,"{""options"":[{""optionType"":3,""value"":""59,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""59,2,200"",""guiderPoint"":0},{""optionType"":3,""value"":""63,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""63,2,200"",""guiderPoint"":0},{""optionType"":3,""value"":""67,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""67,2,200"",""guiderPoint"":0}]}",
,Công việc thu thập.,0,"3,168",73,1,131,Thu thập hàng ngày cấp độ 3,,,"{""options"":[{""optionType"":3,""value"":""68,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""68,2,200"",""guiderPoint"":0},{""optionType"":3,""value"":""64,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""64,2,200"",""guiderPoint"":0},{""optionType"":3,""value"":""60,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""60,2,200"",""guiderPoint"":0}]}",
,Công việc thu thập và nộp.,0,"3,168",74,1,131,Thu thập hàng ngày cấp độ 3,,,"{""options"":[{""optionType"":1,""value"":""68,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""68,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""64,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""64,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""60,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""60,2,200"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"3,168",75,1,131,Thu thập hàng ngày cấp độ 3,,,"{""options"":[{""optionType"":3,""value"":""68,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""68,2,200"",""guiderPoint"":0},{""optionType"":3,""value"":""64,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""64,2,200"",""guiderPoint"":0},{""optionType"":3,""value"":""60,1,200"",""guiderPoint"":0},{""optionType"":3,""value"":""60,2,200"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"3,147",76,1,0,Phần thưởng thu thập cấp độ 1,,,"{""options"":[{""optionType"":1,""value"":""482,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""482,2,100"",""guiderPoint"":0},{""optionType"":1,""value"":""482,2,100"",""guiderPoint"":0},{""optionType"":1,""value"":""482,2,200"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"3,207",77,1,0,Phần thưởng thu thập cấp độ 1,,,"{""options"":[{""optionType"":1,""value"":""483,1,200"",""guiderPoint"":0},{""optionType"":1,""value"":""483,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""483,1,100"",""guiderPoint"":0},{""optionType"":1,""value"":""483,1,200"",""guiderPoint"":0}]}",
,Hãy cho tôi những thứ này.,0,"3,294",78,1,0,Phần thưởng thu thập cấp độ 1,,,"{""options"":[{""optionType"":1,""value"":""484,2,200"",""guiderPoint"":0},{""optionType"":1,""value"":""484,2,100"",""guiderPoint"":0},{""optionType"":1,""value"":""484,2,100"",""guiderPoint"":0},{""optionType"":1,""value"":""484,2,200"",""guiderPoint"":0}]}",
