areaSort-int,deathDrop-int[],deathEXPDrop-int,deathTaxation-int[][],desc-string,id-int,lockBackpack-bool,name-string,type-int
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0",Không có hình phạt chết ,29,0, Trại tìm đối thủ,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0",Không có hình phạt chết ,30,0,Bàn thờ tái sinh,1
0,"30,20,10",3,"30,10,5;30,15,10;30,20,15",Hình phạt chết nhẹ (Tỷ lệ số mục trong túi) ,31,0,Thách thức,2
0,"30,20,10",3,"30,10,5;30,15,10;30,20,15",Hình phạt chết nhẹ (Tỷ lệ số mục trong túi) ,32,0,Vùng cổ đại - Núi lửa,2
0,"30,20,10",3,"30,10,5;30,15,10;30,20,15",Hình phạt chết nhẹ (Tỷ lệ số mục trong túi) ,33,0,Vùng cổ đại - Hang động,2
0,"30,20,10",3,"30,10,5;30,15,10;30,20,15",Hình phạt chết nhẹ (Tỷ lệ số mục trong túi) ,34,0,Vùng cổ đại - Di tích,2
0,"30,20,10",3,"30,10,5;30,15,10;30,20,15",Hình phạt chết nhẹ (Tỷ lệ số mục trong túi) ,35,0,Hoang dã,2
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0",Không có hình phạt chết ,36,0,Cây cầu,1
0,"30,20,15",5,"30,10,5;30,15,10;30,20,15",Hình phạt chết vừa (Tỷ lệ số mục trong túi) ,37,1,Đấu trường,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0",Không có hình phạt chết ,38,0, Thử thách hàng ngày,1
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0",Không có hình phạt chết ,39,1, Sân tập 1/3,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0",Không có hình phạt chết ,40,1, Sân tập 2/3,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0",Không có hình phạt chết,41,1, Sân tập 3/3,3
0,"0,0,0",2,"0,0,0;0,0,0;0,0,0",,42,0,,1
