ability-int[][],autoHarvest-bool,breedingDifficulty-int,extendSkill-int[],harvestAction-int,harvestDropId-int,harvestTime-int,hungerSpeed-int,id-int,initialAttribute-int[][],maxHunger-int,potWashingItem-int[],requiredHappiness-int,requiredProficiency-int,toEggProbability-int,upgradeEXP-int[]
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,0,0,0,0,18,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,200,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,0,0,0,0,19,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,11,74,100,1,26,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",1000,"66,1",10,400,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,12,75,100,1,27,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",1000,"66,1",10,400,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,12,76,100,1,28,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",1000,"66,1",10,400,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,11,77,100,1,29,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",1000,"66,1",10,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,11,78,100,1,30,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",1000,"66,1",10,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,12,79,100,1,31,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",1000,"66,1",10,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,11,80,100,1,32,"13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",1000,"66,1",10,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,11,81,100,1,33,"13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",1000,"66,1",10,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,12,82,100,1,34,"13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",1000,"66,1",10,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,0,0,0,0,47,"13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,100,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,0,0,0,0,45,"13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,100,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,0,0,0,0,46,"13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,100,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,0,0,0,0,50,"13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,400,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,0,0,0,0,49,"13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,0,0,0,0,48,"13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,0,0,0,0,51,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,400,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,0,0,0,0,52,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,0,0,0,0,53,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,11,43,100,1,57,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",1000,"66,1",10,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,12,44,100,1,58,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",1000,"66,1",10,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,0,0,0,0,59,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,200,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,0,0,0,0,62,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,11,0,0,0,63,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,700,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,11,0,0,0,64,"13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,700,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,12,0,0,0,67,"13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,700,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,0,0,0,0,68,"13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,700,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,800,448;3,800,449;4,100,450;5,1000,0;6,100,0",0,10,14,0,0,0,0,69,"13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,1;17,100,1;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,0,1;49,0,1;38,10,1;7,500,0;12,10,0",0,"66,1",10,700,750,"100,200,300,400,500,600,700,800"
