canDropScene-int[],canMint-int,desc-string,givenSkillId-int,icon-string,id-int,name-string,quality-int[],subType-int,talentId-int[],tokenTaskLevel-int[],tokenTaskRefreshType-int,type-int,useLv-int,userType-int
0,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Nâng cao sức mạnh tấn công chiến đấu của bạn
-------
Một vũ khí sắc bén và chắc chắn được rèn từ sắt, có khả năng chém xuyên qua kẻ thù một cách dễ dàng. Trọng lượng của nó mang lại sự hài lòng, cho phép đánh đòn mạnh mẽ khiến đối thủ bị choáng. 
",0,item-icon-41,41,Lv 2 Kiếm sắt,"1,2",0,2,999,0,1,2,1
0,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Nâng cao sức mạnh tấn công chiến đấu của bạn
-------
Một vũ khí mạnh mẽ được rèn từ tinh thể tinh khiết, có khả năng chém xuyên qua kẻ thù một cách dễ dàng. Lưỡi kiếm lấp lánh của nó phản chiếu ánh sáng, làm choáng đối thủ và gieo rắc nỗi sợ hãi vào trái tim của họ. Mỗi lần đánh, Thanh Kiếm Pha Lê phóng ra một sự kết hợp chết người giữa tốc độ và chính xác.
",0,item-icon-42,42,Lv 3 Kiếm pha lê,"1,2,3",0,2,999,0,1,3,1
0,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Nâng cao sức mạnh tấn công chiến đấu của bạn
-------
Một vũ khí gỗ chắc chắn được chế tạo cho những đòn đánh nhanh và chính xác, hoàn hảo cho người mới bắt đầu rèn kỹ năng chiến đấu. Thiết kế nhẹ nhàng của nó cho phép di chuyển linh hoạt, làm cho nó trở thành lựa chọn lý tưởng cho những người tìm kiếm một vũ khí đa năng và đáng tin cậy.
",0,item-icon-39,39,Lv 0 Kiếm gỗ,1,0,2,999,0,1,0,1
4,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Tăng khả năng sống sót trong các trận đấu
-------
Một phụ kiện thời trang sang trọng, mang đến một chút thanh lịch cho bất kỳ trang phục nào. Được chế tạo với những chi tiết tinh xảo, chiếc nhẫn này tỏa ra sự tinh tế và quyến rũ. Thiết kế độc đáo của nó chắc chắn thu hút sự chú ý của những người yêu thời trang.
",0,item-icon-43,43,Lv 1 Vòng đầu vụn,1,0,2,999,0,1,1,1
4,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Tăng khả năng sống sót trong các trận đấu
-------
Chiếc mũ này được làm từ một chất liệu độc đáo, mang lại cảm giác cực kỳ mềm mại khi tiếp xúc với da. Nó mang lại sự vừa vặn sang trọng và thoải mái, làm cho nó hoàn hảo cho những buổi chơi game dài.
",0,item-icon-44,44,Lv 2 Mũ da pha lê mềm,"1,2",0,2,999,0,1,2,1
4,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Tăng khả năng sống sót trong các trận đấu
-------
Mũ bảo hiểm mạnh mẽ được chế tạo từ những viên pha lê lấp lánh, mang lại sự bảo vệ đặc biệt mà không làm giảm tính linh hoạt. Ánh sáng quyến rũ của nó mang lại tầm nhìn nâng cao cho người mang trong các hang động tối tăm.
",0,item-icon-45,45,Lv 3 Mũ đá pha lê,"1,2,3",0,2,999,0,1,3,1
4,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Tăng khả năng sống sót trong các trận đấu
-------
Áo giáp này, với thiết kế pha lê vỡ, tỏa ra một khí chất của sự kiên cường và quyền lực. Bề mặt lấp lánh của nó phản chiếu ánh sáng, thu hút mọi ánh nhìn. Là biểu tượng của sức mạnh và sự bền bỉ, nó là một món đồ không thể thiếu đối với bất kỳ chiến binh kỳ cựu nào.
",0,item-icon-46,46,Lv 1 Áo giáp pha lê vỡ,1,0,2,999,0,1,1,1
4,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Tăng khả năng sống sót trong các trận đấu
-------
Áo giáp này được chế tạo từ một chất liệu giống như pha lê độc đáo, mang lại sự bảo vệ đặc biệt mà không làm giảm tính di động. Thiết kế mượt mà và bề mặt lấp lánh của nó là một kiệt tác thực sự của nghệ thuật. Với Áo giáp Da Pha Lê, bạn sẽ cảm thấy bất khả chiến bại trên chiến trường.
",0,item-icon-47,47,Lv 2 Áo giáp da pha lê,"1,2",0,2,999,0,1,2,1
4,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Tăng khả năng sống sót trong các trận đấu
-------
Áo giáp mạnh mẽ được rèn từ tinh thể pha lê, mang lại sự bảo vệ vô song chống lại cả tấn công vật lý và phép thuật. Bề mặt lấp lánh phản chiếu ánh sáng, làm choáng kẻ thù và gieo rắc nỗi sợ hãi vào trái tim của họ. Khi mặc áo giáp này, người mặc sẽ có một ánh sáng bất khả chiến bại, biến họ thành một lực lượng không thể ngăn cản trên chiến trường.
",0,item-icon-48,48,Lv 3 Áo giáp đá pha lê,"1,2,3",0,2,999,0,1,3,1
4,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Tăng khả năng sống sót trong các trận đấu
-------
Một mảnh vải độc đáo được làm từ những viên pha lê tinh tế, chiếc váy cỏ này mang đến một chút thanh lịch cho bất kỳ trang phục nào. Độ vỡ của nó tạo ra một sự hấp dẫn và quyến rũ bí ẩn, khiến nó trở thành một món đồ không thể thiếu đối với những nhà thám hiểm yêu thời trang.
",0,item-icon-49,49,Lv 1 Váy cỏ pha lê vỡ,1,0,2,999,0,1,1,1
4,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Tăng khả năng sống sót trong các trận đấu
-------
Quần này được chế tạo từ một chất liệu giống như pha lê, mang lại sự bảo vệ vượt trội và độ bền cao. Bề mặt lấp lánh phản chiếu ánh sáng, khiến người mặc trở nên thần bí và huyền bí.
",0,item-icon-50,50,Lv 2 Quần da pha lê,"1,2",0,2,999,0,1,2,1
4,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Tăng khả năng sống sót trong các trận đấu
-------
Găng tay này được chế tạo từ một chất liệu giống như pha lê, mang lại một cảm giác mượt mà và mềm mại, tăng cường độ bám và sự linh hoạt. Thiết kế nhẹ nhàng cho phép di chuyển dễ dàng, làm cho nó trở thành lựa chọn yêu thích của những người chơi tìm kiếm sự chính xác và thoải mái.
",0,item-icon-51,51,Lv 3 Quần giáp đá pha lê,"1,2,3",0,2,999,0,1,3,1
4,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Tăng khả năng sống sót trong các trận đấu
-------
Một găng tay mạnh mẽ được truyền năng lượng từ những viên pha lê, mang lại sức mạnh gia tăng và khả năng điều khiển các yếu tố nguyên tố. Tận dụng sức mạnh tự nhiên và phóng ra những đòn tấn công tàn phá đối với kẻ thù của bạn. Chiếm ưu thế trên chiến trường với Găng tay Đá Pha Lê!
",0,item-icon-52,52,Lv 1 Vòng tay pha lê vỡ,1,0,2,999,0,1,1,1
4,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Tăng khả năng sống sót trong các trận đấu
-------
Đôi giày này được làm từ một chất liệu độc đáo mang lại độ bám và lực kéo tuyệt vời, làm cho chúng hoàn hảo cho việc di chuyển trên các bề mặt trơn trượt. Thiết kế vỡ của pha lê thêm một chút thanh lịch và huyền bí cho trang phục của bạn. Hãy mang chúng và cảm nhận sự tự tin khi bước lên mọi địa hình.
",0,item-icon-53,53,Lv 2 Găng tay da pha lê,"1,2",0,2,999,0,1,2,1
4,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Tăng khả năng sống sót trong các trận đấu
-------
Đôi giày này được chế tạo với thiết kế giống như viên đá pha lê, thêm một chút thanh lịch cho mỗi bước đi của bạn. Những viên đá lấp lánh được gắn vào giày tạo ra hiệu ứng quyến rũ, khiến bạn trở thành trung tâm của sự chú ý bất kỳ nơi nào bạn đi. Hãy mang những đôi giày tuyệt đẹp này và cảm nhận sự mê hoặc mà chúng mang lại cho trang phục của bạn.
",0,item-icon-54,54,Lv 3 Găng tay đá pha lê,"1,2,3",0,2,999,0,1,3,1
4,1,"Có người từng thấy vật liệu này bên bờ biển.
Nó có thể được sử dụng để chế tạo thiết bị hoặc vật phẩm.
-------
Đây là một loại đá cấp 1 và có thể được sử dụng để thu thập nguyên liệu thô như cây cối.
",0,item-icon-55,55,Lv 1 Giày cỏ pha lê vỡ,1,0,2,999,0,1,1,1
4,1,"Có người từng thấy vật liệu này trong hẻm núi.
Nó có thể được sử dụng để chế tạo thiết bị hoặc vật phẩm.
-------
Quặng sắt đen là một nguyên liệu thô phụ có thể thu được thông qua khai thác. Nó có màu đen, có cấu trúc cứng và chứa nhiều nguyên tố sắt.
",0,item-icon-56,56,Lv 2 Giày da pha lê,"1,2",0,2,999,0,1,2,1
4,1,"Có người từng thấy vật liệu này trên Núi Tuyết.
Nó có thể được sử dụng để chế tạo thiết bị hoặc vật phẩm.
-------
Đây là một loại quặng tinh thể màu đỏ cấp ba có thể thu thập trong rừng. Đây là một nguyên liệu thô quan trọng có thể được sử dụng để chế tạo các thiết bị và vật phẩm khác nhau.
",0,item-icon-57,57,Lv 3 Giày đá pha lê,"1,2,3",0,2,999,0,1,3,1
"1,3,4",1,"Có người từng thấy vật liệu này bên bờ biển.
Nó có thể được sử dụng để chế tạo thiết bị hoặc vật phẩm.
-------
Đá này là loại đầu tiên và có thể được sử dụng để thu thập nguyên liệu thô như cây cối.
",0,item-icon-58,58,Lv 1 Khoáng sản,1,0,3,"1,0",1,4,1,1
"1,3,4",1,"Có người từng thấy vật liệu này trong hẻm núi.
Nó có thể được sử dụng để chế tạo thiết bị hoặc vật phẩm.
-------
Quặng sắt đen là một nguyên liệu thô phụ có thể được thu được thông qua khai thác. Nó có màu đen, có cấu trúc cứng và chứa nhiều nguyên tố sắt.
",0,item-icon-59,59,Lv 2 Sắt đen,1,0,3,2,1,4,2,1
"1,3,4",1,"Có người từng thấy vật liệu này trên Núi Tuyết.
Nó có thể được sử dụng để chế tạo thiết bị hoặc vật phẩm.
-------
Đây là một loại quặng tinh thể màu đỏ cấp ba có thể thu thập trong rừng. Đây là một nguyên liệu quan trọng có thể được sử dụng để chế tạo các thiết bị và vật phẩm khác nhau.
",0,item-icon-60,60,Lv 3 Quặng pha lê đỏ,1,0,3,3,1,4,3,1
"1,3,4",1,"Có người từng thấy vật liệu này bên bờ biển.
Nó có thể được sử dụng để chế tạo thiết bị hoặc vật phẩm.
-------
Loại gỗ này thường được sử dụng để làm đồ nội thất đơn giản hoặc vật liệu xây dựng. Cấu trúc của nó tương đối mềm, dễ dàng xử lý và khắc.",0,item-icon-62,62,Lv 1 Gỗ thông thường,1,0,3,"1,0",1,4,1,1
"1,3,4",1," Một người từng thấy vật liệu này ở sa mạc.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Cây sa mạc là một loại cây mọc trong sa mạc. Chúng thường có chiều cao thấp, thân cây dày và lá màu xanh nhạt. Chúng có thể được sử dụng để thu thập nguyên liệu và phù hợp để chế tạo một số vật phẩm đặc biệt.
",0,item-icon-63,63,Lv 2 Gỗ cây sa mạc,1,0,3,2,1,4,2,1
"1,3,4",1," Một người từng thấy vật liệu này ở Rừng Đỏ.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Gỗ tối màu là một loại gỗ cao cấp với vân đen và cấu trúc cứng, phù hợp để chế tạo đồ nội thất và đồ thủ công cao cấp. Nó chỉ có thể được thu hoạch tại các điểm thu thập cụ thể, điều này khá khó khăn nhưng cũng rất lợi nhuận.
",0,item-icon-64,64,Lv 3 Gỗ đen,1,0,3,3,1,4,3,1
"1,3,4",1," Bạn có thể thu được loại vật liệu này thông qua việc trồng trọt.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Loại tre này là sản phẩm nông nghiệp và là một loại cây được sử dụng để chế tạo nhiều nguyên liệu nông nghiệp khác nhau. Nó rất phổ biến trong nông nghiệp và có thể phát triển rất nhanh.
",0,item-icon-70,70,Lv 1 Tre,1,0,1,"1,0",1,4,1,1
"1,3,4",1," Bạn có thể thu được loại vật liệu này thông qua việc trồng trọt.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Mục này là một nguyên liệu nông nghiệp, thường có thể thu hoạch ở cấp độ Lv 1. Hình dạng của nó giống như ba chiếc lá, do đó nó được gọi là ba lá. Nó có thể được sử dụng để chế tạo nhiều vật phẩm khác nhau và là một nguồn tài nguyên rất hữu ích.
",0,item-icon-71,71,Lv 1 Cỏ ba lá,1,0,1,"1,0",1,4,1,1
"1,3,4",1," Bạn có thể thu được loại vật liệu này thông qua việc trồng trọt.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Cà rốt này là một sản phẩm nông nghiệp cấp độ 1 có thể thu được trong lĩnh vực nông nghiệp. Đây là một nguyên liệu quan trọng.
",0,item-icon-72,72,Lv 1 Cà rốt,1,0,1,"1,0",1,4,1,1
"1,3,4",1," Bạn có thể thu được loại vật liệu này thông qua việc trồng trọt.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Cây bình hoa là một loại cây độc đáo có thể thu hút và bắt côn trùng làm thức ăn. Chúng được coi là một trong những sản phẩm nông nghiệp và có thể được sử dụng làm nguyên liệu trong lĩnh vực nông nghiệp.
",0,item-icon-73,73,Lv 2 Cây bình,1,0,1,2,1,4,2,1
"1,3,4",1," Bạn có thể thu được loại vật liệu này thông qua việc trồng trọt.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Loại bông này có chất lượng hạng hai và phù hợp để sản xuất vải.
",0,item-icon-74,74,Lv 2 Bông,1,0,1,2,1,4,2,1
"1,3,4",1," Bạn có thể thu được loại vật liệu này thông qua việc trồng trọt.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Quả kiên nhẫn này là một nguyên liệu nông nghiệp được sản xuất, có thể trồng trong trang trại cấp độ 2 và cho ra 2-3 quả mỗi lần. Nó có đặc điểm là bền bỉ và thời gian bảo quản lâu dài, và là nguyên liệu quan trọng để chế biến nhiều loại thực phẩm và thuốc.
",0,item-icon-75,75,Lv 2 Trái cây bền bỉ,1,0,1,2,1,4,2,1
"1,3,4",1," Bạn có thể thu được loại vật liệu này thông qua việc trồng trọt.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Loại ớt cay này là cấp độ 3 và cực kỳ cay, phù hợp cho những người thích ăn cay. Nó được sản xuất bởi nông nghiệp và có thể trồng trong cánh đồng. Là một nguyên liệu nông nghiệp, nó có thể được sử dụng để chế biến nhiều sản phẩm ớt khác nhau, như tương ớt và dầu ớt.
",0,item-icon-76,76,Lv 3 Ớt cay,1,0,1,3,1,4,3,1
"1,3,4",1," Bạn có thể thu được loại vật liệu này thông qua việc trồng trọt.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Quả cứng này là một nguyên liệu nông nghiệp có năng suất cao, có thể được sử dụng để chế biến nhiều loại thực phẩm và thuốc. Nó có cấu trúc cứng và chứa nhiều thành phần dinh dưỡng, là một phần không thể thiếu của sản xuất nông nghiệp.
",0,item-icon-77,77,Lv 3 Trái cây cứng,1,0,1,3,1,4,3,1
"1,3,4",1," Bạn có thể thu được loại vật liệu này thông qua việc trồng trọt.
Nó có thể được sử dụng để chế tạo trang bị hoặc vật phẩm.
-------
Loại nấm xanh này là một loại nấm cao cấp thường được sản xuất trong lĩnh vực nông nghiệp. Đây là một nguyên liệu quý giá có thể được sử dụng để chế biến thuốc và món ăn ngon.
",0,item-icon-78,78,Lv 3 Nấm xanh,1,0,1,3,1,4,3,1
0,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Mở khóa các sản phẩm nông nghiệp cấp cao hơn
-------
Cuốc May Mắn là một công cụ mạnh mẽ giúp tăng hiệu suất trồng trọt và tăng năng suất mùa màng. Nó tỏa ra một ánh sáng thiêng liêng, truyền cảm hứng cho mỗi đòn đánh với những phước lành thúc đẩy sự phát triển khỏe mạnh và mùa màng bội thu. Với cuốc may mắn này trong tay, người chơi có thể cày đất dễ dàng và trải nghiệm niềm vui thu hoạch thành quả từ công việc chăm chỉ của mình.
",0,item-icon-79,79,Lv 0 Cuốc gỗ,1,0,1,999,0,1,0,1
0,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Mở khóa các sản phẩm nông nghiệp cấp cao hơn
-------
Ống nước gỗ này là một thiết bị phù hợp cho nông nghiệp, có thể được sử dụng để chứa nước sạch hoặc nước tưới cây.
",0,item-icon-80,80,Lv 1 Cuốc sắt,1,0,1,999,0,1,1,1
0,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Mở khóa các sản phẩm nông nghiệp cấp cao hơn
-------
Một công cụ nấu ăn chắc chắn và đáng tin cậy được làm từ sắt bền. Nó nhanh chóng và đều nhiệt, cho phép nấu ăn hiệu quả. Tay cầm thiết kế theo nguyên tắc cơ học đảm bảo cầm nắm thoải mái khi đổ nước.
",0,item-icon-81,81,Lv 2 Cuốc nguyền rủa,"1,2",0,1,999,0,1,2,1
0,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Mở khóa các sản phẩm nông nghiệp cấp cao hơn
-------
Một ấm đun nước bí ẩn mang đến tai họa cho những người sở hữu nó, gây ra sự hỗn loạn và tuyệt vọng. Bầu không khí tối tăm của nó tỏa ra một sự hiện diện kỳ lạ, cám dỗ số phận với mỗi lần pha chế. Hãy cẩn thận, vì sức mạnh bị nguyền rủa của nó có thể biến ngay cả những người may mắn nhất thành nạn nhân của sự diệt vong của chính mình.
",0,item-icon-82,82,Lv 3 Cuốc ban phước,"1,2,3",0,1,999,0,1,3,1
0,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Mở khóa các sản phẩm nông nghiệp cấp cao hơn
-------
Một hiện vật linh thiêng mang lại phước lành và may mắn cho chủ sở hữu, tăng cường may mắn và mang lại cơ hội bất ngờ. Ấm đun nước thần bí này được cho là tỏa ra năng lượng tích cực, thu hút sự thịnh vượng và hạnh phúc bất cứ nơi nào nó đi qua. Một món đồ quý giá cho những người tìm kiếm sự can thiệp của thần linh trong cuộc sống của họ.
",0,item-icon-83,83,Lv 0 Ấm gỗ,1,0,1,999,0,1,0,1
0,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Nâng cao hiệu suất thu thập của bạn
-------
Một công cụ chắc chắn được làm từ gỗ, hoàn hảo cho việc khai thác và thu thập tài nguyên một cách hiệu quả. Độ bền của nó đảm bảo nó không dễ bị hỏng, làm cho nó trở thành một lựa chọn đáng tin cậy cho bất kỳ nhà thám hiểm nào.
",0,item-icon-84,84,Lv 1 Ấm sắt,1,0,1,999,0,1,1,1
0,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Nâng cao hiệu suất thu thập của bạn
-------
Một công cụ chắc chắn được làm từ sắt, hoàn hảo cho việc khai thác và khai thác các nguồn tài nguyên quý giá. Lưỡi sắc bén và cấu trúc bền vững của nó làm cho nó trở thành một món đồ thiết yếu cho bất kỳ nhà thám hiểm nào. Với cái cuốc này trong tay, bạn sẽ có thể đào sâu hơn và khám phá những kho báu ẩn giấu.
",0,item-icon-85,85,Lv 2 Ấm nguyền rủa,"1,2",0,1,999,0,1,2,1
0,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Nâng cao hiệu suất thu thập của bạn
-------
Cuốc bị nguyền rủa này có thể giúp bạn thu thập cây và quặng nhanh hơn. Đây là một thiết bị cấp 2 với khả năng thu thập mạnh mẽ.
",0,item-icon-86,86,Lv 3 Ấm ban phước,"1,2,3",0,1,999,0,1,3,1
0,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Nâng cao hiệu suất thu thập của bạn
-------
Cuốc May Mắn, một công cụ linh thiêng được ban cho sức mạnh thần thánh, dễ dàng chẻ qua những tảng đá khó nhất, để lại sau lưng những mảnh vụn lấp lánh. Lưỡi sắc bén của nó tỏa sáng với ánh sáng thiêng liêng, chỉ dẫn người khai thác đến những kho báu ẩn sâu trong lòng đất. Mỗi lần đánh, nó ban phước may mắn và thịnh vượng, trở thành một người bạn không thể thiếu cho bất kỳ nhà thám hiểm nào.
",0,item-icon-87,87,Lv 0 Cái cuốc gỗ,1,0,3,999,0,1,0,1
0,1,"Bạn có thể thu được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Nâng cao hiệu suất thu thập của bạn
-------
Cái cuốc này là một công cụ gỗ chắc chắn, phù hợp cho công việc khai thác và thu thập tài nguyên một cách hiệu quả. Độ bền của nó đảm bảo nó không dễ bị hỏng, làm cho nó trở thành một lựa chọn đáng tin cậy cho bất kỳ nhà thám hiểm nào.
",0,item-icon-88,88,Lv 1 Cái cuốc sắt,1,0,3,999,0,1,1,1
0,1,"Bạn có thể nhận được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Nâng cao hiệu suất thu thập của bạn
-------
Cái cuốc bị nguyền rủa này có thể giúp bạn thu thập cây và quặng nhanh hơn. Đây là một trang bị cấp 2 với khả năng thu thập mạnh mẽ.
",0,item-icon-89,89,Lv 2 Cái cuốc nguyền rủa,"1,2",0,3,999,0,1,2,1
0,1,"Bạn có thể nhận được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Nâng cao hiệu suất thu thập của bạn
-------
Cái cuốc may mắn, một công cụ linh thiêng được ban tặng sức mạnh thần thánh, dễ dàng chặt qua những tảng đá cứng nhất, để lại sau lưng một dòng chảy của những mảnh vụn lấp lánh. Lưỡi kiếm phép thuật của nó tỏa sáng với ánh sáng rực rỡ, dẫn dắt các thợ mỏ tìm kiếm những kho báu ẩn sâu trong lòng đất. Mỗi lần đánh, nó mang lại những phước lành và thịnh vượng, biến nó trở thành một người bạn không thể thiếu đối với bất kỳ nhà thám hiểm nào.
",0,item-icon-90,90,Lv 3 Cái cuốc ban phước,"1,2,3",0,3,999,0,1,3,1
0,1,"Bạn có thể nhận được mục này thông qua tổng hợp.
Khi trang bị, nó có thể tăng cường thuộc tính. Nâng cao hiệu suất thu thập của bạn
-------
Cái rìu gỗ này là một công cụ gỗ, phù hợp cho công việc thu thập ngoài trời. Đây là một loại trang bị có thể giúp bạn hoàn thành nhiệm vụ thu thập một cách hiệu quả hơn.
",0,item-icon-91,91,Lv 0 Cái rìu gỗ,1,0,3,999,0,1,0,1
