ability-int[][],autoHarvest-bool,breedingDifficulty-int,eggItemId-int,extendSkill-int[],harvestAction-int,harvestDropId-int,harvestTime-int,hungerSpeed-int,id-int,incubationDuration-int,incubationMat-int[][],initialAttribute-int[][],maxHunger-int,potWashingItem-int[],requiredHappiness-int,requiredProficiency-int,toEggProbability-int,upgradeEXP-int[]
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,678,"435,446,447",12,75,100,1,27,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,400,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,679,"435,446,447",12,76,100,1,28,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,400,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,680,"435,446,447",11,77,100,1,29,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,681,"435,446,447",11,78,100,1,30,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,682,"435,446,447",12,79,100,1,31,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,683,"435,446,447",11,80,100,1,32,100,"66,5;213,2","13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,684,"435,446,447",11,81,100,1,33,100,"66,5;213,2","13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,685,"435,446,447",12,82,100,1,34,100,"66,5;213,2","13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,670,"435,446,447",11,36,100,1,47,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,100,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,671,"435,446,447",12,37,100,1,45,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,100,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,672,"435,446,447",12,38,100,1,46,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,100,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,673,"435,446,447",11,40,100,1,50,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,200,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,674,"435,446,447",11,41,100,1,49,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,200,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,675,"435,446,447",12,39,100,1,48,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,200,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,676,"435,446,447",11,42,100,1,51,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,677,"435,446,447",11,43,100,1,52,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,678,"435,446,447",12,44,100,1,53,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,677,"435,446,447",11,74,100,1,96,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,400,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,678,"435,446,447",12,75,100,1,97,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,400,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,679,"435,446,447",12,76,100,1,98,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,400,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,680,"435,446,447",11,77,100,1,101,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,681,"435,446,447",11,78,100,1,99,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,682,"435,446,447",12,79,100,1,100,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,500,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,683,"435,446,447",11,80,100,1,103,100,"66,5;213,2","13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,684,"435,446,447",11,81,100,1,104,100,"66,5;213,2","13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,685,"435,446,447",12,82,100,1,102,100,"66,5;213,2","13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,685,"435,446,447",11,0,100,1,57,100,"66,5;213,2","13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,685,"435,446,447",11,0,100,1,58,100,"66,5;213,2","13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",1000,"66,1",10,600,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,679,"435,446,447",12,0,0,0,59,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",0,"66,1",10,200,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,680,"435,446,447",12,0,0,0,62,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",0,"66,1",10,300,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,681,"435,446,447",12,0,0,0,63,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",0,"66,1",10,700,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,682,"435,446,447",11,0,0,0,64,100,"66,5;213,2","13,100,1;15,100,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,100,1;53,5,1;58,50,1;59,1,1;22,100,1;24,5,1;25,50,1;26,1,1;29,100,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",0,"66,1",10,700,750,"100,200,300,400,500,600,700,800"
"1,1000,0;2,1000,448;3,1000,449;4,1000,450;5,1000,0;6,1000,0",0,10,683,"435,446,447",11,0,0,0,67,100,"66,5;213,2","13,50,1;15,50,1;11,750,1;19,5,1;20,50,1;16,100,0;17,100,0;14,1,1;51,50,1;53,5,1;58,50,1;59,1,1;22,50,1;24,5,1;25,50,1;26,1,1;29,50,1;31,5,1;32,50,1;33,1,1;54,100,1;55,100,1;56,100,1;43,100,1;49,100,1;38,10,1;7,500,0;12,10,0;27,10,0;34,10,0;46,10,0;39,10,0;69,10,0;40,10,0;41,10,0",0,"66,1",10,700,750,"100,200,300,400,500,600,700,800"
