IsBeHitBreakable-bool,IsIndependentLogic-bool,accuBreakable-bool,accuTime-int,attackCanMove-bool,effectEnemy-int[],effectForward-int[],forwardReleaseTime-int,id-int,isAutoUse-bool,isCheckHit-bool,isHoldSkill-bool,isReleastActLoop-bool,isRemote-bool,playProgress-bool,rangeTips-bool,releaseAct-string,releaseEff-string,releaseSound-string[],releaseSpd-int,releaseTime-int,skillCD-int,skillDesc-string,skillDistance-int,skillFlag-int[],skillFlyerId-int,skillName-string,skillRange-int[],skillShake-string[],targetFlag-int[],targetLock-bool,targetType-int[],homeAction-int[],homeAttRate-int,effectSelf-int[],skillIcon-string,hitEff-string,animRotate-int,skillAlertEffect-string,skillFlyerNum-int,accuEff-int,effectInit-int[],composeSkill-int[],costPropType-int[],maxAccuTime-int,itemCost-int[][],accuTab-string
0,0,0,0,0,21,,1500,41,1,1,1,0,0,0,0,attack,,monsterattack,,2000,5000,Test and analyze your character's range of available skills.,500,,0,Skill Pool Test Skills,"2,900",,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,,,0,42,0,1,0,0,0,0,0,,,,,100,-1,"Assess the efficiency of passive skills, utilizing superior strategy.",,1,0,Passive Skill Test,,,1,0,1,,,,,,,,,0,32,,,,,
0,0,0,0,0,,,0,43,0,1,0,0,0,0,0,,,,,100,-1,Evaluate the stacking potential of various character buffs.,,1,0,Passive Skill Test,,,1,0,1,,,,,,,,,0,33,,,,,
0,0,0,0,0,,,0,44,0,1,0,0,0,0,0,,,,,100,-1,Build resistance to dizziness and avoid potential combat pitfalls.,,2,0,Buff Stack Test,,,1,0,1,,,34,,,,,,0,,,,,,
0,0,0,0,0,23,,0,45,0,1,0,0,0,0,0,attack,,,,0,1000,Examine and optimize blood-related skills within your arsenal.,1,2,0,Dizziness Test,,,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,36,,150,46,0,1,0,0,0,0,0,skill_sword_attack1,skill_sword_attack1,knife01,14,670,-1,Elevate your sprinting capabilities with refined skill evaluation.,45,2,0,Blood Skill Test,"4,300,300,27000",,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,,"41,42",0,47,0,1,0,0,0,0,0,A-skill-chongci,,playerroll,,400,-1,Practice and improve your sprinting abilities during gameplay.,,2,0,Sprint Skill Test,"1,100,500,100",,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,,,0,48,0,1,0,0,0,0,0,,,,,0,-1,Perform a hand-to-hand attack that can also activate sword-related passive skills.,,1,0,Empty-Handed Attacks Trigger Sword Attack Passive,,,1,0,1,,,,,,,,,,43,,,,,
0,0,0,0,0,,,180,49,0,1,0,0,0,0,0,skill_attack1,,Punch,,670,-1,Develop and perfect a series of individual abilities in your character's skill set.,,2,0,Continuous Individual Skill Test,"2,500",,1,0,1,,,44,,,,,,,,,,,,
0,0,0,0,0,,,180,50,0,1,0,0,0,0,0,skill_attack1,,Punch,,670,-1,Hone your teamwork and collaborative abilities by testing a sequence of group-related skills.,,2,0,Continuous Group Skill Test,"2,500",,1,0,1,,,45,,,,,,,,,,,,
0,0,0,,0,,,,51,0,1,0,0,0,0,0,,,,,,-1,Achieve mastery in combat and expand your battle capabilities at various levels of expertise.,,1,0,Lv 1 Combat Mastery,,,1,0,1,,,,skill-icon-51,,,,,,46,,,,,
0,0,0,,0,,,,52,0,1,0,0,0,0,0,,,,,,-1,Achieve mastery in combat and expand your battle capabilities at various levels of expertise.,,1,0,Lv 2 Combat Mastery,,,1,0,1,,,,skill-icon-52,,,,,,47,,,,,
0,0,0,,0,,,,53,0,1,0,0,0,0,0,,,,,,-1,Achieve mastery in combat and expand your battle capabilities at various levels of expertise.,,1,0,Lv 3 Combat Mastery,,,1,0,1,,,,skill-icon-53,,,,,,48,,,,,
0,0,0,,0,,,,54,0,1,0,0,0,0,0,,,,,,-1,Achieve mastery in combat and expand your battle capabilities at various levels of expertise.,,1,0,Lv 4 Combat Mastery,,,1,0,1,,,,skill-icon-54,,,,,,49,,,,,
0,0,0,,0,,,,55,0,1,0,0,0,0,0,,,,,,-1,Achieve mastery in combat and expand your battle capabilities at various levels of expertise.,,1,0,Lv 5 Combat Mastery,,,1,0,1,,,,skill-icon-55,,,,,,50,,,,,
0,0,0,,0,,,,56,0,1,0,0,0,0,0,,,,,,-1,Achieve mastery in combat and expand your battle capabilities at various levels of expertise.,,1,0,Lv 6 Combat Mastery,,,1,0,1,,,,skill-icon-56,,,,,,51,,,,,
0,0,0,,0,,,,57,0,1,0,0,0,0,0,,,,,,-1,Achieve mastery in combat and expand your battle capabilities at various levels of expertise.,,1,0,Lv 7 Combat Mastery,,,1,0,1,,,,skill-icon-57,,,,,,52,,,,,
0,0,0,,0,,,,58,0,1,0,0,0,0,0,,,,,,-1,Achieve mastery in combat and expand your battle capabilities at various levels of expertise.,,1,0,Lv 8 Combat Mastery,,,1,0,1,,,,skill-icon-58,,,,,,53,,,,,
0,0,0,,0,,,,59,0,1,0,0,0,0,0,,,,,,-1,Achieve mastery in combat and expand your battle capabilities at various levels of expertise.,,1,0,Lv 9 Combat Mastery,,,1,0,1,,,,skill-icon-59,,,,,,54,,,,,
0,0,0,,0,,,,60,0,1,0,0,0,0,0,,,,,,-1,Enhance your damage output with a level 1 critical strike during combat.,,1,0,Lv 1 Combat Crit,,,1,0,1,,,,skill-icon-60,,,,,,55,,,,,
0,0,0,,0,,,,61,0,1,0,0,0,0,0,,,,,,-1,Make use of an even more powerful level 2 critical strike.,,1,0,Lv 2 Combat Crit,,,1,0,1,,,,skill-icon-61,,,,,,56,,,,,
0,0,0,,0,,,,62,0,1,0,0,0,0,0,,,,,,-1,Master the art of striking with a deadly level 3 critical hit.,,1,0,Lv 3 Combat Crit,,,1,0,1,,,,skill-icon-62,,,,,,57,,,,,
0,0,0,0,0,"58,238",22,350,63,0,1,0,0,0,0,0,A-skill-zhanzhengjianta,Skill_warTrampling,Skill_trampling,,665,5000,Dizzy enemies within a certain range,0,2,0,Trampling,"2,200",WarTrampling,1,0,1,,,,skill-icon-63,,,,,,,,,,,
0,0,0,0,0,"495,238,386,227","483,22",350,64,0,1,0,0,0,0,0,A-skill-zhanzhengjianta,Skill_warTrampling_3,Skill_trampling,,665,8000,"Dizzy enemies within a certain range, unable to hit during skill release",0,2,0,War Trampling,"2,300",WarTrampling,1,0,1,,,,skill-icon-64,,,,,,,,,,,
0,0,0,0,0,"457,445,388",22,550,65,0,1,0,0,0,0,0,A-chuisanlianji-2-NEW,Skill_Sweeping,Skill_Swepping,,1000,5000,Defeat a large area of enemies in front of you and cause temporary dizziness,0,2,0,Sweeping,"4,300,300,27000",WarTrampling,1,0,1,,,,skill-icon-65,,,,,,,,,,,
0,0,0,,0,,,,66,0,1,0,0,0,0,0,,,,,,-1,"1% chance for double crops, upgrade equipment to level 1.",,1,0,Lv 1 Farmers Mastery,,,1,0,1,,,,skill-icon-66,,,,,,"240,242,245,249",,,,,
0,0,0,,0,,,,67,0,1,0,0,0,0,0,,,,,,-1,"2% chance for double crops, upgrade equipment to level 2.",,1,0,Lv 2 Farmers Mastery,,,1,0,1,,,,skill-icon-67,,,,,,"243,242,246,249",,,,,
0,0,0,,0,,,,68,0,1,0,0,0,0,0,,,,,,-1,"3% chance for double crops, 2nd level crops, and level 3 equipment.",,1,0,Lv 3 Farmers Mastery,,,1,0,1,,,,skill-icon-68,,,,,,"244,242,247,249",,,,,
0,0,0,,0,,,,69,0,1,0,0,0,0,0,,,,,,-1,"4% chance for double crops, upgrade equipment to level 4.",,1,0,Lv 4 Farmers Mastery,,,1,0,1,,,,skill-icon-69,,,,,,"250,242,253,249",,,,,
0,0,0,,0,,,,70,0,1,0,0,0,0,0,,,,,,-1,"5% chance for double crops, equipment level up to 5.",,1,0,Lv 5 Farmers Mastery,,,1,0,1,,,,skill-icon-70,,,,,,"251,242,254,249",,,,,
0,0,0,,0,,,,71,0,1,0,0,0,0,0,,,,,,-1,"6% chance for double crops, 3rd level crops, equip level up to 6.",,1,0,Lv 6 Farmers Mastery,,,1,0,1,,,,skill-icon-71,,,,,,"252,242,255,249",,,,,
0,0,0,,0,,,,72,0,1,0,0,0,0,0,,,,,,-1,"7% chance for double crops, equipment level up to 7.",,1,0,Lv 7 Farmers Mastery,,,1,0,1,,,,skill-icon-72,,,,,,"242,249,271,274",,,,,
0,0,0,,0,,,,73,0,1,0,0,0,0,0,,,,,,-1,"8% chance for double crops, equipment level up to 8.",,1,0,Lv 8 Farmers Mastery,,,1,0,1,,,,skill-icon-73,,,,,,"242,249,272,275",,,,,
0,0,0,,0,,,,74,0,1,0,0,0,0,0,,,,,,-1,"9% chance for double crops, 4th level crops, equipment level up to 9.",,1,0,Lv 9 Farmers Mastery,,,1,0,1,,,,skill-icon-74,,,,,,"242,249,273,276",,,,,
0,0,0,,0,,,,75,0,1,0,0,0,0,0,,,,,,-1,Speed up hoe swing 10%.,,1,0,Lv 1 Hoe Expert,,,1,0,1,,,,skill-icon-75,,,,,,72,,,,,
0,0,0,,0,,,,76,0,1,0,0,0,0,0,,,,,,-1,Speed up hoe swing 20%.,,1,0,Lv 2 Hoe Expert,,,1,0,1,,,,skill-icon-76,,,,,,73,,,,,
0,0,0,,0,,,,77,0,1,0,0,0,0,0,,,,,,-1,Speed up hoe swing 30%.,,1,0,Lv 3 Hoe Expert,,,1,0,1,,,,skill-icon-77,,,,,,74,,,,,
0,0,0,,0,,,,78,0,1,0,0,0,0,0,,Skill_watering,ranged_RPG_attack5_audio,,,-1,Crop moisture +5% with your watering.,,1,0,Lv 1 Watering Expert,,,1,0,1,,,,skill-icon-78,,,,,,75,,,,,
0,0,0,,0,,,,79,0,1,0,0,0,0,0,,Skill_watering,ranged_RPG_attack5_audio,,,-1,Watering by you increases crop moisture by 10%.,,1,0,Lv 2 Watering Expert,,,1,0,1,,,,skill-icon-79,,,,,,76,,,,,
0,0,0,,0,,,,80,0,1,0,0,0,0,0,,Skill_watering,ranged_RPG_attack5_audio,,,-1,Watering by you increases crop moisture by 15%.,,1,0,Lv 3 Watering Expert,,,1,0,1,,,,skill-icon-80,,,,,,77,,,,,
0,0,0,,0,,,,81,0,1,0,0,0,0,0,,,,,,-1,"Double resource probability +1%, equipment level +1",,1,0,Lv 1 Collect Mastery,,,1,0,1,,,,skill-icon-81,,,,,,"265,266,267,268,269,270",,,,,
0,0,0,,0,,,,82,0,1,0,0,0,0,0,,,,,,-1,"Double resource probability +1%, equipment level +2.",,1,0,Lv 2 Collect Mastery,,,1,0,1,,,,skill-icon-82,,,,,,"265,266,267,268,269,270",,,,,
0,0,0,,0,,,,83,0,1,0,0,0,0,0,,,,,,-1,"Double resource collection +1%, more efficient at level 2, upgrade to level 3.",,1,0,Lv 3 Collect Mastery,,,1,0,1,,,,skill-icon-83,,,,,,"265,266,267,268,269,270",,,,,
0,0,0,,0,,,,84,0,1,0,0,0,0,0,,,,,,-1,"Double resource collection +1%, equipment level up to 4.",,1,0,Lv 4 Collect Mastery,,,1,0,1,,,,skill-icon-84,,,,,,"265,266,267,268,269,270",,,,,
0,0,0,,0,,,,85,0,1,0,0,0,0,0,,,,,,-1,"Double resource collection +1%, equipment level +5.",,1,0,Lv 5 Collect Mastery,,,1,0,1,,,,skill-icon-85,,,,,,"265,266,267,268,269,270",,,,,
0,0,0,,0,,,,86,0,1,0,0,0,0,0,,,,,,-1,"Double resource collection +1%, efficient level 3 collection, equipment level up to 6.",,1,0,Lv 6 Collect Mastery,,,1,0,1,,,,skill-icon-86,,,,,,"265,266,267,268,269,270",,,,,
0,0,0,,0,,,,87,0,1,0,0,0,0,0,,,,,,-1,"Double resource probability +1%, equipment level up to 7.",,1,0,Lv 7 Collect Mastery,,,1,0,1,,,,skill-icon-87,,,,,,"265,266,267,268,269,270",,,,,
0,0,0,,0,,,,88,0,1,0,0,0,0,0,,,,,,-1,"Double resource collection +1%, equipment level up to 8.",,1,0,Lv 8 Collect Mastery,,,1,0,1,,,,skill-icon-88,,,,,,"265,266,267,268,269,270",,,,,
0,0,0,,0,,,,89,0,1,0,0,0,0,0,,,,,,-1,"Double resource collection +1%, efficient collection 4th level, equip level +9.",,1,0,Lv 9 Collect Mastery,,,1,0,1,,,,skill-icon-89,,,,,,"265,266,267,268,269,270",,,,,
0,0,0,,0,,,,90,0,1,0,0,0,0,0,,,,,,-1,Swing axe faster by 10%.,,1,0,Lv 1 Axe Mastery,,,1,0,1,,,,skill-icon-90,,,,,,90,,,,,
0,0,0,,0,,,,91,0,1,0,0,0,0,0,,,,,,-1,Speed up axe swing by 20%.,,1,0,Lv 2 Axe Mastery,,,1,0,1,,,,skill-icon-91,,,,,,91,,,,,
0,0,0,,0,,,,92,0,1,0,0,0,0,0,,,,,,-1,Speed up axe swing by 30%.,,1,0,Lv 3 Axe Mastery,,,1,0,1,,,,skill-icon-92,,,,,,92,,,,,
0,0,0,,0,,,,93,0,1,0,0,0,0,0,,,,,,-1,Increase tree-cutting critical hit rate by 5%.,,1,0,Lv 1 Logging Skills,,,1,0,1,,,,skill-icon-93,,,,,,93,,,,,
0,0,0,,0,,,,94,0,1,0,0,0,0,0,,,,,,-1,10% increase in tree-cutting critical hit rate.,,1,0,Lv 2 Logging Skills,,,1,0,1,,,,skill-icon-94,,,,,,94,,,,,
0,0,0,,0,,,,95,0,1,0,0,0,0,0,,,,,,-1,15% increase in tree-cutting critical hit rate.,,1,0,Lv 3 Logging Skills,,,1,0,1,,,,skill-icon-95,,,,,,95,,,,,
0,0,0,0,0,,,0,30,0,1,1,1,0,0,0,A-fumo-NEW,Skill_touch,A-fumo-NEW_audio,,0,-1,Utilize the one-touch method for optimal results.,,2,0,Single Touch,,,1,0,1,10,1000,,,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,,,330,29,0,1,1,1,0,0,0,A-jinai-NEW,Skill_milking,playerroll,,400,-1,Milk a cow skillfully with a single hand squeeze.,,2,0,Single Milking,,,1,0,1,12,1000,,,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,,,330,28,0,1,1,1,0,0,0,A-jianmao-NEW,Skill_cutting,A-jianmao-NEW_audio,,400,-1,Give a precise and clean shear haircut with a single motion.,,2,0,Single Haircut,,,1,0,1,11,1000,,,skill_tree_hurt,,,,,,,,,,
0,0,0,0,0,,,280,27,0,1,0,0,0,0,0,A-bozhong-NEW,Skill_feeding,playerroll,,400,-1,Feed animals individually according to their needs.,,2,0,Individual Feeding,"4,300,150,27000",,1,0,1,9,,,,,,,,,,,,,,
1,0,0,,0,1,"191,217",667,96,1,1,0,0,0,0,0,attack,,Skill_Bee_attack,,1000,0,Bee attack.,450,2,0,Bee Attack,"4,300,200,12000",CameraShakeGrade_1,1,0,1,,,,,,,,,,,,,,,
0,0,0,0,0,,,200,97,0,1,0,0,0,0,0,A-bozhong-NEW,Skill_seeding_2,A-bozhong-NEW_audio,,660,-1,Develop your sowing skills for better planting results.,,2,0,Sowing Skills,,,1,0,1,2,,,skill-icon-97,skill_tree_hurt,,,,,,,,,,
0,0,0,0,0,,,200,98,0,1,0,0,0,0,0,A-bozhong-NEW,Skill_fertilize_2,playerroll,,660,-1,Master the art of fertilizing for healthier crops.,,2,0,Fertilizing Skill,,,1,0,1,4,,,skill-icon-98,skill_tree_hurt,,,,,,,,,,
0,0,0,0,0,419,,300,99,0,1,1,1,0,0,0,A1-jiaoguan-NEW,Skill_watering_2,ranged_RPG_attack5_audio,,660,15000,Range watering skill.,,2,0,Lv 1 Group Watering,"2,100",,1,0,1,3,700,,skill-icon-99,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,419,,300,100,0,1,1,1,0,0,0,A1-jiaoguan-NEW,Skill_watering_2,ranged_RPG_attack5_audio,,660,15000,Range watering skill.,,2,0,Lv 2 Group Watering,"2,200",,1,0,1,3,800,,skill-icon-100,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,419,,300,101,0,1,1,1,0,0,0,A1-jiaoguan-NEW,Skill_watering_2,ranged_RPG_attack5_audio,,660,15000,Range watering skill.,,2,0,Lv 3 Group Watering,"2,300",,1,0,1,3,900,,skill-icon-101,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,15,,300,102,0,1,0,0,0,0,0,A1-chutouzhongji-NEW,Skill_dig,ranged_RPG_attack2_audio,,660,10000,Straight hoeing skill.,,2,0,Lv 1 Earth Splitter,"1,200,200,50",CameraShakeGrade_1,1,0,1,1,1000,,skill-icon-102,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,15,,300,103,0,1,0,0,0,0,0,A1-chutouzhongji-NEW,Skill_dig,ranged_RPG_attack2_audio,,660,10000,Straight hoeing skill.,,2,0,Lv 2 Earth Splitter,"1,400,200,50",CameraShakeGrade_1,1,0,1,1,1000,,skill-icon-103,skill_rock_hurt,,,,,,,,,,
0,0,0,0,0,15,,300,104,0,1,0,0,0,0,0,A1-chutouzhongji-NEW,Skill_dig,ranged_RPG_attack2_audio,,660,10000,Straight hoeing skill.,,2,0,Lv 3 Earth Splitter,"1,600,200,50",CameraShakeGrade_1,1,0,1,1,1000,,skill-icon-104,skill_rock_hurt,,,,,,,,,,
0,0,0,,0,,,,105,0,1,0,0,0,0,0,,,,,,-1,5% chance to get crop seeds when harvesting.,,1,0,Lv 1 Careful Harvester,,,1,0,1,,,,skill-icon-105,,,,,,96,,,,,
0,0,0,,0,,,,106,0,1,0,0,0,0,0,,,,,,-1,10% chance of getting crop seeds when harvesting.,,1,0,Lv 2 Careful Harvesters,,,1,0,1,,,,skill-icon-106,,,,,,97,,,,,
0,0,0,,0,,,,107,0,1,0,0,0,0,0,,,,,,-1,15% chance of getting crop seeds when harvesting.,,1,0,Lv 3 Careful Harvesters,,,1,0,1,,,,skill-icon-107,,,,,,98,,,,,
0,0,0,,0,,,,108,0,1,0,0,0,0,0,,,,,,-1,10% faster movement speed in home.,,1,0,Lv 1 Joyful Steps,,,1,0,1,,,,skill-icon-108,,,,,,99,,,,,
0,0,0,,0,,,,109,0,1,0,0,0,0,0,,,,,,-1,20% faster movement speed in home.,,1,0,Lv 2 Joyful Steps,,,1,0,1,,,,skill-icon-109,,,,,,100,,,,,
0,0,0,,0,,,,110,0,1,0,0,0,0,0,,,,,,-1,30% faster movement speed in home.,,1,0,Lv 3 Joyful Steps,,,1,0,1,,,,skill-icon-110,,,,,,101,,,,,
1,0,0,,0,15,193,667,111,1,1,0,0,0,0,0,attack,,Skill_CrystalBeast_attack,,1000,0,Leafy Lurker attack.,180,2,0,Crystalback Beast attack,"4,300,200,120004,300,150,27000",CameraShakeGrade_1,1,0,1,,,,,,,,,,,,,,,
0,0,0,,0,15,192,600,112,1,1,0,0,0,0,0,attack,,Skill_CrystalLizard_attack,,833,0,Mine Cat attack.,180,2,0,Crystal Lizard attack,"4,300,150,270002,200",CameraShakeGrade_1,1,0,1,,,,,,,,,,,,,,,
0,0,0,,0,,,,113,0,1,0,0,0,0,0,,,,,,-1,Increase crit damage to monsters by 10%.,,1,0,Lv 1 Combat Injury,,,1,0,1,,,,skill-icon-113,,,,,,102,,,,,
0,0,0,,0,,,,114,0,1,0,0,0,0,0,,,,,,-1,Increase crit damage to monsters by 20%.,,1,0,Lv 2 Combat Injury,,,1,0,1,,,,skill-icon-114,,,,,,103,,,,,
0,0,0,,0,,,,115,0,1,0,0,0,0,0,,,,,,-1,Increase crit damage to monsters by 30%.,,1,0,Lv 3 Combat Crit,,,1,0,1,,,,skill-icon-115,,,,,,104,,,,,
0,0,0,,0,,,,116,0,1,0,0,0,0,0,,,,,,-1,Increase speed by 10%.,,1,0,Lv 1 Swift Steps,,,1,0,1,,,,skill-icon-116,,,,,,119,,,,,
0,0,0,,0,,,,117,0,1,0,0,0,0,0,,,,,,-1,Increase speed by 20%.,,1,0,Lv 2 Swift Steps,,,1,0,1,,,,skill-icon-117,,,,,,120,,,,,
0,0,0,,0,,,,118,0,1,0,0,0,0,0,,,,,,-1,Increase speed by 30%.,,1,0,Lv 3 Swift Steps,,,1,0,1,,,,skill-icon-118,,,,,,121,,,,,
0,0,0,,0,,,,119,0,1,0,0,0,0,0,,,,,,-1,"No damage for 20 sec, +10% damage to monsters.",,1,0,Lv 1 Blade Dance Steps,,,1,0,1,,,,skill-icon-119,,,,,,116,,,,,
0,0,0,,0,,,,120,0,1,0,0,0,0,0,,,,,,-1,"No damage for 10 sec, 10% damage boost to monsters.",,1,0,Lv 2 Knife Dance Steps,,,1,0,1,,,,skill-icon-120,,,,,,117,,,,,
0,0,0,,0,,,,121,0,1,0,0,0,0,0,,,,,,-1,"No damage for 5 seconds, 10% damage bonus to monsters.",,1,0,Lv 3 Blade Dance Steps,,,1,0,1,,,,skill-icon-121,,,,,,118,,,,,
