col-int,desc-string,gainsArgs-string,gainsType-int[],icon-string,id-int,isTrunk-bool,layer-int,lvLimit-int,name-string,preNode-int[],resetCost-int,type-int,upgradeEXP-int[],upgradeRequireTreeLv-int,upgradeToken-int[]
-1,Stun enemies around you.,63,0,talentTree-11,11,0,1,1,Trampling,0,0,2,15,0,0
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Farming Fitness: Converts farming proficiency to combat defense and health caps in proportion to a certain percentage, effective when wearing farming tools
Unlock Energy Recipes","66#531,1277,10000","1,2,3",talentTree-13,13,1,1,1,Farming Mastery 1,0,0,1,450,0,0
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Unlock Energy Recipes","67,1278,10000","1,2,3",talentTree-14,14,1,2,1,Farming Mastery 2,13,0,1,900,1,0
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Unlock Energy Recipes","68,1279,10000","1,2,3",talentTree-15,15,1,3,1,Farming Mastery 3,13,20000,1,1800,2,1000
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Unlock Energy Recipes","69,1280,10000","1,2,3",talentTree-16,16,1,4,1,Farming Mastery 4,15,40000,1,3600,3,5000
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Unlock Energy Recipes","70,1281,10000","1,2,3",talentTree-17,17,1,5,1,Farming Mastery 5,16,60000,1,7200,4,10000
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Unlock Energy Recipes","71,1282,10000","1,2,3",talentTree-18,18,1,6,1,Farming Mastery 6,17,80000,1,14400,5,16000
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Unlock Energy Recipes","72,1283,10000","1,2,3",talentTree-19,19,1,7,1,Farm Mastery 7,18,100000,1,28800,6,23000
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Unlock Energy Recipes","73,1284,10000","1,2,3",talentTree-20,20,1,8,1,Farming Mastery 8,19,120000,1,57600,7,31000
0,"FertilityCapacity + 1
PlantingProficiency + 4
PetHappinessCapacity + 1
BreedingProficiency + 4
MaxEnergy + 10
Unlock Energy Recipes","74,1285,10000","1,2,3",talentTree-21,21,1,9,1,Farming Mastery 9,20,140000,1,115200,8,40000
1,FertilityCapacity + 1,228,1,talentTree-22,22,0,1,1,Farm - FertilityCapacity ,0,0,1,95,0,0
-1,Waters small fields around you.,99,0,talentTree-23,23,0,2,1,Watering Can Mastery,77,0,1,210,0,0
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Gather Fitness: Converts gather proficiency to combat defense and health in a certain proportion, effective when wearing the gather tools
Unlock Energy Recipes","81#530,1268,10000","1,2,3",talentTree-24,24,1,1,1,Gather Mastery 1,0,0,3,450,0,0
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Unlock Energy Recipes","82,1269,10000","1,2,3",talentTree-25,25,1,2,1,Gather Mastery  2,24,0,3,900,1,0
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Unlock Energy Recipes","83,1270,10000","1,2,3",talentTree-26,26,1,3,1,Gather Mastery  3,25,20000,3,1800,2,1000
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Unlock Energy Recipes","84,1271,10000","1,2,3",talentTree-27,27,1,4,1,Gather Mastery  4,26,40000,3,3600,3,5000
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Unlock Energy Recipes","85,1272,10000","1,2,3",talentTree-28,28,1,5,1,Gather Mastery  5,27,60000,3,7200,4,10000
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Unlock Energy Recipes","86,1273,10000","1,2,3",talentTree-29,29,1,6,1,Gather Mastery  6,28,80000,3,14400,5,16000
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Unlock Energy Recipes","87,1274,10000","1,2,3",talentTree-30,30,1,7,1,Gather Mastery  7,29,100000,3,28800,6,23000
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Unlock Energy Recipes","88,1275,10000","1,2,3",talentTree-31,31,1,8,1,Gather Mastery  8,30,120000,3,57600,7,31000
0,"GrassAtt + 5
TreeAtt + 5
OreAtt + 5
GrassProficiency + 5
TreeProficiency + 5
OreProficiency + 5
MaxEnergy + 10
Unlock Energy Recipes","89,1276,10000","1,2,3",talentTree-32,32,1,9,1,Gather Mastery  9,31,140000,3,115200,8,40000
-3,Unlock LV 1 Equipment Set Recipes,70#74#201;111#178;177#179#180,2,talentTree-33,33,0,1,3,Gather Set Recipes,0,0,3,"131,131,131",0,"0,0,0"
-3,"Unlock LV 2 Equipment Set Recipes, unlock Recasting recipes and fragment craft recipes when reach max level.",71#75#203;112#182;181#183#184#480#468#477#461#478#465#476#474,2,talentTree-34,34,0,2,3,Gather Set Recipes,33,0,3,"262,262,262",0,"0,0,0"
-1,,415,0,talentTree-45,45,0,3,1,,23,0,1,420,0,0
-1,Efficiency Skills - Group Hoe,103,0,talentTree-46,46,0,4,1,Earth Splitter,45,0,1,840,0,3000
2,PlantingProficiency + 4,246,1,talentTree-48,48,0,3,1,Farm - PlantingProficiency ,81,0,1,420,0,0
-2,Unlock Livestock Essence Recipes Lv 2,156,2,talentTree-49,49,0,2,1,Livestock Essence Recipes,72,0,1,210,0,0
2,PlantingProficiency + 4,249,1,talentTree-50,50,0,4,1,Farm - PlantingProficiency ,48,0,1,840,0,3000
-1,Increase the enemy's stun duration.,635,0,talentTree-52,52,0,3,1,Trampling - Enhance,54,0,2,323,0,0
-1,"Charge, push enemies back, 50% damage.",122,0,talentTree-54,54,0,2,1,Bull Rush,11,0,2,175,0,0
-3,Reduce the enemy's movement speed.,622,0,talentTree-55,55,0,3,1,Bull Rush - Enhance,305,0,2,323,0,0
-2,Reduce the enemy's movement speed.,632,0,talentTree-56,56,0,4,1,Bull Rush - Enhance,60,0,2,646,0,0
-2,Repel the enemy in a small area in front of you and flip backwards,123,0,talentTree-57,57,0,5,1,Escape,56,0,2,1292,0,4000
-2,Deal high damage to 5 surrounding monsters,137,0,talentTree-60,60,0,3,1,Slight Flurry,10,0,2,323,0,0
-1,,555,0,talentTree-61,61,0,4,1,1111,52,0,2,646,0,0
-3,"Unlock LV 3 Equipment Set Recipes, unlock Recasting recipes and fragment craft recipes when reach max level.",72#76#204;113#186;185#187#188#483#485#491#486#503#484#504#487,2,talentTree-62,62,0,3,3,Gather Set Recipes,34,0,3,"525,525,525",0,"3000,3000,3000"
-1,Unlock Potion Recipe. ,95#902,2,talentTree-65,65,0,1,1,Magic Props Recipes,0,0,3,131,0,0
-1,Unlock Potion Recipe. ,96#903,2,talentTree-66,66,0,2,1,Magic Props Recipes,65,0,3,262,0,0
-1,Unlock Potion Recipe. ,132#904,2,talentTree-67,67,0,3,1,Magic Props Recipes,66,0,3,525,0,3000
-1,Unlock Potion Recipe. ,346#905,2,talentTree-68,68,0,4,1,Magic Props Recipes,67,0,3,1050,0,3000
-1,Unlock Potion Recipe. ,347#906,2,talentTree-69,69,0,5,1,Magic Props Recipes,68,0,3,2100,0,4000
-3,Reduce the enemy's movement speed.,629,0,talentTree-70,70,0,4,1,Slight Flurry - Enhance,55,0,2,646,0,0
-1,,636,0,talentTree-71,71,0,5,1,1111,61,0,2,1292,0,0
-2,Unlock Livestock Essence Recipes Lv 1,155,2,talentTree-72,72,0,1,1,Livestock Essence Recipes,0,0,1,95,0,0
2,PlantingProficiency + 4,230,1,talentTree-73,73,0,1,1,Farm - PlantingProficiency ,0,0,1,95,0,0
3,PetHappinessCapacity + 1,231,1,talentTree-74,74,0,1,1,Farm - PetHappinessCapacity ,0,0,1,95,0,0
4,BreedingProficiency + 4,233,1,talentTree-76,76,0,1,1,Farm - BreedingProficiency,0,0,1,95,0,0
-1,Efficiency Skills - Group Hoe,102,0,talentTree-77,77,0,1,1,Earth Splitter,0,0,1,95,0,0
-4,Unlock LV 1 Equipment Set Recipes,62#376#66;108#165;166#167#168,2,talentTree-78,78,0,1,3,Farming Set Recipes,0,0,1,"95,95,95",0,"0,0,0"
-4,"Unlock LV 2 Equipment Set Recipes, unlock Recasting recipes and fragment craft recipes when reach max level.",63#377#67;109#169;170#171#172#462#460#463#472#466#481#475#473,2,talentTree-79,79,0,2,3,Farming Set Recipes,78,0,1,"210,210,210",0,"0,0,0"
1,FertilityCapacity + 1,229,1,talentTree-80,80,0,2,1,Farm - Fertility output per unit of land,22,0,1,210,0,0
2,PlantingProficiency + 4,245,1,talentTree-81,81,0,2,1,Farm - PlantingProficiency ,73,0,1,210,0,0
3,PetHappinessCapacity + 1,232,1,talentTree-82,82,0,2,1,Farm - Harvest proficiency,74,0,1,210,0,0
4,BreedingProficiency + 4,247,1,talentTree-83,83,0,2,1,Farm - Pet Unit Output Happiness Index,76,0,1,210,0,0
1,FertilityCapacity + 1,236,1,talentTree-84,84,0,4,1,Farm - FertilityCapacity ,93,0,1,840,0,3000
4,BreedingProficiency + 4,289,1,talentTree-85,85,0,5,1,Farm - BreedingProficiency,90,0,1,1680,0,4000
-4,"Unlock LV 3 Equipment Set Recipes, unlock Recasting recipes and fragment craft recipes when reach max level.",64#378#68;110#173;174#175#176#506#505#501#490#499#500#580#488,2,talentTree-88,88,0,3,3,Farming Set Recipes,79,0,1,"420,420,420",0,"3000,3000,3000"
3,PetHappinessCapacity + 1,282,1,talentTree-89,89,0,4,1,Farm - PetHappinessCapacity ,92,0,1,840,0,3000
4,BreedingProficiency + 4,288,1,talentTree-90,90,0,4,1,Farm - BreedingProficiency,91,0,1,840,0,3000
4,BreedingProficiency + 4,248,1,talentTree-91,91,0,3,1,Farm - BreedingProficiency,83,0,1,420,0,0
3,PetHappinessCapacity + 1,244,1,talentTree-92,92,0,3,1,Farm - PetHappinessCapacity ,82,0,1,420,0,0
1,FertilityCapacity + 1,235,1,talentTree-93,93,0,3,1,Farm - FertilityCapacity ,80,0,1,420,0,0
-2,Unlock Livestock Essence Recipes Lv 3,157,2,talentTree-94,94,0,3,1,Livestock Essence Recipes,49,0,1,420,0,1500
-5,Unlock LV 1 Equipment Set Recipes,44#364#370;133#136;139#142#145,2,talentTree-95,95,0,1,3,Combat Set Recipes,0,0,2,"95,95,95",0,"0,0,0"
4,Combat MaxHP +20,264,1,talentTree-96,96,0,1,1,Combat - HP,0,0,2,95,0,0
3,Combat DEF +5,258,1,talentTree-97,97,0,1,1,Combat - Defense,0,0,2,95,0,0
2,Combat ATK +5,252,1,talentTree-98,98,0,1,1,Combat - Attack Power,0,0,2,95,0,0
1,Increase speed by 10%/20%/30%.,116;117;118,1,talentTree-99,99,0,1,3,Expert,0,0,2,"95,95,95",0,"0,0,0"
4,Combat MaxHP +20,265,1,talentTree-100,100,0,2,1,Combat - HP,96,0,2,175,0,0
-5,"Unlock LV 2 Equipment Set Recipes, unlock Recasting recipes and fragment craft recipes when reach max level.",45#365#371;134#137;140#143#146#479#469#470#464#471#482#467#579,2,talentTree-101,101,0,2,3,Combat Set Recipes,95,0,2,"175,175,175",0,"0,0,0"
3,Combat DEF +5,259,1,talentTree-102,102,0,2,1,Combat - Defense,97,0,2,175,0,0
2,Combat ATK +5,253,1,talentTree-103,103,0,2,1,Combat - Attack Power,98,0,2,175,0,0
1,CombatHit + 2/4/6%,134;135;136,1,talentTree-104,104,0,2,3,Expert,99,0,2,"175,175,175",0,"0,0,0"
-5,"Unlock LV 3 Equipment Set Recipes, unlock Recasting recipes and fragment craft recipes when reach max level.",46#366#372;135#138;141#144#147#497#495#494#498#489#496#492#493,2,talentTree-105,105,0,3,3,Combat Set Recipes,101,0,2,"323,323,323",0,"3000,3000,3000"
3,Combat DEF +5,260,1,talentTree-106,106,0,3,1,Combat - Defense,102,0,2,323,0,0
2,Combat ATK +5,254,1,talentTree-107,107,0,3,1,Combat - Attack Power,103,0,2,323,0,0
1,Gain a 2/4/6% dodge rate,125;126;127,1,talentTree-108,108,0,3,3,Expert,104,0,2,"323,323,323",0,"0,0,0"
4,Combat MaxHP +20,266,1,talentTree-109,109,0,3,1,Combat - HP,100,0,2,323,0,0
3,Combat DEF +5,261,1,talentTree-111,111,0,4,1,Combat - Defense,106,0,2,646,0,3000
1,"Every 20/10/5 seconds, if you haven't taken any damage, you gain a 10% damage boost.",119;120;121,1,talentTree-112,112,0,4,3,Expert,108,0,2,"646,646,646",0,"3000,3000,3000"
2,Combat ATK +5,255,1,talentTree-113,113,0,4,1,Combat - Attack Power,107,0,2,646,0,3000
4,Combat MaxHP +20,267,1,talentTree-114,114,0,4,1,Combat - HP,109,0,2,646,0,3000
3,Combat DEF +5,262,1,talentTree-116,116,0,5,1,Combat - Defense,111,0,2,1292,0,4000
2,Combat ATK +5,256,1,talentTree-117,117,0,5,1,Combat - Attack Power,113,0,2,1292,0,4000
1,Increase Critical Hit Probability by 5/10/15%,60;61;62,1,talentTree-118,118,0,5,3,Expert,112,0,2,"1292,1292,1292",0,"4000,4000,4000"
-3,,624,0,talentTree-119,119,0,5,1,1111,70,0,2,1292,0,0
4,Combat MaxHP +20,268,1,talentTree-120,120,0,5,1,Combat - HP,114,0,2,1292,0,4000
-1,,639,0,talentTree-122,122,0,6,1,1111,71,0,2,2584,0,0
-3,,628,0,talentTree-123,123,0,6,1,1111,119,0,2,2584,0,0
1,Increase crit damage to monsters by 10/20/30%.,113;114;115,1,talentTree-124,124,0,6,3,Expert,118,0,2,"2584,2584,2584",0,"5000,5000,5000"
-2,Forward thrust,487,0,talentTree-125,125,0,6,1,Linear impact,57,0,2,2584,0,5000
-1,Defeat a large area of enemies in front of you and cause temporary dizziness,459,0,talentTree-127,127,0,7,1,Sweeping,122,0,2,5169,0,6000
-2,,634,0,talentTree-128,128,0,7,1,1111,125,0,2,5169,0,0
-3,,623,0,talentTree-129,129,0,7,1,1111,123,0,2,5169,0,0
1,Attack speed increased by 10/20/30%.,131;132;133,1,talentTree-130,130,0,7,3,Expert,124,0,2,"5169,5169,5169",0,"6000,6000,6000"
2,Combat ATK +5,257,1,talentTree-131,131,0,6,1,Combat - Attack Power,117,0,2,2584,0,5000
3,Combat DEF +5,263,1,talentTree-132,132,0,6,1,Combat - Defense,116,0,2,2584,0,5000
4,Combat MaxHP +20,269,1,talentTree-133,133,0,6,1,Combat - HP,120,0,2,2584,0,5000
2,Combat ATK +5,270,1,talentTree-134,134,0,7,1,Combat - Attack Power,131,0,2,5169,0,6000
3,Combat DEF +5,273,1,talentTree-135,135,0,7,1,Combat - Defense,132,0,2,5169,0,6000
4,Combat MaxHP +20,276,1,talentTree-136,136,0,7,1,Combat - HP,133,0,2,5169,0,6000
-3,,558,0,talentTree-139,139,0,8,1,1111,129,0,2,11200,0,7000
-2,,631,0,talentTree-140,140,0,8,1,1111,128,0,2,11200,0,0
1,0.1/0.2/0.3% damage bonus per 1% health lost.,128;129;130,1,talentTree-141,141,0,8,3,Expert,130,0,2,"11200,11200,11200",0,"7000,7000,7000"
2,Combat ATK +5,271,1,talentTree-142,142,0,8,1,Combat - Attack Power,134,0,2,11200,0,7000
3,Combat DEF +5,274,1,talentTree-143,143,0,8,1,Combat - Defense,135,0,2,11200,0,7000
4,Combat MaxHP +20,277,1,talentTree-144,144,0,8,1,Combat - Health,136,0,2,11200,0,7000
-2,,432,0,talentTree-149,149,0,9,1,Inspire,140,0,2,24436,0,8000
2,Combat ATK +5,272,1,talentTree-150,150,0,9,1,Combat - Attack Power,142,0,2,24436,0,8000
1,"The weapon's attack leaves wounds, dealing 1%/2%/3% attack damage every 0.5 seconds for 5 seconds.",172;173;174,1,talentTree-151,151,0,9,3,Expert,141,0,2,"24436,24436,24436",0,"8000,8000,8000"
3,Combat DEF +5,275,1,talentTree-152,152,0,9,1,Combat - Defense,143,0,2,24436,0,8000
4,Combat MaxHP +20,278,1,talentTree-153,153,0,9,1,Combat - HP,144,0,2,24436,0,8000
-1,Waters small fields around you.,100,0,talentTree-157,157,0,5,1,Watering Can Mastery,46,0,1,1680,0,4000
1,FertilityCapacity + 1,237,1,talentTree-158,158,0,5,1,Farm - FertilityCapacity ,84,0,1,1680,0,4000
2,PlantingProficiency + 4,250,1,talentTree-159,159,0,5,1,Farm - PlantingProficiency ,50,0,1,1680,0,4000
3,PetHappinessCapacity + 1,283,1,talentTree-160,160,0,5,1,Farm - PetHappinessCapacity ,89,0,1,1680,0,4000
1,FertilityCapacity + 1,238,1,talentTree-163,163,0,6,1,Farm - FertilityCapacity ,158,0,1,3360,0,5000
3,PetHappinessCapacity + 1,284,1,talentTree-164,164,0,6,1,Farm - PetHappinessCapacity ,160,0,1,3360,0,5000
2,PlantingProficiency + 4,251,1,talentTree-165,165,0,6,1,Farm - PlantingProficiency ,159,0,1,3360,0,5000
4,BreedingProficiency + 4,290,1,talentTree-166,166,0,6,1,Farm - BreedingProficiency,85,0,1,3360,0,5000
-1,Efficiency Skills - Group Hoe,104,0,talentTree-169,169,0,6,1,Earth Splitter,157,0,1,3360,0,5000
1,FertilityCapacity + 1,239,1,talentTree-170,170,0,7,1,Farm - FertilityCapacity ,163,0,1,6720,0,6000
2,PlantingProficiency + 4,279,1,talentTree-171,171,0,7,1,Farm - PlantingProficiency ,165,0,1,6720,0,6000
3,PetHappinessCapacity + 1,285,1,talentTree-172,172,0,7,1,Farm - PetHappinessCapacity ,164,0,1,6720,0,6000
4,BreedingProficiency + 4,291,1,talentTree-173,173,0,7,1,Farm - BreedingProficiency,166,0,1,6720,0,6000
-1,Waters small fields around you.,101,0,talentTree-176,176,0,8,1,Watering Can Mastery,298,0,1,13440,0,7000
2,PlantingProficiency + 4,280,1,talentTree-177,177,0,8,1,Farm - PlantingProficiency ,171,0,1,13440,0,7000
1,FertilityCapacity + 1,240,1,talentTree-178,178,0,8,1,Farm - FertilityCapacity ,170,0,1,13440,0,7000
3,PetHappinessCapacity + 1,286,1,talentTree-179,179,0,8,1,Farm - PetHappinessCapacity ,172,0,1,13440,0,7000
4,BreedingProficiency + 4,292,1,talentTree-180,180,0,8,1,Farm - BreedingProficiency,173,0,1,13440,0,7000
1,FertilityCapacity + 1,241,1,talentTree-184,184,0,9,1,Farm - FertilityCapacity ,178,0,1,26880,0,8000
2,PlantingProficiency + 4,281,1,talentTree-185,185,0,9,1,Farm - PlantingProficiency ,177,0,1,26880,0,8000
3,PetHappinessCapacity + 1,287,1,talentTree-186,186,0,9,1,Farm - PetHappinessCapacity ,179,0,1,26880,0,8000
4,BreedingProficiency + 4,293,1,talentTree-187,187,0,9,1,Farm - BreedingProficiency,180,0,1,26880,0,8000
1,Gather Grass Atk ++  Proficiency ++,294,1,talentTree-188,188,0,1,1,Gather - Grass,0,0,3,131,0,0
2,Gather Tree Atk ++  Proficiency ++,303,1,talentTree-189,189,0,1,1,Gather value - Trees,0,0,3,131,0,0
3,Gather Ore Atk ++  Proficiency ++,312,1,talentTree-190,190,0,1,1,Gather value - Mining,0,0,3,131,0,0
1,Gather Grass Atk ++  Proficiency ++,295,1,talentTree-191,191,0,2,1,Gather - Grass,188,0,3,262,0,0
2,Gather Tree Atk ++  Proficiency ++,304,1,talentTree-192,192,0,2,1,Gather - Trees,189,0,3,262,0,0
3,Gather Ore Atk ++  Proficiency ++,313,1,talentTree-193,193,0,2,1,Gather value - Mining,190,0,3,262,0,0
1,Gather Grass Atk ++  Proficiency ++,296,1,talentTree-194,194,0,3,1,Gather - Grass,191,0,3,525,0,0
2,Gather Tree Atk ++  Proficiency ++,305,1,talentTree-195,195,0,3,1,Gather - Trees,192,0,3,525,0,0
3,Gather Ore Atk ++  Proficiency ++,314,1,talentTree-196,196,0,3,1,Gather - Mining,193,0,3,525,0,0
1,Gather Grass Atk ++  Proficiency ++,297,1,talentTree-197,197,0,4,1,Gather - Grass,194,0,3,1050,0,3000
2,Gather Tree Atk ++  Proficiency ++,306,1,talentTree-198,198,0,4,1,Gather - Trees,195,0,3,1050,0,3000
3,Gather Ore Atk ++  Proficiency ++,315,1,talentTree-199,199,0,4,1,Gather value - Mining,196,0,3,1050,0,3000
1,Gather Grass Atk ++  Proficiency ++,298,1,talentTree-200,200,0,5,1,Gather - Grass,197,0,3,2100,0,4000
2,Gather Tree Atk ++  Proficiency ++,307,1,talentTree-201,201,0,5,1,Gather value - Trees,198,0,3,2100,0,4000
3,Gather Ore Atk ++  Proficiency ++,316,1,talentTree-202,202,0,5,1,Gather - Mining,199,0,3,2100,0,4000
-1,Unlock Potion Recipe. ,348#907,2,talentTree-204,204,0,6,1,Magic Props Recipes,69,0,3,4200,0,5000
1,Gather Grass Atk ++  Proficiency ++,299,1,talentTree-205,205,0,6,1,Gather - Grass value,200,0,3,4200,0,5000
2,Gather Tree Atk ++  Proficiency ++,308,1,talentTree-206,206,0,6,1,Gather - Trees,201,0,3,4200,0,5000
3,Gather Ore Atk ++  Proficiency ++,317,1,talentTree-207,207,0,6,1,Gather value - Mining,202,0,3,4200,0,5000
-1,Unlock Potion Recipe. ,895#908,2,talentTree-209,209,0,7,1,Not yet open,204,0,3,8400,0,6000
1,Gather Grass Atk ++  Proficiency ++,300,1,talentTree-210,210,0,7,1,Gather - Grass,205,0,3,8400,0,6000
2,Gather Tree Atk ++  Proficiency ++,309,1,talentTree-211,211,0,7,1,Gather - Trees,206,0,3,8400,0,6000
3,Gather Ore Atk ++  Proficiency ++,318,1,talentTree-212,212,0,7,1,Gather - Mining,207,0,3,8400,0,6000
-1,Unlock Potion Recipe. ,896#909,2,talentTree-214,214,0,8,1,Not yet open,209,0,3,16800,0,7000
2,Gather Tree Atk ++  Proficiency ++,310,1,talentTree-215,215,0,8,1,Gather - Trees,211,0,3,16800,0,7000
1,Gather Grass Atk ++  Proficiency ++,301,1,talentTree-216,216,0,8,1,Gather - Grass,210,0,3,16800,0,7000
3,Gather Ore Atk ++  Proficiency ++,319,1,talentTree-217,217,0,8,1,Gather - Mining,212,0,3,16800,0,7000
-1,Unlock Potion Recipe. ,897#910,2,talentTree-219,219,0,9,1,Not yet open,214,0,3,33600,0,8000
1,Gather Grass Atk ++  Proficiency ++,302,1,talentTree-220,220,0,9,1,Gather - Grass,216,0,3,33600,0,8000
2,Gather Tree Atk ++  Proficiency ++,311,1,talentTree-221,221,0,9,1,Gather - Trees,215,0,3,33600,0,8000
3,Gather Ore Atk ++  Proficiency ++,320,1,talentTree-222,222,0,9,1,Gather - Mining,217,0,3,33600,0,8000
-3,Unlock Planting Essence Recipes Lv 1,152,2,talentTree-227,227,0,1,1,Planting Essence Recipes,0,0,1,95,0,0
-3,Unlock Planting Essence Recipes Lv 2,153,2,talentTree-228,228,0,2,1,Planting Essence Recipes,227,0,1,210,0,0
-3,Unlock Planting Essence Recipes Lv 3,154,2,talentTree-229,229,0,3,1,Planting Essence Recipes,228,0,1,420,0,1500
-4,Unlock Essence Recipes Lv 1,149,2,talentTree-236,236,0,1,1,Combat Essence Recipes,0,0,2,95,0,0
-4,Unlock Essence Recipes Lv 2,150,2,talentTree-237,237,0,2,1,Combat Essence Recipes,236,0,2,175,0,0
-4,Unlock Essence Recipes Lv 3,151,2,talentTree-238,238,0,3,1,Combat Essence Recipes,237,0,2,323,0,3000
-2,Unlock Essence Recipes Lv 1,158,2,talentTree-245,245,0,1,1,Gather Essence Recipes,0,0,3,131,0,0
-2,Unlock Essence Recipes Lv 2,159,2,talentTree-246,246,0,2,1,Gather Essence Recipes,245,0,3,262,0,0
-2,Unlock Essence Recipes Lv 3,160,2,talentTree-247,247,0,3,1,Gather Essence Recipes,246,0,3,525,0,3000
5,Capture animals as your pets,166,0,talentTree-254,254,0,1,1,Capture,0,0,1,95,0,0
-5,"Unlock LV 4 Equipment Set Recipes, unlock Recasting recipes and fragment craft recipes when reach max level.",270#367#373;271#272;273#274#275#511#517#512#518#513#508#521#581,2,talentTree-256,256,0,4,3,Combat Set Recipes,105,0,2,"646,646,646",0,"10000,10000,10000"
-4,Unlock Essence Recipes Lv 4,340,2,talentTree-257,257,0,4,1,Combat Essence Recipes,238,0,2,646,0,10000
-5,"Unlock LV 5 Equipment Set Recipes, unlock Recasting recipes and fragment craft recipes when reach max level.",292#368#374;293#294;295#296#297#540#535#536#546#541#531#534#582,2,talentTree-258,258,0,5,3,Combat Set Recipes,256,0,2,"1292,1292,1292",0,"15000,15000,15000"
