id-int,rewardTimes-int[][],rewardType-int,rewardList-int[][]
77,"1,1000",2,"603,1,1,1;606,1,1,1;609,1,1,1;612,1,1,1;772,1,1,1000"
78,"1,1000",2,"604,1,1,1;607,1,1,1;610,1,1,1;613,1,1,1;772,1,1,1000"
79,"1,1000",2,"602,1,1,1;605,1,1,1;608,1,1,1;611,1,1,1;772,1,1,1000"
80,"1,1000",2,"603,1,1,1;606,1,1,1;609,1,1,1;612,1,1,1;772,1,1,1000"
81,"1,1000",2,"604,1,1,1;607,1,1,1;610,1,1,1;613,1,1,1;772,1,1,1000"
82,"1,1",1,"479,1,80,1000;491,1,8,1000;492,1,8,1000;493,1,8,1000;772,1,128,1000"
83,"1,1",1,"479,1,125,1000;503,1,4,1000;504,1,4,1000;505,1,4,1000;772,1,256,1000"
84,"1,1",1,"479,1,245,1000;515,1,2,1000;516,1,2,1000;517,1,2,1000;772,1,512,1000"
85,"1,1;0,9999",2,"729,1,16,1000;772,1,1,1000"
86,"1,1;0,9999",2,"729,1,32,1000;772,1,1,1000"
87,"1,1;0,9999",2,"729,1,48,1000;772,1,1,1000"
88,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
89,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
90,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
91,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
92,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
93,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
94,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
95,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
96,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
97,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
98,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
99,"1,1;0,9999",2,"728,1,4,1000;772,1,1,1000"
100,"1,1;0,9999",2,"727,1,1,1000;772,1,1,1000"
101,"0,9750;1,250",2,"772,1,1,1000"
102,"1,1",1,"732,1,1,1;772,1,1,1000"
103,"1,1",1,"732,1,1,1;772,1,1,1000"
104,"1,1",1,"732,1,1,1;772,1,1,1000"
105,"1,1",1,"732,1,1,1;772,1,1,1000"
106,"1,1",1,"732,1,1,1;772,1,1,1000"
107,"1,1",1,"732,1,1,1;772,1,1,1000"
108,"1,1",1,"732,1,1,1;772,1,1,1000"
109,"1,1",1,"732,1,1,1;772,1,1,1000"
110,"1,1",1,"732,1,1,1;772,1,1,1000"
111,"1,1",1,"733,1,2,1;772,1,1,1000"
112,"1,1",1,"733,1,2,1;772,1,1,1000"
113,"1,1",1,"733,1,2,1;772,1,1,1000"
114,"1,1",1,"733,1,2,1;772,1,1,1000"
115,"1,1",1,"733,1,2,1;772,1,1,1000"
116,"1,1",1,"733,1,2,1;772,1,1,1000"
117,"1,1",1,"733,1,2,1;772,1,1,1000"
118,"1,1",1,"733,1,2,1;772,1,1,1000"
119,"1,1",1,"733,1,2,1;772,1,1,1000"
120,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
121,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
122,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
123,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
124,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
125,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
126,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
127,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
128,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
129,"0,5000;1,5000",2,"479,1,1,2000;733,1,1,2000;772,1,1,1000"
130,"0,5000;1,5000",2,"479,1,1,2000;733,1,1,2000;772,1,1,1000"
131,"0,5000;1,5000",2,"479,1,1,2000;733,1,1,2000;772,1,1,1000"
132,"0,5000;1,5000",2,"479,1,1,2000;733,1,1,2000;772,1,1,1000"
133,"0,5000;1,5000",2,"479,1,1,2000;733,1,1,2000;772,1,1,1000"
134,"0,5000;1,5000",2,"479,1,1,2000;733,1,1,2000;772,1,1,1000"
135,"0,5000;1,5000",2,"479,1,1,2000;733,1,1,2000;772,1,1,1000"
136,"0,5000;1,5000",2,"479,1,1,2000;733,1,1,2000;772,1,1,1000"
137,"0,5000;1,5000",2,"479,1,1,2000;733,1,1,2000;772,1,1,1000"
138,"0,5000;1,5000",2,"134,1,1,1000;135,1,1,200;136,1,1,200;137,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;772,1,1,1000"
139,"0,5000;1,5000",2,"134,1,1,1000;135,1,1,200;136,1,1,200;137,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;772,1,1,1000"
140,"0,5000;1,5000",2,"134,1,1,1000;135,1,1,200;136,1,1,200;137,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;772,1,1,1000"
141,"0,5000;1,5000",2,"134,1,1,1000;135,1,1,200;136,1,1,200;137,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;772,1,1,1000"
142,"0,5000;1,5000",2,"134,1,1,1000;135,1,1,200;136,1,1,200;137,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;772,1,1,1000"
143,"0,5000;1,5000",2,"134,1,1,1000;135,1,1,200;136,1,1,200;137,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;772,1,1,1000"
144,"0,5000;1,5000",2,"134,1,1,1000;135,1,1,200;136,1,1,200;137,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;772,1,1,1000"
145,"0,5000;1,5000",2,"134,1,1,1000;135,1,1,200;136,1,1,200;137,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;772,1,1,1000"
146,"0,5000;1,5000",2,"134,1,1,1000;135,1,1,200;136,1,1,200;137,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;772,1,1,1000"
147,"0,5000;1,5000",2,"28,1,1,2000;733,1,1,2000;772,1,1,1000"
148,"0,5000;1,5000",2,"28,1,1,2000;733,1,1,2000;772,1,1,1000"
149,"0,5000;1,5000",2,"28,1,1,2000;733,1,1,2000;772,1,1,1000"
150,"0,5000;1,5000",2,"28,1,1,2000;733,1,1,2000;772,1,1,1000"
151,"0,5000;1,5000",2,"28,1,1,2000;733,1,1,2000;772,1,1,1000"
152,"0,5000;1,5000",2,"28,1,1,2000;733,1,1,2000;772,1,1,1000"
153,"0,5000;1,5000",2,"28,1,1,2000;733,1,1,2000;772,1,1,1000"
154,"0,5000;1,5000",2,"28,1,1,2000;733,1,1,2000;772,1,1,1000"
155,"0,5000;1,5000",2,"28,1,1,2000;733,1,1,2000;772,1,1,1000"
