dropId-int,exp-int,functionType-int,growRes-string[],harvestRes-string,id-int,initialAttribute-int[][],lv-int,progressScore-int,rankScore-int,functionAvatar-string
16,15,0,"seed-146-p1,seed-146-p2,seed-146-p3,seed-146-p4",seed-146-final,146,"71,100,0;72,82,0;73,600,0;74,600,0;75,60480000,0",1,2,14,
67,42,0,"seed-415-p1,seed-415-p2,seed-415-p3",seed-415-final,415,"71,250,0;72,130,0;73,1800,0;74,5000,0;75,60480000,0",4,16,40,
68,60,0,"seed-416-p1,seed-416-p2,seed-416-p3",seed-416-final,416,"71,300,0;72,143,0;73,2250,0;74,6000,0;75,60480000,0",5,32,56,
69,60,0,"seed-417-p1,seed-417-p2,seed-417-p3",seed-417-final,417,"71,300,0;72,143,0;73,2250,0;74,6000,0;75,60480000,0",5,32,56,
70,60,0,"seed-418-p1,seed-418-p2,seed-418-p3",seed-418-final,418,"71,300,0;72,143,0;73,2250,0;74,6000,0;75,60480000,0",5,32,56,
71,84,0,"seed-419-p1,seed-419-p2,seed-419-p3,seed-419-p4",seed-419-final,419,"71,350,0;72,154,0;73,3600,0;74,8400,0;75,60480000,0",6,64,80,
72,84,0,"seed-420-p1,seed-420-p2,seed-420-p3,seed-420-p4",seed-420-final,420,"71,350,0;72,154,0;73,3600,0;74,8400,0;75,60480000,0",6,64,80,
73,84,0,"seed-421-p1,seed-421-p2,seed-421-p3,seed-421-p4",seed-421-final,421,"71,350,0;72,154,0;73,3600,0;74,8400,0;75,60480000,0",6,64,80,
95,120,0,"seed-614-p1,seed-614-p2,seed-614-p3,seed-614-p4",seed-614-final,614,"71,400,0;72,165,0;73,4200,0;74,9600,0;75,60480000,0",7,128,113,
96,120,0,"seed-615-p1,seed-615-p2,seed-615-p3,seed-615-p4",seed-615-final,615,"71,400,0;72,165,0;73,4200,0;74,9600,0;75,60480000,0",7,128,113,
97,120,0,"seed-616-p1,seed-616-p2,seed-616-p3,seed-616-p4",seed-616-final,616,"71,400,0;72,165,0;73,4200,0;74,9600,0;75,60480000,0",7,128,113,
107,169,0,"seed-617-p1,seed-617-p2,seed-617-p3,seed-617-p4",seed-617-final,617,"71,450,0;72,175,0;73,4800,0;74,13500,0;75,60480000,0",8,256,160,
108,169,0,"seed-618-p1,seed-618-p2,seed-618-p3,seed-618-p4",seed-618-final,618,"71,450,0;72,175,0;73,4800,0;74,13500,0;75,60480000,0",8,256,160,
109,169,0,"seed-619-p1,seed-619-p2,seed-619-p3,seed-619-p4",seed-619-final,619,"71,450,0;72,175,0;73,4800,0;74,13500,0;75,60480000,0",8,256,160,
119,240,0,"seed-620-p1,seed-620-p2,seed-620-p3,seed-620-p4",seed-620-final,620,"71,500,0;72,185,0;73,5400,0;74,15000,0;75,60480000,0",9,512,226,
120,240,0,"seed-621-p1,seed-621-p2,seed-621-p3,seed-621-p4",seed-621-final,621,"71,500,0;72,185,0;73,5400,0;74,15000,0;75,60480000,0",9,512,226,
121,240,0,"seed-622-p1,seed-622-p2,seed-622-p3,seed-622-p4",seed-622-final,622,"71,500,0;72,185,0;73,5400,0;74,15000,0;75,60480000,0",9,512,226,
0,0,1,seed-692-p1,,692,"71,100,0;72,10,0;73,3,0;74,10,0;75,0,0",1,2,0,Totem/TotemTest
0,0,1,seed-719-p1,seed-719-final,719,"71,100,0;72,10,0;73,3,0;74,10,0;75,0,0",1,2,0,Totem/TotemA
0,0,1,seed-720-p1,seed-720-final,720,"71,100,0;72,10,0;73,3,0;74,10,0;75,0,0",1,2,0,Totem/TotemB
0,0,1,seed-721-p1,seed-721-final,721,"71,100,0;72,10,0;73,3,0;74,10,0;75,0,0",1,2,0,Totem/TotemC
0,0,1,seed-722-p1,seed-722-final,722,"71,100,0;72,10,0;73,3,0;74,10,0;75,0,0",1,2,0,Totem/TotemD
0,0,1,seed-723-p1,seed-723-final,723,"71,100,0;72,10,0;73,3,0;74,10,0;75,0,0",1,2,0,Totem/TotemE
