col-int,desc-string,gainsArgs-string,gainsType-int[],icon-string,id-int,isTrunk-bool,layer-int,lvLimit-int,name-string,type-int,upgradeEXP-int[],upgradeRequireTreeLv-int,preNode-int[],resetCost-int,upgradeToken-int[]
0,"GrassAtt +5
TreeAtt +5
OreAtt +5
GrassProficiency +5
TreeProficiency +5
OreProficiency +5
MaxEnergy +10
Desbloquear recetas de energía","84,382#608,10000","1,2,3",talentTree-27,27,1,4,1, Recolectar Combate 4 ,3,3600,3,26,10,2500
0,"Atq Hierba + 5
Atq Árbol + 5
Atq Mineral + 5
Competencia Hierba + 5
Competencia Árbol + 5
Competencia Mineral + 5
Energía Máx + 10
Desbloquear Recetas de Energía","85,383#609,10000","1,2,3",talentTree-28,28,1,5,1, Recolectar Combate 5 ,3,7200,4,27,15,5000
0,"Atq de Hierba + 5
Atq de Árbol + 5
Atq de Mineral + 5
Competencia de Hierba + 5
Competencia de Árbol + 5
Competencia de Mineral + 5
Energía Máx + 10
Desbloquear Recetas de Energía","86,384#610,10000","1,2,3",talentTree-29,29,1,6,1,Recolectar Combate 6 ,3,14400,5,28,20,8000
0,"Ataque a la hierba +5
Ataque a los árboles +5
Ataque a los minerales +5
Competencia de hierba +5
Competencia de árboles +5
Competencia de minerales +5
MaxEnergy +10
Desbloquear recetas de energía","87,623#611,10000","1,2,3",talentTree-30,30,1,7,1, Recolectar Combate 7 ,3,28800,6,29,25,11500
0,"Ataque de Hierba + 5
Ataque de Árboles + 5
Ataque de Minerales + 5
Competencia en Hierba + 5
Competencia en Árboles + 5
Competencia en Minerales + 5
Energía Máxima + 10
Desbloquear Recetas de Energía","88,618#612,10000","1,2,3",talentTree-31,31,1,8,1, Recolectar Combate 8 ,3,57600,7,30,30,15500
0,"Ataque a Hierba + 5
Ataque a Árboles + 5
Ataque a Minerales + 5
Competencia en Hierba + 5
Competencia en Árboles + 5
Competencia en Minerales + 5
Energía Máxima + 10
Desbloquear Recetas de Energía","89,622#613,10000","1,2,3",talentTree-32,32,1,9,1, Recolectar Combate 9 ,3,115200,8,31,35,20000
-3,"Desbloquear recetas de conjuntos de equipos de nivel 1, desbloquear recetas de recasting y recetas de fabricación de fragmentos cuando se alcance el nivel máximo.",70#74#201;111#178;177#179#180,2,talentTree-33,33,0,1,3, Recetas de Conjunto de Recolectar ,3,"131,131,131",0,,0,"0,0,0"
-3,"Desbloquea recetas de conjuntos de equipos de nivel 2, desbloquea recetas de recasting y recetas de fragmentos al alcanzar el nivel máximo.",71#75#203;112#182;181#183#184#480#468#477#461#478#465#476#474#956#960#963#969#971#972#973#975,2,talentTree-34,34,0,2,3, Recetas de Conjunto de Recolectar ,3,"262,262,262",0,33,0,"0,0,0"
-1,"Toque Encantador
",415,0,talentTree-45,45,0,3,1, Toque Encantador ,1,420,0,23,0,0
-1,"Habilidades de Eficiencia - Azada en Grupo
",103,0,talentTree-46,46,0,4,1, Separador de Tierra ,1,840,0,45,0,1500
2,"Competencia en plantación + 4.
",246,1,talentTree-48,48,0,3,1, Agricultura - Maestría en Cosecha ,1,420,0,81,0,0
-2,"Desbloquear Recetas de Esencia de Mascotas Nivel 2
",156,2,talentTree-49,49,0,2,1, Recetas de Esencia de Mascota ,1,210,0,72,0,0
2,"Competencia en plantación + 4.
",249,1,talentTree-50,50,0,4,1, Agricultura - Maestría en Cosecha ,1,840,0,48,0,1500
-3,"Aumentar la duración de aturdimiento del enemigo
",333,1,talentTree-52,52,0,3,1, Pisotear - Mejora ,2,323,0,10,0,0
-2,"Carga, empuja a los enemigos hacia atrás, 50% de daño
",122,0,talentTree-54,54,0,2,1, Carrera de Toros ,2,175,0,,0,0
-2,"Reducir la velocidad de movimiento del enemigo
",336,1,talentTree-55,55,0,3,1, Carrera de Toros - Mejora ,2,323,0,54,0,0
-2,"Reducir la velocidad de movimiento del enemigo
",337,1,talentTree-56,56,0,4,1, Carrera de Toros - Mejora ,2,646,0,55,0,1500
-2,"Repela al enemigo en un área pequeña frente a ti y da un salto hacia atrás.
",123,0,talentTree-57,57,0,5,1,Escape: Escape,2,1292,0,56,0,2000
-1,"Infligir un alto daño a 5 monstruos circundantes
",137,0,talentTree-60,60,0,3,1, Tormenta Ligera ,2,323,0,,0,0
-3,"Aturde a los enemigos dentro de un rango determinado, incapaces de golpear durante la liberación de habilidades.
",485,0,talentTree-61,61,0,4,1, Pisotear de Guerra ,2,646,0,52,0,1500
-3,"Desbloquea recetas de conjuntos de equipos de nivel 3, desbloquea recetas de recasting y recetas de fragmentos al alcanzar el nivel máximo.",72#76#204;113#186;185#187#188#483#485#491#486#503#484#504#978#979#980#981#986#997#998#982,2,talentTree-62,62,0,3,3, Recetas de Conjunto de Recolectar ,3,"525,525,525",0,34,0,"1500,1500,1500"
-1,Desbloquear Receta de Poción,95#902,2,talentTree-65,65,0,1,1, Lv 1 Coleccionista Loco ,3,131,0,,0,0
-1,Desbloquear Receta de Poción.,96#903,2,talentTree-66,66,0,2,1, Lv 1 Persona Elegida ,3,262,0,65,0,0
-1,Desbloquear Receta de Poción.,132#904,2,talentTree-67,67,0,3,1, Recetas de Accesorios Mágicos ,3,525,0,66,0,1500
-1,Desbloquear receta de poción.,346#905,2,talentTree-68,68,0,4,1, Lv 2 Coleccionista Loco ,3,1050,0,67,0,1500
-1,Desbloquear Receta de Poción.,347#906,2,talentTree-69,69,0,5,1, Lv 2 Persona Elegida ,3,2100,0,68,0,2000
-1,"Reducir la velocidad de movimiento del enemigo
",340,1,talentTree-70,70,0,4,1, Tormenta Ligera - Mejora ,2,646,0,60,0,1500
-3,"Aumentar la duración de aturdimiento del enemigo.
",334,1,talentTree-71,71,0,5,1, Pisotear de Guerra - Mejora ,2,1292,0,61,0,2000
-2,"Desbloquear Recetas de Esencia de Mascotas Nivel 1
",155,2,talentTree-72,72,0,1,1, Recetas de Esencia de Mascota ,1,95,0,,0,0
2,"Competencia en plantación + 4.
",230,1,talentTree-73,73,0,1,1, Agricultura - Maestría en Cosecha ,1,95,0,,0,0
3,Capacidad de Felicidad de Mascotas +1,231,1,talentTree-74,74,0,1,1, Agricultura - Índice de Felicidad de Combate de Mascotas ,1,95,0,,0,0
4,Competencia reproductiva + 4,233,1,talentTree-76,76,0,1,1, Agricultura - Maestría en Cosecha ,1,95,0,,0,0
-1,"Habilidades de Eficiencia - Grupo de Azada
",102,0,talentTree-77,77,0,1,1, Separador de Tierra ,1,95,0,,0,0
-4,"Desbloquear recetas de conjuntos de equipos de nivel 1, desbloquear recetas de recasting y recetas de fabricación de fragmentos cuando se alcance el nivel máximo.",62#376#66#123#125#124#205;108#165;166#167#168,2,talentTree-78,78,0,1,3, Recetas de Conjunto de Agricultura ,1,"95,95,95",0,,0,"0,0,0"
-4,"Desbloquear recetas de conjuntos de equipos de nivel 2, desbloquear recetas de recasting y recetas de fabricación de fragmentos cuando se alcance el nivel máximo.",63#377#67#127#128#126#206;109#169;170#171#172#462#460#463#472#466#481#475#473#955#957#958#961#967#968#970#976,2,talentTree-79,79,0,2,3, Recetas de Conjunto de Agricultura ,1,"210,210,210",0,78,0,"0,0,0"
1,"Capacidad de fertilidad + 1.
",229,1,talentTree-80,80,0,2,1, Agricultura - Producción de fertilidad por unidad de tierra ,1,210,0,22,0,0
2,Competencia en plantación + 4.,245,1,talentTree-81,81,0,2,1, Agricultura - Maestría en Cosecha ,1,210,0,73,0,0
3,Capacidad de Felicidad de Mascotas +1,232,1,talentTree-82,82,0,2,1, Agricultura - Índice de Felicidad de Combate de Mascotas ,1,210,0,74,0,0
4,Competencia reproductiva + 4,247,1,talentTree-83,83,0,2,1, Agricultura - Maestría en Cosecha ,1,210,0,76,0,0
1,"Capacidad de fertilidad + 1.
",236,1,talentTree-84,84,0,4,1, Valor de Agricultura - Producción de fertilidad por unidad de tierra ,1,840,0,93,0,1500
4,Competencia reproductiva + 4,289,1,talentTree-85,85,0,5,1, Agricultura - Maestría en Cosecha ,1,1680,0,90,0,2000
-4,"Desbloquea recetas de conjuntos de equipos de nivel 3, desbloquea recetas de recasting y recetas de fragmentos al alcanzar el nivel máximo.",64#378#68#131#130#129#920;110#173;174#175#176#487#506#505#501#490#499#500#580#488#983#985#994#995#996#999#1000#1071,2,talentTree-88,88,0,3,3, Recetas de Conjunto de Agricultura ,1,"420,420,420",0,79,0,"1500,1500,1500"
3,Capacidad de Felicidad de Mascotas +1,282,1,talentTree-89,89,0,4,1, Agricultura - Índice de Felicidad de Combate de Mascotas ,1,840,0,92,0,1500
4,Competencia reproductiva + 4,288,1,talentTree-90,90,0,4,1, Agricultura - Maestría en Cosecha ,1,840,0,91,0,1500
4,Competencia reproductiva + 4,248,1,talentTree-91,91,0,3,1, Agricultura - Maestría en Cosecha ,1,420,0,83,0,0
3,Capacidad de Felicidad de Mascotas +1,244,1,talentTree-92,92,0,3,1, Agricultura - Índice de Felicidad de Combate de Mascotas ,1,420,0,82,0,0
1,"Capacidad de fertilidad + 1.
",235,1,talentTree-93,93,0,3,1, Agricultura - Producción de fertilidad por unidad de tierra ,1,420,0,80,0,0
-2,"Desbloquear Recetas de Esencia de Mascotas Nivel 3
",157,2,talentTree-94,94,0,3,1, Recetas de Esencia de Mascota ,1,420,0,49,0,750
-5,"Desbloquear recetas de conjuntos de equipos de nivel 1, desbloquear recetas de recasting y recetas de fabricación de fragmentos cuando se alcance el nivel máximo.",44#364#370;133#136;139#142#145,2,talentTree-95,95,0,1,3, Recetas de Conjunto de Combate ,2,"95,95,95",0,,0,"0,0,0"
4," Combate MaxHP +20
",264,1,talentTree-96,96,0,1,1, Combate - HP ,2,95,0,,0,0
3," Combate DEF +5
",258,1,talentTree-97,97,0,1,1, Combate - Defensa ,2,95,0,,0,0
2," Combate ATK +5
",252,1,talentTree-98,98,0,1,1, Combate - Poder de Ataque ,2,95,0,,0,0
1,"Aumenta la velocidad en un 10%/20%/30%
",116;117;118,1,talentTree-99,99,0,1,3, Experto ,2,"95,95,95",0,,0,"0,0,0"
4," Combate MaxHP +20
",265,1,talentTree-100,100,0,2,1, Combate - HP ,2,175,0,96,0,0
-5,"Desbloquear recetas de conjuntos de equipos de nivel 2, desbloquear recetas de recasting y recetas de fabricación de fragmentos cuando se alcance el nivel máximo.",45#365#371;134#137;140#143#146#479#469#470#464#471#482#467#579#959#962#964#965#966#974#977#1070,2,talentTree-101,101,0,2,3, Recetas de Conjunto de Combate ,2,"175,175,175",0,95,0,"0,0,0"
3," Combate DEF +5
",259,1,talentTree-102,102,0,2,1, Combate - Defensa ,2,175,0,97,0,0
2," Combate ATK +5
",253,1,talentTree-103,103,0,2,1, Combate - Poder de Ataque ,2,175,0,98,0,0
1,Golpe de combate + 2/4/6%,134;135;136,1,talentTree-104,104,0,2,3, Experto ,2,"175,175,175",0,99,0,"0,0,0"
-5,"Desbloquea recetas de conjuntos de equipos de nivel 3, desbloquea recetas de recasting y recetas de fragmentos al alcanzar el nivel máximo.",46#366#372;135#138;141#144#147#497#495#494#498#489#496#492#493#984#987#988#989#990#991#992#993,2,talentTree-105,105,0,3,3, Recetas de Conjunto de Combate ,2,"323,323,323",0,101,0,"1500,1500,1500"
3," Combate DEF +5
",260,1,talentTree-106,106,0,3,1, Combate - Defensa ,2,323,0,102,0,0
2," Combate ATK +5
",254,1,talentTree-107,107,0,3,1, Combate - Poder de Ataque ,2,323,0,103,0,0
1,"Obtener una tasa de esquiva del 2%/4%/6%
",125;126;127,1,talentTree-108,108,0,3,3, Experto ,2,"323,323,323",0,104,0,"0,0,0"
4," Combate MaxHP +20
",266,1,talentTree-109,109,0,3,1, Combate - HP ,2,323,0,100,0,0
3," Combate DEF +5
",261,1,talentTree-111,111,0,4,1, Combate - Defensa ,2,646,0,106,0,1500
1,"Cada 20/10/5 segundos, si no has recibido daño, obtienes un aumento de daño del 10%
",119;120;121,1,talentTree-112,112,0,4,3, Experto ,2,"646,646,646",0,108,0,"1500,1500,1500"
2," Combate ATK +5
",255,1,talentTree-113,113,0,4,1, Combate - Poder de Ataque ,2,646,0,107,0,1500
4," Combate MaxHP +20
",267,1,talentTree-114,114,0,4,1, Combate - HP ,2,646,0,109,0,1500
3," Combate DEF +5
",262,1,talentTree-116,116,0,5,1, Combate - Defensa ,2,1292,0,111,0,2000
2," Combate ATK +5
",256,1,talentTree-117,117,0,5,1, Combate - Poder de Ataque ,2,1292,0,113,0,2000
1,"Aumentar la probabilidad de golpe crítico en 5/10/15%
",60;61;62,1,talentTree-118,118,0,5,3, Experto ,2,"1292,1292,1292",0,112,0,"2000,2000,2000"
-1,"Reducir la velocidad de movimiento del enemigo.
",341,1,talentTree-119,119,0,5,1, Tormenta Ligera - Mejora ,2,1292,0,70,0,2000
4," Combate MaxHP +20
",268,1,talentTree-120,120,0,5,1, Combate - HP ,2,1292,0,114,0,2000
-3,"Reducir la velocidad de movimiento del enemigo.
",335,1,talentTree-122,122,0,6,1,War Trampling - Enhance: Pisoteo de guerra - Mejora,2,2584,0,71,0,2500
-2,"Reducir la velocidad de movimiento del enemigo.
",338,1,talentTree-123,123,0,6,1, Escape - Mejora,2,2584,0,57,0,2500
1,"Aumentar el daño crítico a los monstruos en 10/20/30%.
",113;114;115,1,talentTree-124,124,0,6,3, Experto ,2,"2584,2584,2584",0,118,0,"2500,2500,2500"
-1,"Lanza bombas y causa un alto daño a los enemigos dentro del rango de explosión.
",487,0,talentTree-125,125,0,6,1, Arte de la Explosión,2,2584,0,119,0,2500
-3,"Derrota a una gran área de enemigos frente a ti y causa aturdimiento temporal.
",459,0,talentTree-127,127,0,7,1, Barrido,2,5169,0,122,0,3000
-2,"Reducir la velocidad de movimiento del enemigo
",339,1,talentTree-128,128,0,7,1,Escape - Mejora,2,5169,0,123,0,3000
-1,"Reducir la velocidad de movimiento del enemigo
",342,1,talentTree-129,129,0,7,1,Arte de la Explosión - Mejora,2,5169,0,125,0,3000
1,"Aumenta la velocidad de ataque en 10/20/30%
",131;132;133,1,talentTree-130,130,0,7,3, Experto ,2,"5169,5169,5169",0,124,0,"3000,3000,3000"
2," Combate ATK +5
",257,1,talentTree-131,131,0,6,1, Combate - Poder de Ataque ,2,2584,0,117,0,2500
3," Combate DEF +5
",263,1,talentTree-132,132,0,6,1, Combate - Defensa ,2,2584,0,116,0,2500
4," Combate MaxHP +20
",269,1,talentTree-133,133,0,6,1, Combate - HP ,2,2584,0,120,0,2500
2," Combate ATK +5
",270,1,talentTree-134,134,0,7,1, Combate - Poder de Ataque ,2,5169,0,131,0,3000
3," Combate DEF +5
",273,1,talentTree-135,135,0,7,1, Combate - Defensa ,2,5169,0,132,0,3000
4," Combate MaxHP +20
",276,1,talentTree-136,136,0,7,1, Combate - HP ,2,5169,0,133,0,3000
-2,"Salta hacia un enemigo cercano y causa aturdimiento y daño en un rango determinado en el punto de aterrizaje.
",484,0,talentTree-139,139,0,8,1,Persecución,2,11200,0,128,0,3500
-1,"Reducir la velocidad de movimiento del enemigo
",343,1,talentTree-140,140,0,8,1,Arte de la explosión - Mejora,2,11200,0,129,0,3500
1,"Bonificación de daño del 0.1/0.2/0.3% por cada 1% de salud perdida
",128;129;130,1,talentTree-141,141,0,8,3, Experto ,2,"11200,11200,11200",0,130,0,"3500,3500,3500"
2," Combate ATK +5
",271,1,talentTree-142,142,0,8,1, Combate - Poder de Ataque ,2,11200,0,134,0,3500
3," Combate DEF +5
",274,1,talentTree-143,143,0,8,1, Combate - Defensa ,2,11200,0,135,0,3500
4," Combate MaxHP +20
",277,1,talentTree-144,144,0,8,1, Combate - Salud ,2,11200,0,136,0,3500
-1,"Después de un breve período de acumulación de energía, libera la energía interna, causando un daño sostenido alto a los enemigos dentro de un rango determinado. Durante la liberación de la habilidad, permanece en un estado de incapacidad para golpear.
",432,0,talentTree-149,149,0,9,1,,2,24436,0,140,0,4000
2," Combate ATK +5
",272,1,talentTree-150,150,0,9,1, Combate - Poder de Ataque ,2,24436,0,142,0,4000
1,"El ataque del arma deja heridas, infligiendo un daño de ataque del 1%/2%/3% cada 0.5 segundos durante 5 segundos, y se puede acumular hasta 5 capas
",172;173;174,1,talentTree-151,151,0,9,3, Experto ,2,"24436,24436,24436",0,141,0,"4000,4000,4000"
3," Combate DEF +5
",275,1,talentTree-152,152,0,9,1, Combate - Defensa ,2,24436,0,143,0,4000
4," Combate MaxHP +20
",278,1,talentTree-153,153,0,9,1, Combate - HP ,2,24436,0,144,0,4000
-1,"Regar pequeños campos a tu alrededor.
",100,0,talentTree-157,157,0,5,1, Maestría en Regadera ,1,1680,0,46,0,2000
1,"Capacidad de fertilidad + 1.
",237,1,talentTree-158,158,0,5,1, Agricultura - Producción de fertilidad por unidad de tierra ,1,1680,0,84,0,2000
2,Competencia en Plantación +4,250,1,talentTree-159,159,0,5,1, Agricultura - Maestría en Recolectar ,1,1680,0,50,0,2000
3,Capacidad de Felicidad de Mascotas +1,283,1,talentTree-160,160,0,5,1, Agricultura - Índice de Felicidad de Salida de Mascotas ,1,1680,0,89,0,2000
1,"Capacidad de fertilidad + 1.
",238,1,talentTree-163,163,0,6,1, Agricultura - Producción de fertilidad por unidad de tierra ,1,3360,0,158,0,2500
3,Capacidad de Felicidad de Mascotas +1,284,1,talentTree-164,164,0,6,1, Agricultura - Índice de Felicidad de Salida de Mascotas ,1,3360,0,160,0,2500
2,Competencia en Plantación +4,251,1,talentTree-165,165,0,6,1, Agricultura - Maestría en Recolectar ,1,3360,0,159,0,2500
4,Competencia reproductiva + 4,290,1,talentTree-166,166,0,6,1, Agricultura - Maestría en Cosecha ,1,3360,0,85,0,2500
-1,"Habilidades de Eficiencia - Azada en Grupo
",104,0,talentTree-169,169,0,6,1, Separador de Tierra ,1,3360,0,157,0,2500
1,"Capacidad de fertilidad + 1.
",239,1,talentTree-170,170,0,7,1, Agricultura - Producción de fertilidad por unidad de tierra ,1,6720,0,163,0,3000
2,Competencia en Plantación +4,279,1,talentTree-171,171,0,7,1, Agricultura - Maestría en Recolectar ,1,6720,0,165,0,3000
3,Capacidad de Felicidad de Mascotas +1,285,1,talentTree-172,172,0,7,1, Agricultura - Índice de Felicidad de Salida de Unidad de Mascotas ,1,6720,0,164,0,3000
4,Competencia reproductiva + 4,291,1,talentTree-173,173,0,7,1, Agricultura - Maestría en Cosecha ,1,6720,0,166,0,3000
-1,"Regar campos pequeños a tu alrededor
",101,0,talentTree-176,176,0,8,1, Maestría en Regadera ,1,13440,0,298,0,3500
2,Competencia en Plantación +4,280,1,talentTree-177,177,0,8,1, Agricultura - Maestría en Cosecha ,1,13440,0,171,0,3500
1,"Capacidad de fertilidad + 1.
",240,1,talentTree-178,178,0,8,1, Agricultura - Producción de fertilidad por unidad de tierra ,1,13440,0,170,0,3500
3,Capacidad de Felicidad de Mascotas +1,286,1,talentTree-179,179,0,8,1, Agricultura - Índice de Felicidad de Salida de Unidad de Mascotas ,1,13440,0,172,0,3500
4,Competencia reproductiva + 4,292,1,talentTree-180,180,0,8,1, Agricultura - Maestría en Cosecha ,1,13440,0,173,0,3500
1,"Capacidad de fertilidad + 1.
",241,1,talentTree-184,184,0,9,1, Agricultura - Producción de fertilidad por unidad de tierra ,1,26880,0,178,0,4000
2,Competencia en Plantación +4,281,1,talentTree-185,185,0,9,1, Agricultura - Maestría en Cosecha ,1,26880,0,177,0,4000
3,Capacidad de Felicidad de Mascotas +1,287,1,talentTree-186,186,0,9,1, Agricultura - Índice de Felicidad de Salida de Mascotas ,1,26880,0,179,0,4000
4,Competencia reproductiva + 4,293,1,talentTree-187,187,0,9,1, Agricultura - Maestría en Cosecha ,1,26880,0,180,0,4000
1,"Ataque de Hierba ++ Competencia ++
",294,1,talentTree-188,188,0,1,1, Recolectar - Hierba ,3,131,0,,0,0
2,"Ataque de Árbol ++ Competencia ++
",303,1,talentTree-189,189,0,1,1, Recolectar - Árboles ,3,131,0,,0,0
3,"Ataque de Mineral ++ Competencia ++
",312,1,talentTree-190,190,0,1,1, Recolectar - Minería ,3,131,0,,0,0
1,"Ataque de Hierba ++ Competencia ++
",295,1,talentTree-191,191,0,2,1, Recolectar - Hierba ,3,262,0,188,0,0
2,"Ataque de Árbol ++ Competencia ++
",304,1,talentTree-192,192,0,2,1, Recolectar - Árboles ,3,262,0,189,0,0
3,"Ataque de Mineral ++ Competencia ++
",313,1,talentTree-193,193,0,2,1, Recolectar - Minería ,3,262,0,190,0,0
1,"Ataque de Hierba en Recolecta ++ Competencia ++
",296,1,talentTree-194,194,0,3,1, Recolectar - Hierba ,3,525,0,191,0,0
2,"Ataque de Árbol en Recolecta ++ Competencia ++
",305,1,talentTree-195,195,0,3,1, Recolectar - Árboles ,3,525,0,192,0,0
3,"Ataque de Mineral en Recolecta ++ Competencia ++
",314,1,talentTree-196,196,0,3,1, Recolectar - Minería ,3,525,0,193,0,0
1,"Ataque de Hierba en Recolecta ++ Competencia ++
",297,1,talentTree-197,197,0,4,1, Recolectar - Hierba ,3,1050,0,194,0,1500
