desc-string,duration-int,effectType-int,id-int,isRepeat-bool,maxLayer-int,parameters-int[],showBuffIcon-bool,buffIcon-string,parameters2-int[][],effectInterval-int,effectFlag-int[],effectImmuneFlag-int[],entityEffect-string
" Núcleo de combate 2, aumenta 1% de poder de ataque",-1,7,47,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Núcleo de combate 3, aumenta 1% de poder de ataque",-1,7,48,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Núcleo de combate 4, +1% de ataque",-1,7,49,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Núcleo de combate 5, +1% de ataque",-1,7,50,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Núcleo de combate 6, aumenta 1% de poder de ataque",-1,7,51,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Núcleo de combate 6, aumenta 1% de poder de ataque",-1,7,52,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Núcleo de combate 6, aumenta 1% de poder de ataque",-1,7,53,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
" Núcleo de combate 6, aumenta 1% de poder de ataque",-1,7,54,0,1,,0,,"13,1,5;15,1,5;11,1,20",,,,
 Probabilidad de golpe crítico +5% en batalla,-1,7,55,0,1,,0,,"19,1,50",,,,
 Probabilidad de golpe crítico +10% en batalla,-1,7,56,0,1,,0,,"19,1,100",,,,
 Probabilidad de golpe crítico +15% en batalla,-1,7,57,0,1,,0,,"19,1,150",,,,
 La guerra reduce el daño en un 50%,0,1,58,0,1,"1500,1,2",0,,,,,,
" La guerra aplasta, mareo 2s",2000,8,59,0,1,,1,buff-icon-59,,,,,
 Probabilidad de ganancia extra +1%,-1,7,60,0,10,,0,,"40,1,10",,,,
 Probabilidad de ganancia extra +1%,-1,7,61,0,10,,0,,"40,1,10",,,,
 Probabilidad de ganancia extra +1%,-1,7,62,0,10,,0,,"40,1,10",,,,
 Probabilidad de ganancia extra +1%,-1,7,63,0,10,,0,,"40,1,10",,,,
 Probabilidad de ganancia extra +1%,-1,7,64,0,10,,0,,"40,1,10",,,,
 Probabilidad de ganancia extra +1%,-1,7,65,0,10,,0,,"40,1,10",,,,
 Probabilidad de ganancia extra +1%,-1,7,66,0,10,,0,,"40,1,10",,,,
 Probabilidad de ganancia extra +1%,-1,7,67,0,10,,0,,"40,1,10",,,,
 Probabilidad de ganancia extra +1%,-1,7,68,0,10,,0,,"40,1,10",,,,
 Aumentar nivel para nivel de cultivo,-1,7,69,0,1,,0,,"42,1,1",,,,
 Aumentar nivel para nivel de cultivo,-1,7,70,0,1,,0,,"42,1,1",,,,
 Aumentar nivel para nivel de cultivo,-1,7,71,0,1,,0,,"42,1,1",,,,
 Acelerar la azada en un 10%,-1,7,72,0,1,,0,,"37,1,100",,,,
 Acelerar la azada en un 20%,-1,7,73,0,1,,0,,"37,1,100",,,,
 Acelerar la azada en un 30%,-1,7,74,0,1,,0,,"37,1,100",,,,
 El riego aumenta la retención de humedad en un 5%,-1,7,75,0,1,,0,,"39,1,50",,,,
 El riego aumenta la retención de humedad en un 10%,-1,7,76,0,1,,0,,"39,1,100",,,,
 El riego aumenta la retención de humedad en un 15%,-1,7,77,0,1,,0,,"39,1,150",,,,
 Probabilidad de recolección de recursos duplicada +1%,-1,7,78,0,20,,0,,"27,1,10;34,1,10",,,,
 Probabilidad de recolección de recursos duplicada +1%,-1,7,79,0,20,,0,,"27,1,10;34,1,10",,,,
 Probabilidad de recolección de recursos duplicada +1%,-1,7,80,0,20,,0,,"27,1,10;34,1,10",,,,
 Probabilidad de recolección de recursos duplicada +1%,-1,7,81,0,20,,0,,"27,1,10;34,1,10",,,,
 Probabilidad de recolección de recursos duplicada +1%,-1,7,82,0,20,,0,,"27,1,10;34,1,10",,,,
 Probabilidad de recolección de recursos duplicada +1%,-1,7,83,0,20,,0,,"27,1,10;34,1,10",,,,
 Probabilidad de recolección de recursos duplicada +1%,-1,7,84,0,20,,0,,"27,1,10;34,1,10",,,,
 Probabilidad de recolección de recursos duplicada +1%,-1,7,85,0,20,,0,,"27,1,10;34,1,10",,,,
 Probabilidad de recolección de recursos duplicada +1%,-1,7,86,0,20,,0,,"27,1,10;34,1,10",,,,
 Aumentar nivel para recolectar recursos superiores,-1,7,87,0,1,,0,,"28,1,1;35,1,1",,,,
 Aumentar nivel para recolectar recursos superiores,-1,7,88,0,1,,0,,"28,1,1;35,1,1",,,,
 Aumentar nivel para recolectar recursos superiores,-1,7,89,0,1,,0,,"28,1,1;35,1,1",,,,
 Acelerar el balanceo del hacha en un 10%,-1,7,90,0,1,,0,,"23,1,100",,,,
 Acelerar el balanceo del hacha en un 20%,-1,7,91,0,1,,0,,"23,1,200",,,,
 Acelerar el balanceo del hacha en un 30%,-1,7,92,0,1,,0,,"23,1,300",,,,
 Probabilidad de crítico para cortar árboles +5%,-1,7,93,0,1,,0,,"24,1,50",,,,
 Aumento del 10% en la tasa de golpe crítico al cortar árboles,-1,7,94,0,1,,0,,"24,1,100",,,,
 Aumento del 15% en la tasa de golpe crítico al cortar árboles,-1,7,95,0,1,,0,,"24,1,150",,,,
 Probabilidad de obtener semillas aumenta en un 5%,-1,7,96,0,1,,0,,"41,1,50",,,,
 Probabilidad de obtener semillas aumenta en un 10%,-1,7,97,0,1,,0,,"41,1,100",,,,
 Probabilidad de obtener semillas aumenta en un 15%,-1,7,98,0,1,,0,,"41,1,150",,,,
Velocidad extra de hogar +10%,-1,7,99,0,1,,0,,"8,1,100",,,,
 Velocidad extra de hogar +20%,-1,7,100,0,1,,0,,"8,1,200",,,,
 Velocidad extra de hogar +30%,-1,7,101,0,1,,0,,"8,1,300",,,,
 Aumenta el daño crítico a los monstruos en un 10%,-1,7,102,0,1,,0,,"20,1,100",,,,
 Aumenta el daño crítico a los monstruos en un 20%,-1,7,103,0,1,,0,,"20,1,200",,,,
 Aumenta el daño crítico a los monstruos en un 30%,-1,7,104,0,1,,0,,"20,1,300",,,,
 1% de aumento de daño recibido en batalla,5000,7,105,0,5,,1,buff-icon-105,"18,1,10",,,,
 2% de aumento de daño recibido en combate,5000,7,106,0,5,,1,buff-icon-106,"18,1,20",,,,
 3% de aumento de daño recibido en combate,5000,7,107,0,5,,1,buff-icon-107,"18,1,30",,,,
 Desplazamiento previo al sprint,200,2,108,0,,"500,0,1",0,,,,,,
 Distancia de empuje del sprint,200,3,109,0,1,250,0,,,,,,
 Daño del sprint 1,0,1,110,0,,"500,1,2",0,,,,,,
 Daño del sprint 2,0,1,111,0,,"1000,1,2",0,,,,,,
 Daño del sprint 3,0,1,112,0,,"1500,1,2",0,,,,,,
 Habilidad de sprint 1,300,10,113,0,,"110,109,445",0,,,100,,,
 Habilidad de sprint 2,300,10,114,0,,"109,111,445",0,,,100,,,
 Habilidad de sprint 3,300,10,115,0,,"109,112,445",0,,,100,,,
" Sin daño, más daño Nv. 1",-1,14,116,0,1,20000,1,buff-icon-116,"21,1,100",,,,
" Sin daño, más daño Nv. 2",-1,14,117,0,1,10000,1,buff-icon-117,"21,1,100",,,,
" Sin daño, más daño Nv. 3",-1,14,118,0,1,5000,1,buff-icon-118,"21,1,100",,,,
 Aumenta la velocidad en un 10%,-1,7,119,0,1,,0,,"7,2,100",,,,
 Aumenta la velocidad en un 20%,-1,7,120,0,1,,0,,"7,2,200",,,,
 Aumenta la velocidad en un 30%,-1,7,121,0,1,,0,,"7,2,300",,,,
 Evasión aumentada en un 2%,-1,7,122,0,1,,0,,"17,4,20",,,,
 Evasión aumentada en un 4%,-1,7,123,0,1,,0,,"17,4,40",,,,
 Evasión aumentada en un 6%,-1,7,124,0,1,,0,,"17,4,60",,,,
 Ira sanguínea Nv. 1,-1,13,125,0,1,,1,buff-icon-125,"21,1,1",,,,
 Ira sanguínea Nv. 2,-1,13,126,0,1,,1,buff-icon-126,"21,1,3",,,,
 Ira sanguínea Nv. 3,-1,13,127,0,1,,1,buff-icon-127,"21,1,5",,,,
 Sangrado Nv. 1,5500,9,128,0,5,"10,1",1,buff-icon-128,,500,,,
 Sangrado Nv. 2,5500,9,129,0,5,"10,1",1,buff-icon-129,,500,,,
 Sangrado Nv. 3,5500,9,130,0,5,"10,1",1,buff-icon-130,,500,,,
 Velocidad de ataque 1,-1,7,131,0,1,,0,,"14,1,50",,,,
 Velocidad de ataque 2,-1,7,132,0,1,,0,,"14,1,100",,,,
 Velocidad de ataque 3,-1,7,133,0,1,,0,,"14,1,150",,,,
 Ataque extra desencadenado por el ataque 1,-1,11,134,0,1,,0,,"14,15,16,17,18,19,202,203,204;1,50,65",,,,
 Ataque extra desencadenado por el ataque 2,-1,11,135,0,1,,0,,"14,15,16,17,18,19,202,203,204;1,100,65",,,,
 Ataque extra desencadenado por el ataque 3,-1,11,136,0,1,,0,,"14,15,16,17,18,19,202,203,204;1,150,65",,,,
 Danza de espadas 1,1000,12,137,0,1,,0,,"1,10;227,385",200,,,
 Daño de danza de espadas,0,1,138,0,,"750,1,2",0,,,,,,
 Danza de espadas 2,1000,12,139,0,1,,0,,"1,10;227,385",150,,,
 Danza de espadas 3,2000,12,140,0,1,,0,,"1,10;227,385",250,,,Skill_Saiyan
 Hacha acelera 1,-1,7,141,0,1,,0,,"23,1,100",,,,
 Hacha acelera 2,-1,7,142,0,1,,0,,"23,1,200",,,,
 Hacha acelera 3,-1,7,143,0,1,,0,,"23,1,300",,,,
 Crítico de árbol 1,-1,7,144,0,1,,0,,"24,1,50",,,,
 Crítico de árbol 2,-1,7,145,0,1,,0,,"24,1,100",,,,
 Crítico de árbol 3,-1,7,146,0,1,,0,,"24,1,150",,,,
 Madera duplicada 1,-1,7,147,0,1,,0,,"27,1,30",,,,
 Madera duplicada 2,-1,7,148,0,1,,0,,"27,1,60",,,,
Madera se duplica 3,-1,7,149,0,1,,0,,"27,1,90",,,,
 Daño al cortar árboles 1,-1,7,150,0,1,,0,,"26,1,100",,,,
 Daño al cortar árboles 2,-1,7,151,0,1,,0,,"26,1,200",,,,
 Daño al cortar árboles 3,-1,7,152,0,1,,0,,"26,1,300",,,,
 Daño a la piedra 1,-1,7,153,0,1,,0,,"33,1,100",,,,
 Daño a la piedra 2,-1,7,154,0,1,,0,,"33,1,200",,,,
 Daño a la piedra 3,-1,7,155,0,1,,0,,"33,1,300",,,,
 Velocidad del pico 1,-1,7,156,0,1,,0,,"30,1,100",,,,
 Velocidad del pico 2,-1,7,157,0,1,,0,,"30,1,200",,,,
 Velocidad del pico 3,-1,7,158,0,1,,0,,"30,1,300",,,,
 Piedra se duplica 1,-1,7,159,0,1,,0,,"34,1,30",,,,
 Piedra se duplica 2,-1,7,160,0,1,,0,,"34,1,60",,,,
 Piedra se duplica 3,-1,7,161,0,1,,0,,"34,1,90",,,,
 Crítico a la piedra 1,-1,7,162,0,1,,0,,"31,1,50",,,,
 Crítico a la piedra 2,-1,7,163,0,1,,0,,"31,1,100",,,,
 Crítico a la piedra 3,-1,7,164,0,1,,0,,"31,1,150",,,,
 Captura del Monstruo Gancho,0,16,176,0,1,,0,,,,,,
 Golpe de captura,0,17,177,0,1,,0,,,,,,
 Daño aumentado 1,-1,15,181,0,1,,1,buff-icon-181,"17,1,3,105;18,1,3,105;19,1,3,105",,,,
 Daño aumentado 2,-1,15,182,0,1,,1,buff-icon-182,"17,1,3,106;18,1,3,106;19,1,3,106",,,,
 Daño aumentado 3,-1,15,183,0,1,,1,buff-icon-183,"17,1,3,107;18,1,3,107;19,1,3,107",,,,
 Herida desgarrada 1,-1,15,184,0,1,,0,buff-icon-184,"17,1,3,128;18,1,3,128;19,1,3,128;205,1,3,128;344,1,3,128;345,1,3,128;202,1,3,128;203,1,3,128;204,1,3,128",,,,
 Herida desgarrada 2,-1,15,185,0,1,,1,buff-icon-185,"17,1,3,129;18,1,3,129;19,1,3,129;205,1,3,129;344,1,3,129;345,1,3,129;202,1,3,129;203,1,3,129;204,1,3,129",,,,
 Herida desgarrada 3,-1,15,186,0,1,,1,buff-icon-186,"17,1,3,130;18,1,3,130;19,1,3,130;205,1,3,130;344,1,3,130;345,1,3,130;202,1,3,130;203,1,3,130;204,1,3,130",,,,
 Poción de ataque secundaria,60000,7,187,0,1,,1,buff-icon-187,"13,1,20",,,,
 Metal Mutt Pre-animación Hiper Armadura,730,5,188,0,10,,0,buff-icon-188,,,,,
 Diablo Calabaza Pre-animación Hiper Armadura,1300,5,189,0,10,,0,buff-icon-189,,,,,
 Guerrero Cactus Pre-animación Hiper Armadura,1100,5,190,0,10,,0,buff-icon-190,,,,,
 Armadura Hiper de León de Cristal,416,5,191,0,10,,0,buff-icon-191,,,,,
 Armadura Hiper de Lagarto de Cristal,400,5,192,0,10,,0,buff-icon-192,,,,,
 Bestia de Espalda de Cristal Hiper Armadura,300,5,193,0,10,,0,buff-icon-193,,,,,
 Poción de velocidad secundaria,60000,7,194,0,1,,1,buff-icon-194,"7,1,80",,,,
 Poción de crítico secundaria,60000,7,195,0,1,,1,buff-icon-195,"19,1,30",,,,
 Poción de vida secundaria,60000,7,196,0,1,,1,buff-icon-196,"11,1,80",,,,
 Poción de defensa secundaria,60000,7,197,0,1,,1,buff-icon-197,"15,1,5",,,,
 Poción de ataque,60000,7,198,0,1,,1,buff-icon-198,"13,1,30",,,,
 Poción de velocidad de movimiento,60000,7,199,0,1,,1,buff-icon-199,"7,1,120",,,,
 Poción de golpe crítico,60000,7,200,0,1,,1,buff-icon-200,"19,1,60",,,,
 Poción de vida,60000,7,201,0,1,,1,buff-icon-201,"11,1,120",,,,
 Poción de defensa,60000,7,202,0,1,,1,buff-icon-202,"15,1,10",,,,
 Poción de ataque de cristal,60000,7,203,0,1,,1,buff-icon-203,"13,1,40",,,,
 Poción de velocidad de cristal,60000,7,204,0,1,,1,buff-icon-204,"7,1,160",,,,
 Poción de crítico de cristal,60000,7,205,0,1,,1,buff-icon-205,"19,1,90",,,,
 Poción de vida de cristal,60000,7,206,0,1,,1,buff-icon-206,"11,1,160",,,,
 Poción de defensa de cristal,60000,7,207,0,1,,1,buff-icon-207,"15,1,15",,,,
 Poción de curación secundaria,0,7,208,0,1,,0,,"10,1,80",,,,
 Poción de tratamiento,0,7,209,0,1,,0,,"10,1,160",,,,
 Poción de terapia de cristal,0,7,210,0,1,,0,,"10,1,240",,,,
 Poción de vida secundaria - curación,0,7,211,0,1,,0,,"10,1,80",,,,
 Poción de vida - curación,0,7,212,0,1,,0,,"10,1,120",,,,
Poción de vida de cristal - curación,0,7,213,0,1,,0,,"10,1,160",,,,
 Efecto de desplazamiento de búsqueda (pequeño),150,6,214,0,1,"80,200,0,1,1",0,,,,,,
 Detección y desplazamiento del Enemigo Guerrero Cactus,1100,6,215,0,1,"100,250,900,1,1",0,,,,,,
 Detección y desplazamiento del Enemigo Diablo Calabaza,600,6,216,0,1,"100,150,450,1,1",0,,,,,,
 Detección y desplazamiento del Enemigo Amigo Zumbador,416,6,217,0,1,"150,250,300,1,1",0,,,,,,
 Detección y desplazamiento del Enemigo Espectro del Caos,500,6,218,0,1,"100,200,400,1,1",0,,,,,,
 Detección y desplazamiento del Enemigo Bateador Carmesí,950,6,219,0,1,"150,400,750,1,1",0,,,,,,
 Detección y desplazamiento del Enemigo Garra Helada,650,6,220,0,1,"100,150,300,1,1",0,,,,,,
 Hiperarmadura del Espectro del Caos,500,5,221,0,10,,0,buff-icon-221,,,,,
 Hiperarmadura del Bateador Carmesí,1000,5,222,0,10,,0,buff-icon-222,,,,,
 Hiperarmadura de Garra Helada,800,5,223,0,10,,0,buff-icon-223,,,,,
 Detección y desplazamiento del Enemigo Perro de Metal,550,6,226,0,1,"100,150,300,1,1",0,,,,,,
 Bola de Efecto de Daño de Golpe Pesado,5000,7,227,0,10,,0,buff-icon-227,"15,2,0",,,,
 Buff Fuerte General de Monstruo de Tipo de Ataque Cuerpo a Cuerpo,10000,7,228,0,1,,0,buff-icon-228,"13,2,75",,,,Skill_phaseStrengthen_Atk
 Modificar Efecto de Habilidad del Perro de Metal,-1,15,229,0,1,,0,,"31,1,3,11;179,1,3,11",,,,
 Ataque Extra del Perro de Metal,-1,11,230,0,1,,0,,"31,179;1,500,179",,,,
 Buff de Debilidad General de Monstruo de Tipo de Ataque Cuerpo a Cuerpo,10000,7,231,0,1,,0,buff-icon-231,"13,2,-200;14,2,-500",,,,Skill_phaseWeaken_Atk
 Buff Fuerte General de Monstruo de Tipo de Defensa,10000,7,232,0,1,,0,buff-icon-232,"15,2,100",,,,Skill_phaseStrengthen_Def
 Buff de Debilidad General de Monstruo de Tipo de Defensa,10000,7,233,0,1,,0,buff-icon-233,"15,2,-200",,,,Skill_phaseWeaken_Def
 Buff Fuerte General de Monstruo de Tipo Ágil,10000,7,234,0,1,,0,buff-icon-234,"14,2,500",,,,Skill_phaseStrengthen_Ranged
 Buff de Debilidad General de Monstruo de Tipo Ágil,10000,7,235,0,1,,0,buff-icon-235,"7,2,-500;14,2,-500",,,,Skill_phaseWeaken_Flex
 Detección de Enemigo de Golpe Pesado y Desplazamiento,400,6,236,0,1,"150,200,200,1,1",0,,,,,,
 Mareo General 1s,1000,8,238,0,1,,1,buff-icon-238,,,,,
 Detección Fuerte General de Monstruo de Tipo Ágil,6000,14,237,0,3,3000,0,buff-icon-237,"7,2,500",,,,
 Retroceso Leve - Ligero,100,3,239,0,1,30,0,,,,,,
 Aumento de Atributo de Fertilizante de Suelo Único - 4,-1,7,240,0,10,,0,,"43,1,1",,,,
 Aumento de Atributo de Fertilidad Máxima - 400,-1,7,241,0,10,,0,,"44,1,100",,,,
 Aumento de Atributo de Competencia en Cultivos - 4,-1,7,242,0,20,,0,,"49,1,4",,,,
 Aumento de Atributo de Fertilizante de Suelo Único - 3,-1,7,243,0,10,,0,,"43,1,1",,,,
 Aumento de Atributo de Fertilizante de Suelo Único - 3,-1,7,244,0,10,,0,,"43,1,1",,,,
 Aumento de Atributo de Felicidad de Mascota Única - 4,-1,7,245,0,10,,0,,"46,1,1",,,,
 Aumento de Atributo de Felicidad de Mascota Única - 3,-1,7,246,0,10,,0,,"46,1,1",,,,
 Aumento de Atributo de Felicidad de Mascota Única - 3,-1,7,247,0,10,,0,,"46,1,1",,,,
 Aumento de Atributo de Felicidad Máxima - 100,-1,7,248,0,10,,0,,"47,1,25",,,,
 Aumento de Atributo de Competencia en Crianza - 4,-1,7,249,0,20,,0,,"50,1,4",,,,
 Aumento de Atributo de Fertilizante de Suelo Único - 3,-1,7,250,0,20,,0,,"43,1,1",,,,
 Aumento de Atributo de Fertilizante de Suelo Único - 2,-1,7,251,0,20,,0,,"43,1,1",,,,
 Aumento de Atributo de Fertilizante de Suelo Único - 2,-1,7,252,0,20,,0,,"43,1,1",,,,
 Aumento de Atributo de Felicidad de Mascota Única - 3,-1,7,253,0,20,,0,,"46,1,1",,,,
 Aumento de Atributo de Felicidad de Mascota Única - 2,-1,7,254,0,20,,0,,"46,1,1",,,,
 Aumento de Atributo de Felicidad de Mascota Única - 2,-1,7,255,0,20,,0,,"46,1,1",,,,
 Aumento de Atributo de Fertilidad Máxima - 200,-1,7,256,0,20,,0,,"44,1,100",,,,
 Aumento de Atributo de Competencia en Cultivos - 4,-1,7,257,0,20,,0,,"49,1,4",,,,
 Aumento de Atributo de Poder de Ataque - 20,-1,7,262,0,20,,0,,"13,1,5",,,,
 Aumento de Atributo de Poder de Defensa - 15,-1,7,263,0,20,,0,,"15,1,5",,,,
 Aumento de Atributo de Puntos de Salud - 50,-1,7,264,0,20,,0,,"11,1,20",,,,
 Modificación de Atributo (Rama Principal de Recolecta 136 - 1 Poder de Ataque de Corte de Hierba 20),-1,7,265,0,20,,0,,"51,1,5",,,,
 Modificación de Atributo (Rama Principal de Recolecta 137 - 1 Competencia en Cosecha de Hierba 27),-1,7,266,0,20,,0,,"54,1,5",,,,
 Modificación de Atributo (Rama Principal de Recolecta 138 - 1 Poder de Ataque de Corte de Árbol 20),-1,7,267,0,20,,0,,"22,1,5",,,,
 Modificación de Atributo (Rama Principal de Recolecta 139 - 1 Competencia en Corte de Árbol 27),-1,7,268,0,20,,0,,"55,1,5",,,,
Atributo de modificación (140 Rama principal de recolección - 1 Poder de ataque de minería de mineral 20),-1,7,269,0,20,,0,,"29,1,5",,,,
 Atributo de modificación (141 Rama principal de recolección - 1 Proficiencia en minería 27),-1,7,270,0,20,,0,,"56,1,5",,,,
 Aumentar atributo de fertilidad del suelo individual - 2,-1,7,271,0,20,,0,,"43,1,1",,,,
 Aumentar atributo de fertilidad del suelo individual - 2,-1,7,272,0,20,,0,,"43,1,1",,,,
 Aumentar atributo de fertilidad del suelo individual - 2,-1,7,273,0,20,,0,,"43,1,1",,,,
 Aumentar atributo de felicidad de mascotas individual - 2,-1,7,274,0,20,,0,,"46,1,1",,,,
 Aumentar atributo de felicidad de mascotas individual - 2,-1,7,275,0,20,,0,,"46,1,1",,,,
 Aumentar atributo de felicidad de mascotas individual - 2,-1,7,276,0,20,,0,,"46,1,1",,,,
 Maestría de recolección,-1,7,277,0,20,,0,,"51,1,5",,,,
 Maestría de recolección,-1,7,278,0,20,,0,,"51,1,5",,,,
 Maestría de recolección,-1,7,279,0,20,,0,,"51,1,5",,,,
 Maestría de recolección,-1,7,280,0,20,,0,,"51,1,5",,,,
 Maestría de recolección,-1,7,281,0,20,,0,,"51,1,5",,,,
 Maestría de recolección,-1,7,282,0,20,,0,,"51,1,5",,,,
 Maestría de recolección,-1,7,283,0,20,,0,,"51,1,5",,,,
 Maestría de recolección,-1,7,284,0,20,,0,,"51,1,5",,,,
 Maestría de recolección,-1,7,285,0,20,,0,,"51,1,5",,,,
 Maestría de recolección,-1,7,286,0,20,,0,,"54,1,5",,,,
 Maestría de recolección,-1,7,287,0,20,,0,,"54,1,5",,,,
 Maestría de recolección,-1,7,288,0,20,,0,,"54,1,5",,,,
 Maestría de recolección,-1,7,289,0,20,,0,,"54,1,5",,,,
 Maestría de recolección,-1,7,290,0,20,,0,,"54,1,5",,,,
 Maestría de recolección,-1,7,291,0,20,,0,,"54,1,5",,,,
 Maestría de recolección,-1,7,292,0,20,,0,,"54,1,5",,,,
 Maestría de recolección,-1,7,293,0,20,,0,,"54,1,5",,,,
 Maestría de recolección,-1,7,294,0,20,,0,,"54,1,5",,,,
 Maestría de recolección,-1,7,295,0,20,,0,,"22,1,5",,,,
 Maestría de recolección,-1,7,296,0,20,,0,,"22,1,5",,,,
 Maestría de recolección,-1,7,297,0,20,,0,,"22,1,5",,,,
 Maestría de recolección,-1,7,298,0,20,,0,,"22,1,5",,,,
 Maestría de recolección,-1,7,299,0,20,,0,,"22,1,5",,,,
 Maestría de recolección,-1,7,300,0,20,,0,,"22,1,5",,,,
 Maestría de recolección,-1,7,301,0,20,,0,,"22,1,5",,,,
 Maestría de recolección,-1,7,302,0,20,,0,,"22,1,5",,,,
 Maestría de recolección,-1,7,303,0,20,,0,,"22,1,5",,,,
 Maestría de recolección,-1,7,304,0,20,,0,,"55,1,5",,,,
 Maestría de recolección,-1,7,305,0,20,,0,,"55,1,5",,,,
