assetRes-string,dropId-int,exp-int,grassDef-int,homeAction-int,icon-string,id-int,lv-int,maxActionValue-int,name-string,oreDef-int,progressScore-int,rankScore-int,requiredProficiency-int,tokenTaskLevel-int[],totemScore-int,treeDef-int
homeresource-28,0,0,100,5,homeresource-28,28,1,750,,0,2,14,150,999,1,0
homeresource-29,0,0,0,6,homeresource-29,29,1,750,['Madera ordinaria de nivel 1'],0,2,14,150,999,1,100
homeresource-30,0,0,100,5,homeresource-30,30,1,750,['Fibra vegetal de nivel 1'],0,2,14,150,999,1,0
homeresource-31,0,0,100,5,homeresource-31,31,1,750,['Fibra vegetal de nivel 1'],0,2,14,150,999,1,0
homeresource-32,0,0,100,5,homeresource-32,32,1,750,['Fibra vegetal de nivel 1'],0,2,14,150,999,1,0
homeresource-33,32,15,100,5,homeresource-33,33,1,750,['Fibra vegetal de nivel 1'],0,2,14,150,"0, 1",1,0
2D_caijiziyuan_shikuai_4,26,15,0,7,2D_caijiziyuan_shikuai_4,34,1,750,['Mineral de nivel 1'],100,2,14,150,"0, 1",1,0
homeresource-35,27,15,0,6,homeresource-35,35,1,750,['Madera ordinaria de nivel 1'],0,2,14,150,"0, 1",1,100
homeresource-36,28,21.21320344,0,6,homeresource-36,36,2,1500,['Madera de árbol del desierto de nivel 2'],0,4,20,300,2,2,200
homeresource-37,29,30,0,6,homeresource-37,37,3,2250,Lv 3 Madera oscura de nivel 3,0,8,28,450,3,3,300
homeresource-38,31,30,0,7,homeresource-38,38,3,2250,Lv 3 Mineral de cristal rojo de nivel 3,300,8,28,450,3,3,0
homeresource-41,30,21.21320344,0,7,homeresource-41,41,2,1500,['Hierro oscuro de nivel 2'],200,4,20,300,2,2,0
homeresource-42,26,15,0,7,homeresource-42,42,1,750,['Mineral de nivel 1'],100,2,14,150,"0, 1",1,0
homeresource-43,33,21.21320344,200,5,homeresource-43,43,2,1500,['Hongo congelado de nivel 2'],0,4,20,300,2,2,0
homeresource-44,34,30,300,5,homeresource-44,44,3,2250,Lv 3 Maguey de nivel 3,0,8,28,450,3,3,0
homeresource-45,0,0,100,5,homeresource-45,45,1,750,['Fibra vegetal de nivel 1'],0,2,14,150,999,1,0
homeresource-47,9,0,0,16,homeresource-47,47,1,0,['Slime verde de nivel 1'],0,2,14,10,999,0,0
homeresource-48,8,0,0,16,homeresource-48,48,1,0,['Vides de calabaza de nivel 1'],0,2,14,10,999,0,0
homeresource-49,7,0,0,16,homeresource-49,49,1,0,['Malla de alambre de nivel 1'],0,2,14,10,999,0,0
homeresource-50,26,0,0,16,homeresource-50,50,1,0,['Mineral de nivel 1'],0,2,14,10,999,0,0
homeresource-51,32,0,0,16,homeresource-51,51,1,0,['Fibra vegetal de nivel 1'],0,2,14,10,999,0,0
homeresource-52,27,0,0,16,homeresource-52,52,1,0,['Madera ordinaria de nivel 1'],0,2,14,10,999,0,0
homeresource-53,30,0,0,16,homeresource-53,53,2,0,['Hierro oscuro de nivel 2'],0,4,20,10,999,0,0
homeresource-54,28,0,0,16,homeresource-54,54,2,0,['Madera de árbol del desierto de nivel 2'],0,4,20,10,999,0,0
homeresource-55,33,0,0,16,homeresource-55,55,2,0,['Hongo congelado de nivel 2'],0,4,20,10,999,0,0
homeresource-56,10,0,0,16,homeresource-56,56,2,0,['Colmillo afilado de gato minero de nivel 2'],0,4,20,10,999,0,0
homeresource-57,12,0,0,16,homeresource-57,57,2,0,['Película delgada y ligera de nivel 2'],0,4,20,10,999,0,0
homeresource-58,11,0,0,16,homeresource-58,58,2,0,['Corona de demonio de hierba de nivel 2'],0,4,20,10,999,0,0
homeresource-59,13,0,0,16,homeresource-59,59,3,0,Lv 3 Garra delgada de gancho de nivel 3,0,8,28,10,999,0,0
homeresource-60,14,0,0,16,homeresource-60,60,3,0,Lv 3 Piel carmesí de nivel 3,0,8,28,10,999,0,0
homeresource-61,15,0,0,16,homeresource-61,61,3,0,Lv 3 Pelusa de nieve de hielo de nivel 3,0,8,28,10,999,0,0
homeresource-62,31,0,0,16,homeresource-62,62,3,0,Lv 3 Mineral de cristal rojo de nivel 3,0,8,28,10,999,0,0
homeresource-63,34,0,0,16,homeresource-63,63,3,0,Lv 3 Maguey de nivel 3,0,8,28,10,999,0,0
homeresource-64,29,0,0,16,homeresource-64,64,3,0,Lv 3 Madera oscura de nivel 3,0,8,28,10,999,0,0
homeresource-65,56,42.42640687,400,5,homeresource-65,65,4,3000,Lv 4  Diente de león dorado,0,16,40,600,4,4,0
homeresource-66,57,42.42640687,0,6,homeresource-66,66,4,3000,Lv 4  Flor de cactus,0,16,40,600,4,4,400
homeresource-67,58,42.42640687,0,7,homeresource-67,67,4,3000,Lv 4  Racso,400,16,40,600,4,4,0
homeresource-68,59,60,500,5,homeresource-68,68,5,3750,Lv 5  Diamante de fibra,0,32,56,750,5,5,0
homeresource-69,60,60,0,6,homeresource-69,69,5,3750,Lv 5  Diamante en forma de nota,0,32,56,750,5,5,500
homeresource-70,61,60,0,7,homeresource-70,70,5,3750,Lv 5  Diamante en forma de oso,500,32,56,750,5,5,0
homeresource-71,62,84.85281374,600,5,homeresource-71,71,6,4500,Lv 6  Flor élfica,0,64,80,900,6,6,0
homeresource-72,63,84.85281374,0,6,homeresource-72,72,6,4500,Lv 6  Estrella enlatada,0,64,80,900,6,6,600
homeresource-73,64,84.85281374,0,7,homeresource-73,73,6,4500,Lv 6  Meteorito,600,64,80,900,6,6,0
homeresource-74,56,42.42640687,400,5,homeresource-74,74,4,3000,Lv 4  Diente de león dorado,0,16,40,600,4,4,0
homeresource-75,57,42.42640687,0,6,homeresource-75,75,4,3000,Lv 4  Flor de cactus,0,16,40,600,4,4,400
homeresource-76,58,42.42640687,0,7,homeresource-76,76,4,3000,Lv 4  Racso,400,16,40,600,4,4,0
homeresource-77,59,60,500,5,homeresource-77,77,5,3750,Lv 5  Diamante de fibra,0,32,56,750,5,5,0
homeresource-78,60,60,0,6,homeresource-78,78,5,3750,Lv 5  Diamante en forma de nota,0,32,56,750,5,5,500
homeresource-79,61,60,0,7,homeresource-79,79,5,3750,Lv 5  Diamante en forma de oso,500,32,56,750,5,5,0
homeresource-80,62,84.85281374,600,5,homeresource-80,80,6,4500,Lv 6  Flor élfica,0,64,80,900,6,6,0
homeresource-81,63,84.85281374,0,6,homeresource-81,81,6,4500,Lv 6  Estrella enlatada,0,64,80,900,6,6,600
homeresource-82,64,84.85281374,0,7,homeresource-82,82,6,4500,Lv 6  Meteorito,600,64,80,900,6,6,0
homeresource-83,0,0,0,6,homeresource-83,83,0,750,,0,0,14,150,999,,100
homeresource-84,88,0,0,16,homeresource-84,84,1,0,[' [413]LUAG Futuro (N)'],0,2,0,10,999,0,0
homeresource-85,92,120,700,5,homeresource-85,85,7,5250,Lv 7 Flor de Lava,0,128,113,1050,7,7,0
homeresource-86,92,120,700,5,homeresource-86,86,7,5250,Lv 7 Flor de Lava,0,128,113,1050,7,7,0
homeresource-87,93,120,0,6,homeresource-87,87,7,5250,Lv 7 Madera de Fuego,0,128,113,1050,7,7,700
homeresource-88,93,120,0,6,homeresource-88,88,7,5250,Lv 7 Madera de Fuego,0,128,113,1050,7,7,700
homeresource-89,94,120,0,7,homeresource-89,89,7,5250,Lv 7 Lava,700,128,113,1050,7,7,0
homeresource-90,94,120,0,7,homeresource-90,90,7,5250,Lv 7 Lava,700,128,113,1050,7,7,0
homeresource-91,104,169.7056275,800,5,homeresource-91,91,8,6000,Lv 8 Fibra Hueca,0,256,160,1200,8,8,0
homeresource-92,104,169.7056275,800,5,homeresource-92,92,8,6000,Lv 8 Fibra Hueca,0,256,160,1200,8,8,0
homeresource-93,105,169.7056275,0,6,homeresource-93,93,8,6000,Lv 8 Madera Hueca,0,256,160,1200,8,8,800
homeresource-94,105,169.7056275,0,6,homeresource-94,94,8,6000,Lv 8 Madera Hueca,0,256,160,1200,8,8,800
homeresource-95,106,169.7056275,0,7,homeresource-95,95,8,6000,Lv 8 Piedra Hueca,800,256,160,1200,8,8,0
homeresource-96,106,169.7056275,0,7,homeresource-96,96,8,6000,Lv 8 Piedra Hueca,800,256,160,1200,8,8,0
homeresource-97,116,240,900,5,homeresource-97,97,9,6750,Lv 9 Fibra de Bronce,0,512,226,1350,9,9,0
homeresource-98,116,240,900,5,homeresource-98,98,9,6750,Lv 9 Fibra de Bronce,0,512,226,1350,9,9,0
homeresource-99,117,240,0,6,homeresource-99,99,9,6750,Lv 9 Madera de Bronce,0,512,226,1350,9,9,900
homeresource-100,117,240,0,6,homeresource-100,100,9,6750,Lv 9 Madera de Bronce,0,512,226,1350,9,9,900
homeresource-101,118,240,0,7,homeresource-101,101,9,6750,Lv 9 Piedra de Bronce,900,512,226,1350,9,9,0
homeresource-102,118,240,0,7,homeresource-102,102,9,6750,Lv 9 Piedra de Bronce,900,512,226,1350,9,9,0
homeresource-103,0,0,0,16,homeresource-103,103,1,0,,0,2,0,10,999,0,0
