id-int,rewardList-int[][],rewardTimes-int[][],rewardType-int
84,"479,1,245,1000;515,1,2,1000;516,1,2,1000;517,1,2,1000","1,1",1
85,"729,1,16,1000","1,1;0,9999",2
86,"729,1,32,1000","1,1;0,9999",2
87,"729,1,48,1000","1,1;0,9999",2
88,"481,1,1,1000","1,1;0,9999",2
89,"481,1,1,1000","1,1;0,9999",2
90,"481,1,1,1000","1,1;0,9999",2
91,"481,1,1,1000","1,1;0,9999",2
92,"481,1,1,1000","1,1;0,9999",2
93,"481,1,1,1000","1,1;0,9999",2
94,"481,1,1,1000","1,1;0,9999",2
95,"481,1,1,1000","1,1;0,9999",2
96,"481,1,1,1000","1,1;0,9999",2
97,"481,1,1,1000","1,1;0,9999",2
98,"481,1,1,1000","1,1;0,9999",2
99,"728,1,4,1000","1,1;0,9999",2
100,"727,1,1,1000","1,1;0,9999",2
101,,"0,9750;1,250",2
102,"732,1,1,1","1,1",1
103,"732,1,1,1","1,1",1
104,"732,1,1,1","1,1",1
105,"732,1,1,1","1,1",1
106,"732,1,1,1","1,1",1
107,"732,1,1,1","1,1",1
108,"732,1,1,1","1,1",1
109,"732,1,1,1","1,1",1
110,"732,1,1,1","1,1",1
111,"733,1,2,1","1,1",1
112,"733,1,2,1","1,1",1
113,"733,1,2,1","1,1",1
114,"733,1,2,1","1,1",1
115,"733,1,2,1","1,1",1
116,"733,1,2,1","1,1",1
117,"733,1,2,1","1,1",1
118,"733,1,2,1","1,1",1
119,"733,1,2,1","1,1",1
120,"732,1,1,1","0,5000;1,5000",2
121,"732,1,1,1","0,5000;1,5000",2
122,"732,1,1,1","0,5000;1,5000",2
123,"732,1,1,1","0,5000;1,5000",2
124,"732,1,1,1","0,5000;1,5000",2
125,"732,1,1,1","0,5000;1,5000",2
126,"732,1,1,1","0,5000;1,5000",2
127,"732,1,1,1","0,5000;1,5000",2
128,"732,1,1,1","0,5000;1,5000",2
129,"479,1,1,2000;733,1,1,2000","0,5000;1,5000",2
130,"479,1,1,2000;733,1,1,2000","0,5000;1,5000",2
131,"479,1,1,2000;733,1,1,2000","0,5000;1,5000",2
132,"479,1,1,2000;733,1,1,2000","0,5000;1,5000",2
133,"479,1,1,2000;733,1,1,2000","0,5000;1,5000",2
134,"479,1,1,2000;733,1,1,2000","0,5000;1,5000",2
135,"479,1,1,2000;733,1,1,2000","0,5000;1,5000",2
136,"479,1,1,2000;733,1,1,2000","0,5000;1,5000",2
137,"479,1,1,2000;733,1,1,2000","0,5000;1,5000",2
138,"134,1,1,1000;135,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
139,"134,1,1,1000;135,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
140,"134,1,1,1000;135,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
141,"134,1,1,1000;135,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
142,"134,1,1,1000;135,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
143,"134,1,1,1000;135,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
144,"134,1,1,1000;135,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
145,"134,1,1,1000;135,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
146,"134,1,1,1000;135,1,1,200;138,1,1,200;139,1,1,200;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
147,"28,1,1,2000;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
148,"28,1,1,2000;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
149,"28,1,1,2000;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
150,"28,1,1,2000;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
151,"28,1,1,2000;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
152,"28,1,1,2000;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
153,"28,1,1,2000;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
154,"28,1,1,2000;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
155,"28,1,1,2000;733,1,1,2000;479,1,1,2000","0,5000;1,5000",2
157,"479,1,5,1","1,1",1
158,"712,1,4,1","1,1",1
159,"58,1,12,1","1,1",1
160,"62,1,12,1","1,1",1
161,"66,1,12,1","1,1",1
162,"374,1,12,1","1,1",1
163,"375,1,12,1","1,1",1
164,"376,1,12,1","1,1",1
165,"494,1,12,1","1,1",1
166,"495,1,12,1","1,1",1
167,"496,1,12,1","1,1",1
168,"146,1,12,1","1,1",1
169,"147,1,12,1","1,1",1
170,"148,1,12,1","1,1",1
171,"413,1,12,1","1,1",1
172,"414,1,12,1","1,1",1
173,"415,1,12,1","1,1",1
174,"614,1,12,1","1,1",1
175,"615,1,12,1","1,1",1
176,"616,1,12,1","1,1",1
