dropList-int[][],id-int,maxSharer-int,extraDropList-int[][]
,188,0,"1015,1,8,10000"
,189,0,"1016,1,16,10000"
,190,0,"1017,1,32,10000"
,191,0,"1018,1,64,10000"
,192,0,"1019,1,128,10000"
,193,0,"1020,1,256,10000"
"833,1,1,10000",194,0,
"834,1,1,10000",195,0,
"835,1,1,10000",196,0,
"836,1,1,10000",197,0,
"837,1,1,10000",198,0,
"893,1,1,10000",199,0,
"894,1,1,10000",200,0,
"895,1,1,10000",201,0,
"896,1,1,10000",202,0,
"897,1,1,10000",203,0,
"898,1,1,10000",204,0,
"899,1,1,10000",205,0,
,206,4,"1012,1,11,10000"
,207,4,"1012,1,11,10000"
,208,4,"1012,1,11,10000"
,209,4,"1013,1,55,10000"
,210,4,"1013,1,55,10000"
,211,4,"1013,1,55,10000"
,212,4,"1014,1,232,10000"
,213,4,"1014,1,232,10000"
,214,4,"1014,1,232,10000"
,215,4,"1015,1,11,10000"
,216,4,"1015,1,11,10000"
,217,4,"1015,1,11,10000"
,218,4,"1016,1,55,10000"
,219,4,"1016,1,55,10000"
,220,4,"1016,1,55,10000"
,221,4,"1017,1,232,10000"
,222,4,"1017,1,232,10000"
,223,4,"1017,1,232,10000"
,224,0,"1018,1,11,10000"
,225,0,"1018,1,11,10000"
,226,0,"1018,1,11,10000"
,227,0,"1019,1,55,10000"
,228,0,"1019,1,55,10000"
,229,0,"1019,1,55,10000"
,230,0,"1020,1,232,10000"
,231,0,"1020,1,232,10000"
,232,0,"1020,1,232,10000"
"30,1,1,10000;1005,1,1,5000",233,0,
"31,1,1,10000;1005,1,1,5000",236,0,
"32,1,1,10000;1005,1,1,5000",237,0,
"58,1,1,10000;1005,1,1,5000",238,0,
"62,1,1,10000;1005,1,1,5000",239,0,
"66,1,1,10000;1005,1,1,5000",240,0,
"70,1,1,10000;1005,1,1,5000",241,0,
"71,1,1,10000;1005,1,1,5000",242,0,
"72,1,1,10000;1005,1,1,5000",243,0,
"177,1,1,10000;1005,1,1,5000",244,0,
"178,1,1,10000;1005,1,1,5000",245,0,
"179,1,1,10000;1005,1,1,5000",246,0,
"33,1,1,10000;1005,1,1,5000",247,0,
"34,1,1,10000;1005,1,1,5000",248,0,
"35,1,1,10000;1005,1,1,5000",249,0,
"59,1,1,10000;1005,1,1,5000",250,0,
"63,1,1,10000;1005,1,1,5000",251,0,
"67,1,1,10000;1005,1,1,5000",252,0,
"73,1,1,10000;1005,1,1,5000",253,0,
"74,1,1,10000;1005,1,1,5000",254,0,
"75,1,1,10000;1005,1,1,5000",255,0,
"180,1,1,10000;1005,1,1,5000",256,0,
"181,1,1,10000;1005,1,1,5000",257,0,
"182,1,1,10000;1005,1,1,5000",258,0,
"36,1,1,10000;1005,1,1,5000",259,0,
"37,1,1,10000;1005,1,1,5000",260,0,
"38,1,1,10000;1005,1,1,5000",261,0,
"60,1,1,10000;1005,1,1,5000",262,0,
"64,1,1,10000;1005,1,1,5000",263,0,
"68,1,1,10000;1005,1,1,5000",264,0,
"76,1,1,10000;1005,1,1,5000",265,0,
"77,1,1,10000;1005,1,1,5000",266,0,
"78,1,1,10000;1005,1,1,5000",267,0,
"183,1,1,10000;1005,1,1,5000",268,0,
"184,1,1,10000;1005,1,1,5000",269,0,
"185,1,1,10000;1005,1,1,5000",270,0,
"841,1,2,5000;893,1,1,3000;894,1,1,3000;895,1,1,3000;896,1,1,3000;897,1,1,3000;898,1,1,3000;899,1,1,3000",271,0,
"805,1,1,10000",272,0,
"815,1,4,10000",273,0,
"815,1,3,10000",274,0,
"815,1,2,10000",275,0,
"815,1,2,10000",276,0,
"816,1,16,10000",277,0,
"816,1,11,10000",278,0,
"816,1,8,10000",279,0,
"816,1,5,10000",280,0,
"817,1,50,10000",281,0,
"817,1,34,10000",282,0,
"817,1,25,10000",283,0,
"817,1,17,10000",284,0,
"818,1,4,10000",285,0,
"818,1,3,10000",286,0,
"818,1,2,10000",287,0,
"818,1,2,10000",288,0,
"819,1,16,10000",289,0,
"819,1,11,10000",290,0,
"819,1,8,10000",291,0,
"819,1,5,10000",292,0,
"820,1,50,10000",293,0,
"820,1,34,10000",294,0,
"820,1,25,10000",295,0,
"820,1,17,10000",296,0,
"937,1,1,10000",309,0,
"937,1,2,10000",310,0,
"937,1,4,10000",311,0,
