classifyLevel-int,desc-string,displayType-int,icon-string,id-int,level-int,matItemId-int[][],name-string,productId-int[][],productTypes-int[],proficiency-int,recipesSort-int,sourceText-int,timeCost-int,timesLimit-int,type-int,unlockCondition-int,unlockType-int,useDitamin-int,useToken-int
2, Fabricação Lv 0 Fertilizante Acelerado Avançado,2,recipe-icon-103,103,2,"65,2;35,2", Lv 0 Receita de Fertilizante Acelerado Avançado,"131,1,1,10000",3.0,0,40800103,1,10,-,1,0,4,0,0
1, Fabricação Lv 0 Talismã,2,recipe-icon-104,104,1,"32,20;71,40;58,40;62,40;66,40", Lv 0 Receita de Talismã,",1,1,4736;,2,1,3157;,3,1,2105",,0,50900104,1,10,-,0,0,4,0,20000
1, Fabricação Lv 0 Talismã,2,recipe-icon-106,106,1,"38,20;77,40;60,40;64,40;68,40", Lv 0 Receita de Talismã,",2,1,4426;,3,1,2950;,4,1,1967;,5,1,655",,0,50900106,1,10,-,0,0,4,0,40000
1, Lv 1-Receita de Chapéu de Trevo da Sorte,2,recipe-icon-108,108,1,"207,2", Lv 1-Receita de Chapéu de Trevo da Sorte,"98,1,1,9310;241,5,1,344;262,5,1,344",1.0,0,50900108,1,10,-,1,0,4,0,0
2, Lv 2-Receita de Chapéu de Algodão da Sorte,2,recipe-icon-109,109,2,"216,2;208,2", Lv 2-Receita de Chapéu de Algodão da Sorte,"99,1,1,9310;267,5,1,344;272,5,1,344",1.0,0,50800109,1,10,-,1,0,4,0,0
3, Lv 3-Receita de Chapéu de Proteção Dura da Sorte,2,recipe-icon-110,110,3,"217,2;209,2", Lv 3-Receita de Chapéu de Proteção Dura da Sorte,"100,1,1,5744;100,2,1,3829;246,5,1,212;251,5,1,212",1.0,0,50700110,1,10,-,1,0,4,0,0
1, Lv 1-Receita de Chapéu de Coleta,2,recipe-icon-111,111,1,"216,2", Lv 1-Receita de Chapéu de Coleta,"116,1,1,9310;241,5,1,344;262,5,1,344",1.0,0,50900111,1,10,-,3,0,4,0,0
2, Lv 2-Receita de Chapéu de Coleta,2,recipe-icon-112,112,2,"210,1;213,1;217,2", Lv 2-Receita de Chapéu de Coleta,"117,1,1,9310;267,5,1,344;272,5,1,344",1.0,0,50800112,1,10,-,3,0,4,0,0
3, Lv 3-Receita de Chapéu de Coleta,2,recipe-icon-113,113,3,"211,1;214,1;218,2", Lv 3-Receita de Chapéu de Coleta,"118,1,1,5744;118,2,1,3829;246,5,1,212;251,5,1,212",1.0,0,50700113,1,10,-,3,0,4,0,0
1, Fabricação Lv 1 Semente de Bambu,2,recipe-icon-123,123,1,"70,1", Lv 1-Receita de Semente de Bambu,"146,1,1,8350;150,1,1,1649",3.0,0,50900123,1,10,-,1,0,4,0,0
1, Fabricação Lv 1 Semente de Trevo,2,recipe-icon-124,124,1,"71,1", Lv 1-Receita de Semente de Trifolium,"147,1,1,8350;149,1,1,1649",3.0,0,50900124,1,10,-,1,0,4,0,0
1, Fabricação Lv 1 Semente de Cenoura,2,recipe-icon-125,125,1,"72,1", Lv 1-Receita de Semente de Cenoura,"148,1,1,8350;151,1,1,1649",3.0,0,50900125,1,10,-,1,0,4,0,0
2, Fabricação Lv 2 Semente de Planta Jarro,2,recipe-icon-126,126,2,"73,1", Lv 2-Receita de Semente de Planta Jarro,"149,1,1,8350;154,1,1,1649",3.0,0,50800126,1,10,-,1,0,4,0,0
2, Fabricação Lv 2 Semente de Algodão,2,recipe-icon-127,127,2,"74,1", Lv 2-Receita de Semente de Algodão,"150,1,1,8350;152,1,1,1649",3.0,0,50800127,1,10,-,1,0,4,0,0
2, Fabricação Lv 2 Semente de Cacto,2,recipe-icon-128,128,2,"75,1", Lv 2-Receita de Semente de Cacto,"151,1,1,8350;153,1,1,1649",3.0,0,50800128,1,10,-,1,0,4,0,0
3, Fazer Lv 3 Semente de Pimenta Malagueta,2,recipe-icon-129,129,3,"76,1", Lv 3-Receita de Pimentas Picantes,"152,1,1,8350;413,1,1,1649",3.0,0,50700129,1,10,-,1,0,4,0,0
3, Fabricação Lv 3 Semente de Fruta Dura,2,recipe-icon-130,130,3,"77,1", Lv 3-Receita de Fruta Dura,"153,1,1,8350;414,1,1,1649",3.0,0,50700130,1,10,-,1,0,4,0,0
3, Fabricação Lv 3 Semente de Cogumelo Azul Fantasma,2,recipe-icon-131,131,3,"78,1", Lv 3-Receita de Semente de Cogumelo Azul,"154,1,1,8350;415,1,1,1649",3.0,0,50700131,1,10,-,1,0,4,0,0
3, Fabricação Lv 2 Poção de Cura Cristalizada,2,recipe-icon-132,132,3,"68,2;78,2;38,2", Lv 3-Receita de Poção,"191,1,1,5031;192,1,1,993;194,1,1,993;195,1,1,993;196,1,1,993;197,1,1,993",3.0,0,50700132,1,10,-,3,0,4,0,0
1, Lv 1-Receita de Anel de Cabeça de Chip,2,recipe-icon-133,133,1,"210,1;213,1", Lv 1-Receita de Anel de Cabeça de Chip,"43,1,1,9310;241,5,1,344;262,5,1,344",1.0,0,50900133,1,10,-,2,0,4,0,0
2, Lv 2-Receita de Chapéu Macio de Pele de Cristal,2,recipe-icon-134,134,2,"207,2;211,1;214,1", Lv 2-Receita de Chapéu Macio de Pele de Cristal,"44,1,1,9310;267,5,1,344;272,5,1,344",1.0,0,50800134,1,10,-,2,0,4,0,0
3, Lv 3-Receita de Capacete de Pedra de Cristal,2,recipe-icon-135,135,3,"208,2;212,1;215,1", Lv 3-Receita de Capacete de Pedra de Cristal,"45,1,1,5744;45,2,1,3829;246,5,1,212;251,5,1,212",1.0,0,50700135,1,10,-,2,0,4,0,0
1, Lv 1-Receita de Armadura de Cristal Rachada,2,recipe-icon-136,136,1,"210,1;213,1", Lv 1-Receita de Armadura de Cristal Rachada,"46,1,1,9310;242,5,1,344;263,5,1,344",1.0,0,50900136,1,10,-,2,0,4,0,0
2, Lv 2-Receita de Armadura de Pele de Cristal,2,recipe-icon-137,137,2,"207,2;211,1;214,1", Lv 2-Receita de Armadura de Pele de Cristal,"47,1,1,9310;268,5,1,344;273,5,1,344",1.0,0,50800137,1,10,-,2,0,4,0,0
3, Lv 3-Receita de Armadura de Pedra de Cristal,2,recipe-icon-138,138,3,"208,2;212,1;215,1", Lv 3-Receita de Armadura de Pedra de Cristal,"48,1,1,5744;48,2,1,3829;247,5,1,212;252,5,1,212",1.0,0,50700138,1,10,-,2,0,4,0,0
1, Lv 1-Receita de Saia de Grama de Cristal Rachada,2,recipe-icon-139,139,1,"210,1;213,1", Lv 1-Receita de Saia de Grama de Cristal Rachada,"49,1,1,9310;265,5,1,344;244,5,1,344",1.0,0,50900139,1,10,-,2,0,4,0,0
2, Lv 2-Receita de Calça de Pele de Cristal,2,recipe-icon-140,140,2,"207,2;211,1;214,1", Lv 2-Receita de Calça de Pele de Cristal,"50,1,1,9310;270,5,1,344;275,5,1,344",1.0,0,50800140,1,10,-,2,0,4,0,0
3, Lv 3-Receita de Armadura de Perna de Cristal,2,recipe-icon-141,141,3,"208,2;212,1;215,1", Lv 3-Receita de Armadura de Perna de Cristal,"51,1,1,5744;51,2,1,3829;249,5,1,212;254,5,1,212",1.0,0,50700141,1,10,-,2,0,4,0,0
1,@@ Lv 1-Receita de Sapatos de Grama de Cristal Rachados,2,recipe-icon-142,142,1,"210,1;213,1",Lv 1-Receita de Sapatos de Grama de Cristal Rachada,"55,1,1,9310;245,5,1,344;266,5,1,344",1.0,0,50900142,1,10,-,2,0,4,0,0
2, Lv 2-Receita de Botas de Pele de Cristal,2,recipe-icon-143,143,2,"207,2;211,1;214,1", Lv 2-Receita de Botas de Pele de Cristal,"56,1,1,9310;271,5,1,344;276,5,1,344",1.0,0,50800143,1,10,-,2,0,4,0,0
3, Lv 3-Receita de Sapatos de Pedra de Cristal,2,recipe-icon-144,144,3,"208,2;212,1;215,1", Lv 3-Receita de Sapatos de Pedra de Cristal,"57,1,1,5744;57,2,1,3829;250,5,1,212;255,5,1,212",1.0,0,50700144,1,10,-,2,0,4,0,0
1, Lv 1-Receita de Pulseira de Cristal Rachada,2,recipe-icon-145,145,1,"210,1;213,1", Lv 1-Receita de Pulseira de Cristal Rachada,"52,1,1,9310;243,5,1,344;264,5,1,344",1.0,0,50900145,1,10,-,2,0,4,0,0
2, Lv 2-Receita de Luva de Pele de Cristal,2,recipe-icon-146,146,2,"207,2;211,1;214,1", Lv 2-Receita de Luva de Pele de Cristal,"53,1,1,9310;274,5,1,344;269,5,1,344",1.0,0,50800146,1,10,-,2,0,4,0,0
3, Lv 3-Receita de Manopla de Pedra de Cristal,2,recipe-icon-147,147,3,"208,2;212,1;215,1", Lv 3-Receita de Manopla de Pedra de Cristal,"54,1,1,5869;54,2,1,3913;253,5,1,217",1.0,0,50700147,1,10,-,2,0,4,0,0
1, Receita de Essência de Combate de Nível 1,2,recipe-icon-149,149,1,"30,5;31,5;32,5", Lv 1-Receita de Essência de Combate,"216,1,1,10000",4.0,0,20900149,1,10,-,2,0,4,0,0
2, Receita de Essência de Combate de Nível 2,2,recipe-icon-150,150,2,"33,5;35,5;34,5;216,2", Lv 2-Receita de Essência de Combate,"217,1,1,10000",4.0,0,20800150,1,10,-,2,0,4,0,0
3, Receita de Essência de Combate de Nível 3,2,recipe-icon-151,151,3,"36,5;37,5;38,5;217,2", Lv 3-Receita de Essência de Combate,"218,1,1,10000",4.0,0,20700151,1,10,-,2,0,4,0,40
1, Receita de Essência de Agricultura de Nível 1,2,recipe-icon-152,152,1,"70,5;71,5;72,5", Lv 1-Receita de Essência de Plantio Agrícola,"210,1,1,10000",4.0,0,20900152,1,10,-,1,0,4,0,0
2, Receita de Essência de Agricultura de Nível 2,2,recipe-icon-153,153,2,"74,5;73,5;75,5;210,2", Lv 2-Receita de Essência de Plantio Agrícola,"211,1,1,10000",4.0,0,20800153,1,10,-,1,0,4,0,0
3, Receita de Essência de Agricultura de Nível 3,2,recipe-icon-154,154,3,"76,5;77,5;78,5;211,2", Lv 3-Receita de Essência de Plantio Agrícola,"212,1,1,10000",4.0,0,20700154,1,10,-,1,0,4,0,40
1, Receita de Essência de Criação de Gado Agrícola de Nível 1,2,recipe-icon-155,155,1,"178,5;179,5;177,5", Lv 1-Receita de Essência de Criação de Gado Agrícola,"213,1,1,10000",4.0,0,20900155,1,10,-,1,0,4,0,0
2, Receita de Essência de Criação de Gado Agrícola de Nível 2,2,recipe-icon-156,156,2,"182,5;180,5;181,5;213,2", Lv 2-Receita de Essência de Criação de Gado Agrícola,"214,1,1,10000",4.0,0,20800156,1,10,-,1,0,4,0,0
3, Receita de Essência de Criação de Gado Agrícola de Nível 3,2,recipe-icon-157,157,3,"184,5;185,5;183,5;214,2", Lv 3-Receita de Essência de Criação de Gado Agrícola,"215,1,1,10000",4.0,0,20700157,1,10,-,1,0,4,0,40
1, Receita de Essência de Coleta de Nível 1,2,recipe-icon-158,158,1,"62,5;58,5;66,5", Lv 1-Receita de Essência de Coleta,"207,1,1,10000",4.0,0,20900158,1,10,-,3,0,4,0,0
2, Receita de Essência de Coleta de Nível 2,2,recipe-icon-159,159,2,"63,5;67,5;59,5;207,2", Lv 2-Receita de Essência de Coleta,"208,1,1,10000",4.0,0,20800159,1,10,-,3,0,4,0,0
3, Receita de Essência de Coleta de Nível 3,2,recipe-icon-160,160,3,"64,5;60,5;68,5;208,2", Lv 3-Receita de Essência de Coleta,"209,1,1,10000",4.0,0,20700160,1,10,-,3,0,4,0,40
1, Lv 1-Receita de Jaqueta de Agricultura,2,recipe-icon-165,165,1,"207,2", Lv 1-Receita de Jaqueta de Agricultura,"101,1,1,9310;242,5,1,344;263,5,1,344",1.0,0,50900165,1,10,-,1,0,4,0,0
1, Lv 1-Receita de Calças de Agricultura,2,recipe-icon-166,166,1,"207,2", Lv 1-Receita de Calças de Agricultura,"104,1,1,9310;265,5,1,344;244,5,1,344",1.0,0,50900166,1,10,-,1,0,4,0,0
1, Lv 1-Receita de Luvas de Agricultura,2,recipe-icon-167,167,1,"207,2", Lv 1-Receita de Luvas de Agricultura,"107,1,1,9310;243,5,1,344;264,5,1,344",1.0,0,50900167,1,10,-,1,0,4,0,0
1, Lv 1-Receita de Sapatos de Agricultura,2,recipe-icon-168,168,1,"207,2", Lv 1-Receita de Sapatos de Agricultura,"110,1,1,9310;245,5,1,344;266,5,1,344",1.0,0,50900168,1,10,-,1,0,4,0,0
2, Lv 2-Receita de Jaqueta de Agricultura,2,recipe-icon-169,169,2,"216,2;208,2", Lv 2-Receita de Jaqueta de Agricultura,"102,1,1,9310;268,5,1,344;273,5,1,344",1.0,0,50800169,1,10,-,1,0,4,0,0
2, Lv 2-Receita de Calças de Agricultura,2,recipe-icon-170,170,2,"216,2;208,2", Lv 2-Receita de Calças de Agricultura,"105,1,1,9310;270,5,1,344;275,5,1,344",1.0,0,50800170,1,10,-,1,0,4,0,0
2, Lv 2-Receita de Luvas de Agricultura,2,recipe-icon-171,171,2,"216,2;208,2", Lv 2-Receita de Luvas de Agricultura,"108,1,1,9310;274,5,1,344;269,5,1,344",1.0,0,50800171,1,10,-,1,0,4,0,0
2, Lv 2-Receita de Sapatos de Agricultura,2,recipe-icon-172,172,2,"216,2;208,2", Lv 2-Receita de Sapatos de Agricultura,"111,1,1,9310;271,5,1,344;276,5,1,344",1.0,0,50800172,1,10,-,1,0,4,0,0
3, Lv 3-Receita de Jaqueta de Agricultura,2,recipe-icon-173,173,3,"217,2;209,2", Lv 3-Receita de Jaqueta de Agricultura,"103,1,1,5744;103,2,1,3829;247,5,1,212;252,5,1,212",1.0,0,50700173,1,10,-,1,0,4,0,0
3, Lv 3-Receita de Calças de Agricultura,2,recipe-icon-174,174,3,"217,2;209,2", Lv 3-Receita de Calças de Agricultura,"106,1,1,5744;106,2,1,3829;249,5,1,212;254,5,1,212",1.0,0,50700174,1,10,-,1,0,4,0,0
3, Lv 3-Receita de Luvas de Agricultura,2,recipe-icon-175,175,3,"217,2;209,2", Lv 3-Receita de Luvas de Agricultura,"109,2,1,3913;109,1,1,5869;253,5,1,217",1.0,0,50700175,1,10,-,1,0,4,0,0
3, Lv 3-Receita de Sapatos de Agricultura,2,recipe-icon-176,176,3,"217,2;209,2", Lv 3-Receita de Sapatos de Agricultura,"112,1,1,5744;112,2,1,3829;250,5,1,212;255,5,1,212",1.0,0,50700176,1,10,-,1,0,4,0,0
1, Lv 1-Receita de Sapatos de Coleta,2,recipe-icon-177,177,1,"216,2", Lv 1-Receita de Sapatos de Coleta,"113,1,1,9310;245,5,1,344;266,5,1,344",1.0,0,50900177,1,10,-,3,0,4,0,0
1, Lv 1-Receita de Jaqueta de Coleta,2,recipe-icon-178,178,1,"216,2", Lv 1-Receita de Jaqueta de Coleta,"119,1,1,9310;242,5,1,344;263,5,1,344",1.0,0,50900178,1,10,-,3,0,4,0,0
1, Lv 1-Receita de Calças de Coleta,2,recipe-icon-179,179,1,"216,2", Lv 1-Receita de Calças de Coleta,"122,1,1,9310;265,5,1,344;244,5,1,344",1.0,0,50900179,1,10,-,3,0,4,0,0
1, Lv 1-Receita de Luvas de Coleta,2,recipe-icon-180,180,1,"216,2", Lv 1-Receita de Luvas de Coleta,"125,1,1,9310;243,5,1,344;264,5,1,344",1.0,0,50900180,1,10,-,3,0,4,0,0
2, Lv 2-Receita de Sapatos de Coleta,2,recipe-icon-181,181,2,"210,1;213,1;217,2", Lv 2-Receita de Sapatos de Coleta,"114,1,1,9310;271,5,1,344;276,5,1,344",1.0,0,50800181,1,10,-,3,0,4,0,0
2, Lv 2-Receita de Jaqueta de Coleta,2,recipe-icon-182,182,2,"210,1;213,1;217,2", Lv 2-Receita de Jaqueta de Coleta,"120,1,1,9310;268,5,1,344;273,5,1,344",1.0,0,50800182,1,10,-,3,0,4,0,0
2, Lv 2-Receita de Calças de Coleta,2,recipe-icon-183,183,2,"210,1;213,1;217,2", Lv 2-Receita de Calças de Coleta,"123,1,1,9310;270,5,1,344;275,5,1,344",1.0,0,50800183,1,10,-,3,0,4,0,0
2, Lv 2-Receita de Luvas de Coleta,2,recipe-icon-184,184,2,"210,1;213,1;217,2", Lv 2-Receita de Luvas de Coleta,"126,1,1,9310;274,5,1,344;269,5,1,344",1.0,0,50800184,1,10,-,3,0,4,0,0
3, Lv 3-Receita de Sapatos de Coleta,2,recipe-icon-185,185,3,"211,1;214,1;218,2", Lv 3-Receita de Sapatos de Coleta,"115,1,1,5744;115,2,1,3829;250,5,1,212;255,5,1,212",1.0,0,50700185,1,10,-,3,0,4,0,0
3, Lv 3-Receita de Jaqueta de Coleta,2,recipe-icon-186,186,3,"211,1;214,1;218,2", Lv 3-Receita de Jaqueta de Coleta,"121,1,1,5744;121,2,1,3829;247,5,1,212;252,5,1,212",1.0,0,50700186,1,10,-,3,0,4,0,0
3, Lv 3-Receita de Calças de Coleta,2,recipe-icon-187,187,3,"211,1;214,1;218,2", Lv 3-Receita de Calças de Coleta,"124,1,1,5744;124,2,1,3829;249,5,1,212;254,5,1,212",1.0,0,50700187,1,10,-,3,0,4,0,0
3, Lv 3-Receita de Luvas de Coleta,2,recipe-icon-188,188,3,"211,1;214,1;218,2", Lv 3-Receita de Luvas de Coleta,"127,1,1,5869;127,2,1,3913;253,5,1,217",1.0,0,50700188,1,10,-,3,0,4,0,0
0, Lv 0-Receita de Espada de Madeira,2,recipe-icon-189,189,0,"842,2", Lv 0-Receita de Espada de Madeira,"39,1,1,10000",1.0,0,11000189,1,6,-,2,1,1,0,0
0, Lv 0-Receita de Enxada de Madeira,2,recipe-icon-190,190,0,"844,1;845,1", Lv 0-Receita de Enxada de Madeira,"79,1,1,10000",1.0,0,11000190,1,6,-,1,1,1,0,0
0, Lv 0-Receita de Escova,2,recipe-icon-191,191,0,"844,1;845,1", Lv 0-Receita de Escova,"95,1,1,10000",1.0,0,11000191,1,6,-,1,1,1,0,0
0, Lv 0-Receita de Máquina de Cortar Cabelo,2,recipe-icon-192,192,0,"844,1;845,1", Lv 0-Receita de Máquina de Cortar Cabelo,"96,1,1,10000",1.0,0,11000192,1,6,-,1,1,1,0,0
0, Lv 0-Receita de Ordenhador,2,recipe-icon-193,193,0,"844,1;845,1", Lv 0-Receita de Ordenhador,"97,1,1,10000",1.0,0,11000193,1,6,-,1,1,1,0,0
0, Lv 0-Receita de Chaleira de Madeira,2,recipe-icon-194,194,0,"844,1;845,1", Lv 0-Receita de Chaleira de Madeira,"83,1,1,10000",1.0,0,11000194,1,6,-,1,1,1,0,0
0, Lv 0-Receita de Machado de Madeira,2,recipe-icon-195,195,0,"843,2", Lv 0-Receita de Machado de Madeira,"91,1,1,10000",1.0,0,11000195,1,6,-,3,1,1,0,0
0, Lv 0-Receita de Picareta de Madeira,2,recipe-icon-196,196,0,"843,2", Lv 0-Receita de Picareta de Madeira,"87,1,1,10000",1.0,0,11000196,1,6,-,3,1,1,0,0
2,Nível de Criação 0 Fertilizante Acelerado Melhorado,2,recipe-icon-197,197,2,"69,2;35,2",Nível 0 Receita de Fertilizante Acelerado Melhorado,"219,1,1,10000",3.0,0,40800197,1,10,-,1,0,4,0,0
2, Nível de Criação 0 Fertilizante de Aumento de Rendimento Melhorado,2,recipe-icon-198,198,2,"61,2;35,2", Nível 0 Receita de Fertilizante de Aumento de Rendimento Melhorado,"220,1,1,10000",3.0,0,40800198,1,10,-,1,0,4,0,0
2, Nível de Criação 0 Fertilizante Hidratante Melhorado,2,recipe-icon-199,199,2,"65,2;35,2", Nível 0 Receita de Fertilizante Hidratante Melhorado,"221,1,1,10000",3.0,0,40800199,1,10,-,1,0,4,0,0
1, Receita Foice de Cobre Nível 1,2,recipe-icon-201,201,1,"216,2", Nível 1 Receita de Foice de Cobre,"226,1,1,10000",1.0,0,10900201,1,10,-,3,0,4,0,0
2, Receita Foice de Ferro Nível 2,2,recipe-icon-203,203,2,"217,2;210,1;213,1", Nível 2 Receita de Foice de Ferro,"227,1,1,10000",1.0,0,10800203,1,10,-,3,0,4,0,0
3, Receita Foice de Cristal Nível 3,2,recipe-icon-204,204,3,"211,1;214,1;218,2", Nível 3 Receita de Foice de Cristal,"228,1,1,6000;228,2,1,4000",1.0,0,50700204,1,10,-,3,0,4,0,0
1, Nível de Criação 0 Ração Pequena,2,recipe-icon-205,205,1,"482,1", Nível 0 Receita de Ração Pequena,"28,1,1,10000",3.0,0,40900205,1,10,-,1,0,4,0,0
2, Nível de Produção 0 Ração Grande,2,recipe-icon-206,206,2,"483,1", Nível 0 Receita de Ração Grande,"29,1,1,10000",3.0,0,40800206,1,10,-,1,0,4,0,0
0, Receita Arco de Madeira Nível 0,2,recipe-icon-207,207,0,"842,2", Nível 0 Receita de Arco de Madeira,"223,1,1,10000",1.0,0,11000207,1,6,-,2,1,1,0,0
0, Receita Martelo de Pedra Nível 0,2,recipe-icon-208,208,0,"842,2", Nível 0 Receita de Martelo de Pedra,"222,1,1,10000",1.0,0,11000208,1,6,-,2,1,1,0,0
0, Receita Bomba,2,recipe-icon-212,212,0,"62,3", Receita de Bomba,"232,1,1,10000",3.0,0,41000212,1,10,-,3,0,4,0,0
0, Receita Poção de Atordoamento,2,recipe-icon-213,213,0,"58,3", Receita de Poção de Atordoamento,"233,1,1,10000",3.0,0,41000213,1,10,-,3,0,4,0,0
0, Receita Poção Moderada,2,recipe-icon-214,214,0,"66,3", Receita de Poção Moderada,"234,1,1,10000",3.0,0,41000214,1,10,-,3,0,4,0,0
0, Receita Poção Ardente,2,recipe-icon-215,215,0,"65,1;61,1;69,1", Receita de Poção Ardente,"235,1,3,10000",3.0,0,41000215,1,10,-,3,1,1,0,0
0, Receita Flash Amarelo,2,recipe-icon-216,216,0,"32,3;70,3", Receita de Flash Amarelo,"236,1,1,10000",3.0,0,41000216,1,10,-,3,1,1,0,0
0, Receita Poção Combo Perdido,2,recipe-icon-217,217,0,"31,3;71,3", Receita de Poção Combo Perdido,"237,1,1,10000",3.0,0,41000217,1,10,-,3,1,1,0,0
0, Receita Poção Limpeza de Buff,2,recipe-icon-218,218,0,"30,3;72,3", Receita de Poção de Limpeza de Buff,"238,1,1,10000",3.0,0,41000218,1,10,-,3,1,1,0,0
1, Receita Slime de Energia Agrícola Nível 1,2,recipe-icon-267,267,1,"58,4;62,4;66,4", Nível 1 Receita de Slime de Energia de Coleta,"482,1,1,10000",4.0,0,20900267,1,6,-,3,0,4,0,0
2, Receita Slime de Energia Agrícola Nível 2,2,recipe-icon-268,268,2,"482,1;63,4;59,4;67,4", Nível 2 Receita de Slime de Energia de Coleta,"483,1,1,10000",4.0,0,20800268,1,6,-,3,0,4,0,0
