canInvest-bool,desc-string,extraDropPool-int,id-int,isRanking-bool,level-int[],loadingBg-string,maxDifficulty-int,name-string,refreshRatio-int[],reputationRequaireScore-int,respawnTimes-int,rewardFrequency-int,sceneName-string,sceneSubtype-int,sceneType-int,talentType-int,worldDropProbability-int,functionModule-int[],baseScore-int[],bossCovers-int[],challengeMode-int[],chapterBaseReward-int[],chapterEvents-int[][],chapterLuckyReward-int[],chapterProgress-int[],chapterPunish-int[][],chapterTimeLimit-int[],chapters-string[],dropRewardShow-int[],entityLevelRange-int[],punishDesc-string,randomSeeds-string[][],releaseTime-int[][],tickets-int[][],campLimit-int[],bossSeed-string[],chapterIds-int[],seedMaxLimit-int[]
1,,0,22002,0,"4,6",PVPDungeonSceneLoading_4_6.jpg,0, Arena Solo Intermediária ,,-1,0,5,PVPDungeonSceneSoloLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",1,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging",,"4000,6000"," Quando você morre, há uma chance de soltar os itens da sua mochila.",0;0,"0,0","660,1","3,24",,,
1,,0,22003,0,"7,9",PVPDungeonSceneLoading_4_6.jpg,0, Arena Solo Avançada ,,-1,0,5,PVPDungeonSceneSoloLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",1,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging",,"7000,9000"," Quando você morre, há uma chance de soltar os itens da sua mochila.",0;0,"0,0","661,1","3,24",,,
0,,0,23001,0,"1,3",DungeonSceneLoading_7_9.jpg,0, Arena Júnior - Mini ,,-1,0,0,PVPDungeonSceneSoloLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging",,"1000,3000"," Quando você morre, há uma chance de soltar os itens da sua mochila.",0;0,"1200,1320;720,840","934,1","5,24",,,
0,,0,23002,0,"4,6",PVPDungeonSceneLoading_4_6.jpg,0, Arena Intermediária - Mini ,,-1,0,0,PVPDungeonSceneSoloLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging",,"4000,6000"," Quando você morre, há uma chance de soltar os itens da sua mochila.",0;0,"1200,1320;720,840","935,1","5,24",,,
0,,0,23003,0,"7,9",PVPDungeonSceneLoading_4_6.jpg,0, Arena Avançada - Mini ,,-1,0,0,PVPDungeonSceneSoloLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",2,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging",,"7000,9000"," Quando você morre, há uma chance de soltar os itens da sua mochila.",0;0,"1200,1320;720,840","936,1","5,24",,,
0,,0,30001,0,"1,9",DungeonSceneLoading_1_3.jpg,5, Desafio Diário ,,-1,0,1,DailyDungeon,1,3,2,0,1,"10000,20000,30000,40000,50000,60000,70000,80000,90000","6,7,8",1,"102,103,104,105,106,107,108,109,110",;;;;;;;;,",,,,,,,,","6,12,24,48,96,192,384,768,1536","0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0","120,90,90,90,90,90,90,90,90","Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9",,"1000,9000", Sem penalidade de morte,0;0;0;0;0;0;0;0;0,"0,1440","733,1",,,,
0,,0,30002,0,"1,9",PVPDungeonSceneLoading_4_6.jpg,0, Campo de Treinamento,,-1,0,1,PVPTrainingDungeon,2,3,2,1850,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1200","Matching,Challenging",,"1000,3000", Sem penalidade de morte,0;0,"0,1440","733,1","8,24",,,
0," Os desafiantes que completarem o desafio terão a oportunidade de receber uma recompensa em medalha.
No Desafio de Coleta, a defesa do Recurso será aumentada. Correspondentemente, os jogadores receberão um buff que converte a proficiência em coleta em ataque de coleta.
",160,40001,1,"0,3",HomeSceneLoading.jpg,5, Desafio de Coleta Júnior ,,100,0,3,GatherDungeon1-3,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"159,160,161","22,18,19;18,19;18,19","178,179,180","28,56,112","0,0;0,0;0,0","120,190,400","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3",188,"1000,3000", Sem penalidade de morte,0;0;0,"0,1440","775,1",,,,
0," Os desafiantes que completarem o desafio terão a oportunidade de receber uma recompensa em medalha.
No Desafio de Coleta, a defesa do Recurso será aumentada. Correspondentemente, os jogadores receberão um buff que converte a proficiência em coleta em ataque de coleta.
",40,40002,1,"4,6",HomeSceneLoading.jpg,5, Desafio de Coleta Intermediário ,,160,0,3,GatherDungeon4-6,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"162,163,164","22,18,19;18,19;18,19","181,182,183","224,448,896","0,0;0,0;0,0","470,500,770","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3",189,"4000,6000", Sem penalidade de morte,0;0;0,"0,1440","776,1",,,,
0," O desafio consiste em um total de 90 níveis. Cada nível aumenta o nível do recurso em um. A cada 5 níveis, um grande recurso aparecerá, e derrotá-lo salvará seu progresso. Jogadores com progresso salvo podem herdar seu progresso para continuar o desafio.

Ao completar com sucesso o desafio, os jogadores podem ganhar recompensas no módulo de loteria:
- Sua pontuação / Pontuação total de todos os jogadores nas últimas 24 horas * 100% * Total do prêmio -
Você pode participar da loteria uma vez por dia, e sua melhor pontuação será usada para o cálculo.

O prêmio é atualizado periodicamente, e os dados de progresso juntamente com os dados do prêmio são redefinidos todo domingo às 0h UTC.
",10,40003,1,"7,9",HomeSceneLoading.jpg,5, Desafio de Coleta Avançado ,,640,0,3,GatherDungeon7-9,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"165,166,167","22,18,19;18,19;18,19","184,185,186","1792,3584,7168","0,0;0,0;0,0","470,500,760","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3",190,"7000,9000", Sem penalidade de morte,0;0;0,"0,1440","777,1",,,,
0," Campo de Treinamento PVEP - Suporta batalhas de 12-24 jogadores, a morte não terá nenhuma queda, ingressos das missões diárias",160,50001,1,"0,3",HomeSceneLoading.jpg,5, Desafio de Fazenda Júnior ,,24,0,3,FarmingDungeon1-3,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"168,169,170",21;21;21,"187,188,189","8,16,32","0,0;0,0;0,0","120,150,210","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3",191,"1000,3000", Sem penalidade de morte,"146#1000#1000#1000,147#1000#1000#1000,148#1000#1000#1000;149#1000#2000#2000,150#1000#2000#2000,151#1000#2000#2000;152#1000#3000#3000,153#1000#3000#3000,154#1000#3000#3000","0,1440","778,1",,"824#10000#1000#1000,825#10000#2000#2000,826#10000#3000#3000","366,367,368","4,4,4"
0,,40,50002,1,"4,6",HomeSceneLoading.jpg,5, Desafio de Fazenda Intermediário ,,64,0,3,FarmingDungeon4-6,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"171,172,173",21;21;21,"190,191,192","64,128,256","0,0;0,0;0,0","300,330,390","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3",192,"4000,6000", Sem penalidade de morte,"413#1000#4000#4000,414#1000#4000#4000,415#1000#4000#4000;416#1000#5000#5000,417#1000#5000#5000,418#1000#5000#5000;419#1000#6000#6000,420#1000#6000#6000,421#1000#6000#6000","0,1440","779,1",,"827#10000#4000#4000,828#10000#5000#5000,829#10000#6000#6000","369,370,371","4,4,4"
0,,10,50003,1,"7,9",HomeSceneLoading.jpg,5, Desafio de Fazenda Avançado ,,512,0,3,FarmingDungeon7-9,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"174,175,176",21;21;21,"193,194,195","512,1024,2048","0,0;0,0;0,0","480,510,570","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3",193,"7000,9000", Sem penalidade de morte,"614#1000#7000#7000,615#1000#7000#7000,616#1000#7000#7000;617#1000#8000#8000,618#1000#8000#8000,619#1000#8000#8000;620#1000#9000#9000,621#1000#9000#9000,622#1000#9000#9000","0,1440","780,1",,"830#10000#7000#7000,831#10000#8000#8000,832#10000#9000#9000","372,373,374","4,4,4"
0,,0,24001,0,"1,9",DungeonSceneLoading_1_3.jpg,5, Desafio da Torre - Combate ,,-1,0,1,TowerDungeon_Combat,1,3,2,0,"1,4","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","61,71,66",1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,"218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218","12,12,12,12,20,12,12,12,12,20,24,24,24,24,40,24,24,24,24,40,48,48,48,48,80,48,48,48,48,80,96,96,96,96,160,96,96,96,96,160,192,192,192,192,320,192,192,192,192,320,384,384,384,384,640,384,384,384,384,640,768,768,768,768,1280,768,768,768,768,1280,1536,1536,1536,1536,2560,1536,1536,1536,1536,2560,3072,3072,3072,3072,5120,3072,3072,3072,3072,5120","0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0","120,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180","Combat Challenge Level 1-1,Combat Challenge Level 1-2,Combat Challenge Level 1-3,Combat Challenge Level 1-4,Combat Challenge Level 1-5,Combat Challenge Level 1-6,Combat Challenge Level 1-7,Combat Challenge Level 1-8,Combat Challenge Level 1-9,Combat Challenge Level 1-10,Combat Challenge Level 2-1,Combat Challenge Level 2-2,Combat Challenge Level 2-3,Combat Challenge Level 2-4,Combat Challenge Level 2-5,Combat Challenge Level 2-6,Combat Challenge Level 2-7,Combat Challenge Level 2-8,Combat Challenge Level 2-9,Combat Challenge Level 2-10,Combat Challenge Level 3-1,Combat Challenge Level 3-2,Combat Challenge Level 3-3,Combat Challenge Level 3-4,Combat Challenge Level 3-5,Combat Challenge Level 3-6,Combat Challenge Level 3-7,Combat Challenge Level 3-8,Combat Challenge Level 3-9,Combat Challenge Level 3-10,Combat Challenge Level 4-1,Combat Challenge Level 4-2,Combat Challenge Level 4-3,Combat Challenge Level 4-4,Combat Challenge Level 4-5,Combat Challenge Level 4-6,Combat Challenge Level 4-7,Combat Challenge Level 4-8,Combat Challenge Level 4-9,Combat Challenge Level 4-10,Combat Challenge Level 5-1,Combat Challenge Level 5-2,Combat Challenge Level 5-3,Combat Challenge Level 5-4,Combat Challenge Level 5-5,Combat Challenge Level 5-6,Combat Challenge Level 5-7,Combat Challenge Level 5-8,Combat Challenge Level 5-9,Combat Challenge Level 5-10,Combat Challenge Level 6-1,Combat Challenge Level 6-2,Combat Challenge Level 6-3,Combat Challenge Level 6-4,Combat Challenge Level 6-5,Combat Challenge Level 6-6,Combat Challenge Level 6-7,Combat Challenge Level 6-8,Combat Challenge Level 6-9,Combat Challenge Level 6-10,Combat Challenge Level 7-1,Combat Challenge Level 7-2,Combat Challenge Level 7-3,Combat Challenge Level 7-4,Combat Challenge Level 7-5,Combat Challenge Level 7-6,Combat Challenge Level 7-7,Combat Challenge Level 7-8,Combat Challenge Level 7-9,Combat Challenge Level 7-10,Combat Challenge Level 8-1,Combat Challenge Level 8-2,Combat Challenge Level 8-3,Combat Challenge Level 8-4,Combat Challenge Level 8-5,Combat Challenge Level 8-6,Combat Challenge Level 8-7,Combat Challenge Level 8-8,Combat Challenge Level 8-9,Combat Challenge Level 8-10,Combat Challenge Level 9-1,Combat Challenge Level 9-2,Combat Challenge Level 9-3,Combat Challenge Level 9-4,Combat Challenge Level 9-5,Combat Challenge Level 9-6,Combat Challenge Level 9-7,Combat Challenge Level 9-8,Combat Challenge Level 9-9,Combat Challenge Level 9-10",,"1000,9000", Sem penalidade de morte,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,"0,1440","973,1",,,"7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
0," Desafio Diário - A cópia do Desafio Diário é dividida em nove camadas, cada camada corresponde a cada nível de monstros, após completar o desafio, você receberá a recompensa de nível, a morte não terá queda, ingressos da missão diária",0,44001,0,"1,9",DungeonSceneLoading_1_3.jpg,5, Desafio da Torre - Coleta ,,-1,0,1,TowerDungeon_Gathering,1,3,3,0,"1,4","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","61,71,66",1,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,"218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218","12,12,12,12,20,12,12,12,12,20,24,24,24,24,40,24,24,24,24,40,48,48,48,48,80,48,48,48,48,80,96,96,96,96,160,96,96,96,96,160,192,192,192,192,320,192,192,192,192,320,384,384,384,384,640,384,384,384,384,640,768,768,768,768,1280,768,768,768,768,1280,1536,1536,1536,1536,2560,1536,1536,1536,1536,2560,3072,3072,3072,3072,5120,3072,3072,3072,3072,5120","0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0","120,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180,90,90,90,90,180","Gathering Challenge Level 1-1,Gathering Challenge Level 1-2,Gathering Challenge Level 1-3,Gathering Challenge Level 1-4,Gathering Challenge Level 1-5,Gathering Challenge Level 1-6,Gathering Challenge Level 1-7,Gathering Challenge Level 1-8,Gathering Challenge Level 1-9,Gathering Challenge Level 1-10,Gathering Challenge Level 2-1,Gathering Challenge Level 2-2,Gathering Challenge Level 2-3,Gathering Challenge Level 2-4,Gathering Challenge Level 2-5,Gathering Challenge Level 2-6,Gathering Challenge Level 2-7,Gathering Challenge Level 2-8,Gathering Challenge Level 2-9,Gathering Challenge Level 2-10,Gathering Challenge Level 3-1,Gathering Challenge Level 3-2,Gathering Challenge Level 3-3,Gathering Challenge Level 3-4,Gathering Challenge Level 3-5,Gathering Challenge Level 3-6,Gathering Challenge Level 3-7,Gathering Challenge Level 3-8,Gathering Challenge Level 3-9,Gathering Challenge Level 3-10,Gathering Challenge Level 4-1,Gathering Challenge Level 4-2,Gathering Challenge Level 4-3,Gathering Challenge Level 4-4,Gathering Challenge Level 4-5,Gathering Challenge Level 4-6,Gathering Challenge Level 4-7,Gathering Challenge Level 4-8,Gathering Challenge Level 4-9,Gathering Challenge Level 4-10,Gathering Challenge Level 5-1,Gathering Challenge Level 5-2,Gathering Challenge Level 5-3,Gathering Challenge Level 5-4,Gathering Challenge Level 5-5,Gathering Challenge Level 5-6,Gathering Challenge Level 5-7,Gathering Challenge Level 5-8,Gathering Challenge Level 5-9,Gathering Challenge Level 5-10,Gathering Challenge Level 6-1,Gathering Challenge Level 6-2,Gathering Challenge Level 6-3,Gathering Challenge Level 6-4,Gathering Challenge Level 6-5,Gathering Challenge Level 6-6,Gathering Challenge Level 6-7,Gathering Challenge Level 6-8,Gathering Challenge Level 6-9,Gathering Challenge Level 6-10,Gathering Challenge Level 7-1,Gathering Challenge Level 7-2,Gathering Challenge Level 7-3,Gathering Challenge Level 7-4,Gathering Challenge Level 7-5,Gathering Challenge Level 7-6,Gathering Challenge Level 7-7,Gathering Challenge Level 7-8,Gathering Challenge Level 7-9,Gathering Challenge Level 7-10,Gathering Challenge Level 8-1,Gathering Challenge Level 8-2,Gathering Challenge Level 8-3,Gathering Challenge Level 8-4,Gathering Challenge Level 8-5,Gathering Challenge Level 8-6,Gathering Challenge Level 8-7,Gathering Challenge Level 8-8,Gathering Challenge Level 8-9,Gathering Challenge Level 8-10,Gathering Challenge Level 9-1,Gathering Challenge Level 9-2,Gathering Challenge Level 9-3,Gathering Challenge Level 9-4,Gathering Challenge Level 9-5,Gathering Challenge Level 9-6,Gathering Challenge Level 9-7,Gathering Challenge Level 9-8,Gathering Challenge Level 9-9,Gathering Challenge Level 9-10",,"1000,9000", Sem penalidade de morte,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,"0,1440","974,1",,,"186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
