id-int,rewardTimes-int[][],rewardType-int,rewardList-int[][]
79,"1,1000",2,"602,1,1,1;605,1,1,1;608,1,1,1;611,1,1,1;772,1,1,1000"
80,"1,1000",2,"603,1,1,1;606,1,1,1;609,1,1,1;612,1,1,1;772,1,1,1000"
81,"1,1000",2,"604,1,1,1;607,1,1,1;610,1,1,1;613,1,1,1;772,1,1,1000"
82,"1,1",1,"479,1,80,1000;491,1,8,1000;492,1,8,1000;493,1,8,1000;789,1,4,1;772,1,128,1000"
83,"1,1",1,"479,1,125,1000;503,1,4,1000;504,1,4,1000;505,1,4,1000;790,1,2,1;772,1,256,1000"
84,"1,1",1,"479,1,245,1000;515,1,2,1000;516,1,2,1000;517,1,2,1000;791,1,1,1;772,1,512,1000"
85,"1,627;0,9373",2,"729,1,8,1000;772,1,1,1000"
86,"1,627;0,9373",2,"729,1,8,1000;772,1,1,1000"
87,"1,627;0,9373",2,"729,1,16,1000;772,1,1,1000"
88,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
89,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
90,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
91,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
92,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
93,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
94,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
95,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
96,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
97,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
98,"1,1;0,9999",2,"481,1,1,1000;772,1,1,1000"
99,"1,1;0,9999",2,"728,1,4,1000;772,1,1,1000"
100,"1,1;0,9999",2,"727,1,1,1000;772,1,1,1000"
101,"0,9750;1,250",2,"772,1,1,1000"
102,"1,1",1,"732,1,1,1;772,1,1,1000"
103,"1,1",1,"732,1,1,1;772,1,1,1000"
104,"1,1",1,"732,1,1,1;772,1,1,1000"
105,"1,1",1,"732,1,1,1;772,1,1,1000"
106,"1,1",1,"732,1,1,1;772,1,1,1000"
107,"1,1",1,"732,1,1,1;772,1,1,1000"
108,"1,1",1,"732,1,1,1;772,1,1,1000"
109,"1,1",1,"732,1,1,1;772,1,1,1000"
110,"1,1",1,"732,1,1,1;772,1,1,1000"
111,"1,1",1,"733,1,2,1;772,1,1,1000"
112,"1,1",1,"733,1,2,1;772,1,1,1000"
113,"1,1",1,"733,1,2,1;772,1,1,1000"
114,"1,1",1,"733,1,2,1;772,1,1,1000"
115,"1,1",1,"733,1,2,1;772,1,1,1000"
116,"1,1",1,"733,1,2,1;772,1,1,1000"
117,"1,1",1,"733,1,2,1;772,1,1,1000"
118,"1,1",1,"733,1,2,1;772,1,1,1000"
119,"1,1",1,"733,1,2,1;772,1,1,1000"
120,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
121,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
122,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
123,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
124,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
125,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
126,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
127,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
128,"0,5000;1,5000",2,"732,1,1,1;772,1,1,1000"
129,"0,2000;1,8000",2,"479,1,1,2000;733,1,1,2000;792,1,1,2000;772,1,1,1000"
130,"0,2000;1,8000",2,"479,1,1,2000;733,1,1,2000;793,1,1,2000;772,1,1,1000"
131,"0,2000;1,8000",2,"479,1,1,2000;733,1,1,2000;794,1,1,2000;772,1,1,1000"
132,"0,2000;1,8000",2,"479,1,1,2000;733,1,1,2000;795,1,1,2000;772,1,1,1000"
133,"0,2000;1,8000",2,"479,1,1,2000;733,1,1,2000;796,1,1,2000;772,1,1,1000"
134,"0,2000;1,8000",2,"479,1,1,2000;733,1,1,2000;797,1,1,2000;772,1,1,1000"
135,"0,2000;1,8000",2,"479,1,1,2000;733,1,1,2000;798,1,1,2000;772,1,1,1000"
136,"0,2000;1,8000",2,"479,1,1,2000;733,1,1,2000;799,1,1,2000;772,1,1,1000"
137,"0,2000;1,8000",2,"479,1,1,2000;733,1,1,2000;800,1,1,2000;772,1,1,1000"
138,"0,2000;1,8000",2,"134,1,1,1000;733,1,1,2000;479,1,1,2000;792,1,1,2000;772,1,1,1000"
139,"0,2000;1,8000",2,"134,1,1,1000;733,1,1,2000;479,1,1,2000;793,1,1,2000;772,1,1,1000"
140,"0,2000;1,8000",2,"134,1,1,1000;733,1,1,2000;479,1,1,2000;794,1,1,2000;772,1,1,1000"
141,"0,2000;1,8000",2,"134,1,1,1000;733,1,1,2000;479,1,1,2000;795,1,1,2000;772,1,1,1000"
142,"0,2000;1,8000",2,"134,1,1,1000;733,1,1,2000;479,1,1,2000;796,1,1,2000;772,1,1,1000"
143,"0,2000;1,8000",2,"134,1,1,1000;733,1,1,2000;479,1,1,2000;797,1,1,2000;772,1,1,1000"
144,"0,2000;1,8000",2,"134,1,1,1000;733,1,1,2000;479,1,1,2000;798,1,1,2000;772,1,1,1000"
145,"0,2000;1,8000",2,"134,1,1,1000;733,1,1,2000;479,1,1,2000;799,1,1,2000;772,1,1,1000"
146,"0,2000;1,8000",2,"134,1,1,1000;733,1,1,2000;479,1,1,2000;800,1,1,2000;772,1,1,1000"
147,"0,2000;1,8000",2,"28,1,1,2000;733,1,1,2000;479,1,1,2000;792,1,1,2000;772,1,1,1000"
148,"0,2000;1,8000",2,"28,1,1,2000;733,1,1,2000;479,1,1,2000;793,1,1,2000;772,1,1,1000"
149,"0,2000;1,8000",2,"28,1,1,2000;733,1,1,2000;479,1,1,2000;794,1,1,2000;772,1,1,1000"
150,"0,2000;1,8000",2,"28,1,1,2000;733,1,1,2000;479,1,1,2000;795,1,1,2000;772,1,1,1000"
151,"0,2000;1,8000",2,"28,1,1,2000;733,1,1,2000;479,1,1,2000;796,1,1,2000;772,1,1,1000"
152,"0,2000;1,8000",2,"28,1,1,2000;733,1,1,2000;479,1,1,2000;797,1,1,2000;772,1,1,1000"
153,"0,2000;1,8000",2,"28,1,1,2000;733,1,1,2000;479,1,1,2000;798,1,1,2000;772,1,1,1000"
154,"0,2000;1,8000",2,"28,1,1,2000;733,1,1,2000;479,1,1,2000;799,1,1,2000;772,1,1,1000"
155,"0,2000;1,8000",2,"28,1,1,2000;733,1,1,2000;479,1,1,2000;800,1,1,2000;772,1,1,1000"
157,"1,1",1,"479,1,5,1;"
158,"1,1",1,"712,1,4,1;"
159,"1,1",1,"783,1,4,1;58,1,2,1;62,1,2,1;66,1,2,1;"
160,"1,1",1,"784,1,2,1;59,1,2,1;63,1,2,1;67,1,2,1;"
161,"1,1",1,"785,1,1,1;60,1,2,1;64,1,2,1;68,1,2,1;"
162,"1,1",1,"786,1,4,1;374,1,2,1;375,1,2,1;376,1,2,1;"
163,"1,1",1,"787,1,2,1;377,1,2,1;378,1,2,1;379,1,2,1;"
164,"1,1",1,"788,1,1,1;380,1,2,1;381,1,2,1;382,1,2,1;"
165,"1,1",1,"789,1,4,1;494,1,2,1;495,1,2,1;496,1,2,1;"
166,"1,1",1,"790,1,2,1;506,1,2,1;507,1,2,1;508,1,2,1;"
167,"1,1",1,"791,1,1,1;518,1,2,1;519,1,2,1;520,1,2,1;"
168,"1,1",1,"783,1,4,1;146,1,2,1;147,1,2,1;148,1,2,1;"
169,"1,1",1,"784,1,2,1;149,1,2,1;150,1,2,1;151,1,2,1;"
170,"1,1",1,"785,1,1,1;152,1,2,1;153,1,2,1;154,1,2,1;"
171,"1,1",1,"786,1,4,1;413,1,2,1;414,1,2,1;415,1,2,1;"
172,"1,1",1,"787,1,2,1;416,1,2,1;417,1,2,1;418,1,2,1;"
173,"1,1",1,"788,1,1,1;419,1,2,1;420,1,2,1;421,1,2,1;"
174,"1,1",1,"789,1,4,1;614,1,2,1;615,1,2,1;616,1,2,1;"
175,"1,1",1,"790,1,2,1;617,1,2,1;618,1,2,1;619,1,2,1;"
176,"1,1",1,"791,1,1,1;620,1,2,1;621,1,2,1;622,1,2,1;"
177,"1,1",1,"733,1,1,1;"
178,"1,137;0,9863",2,"718,1,2,1000;"
179,"1,137;0,9863",2,"718,1,2,1000;"
180,"1,137;0,9863",2,"718,1,4,1000;"
181,"1,608;0,9392",2,"728,1,4,1000;"
182,"1,608;0,9392",2,"728,1,4,1000;"
183,"1,608;0,9392",2,"728,1,8,1000;"
184,"1,2677;0,7323",2,"729,1,8,1000;"
185,"1,2677;0,7323",2,"729,1,8,1000;"
186,"1,2677;0,7323",2,"729,1,16,1000;"
187,"1,137;0,9863",2,"718,1,2,1000;"
188,"1,137;0,9863",2,"718,1,2,1000;"
189,"1,137;0,9863",2,"718,1,4,1000;"
190,"1,608;0,9392",2,"728,1,4,1000;"
191,"1,608;0,9392",2,"728,1,4,1000;"
192,"1,608;0,9392",2,"728,1,8,1000;"
193,"1,2677;0,7323",2,"729,1,8,1000;"
194,"1,2677;0,7323",2,"729,1,8,1000;"
195,"1,2677;0,7323",2,"729,1,16,1000;"
