canInvest-bool,extraDropPool-int,id-int,isRanking-bool,level-int[],loadingBg-string,refreshRatio-int[],reputationRequaireScore-int,respawnTimes-int,rewardFrequency-int,sceneName-string,sceneSubtype-int,sceneType-int,talentType-int,worldDropProbability-int,functionModule-int[],baseScore-int[],bossCovers-int[],challengeMode-int[],chapterBaseReward-int[],chapterEvents-int[][],chapterLuckyReward-int[],chapterProgress-int[],chapterPunish-int[][],chapterTimeLimit-int[],chapters-string[],desc-string,dropRewardShow-int[],name-string,punishDesc-string,randomSeeds-string[][],releaseTime-int[][],tickets-int[][],campLimit-int[],seedMaxLimit-int[],uniqueSeed-int[]
1,0,22002,0,"5,7",PVPDungeonSceneLoading_4_6.jpg,,0,1,5,PVPDungeonSceneSoloLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","##  Hadiah
- **Mengalahkan Monster atau Mengumpulkan**: Pemain akan menerima hadiah **Token** yang diinvestasikan oleh totem.
- **Mengeliminasi Pemain Lain**: Pemain dapat mengklaim hadiah **LUASUD** yang belum diselesaikan dari lawan yang mereka kalahkan.
- **Mengalahkan Bos**: Pemain dapat memperoleh **bahan-bahan khusus misterius** yang penting untuk perkembangan permainan.
##  Gambaran Aturan
- **Struktur Level**: Dungeon terdiri dari **3 level yang kacau**, masing-masing menampilkan tantangan tersendiri.
- **Safe Zone**: Ada **safe zone** di dalam level, yang akan **mengecil seiring waktu**, memaksa pemain untuk berkonfrontasi.
- **Tiga Jenis Gerbang**:
  - **Gerbang Tantangan**: Untuk yang berani, gerbang ini mengarah ke level petualangan berikutnya.
  - **Gerbang Keluar**: Keluar dari dungeon dan mengorbankan semua hadiah **Token** yang belum diselesaikan.
  - **Gerbang Penyelesaian**: Menetap dan mengumpulkan hadiah **Token** dengan rasio tertentu.
",173,Arena Solo Menengah,"Ketika kamu mati, ada kemungkinan untuk menjatuhkan barang-barang di dalam ranselmu.
",0;0,"0,0","660,1","3,24",,
1,0,22003,0,"8,9",PVPDungeonSceneLoading_4_6.jpg,,0,1,5,PVPDungeonSceneSoloLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","##  Hadiah
- **Mengalahkan Monster atau Mengumpulkan**: Pemain akan menerima hadiah **Token** yang diinvestasikan oleh totem.
- **Mengeliminasi Pemain Lain**: Pemain dapat mengklaim hadiah **LUASUD** yang belum diselesaikan dari lawan yang mereka kalahkan.
- **Mengalahkan Bos**: Pemain dapat memperoleh **bahan-bahan khusus misterius** yang penting untuk perkembangan permainan.
##  Gambaran Aturan
- **Struktur Level**: Dungeon terdiri dari **3 level yang kacau**, masing-masing menampilkan tantangan tersendiri.
- **Safe Zone**: Ada **safe zone** di dalam level, yang akan **mengecil seiring waktu**, memaksa pemain untuk berkonfrontasi.
- **Tiga Jenis Gerbang**:
  - **Gerbang Tantangan**: Untuk yang berani, gerbang ini mengarah ke level petualangan berikutnya.
  - **Gerbang Keluar**: Keluar dari dungeon dan mengorbankan semua hadiah **Token** yang belum diselesaikan.
  - **Gerbang Penyelesaian**: Menetap dan mengumpulkan hadiah **Token** dengan rasio tertentu.",174,Arena Solo Lanjutan,"Ketika kamu mati, ada kemungkinan untuk menjatuhkan barang-barang di dalam ranselmu.",0;0,"0,0","661,1","3,24",,
0,0,23001,0,"2,4",DungeonSceneLoading_7_9.jpg,,0,1,0,PVPDungeonSceneLv1-3,2,3,2,10000,"1,2","0,10000","55,0,54",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging",,172,Junior Arena - Mini ,"Ketika kamu mati, ada kemungkinan untuk menjatuhkan barang-barang di dalam ranselmu.",0;0,"0,0","934,1","3,24",,
0,0,23002,0,"5,7",PVPDungeonSceneLoading_4_6.jpg,,0,1,0,PVPDungeonSceneLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging",,173, Arena Menengah - Mini ,"Ketika kamu mati, ada kemungkinan untuk menjatuhkan barang-barang di dalam ranselmu.",0;0,"0,0","935,1","3,24",,
0,0,23003,0,"8,9",PVPDungeonSceneLoading_4_6.jpg,,0,1,0,PVPDungeonSceneLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging",,174, Arena Lanjutan - Mini,"Ketika kamu mati, ada kemungkinan untuk menjatuhkan barang-barang di dalam ranselmu.",0;0,"0,0","936,1","3,24",,
0,0,30001,0,"1,9",DungeonSceneLoading_1_3.jpg,,100000,0,1,DailyDungeon,1,3,2,10000,1,"10000,20000,30000,40000,50000,60000,70000,80000,90000","6,7,8",1,"102,103,104,105,106,107,108,109,110",;;;;;;;;,"120,121,122,123,124,125,126,127,128","6,12,24,48,96,192,384,768,1536","0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0","120,90,90,90,90,90,90,90,90","Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9", Tantangan Harian,, Tantangan Harian,Tidak Ada Hukuman Mati,0;0;0;0;0;0;0;0;0,"0,1440","733,1",,,
0,0,30002,0,"1,9",PVPDungeonSceneLoading_4_6.jpg,,0,1,1,PVPTrainingDungeon,2,3,2,10000,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","PVEP Lapangan Latihan - Mendukung pertempuran 12-24 pemain, kematian tidak akan menghasilkan drop apa pun, tiket dari misi harian.",, Lapangan Latihan,Tidak Ada Hukuman Mati,0;0,"0,1440","733,1","3,24",,
0,160,40001,1,"0,3",HomeSceneLoading.jpg,,100,0,5,GatherDungeon1-3,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"159,160,161","22,18,19;18,19;18,19","178,179,180","28,56,112","0,0;0,0;0,0","120,190,400","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3"," Para peserta yang berhasil menyelesaikan tantangan akan memiliki kesempatan untuk menerima hadiah medali.
Dalam Tantangan Pengumpulan, pertahanan Sumber Daya akan meningkat. Sebagai imbalannya, pemain akan menerima buff yang mengubah kemahiran pengumpulan menjadi serangan pengumpulan.
",188, Tantangan Pengumpulan Junior,Tidak Ada Hukuman Mati,0;0;0,"0,1440","775,1",,,
0,40,40002,1,"4,6",HomeSceneLoading.jpg,,160,0,5,GatherDungeon4-6,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"162,163,164","22,18,19;18,19;18,19","181,182,183","224,448,896","0,0;0,0;0,0","470,500,770","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3"," Para peserta yang berhasil menyelesaikan tantangan akan memiliki kesempatan untuk menerima hadiah medali.
Dalam Tantangan Pengumpulan, pertahanan Sumber Daya akan meningkat. Sebagai imbalannya, pemain akan menerima buff yang mengubah kemahiran pengumpulan menjadi serangan pengumpulan.
",189, Tantangan Pengumpulan Menengah,Tidak Ada Hukuman Mati,0;0;0,"0,1440","776,1",,,
0,10,40003,1,"7,9",HomeSceneLoading.jpg,,640,0,5,GatherDungeon7-9,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"165,166,167","22,18,19;18,19;18,19","184,185,186","1792,3584,7168","0,0;0,0;0,0","470,500,760","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3"," Para peserta yang berhasil menyelesaikan tantangan akan memiliki kesempatan untuk menerima hadiah medali.
Dalam Tantangan Pengumpulan, pertahanan Sumber Daya akan meningkat. Sebagai imbalannya, pemain akan menerima buff yang mengubah kemahiran pengumpulan menjadi serangan pengumpulan.
",190, Tantangan Pengumpulan Lanjutan,Tidak Ada Hukuman Mati,0;0;0,"0,1440","777,1",,,
0,160,50001,1,"0,3",HomeSceneLoading.jpg,,24,0,5,FarmingDungeon1-3,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"168,169,170",21;21;21,"187,188,189","8,16,32","0,0;0,0;0,0","120,200,630","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3"," Para peserta yang berhasil menyelesaikan tantangan akan memiliki kesempatan untuk menerima hadiah medali.
",191, Tantangan Pertanian Junior,Tidak Ada Hukuman Mati,"146#1000,147#1000,148#1000;149#1000,150#1000,151#1000;152#1000,153#1000,154#1000","0,1440","778,1",,"4,4,4","824,825,826"
0,40,50002,1,"4,6",HomeSceneLoading.jpg,,64,0,5,FarmingDungeon4-6,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"171,172,173",21;21;21,"190,191,192","64,128,256","0,0;0,0;0,0","510,550,1330","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3"," Para peserta yang berhasil menyelesaikan tantangan akan memiliki kesempatan untuk menerima hadiah medali.
",192, Tantangan Pertanian Menengah,Tidak Ada Hukuman Mati,"413#1000,414#1000,415#1000;416#1000,417#1000,418#1000;419#1000,420#1000,421#1000","0,1440","779,1",,"4,4,4","827,828,829"
0,10,50003,1,"7,9",HomeSceneLoading.jpg,,512,0,5,FarmingDungeon7-9,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"174,175,176",21;21;21,"193,194,195","512,1024,2048","0,0;0,0;0,0","750,980,1990","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3", Para peserta yang berhasil menyelesaikan tantangan akan memiliki kesempatan untuk menerima hadiah medali.,193, Tantangan Pertanian Lanjutan,Tidak Ada Hukuman Mati,"614#1000,615#1000,616#1000;617#1000,618#1000,619#1000;620#1000,621#1000,622#1000","0,1440","780,1",,"4,4,4","830,831,832"
