dropList-int[][],id-int,extraDropList-int[][]
"38,1,1,10000;154,1,1,1500,41;718,1,2,10",153,
"367,1,1,10000;415,1,1,1500,41;728,1,2,50",154,
"366,1,1,10000;414,1,1,1500,41;728,1,2,50",155,
"365,1,1,10000;413,1,1,1500,41;728,1,2,50",156,
"370,1,1,10000;418,1,1,1500,41;728,1,2,50",157,
"369,1,1,10000;417,1,1,1500,41;728,1,2,50",158,
"368,1,1,10000;416,1,1,1500,41;728,1,2,50",159,
"371,1,1,10000;419,1,1,1500,41;728,1,4,50",160,
"373,1,1,10000;421,1,1,1500,41;728,1,4,50",161,
"372,1,1,10000;420,1,1,1500,41;728,1,4,50",162,
"492,1,1,10000;615,1,1,1500,41;729,1,4,200",163,
"491,1,1,10000;614,1,1,1500,41;729,1,4,200",164,
"493,1,1,10000;616,1,1,1500,41;729,1,4,200",165,
"504,1,1,10000;618,1,1,1500,41;729,1,4,200",166,
"505,1,1,10000;619,1,1,1500,41;729,1,4,200",167,
"503,1,1,10000;617,1,1,1500,41;729,1,4,200",168,
"515,1,1,10000;620,1,1,1500,41;729,1,8,200",169,
"516,1,1,10000;621,1,1,1500,41;729,1,8,200",170,
"517,1,1,10000;622,1,1,1500,41;729,1,8,200",171,
"718,1,1,10",172,
"728,1,2,50",173,
"729,1,4,200",174,
"492,1,1,10000;615,1,1,1500,41",176,
"491,1,1,10000;614,1,1,1500,41",177,
"493,1,1,10000;616,1,1,1500,41",178,
"504,1,1,10000;618,1,1,1500,41",179,
"505,1,1,10000;619,1,1,1500,41",180,
"503,1,1,10000;617,1,1,1500,41",181,
"515,1,1,10000;620,1,1,1500,41",182,
"516,1,1,10000;621,1,1,1500,41",183,
"517,1,1,10000;622,1,1,1500,41",184,
,185,"727,1,1,10000"
,186,"727,1,2,10000"
,187,"727,1,4,10000"
,188,"727,1,8,10000"
,189,"727,1,16,10000"
,190,"727,1,32,10000"
,191,"727,1,64,10000"
,192,"727,1,128,10000"
,193,"727,1,256,10000"
"833,1,1,10000",194,
"834,1,1,10000",195,
"835,1,1,10000",196,
"836,1,1,10000",197,
"837,1,1,10000",198,
