bossEntityList-int[],entityList-int[][],entityMaximum-int,entityType-int,id-int,name-string,sceneAreaId-int,trapEntityList-int[][]
,"1000,112,2,7700,7800;1000,113,2,7700,7800;1000,114,2,7700,7800",6,1,163,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,112,2,7800,7900;1000,113,2,7800,7900;1000,114,2,7800,7900",6,1,164,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
"1000,61,1,7500,7500",,6,1,165,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,115,2,8000,8100;1000,116,2,8000,8100;1000,117,2,8000,8100",6,1,166,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,115,2,8100,8200;1000,116,2,8100,8200;1000,117,2,8100,8200",6,1,167,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,115,2,8200,8300;1000,116,2,8200,8300;1000,117,2,8200,8300",6,1,168,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,115,2,8300,8400;1000,116,2,8300,8400;1000,117,2,8300,8400",6,1,169,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
"1000,66,1,8000,8000",,6,1,170,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,115,2,8500,8600;1000,116,2,8500,8600;1000,117,2,8500,8600",6,1,171,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,115,2,8600,8700;1000,116,2,8600,8700;1000,117,2,8600,8700",6,1,172,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,115,2,8700,8800;1000,116,2,8700,8800;1000,117,2,8700,8800",6,1,173,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,115,2,8800,8900;1000,116,2,8800,8900;1000,117,2,8800,8900",6,1,174,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
"1000,66,1,8500,8500",,6,1,175,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,118,2,9000,9100;1000,119,2,9000,9100;1000,120,2,9000,9100",6,1,176,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,118,2,9100,9200;1000,119,2,9100,9200;1000,120,2,9100,9200",6,1,177,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,118,2,9200,9300;1000,119,2,9200,9300;1000,120,2,9200,9300",6,1,178,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,118,2,9300,9400;1000,119,2,9300,9400;1000,120,2,9300,9400",6,1,179,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
"1000,71,1,9000,9000",,6,1,180,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,118,2,9500,9600;1000,119,2,9500,9600;1000,120,2,9500,9600",6,1,181,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,118,2,9600,9700;1000,119,2,9600,9700;1000,120,2,9600,9700",6,1,182,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,118,2,9700,9800;1000,119,2,9700,9800;1000,120,2,9700,9800",6,1,183,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,118,2,9800,9900;1000,119,2,9800,9900;1000,120,2,9800,9900",6,1,184,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
"1000,71,1,9500,9500",,6,1,185,,24001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,4,2,1000,1100;1000,4,2,1000,1100;1000,8,2,1000,1100;1000,14,2,1000,1100;1000,20,2,1000,1100;1000,42,2,1000,1100",6,2,186,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,4,2,1100,1200;1000,4,2,1100,1200;1000,8,2,1100,1200;1000,14,2,1100,1200;1000,20,2,1100,1200;1000,42,2,1100,1200",6,2,187,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,4,2,1200,1300;1000,4,2,1200,1300;1000,8,2,1200,1300;1000,14,2,1200,1300;1000,20,2,1200,1300;1000,42,2,1200,1300",6,2,188,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,4,2,1300,1400;1000,4,2,1300,1400;1000,8,2,1300,1400;1000,14,2,1300,1400;1000,20,2,1300,1400;1000,42,2,1300,1400",6,2,189,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
"1000,104,1,1000,1000",,6,2,190,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,4,2,1500,1600;1000,4,2,1500,1600;1000,8,2,1500,1600;1000,14,2,1500,1600;1000,20,2,1500,1600;1000,42,2,1500,1600",6,2,191,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,4,2,1600,1700;1000,4,2,1600,1700;1000,8,2,1600,1700;1000,14,2,1600,1700;1000,20,2,1600,1700;1000,42,2,1600,1700",6,2,192,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,4,2,1700,1800;1000,4,2,1700,1800;1000,8,2,1700,1800;1000,14,2,1700,1800;1000,20,2,1700,1800;1000,42,2,1700,1800",6,2,193,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,4,2,1800,1900;1000,4,2,1800,1900;1000,8,2,1800,1900;1000,14,2,1800,1900;1000,20,2,1800,1900;1000,42,2,1800,1900",6,2,194,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
"1000,104,1,1500,1500",,6,2,195,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,6,2,2000,2100;1000,9,2,1900,2000;1000,15,2,2900,3000;1000,36,2,2000,2100;1000,41,2,2000,2100;1000,43,2,2000,2100",6,2,196,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,6,2,2100,2200;1000,9,2,2000,2100;1000,15,2,2100,2200;1000,36,2,2100,2200;1000,41,2,2100,2200;1000,43,2,2100,2200",6,2,197,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,6,2,2200,2300;1000,9,2,2100,2200;1000,15,2,2200,2300;1000,36,2,2200,2300;1000,41,2,2200,2300;1000,43,2,2200,2300",6,2,198,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,6,2,2300,2400;1000,9,2,2200,2300;1000,15,2,2300,2400;1000,36,2,2300,2400;1000,41,2,2300,2400;1000,43,2,2300,2400",6,2,199,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
"1000,105,1,2000,2000",,6,2,200,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,6,2,2500,2600;1000,9,2,2400,2500;1000,15,2,2500,2600;1000,36,2,2500,2600;1000,41,2,2500,2600;1000,43,2,2500,2600",6,2,201,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,6,2,2600,2700;1000,9,2,2500,2600;1000,15,2,2600,2700;1000,36,2,2600,2700;1000,41,2,2600,2700;1000,43,2,2600,2700",6,2,202,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,6,2,2700,2800;1000,9,2,2600,2700;1000,15,2,2700,2800;1000,36,2,2700,2800;1000,41,2,2700,2800;1000,43,2,2700,2800",6,2,203,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,6,2,2800,2900;1000,9,2,2700,2800;1000,15,2,2800,2900;1000,36,2,2800,2900;1000,41,2,2800,2900;1000,43,2,2800,2900",6,2,204,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
"1000,105,1,2500,2500",,6,2,205,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,7,2,3000,3100;1000,11,2,3000,3100;1000,16,2,3000,3100;1000,37,2,3000,3100;1000,38,2,3000,3100;1000,44,2,3000,3100",6,2,206,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
,"1000,7,2,3100,3200;1000,11,2,3100,3200;1000,16,2,3100,3200;1000,37,2,3100,3200;1000,38,2,3100,3200;1000,44,2,3100,3200",6,2,207,,44001,"1000,128,2,18000,18000,115;1000,129,2,18000,18000,116;1000,130,2,18000,18000,117;1000,131,2,18000,18000,118"
