canInvest-bool,extraDropPool-int,id-int,isRanking-bool,level-int[],loadingBg-string,refreshRatio-int[],reputationRequaireScore-int,respawnTimes-int,rewardFrequency-int,sceneName-string,sceneSubtype-int,sceneType-int,talentType-int,worldDropProbability-int,functionModule-int[],baseScore-int[],bossCovers-int[],challengeMode-int[],chapterBaseReward-int[],chapterEvents-int[][],chapterLuckyReward-int[],chapterProgress-int[],chapterPunish-int[][],chapterTimeLimit-int[],chapters-string[],desc-string,dropRewardShow-int[],name-string,punishDesc-string,randomSeeds-string[][],releaseTime-int[][],tickets-int[][],campLimit-int[],seedMaxLimit-int[],uniqueSeed-int[]
0,0,23002,0,"5,7",PVPDungeonSceneLoading_4_6.jpg,,0,0,0,PVPDungeonSceneLv4-6,2,3,2,10000,"1,2","0,10000","37,39,38",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","Rewards
- Defeating Monsters or Gathering: Players will receive Token rewards invested by totems.
- Eliminating Other Players: Players can claim the unsettled LUASUD rewards of their defeated opponents.
- Defeating Bosses: Players may obtain mysterious special materials essential for game progression.
Rules Overview
- Level Structure: The dungeon consists of 3 chaotic levels, each presenting its own set of challenges.
- Safe Zones: There are safe zones within the levels, which will shrink over time, forcing players into confrontation.
- Three Types of Gates:
 - Challenge Gate: For the brave, this gate leads to the next level of adventure.
 - Escape Gate: Exit the dungeon and forfeit any unsettled Token rewards.
 - Settlement Gate: Settle and collect Token rewards at a certain ratio.",173, Intermediate Arena - Мини, При смерти есть шанс уронить предметы из вашего рюкзака.,0;0,"1200,1320;720,840","935,1","8,24",,
0,0,23003,0,"8,9",PVPDungeonSceneLoading_4_6.jpg,,0,0,0,PVPDungeonSceneLv7-9,2,3,2,10000,"1,2","0,10000","61,71,66",2,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","Rewards
- Defeating Monsters or Gathering: Players will receive Token rewards invested by totems.
- Eliminating Other Players: Players can claim the unsettled LUASUD rewards of their defeated opponents.
- Defeating Bosses: Players may obtain mysterious special materials essential for game progression.
Rules Overview
- Level Structure: The dungeon consists of 3 chaotic levels, each presenting its own set of challenges.
- Safe Zones: There are safe zones within the levels, which will shrink over time, forcing players into confrontation.
- Three Types of Gates:
 - Challenge Gate: For the brave, this gate leads to the next level of adventure.
 - Escape Gate: Exit the dungeon and forfeit any unsettled Token rewards.
 - Settlement Gate: Settle and collect Token rewards at a certain ratio.",174, Advanced Arena - Мини, При смерти есть шанс уронить предметы из вашего рюкзака.,0;0,"0,0","936,1","8,24",,
0,0,30001,0,"1,9",DungeonSceneLoading_1_3.jpg,,100000,0,1,DailyDungeon,1,3,2,10000,1,"10000,20000,30000,40000,50000,60000,70000,80000,90000","6,7,8",1,"102,103,104,105,106,107,108,109,110",;;;;;;;;,"120,121,122,123,124,125,126,127,128","6,12,24,48,96,192,384,768,1536","0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0","120,90,90,90,90,90,90,90,90","Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9","Daily Challenge - The Daily challenge copy is divided into nine layers, each layer corresponds to each level of monsters, after completing the challenge will get the level reward, death will not have any drop, copy tickets from the daily quest",, Ежедневное испытание, Нет штрафа за смерть,0;0;0;0;0;0;0;0;0,"0,1440","733,1",,,
0,0,30002,0,"1,9",PVPDungeonSceneLoading_4_6.jpg,,0,0,1,PVPTrainingDungeon,2,3,2,2500,"1,2","0,10000","55,0,54",1,",",;,",","0,0","3500,13500;3500,13500","120,1800","Matching,Challenging","PVEP Training Ground - Support 12-24 player battles, death will not have any drops, tickets from daily missions",, Тренировочная площадка, Нет штрафа за смерть,0;0,"0,1440","733,1","8,24",,
0,160,40001,1,"0,3",HomeSceneLoading.jpg,,100,0,3,GatherDungeon1-3,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"159,160,161","22,18,19;18,19;18,19","178,179,180","28,56,112","0,0;0,0;0,0","120,190,400","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3","The challengers who complete the challenge will have the opportunity to receive a medal reward.
In the Gathering Challenge, the defense of the Resource will be increased. Correspondingly, players will receive a buff that converts gathering proficiency into gathering attack.



",188, Младший сбор вызов, Нет штрафа за смерть,0;0;0,"0,1440","775,1",,,
0,40,40002,1,"4,6",HomeSceneLoading.jpg,,160,0,3,GatherDungeon4-6,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"162,163,164","22,18,19;18,19;18,19","181,182,183","224,448,896","0,0;0,0;0,0","470,500,770","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3","The challengers who complete the challenge will have the opportunity to receive a medal reward.
In the Gathering Challenge, the defense of the Resource will be increased. Correspondingly, players will receive a buff that converts gathering proficiency into gathering attack.",189, Промежуточный сбор вызов, Нет штрафа за смерть,0;0;0,"0,1440","776,1",,,
0,10,40003,1,"7,9",HomeSceneLoading.jpg,,640,0,3,GatherDungeon7-9,1,3,3,10000,1,"10000,20000,30000","123,122,121",2,"165,166,167","22,18,19;18,19;18,19","184,185,186","1792,3584,7168","0,0;0,0;0,0","470,500,760","Gather Challenge Chapter 1/3,Gather Challenge Chapter 2/3,Gather Challenge Chapter 3/3","The challengers who complete the challenge will have the opportunity to receive a medal reward.
In the Gathering Challenge, the defense of the Resource will be increased. Correspondingly, players will receive a buff that converts gathering proficiency into gathering attack.",190, Продвинутый сбор вызов, Нет штрафа за смерть,0;0;0,"0,1440","777,1",,,
0,160,50001,1,"0,3",HomeSceneLoading.jpg,,24,0,3,FarmingDungeon1-3,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"168,169,170",21;21;21,"187,188,189","8,16,32","0,0;0,0;0,0","120,200,630","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3",The challengers who complete the challenge will have the opportunity to receive a medal reward.,191, Младший фермерский вызов, Нет штрафа за смерть,"146#1000,147#1000,148#1000;149#1000,150#1000,151#1000;152#1000,153#1000,154#1000","0,1440","778,1",,"4,4,4","824,825,826"
0,40,50002,1,"4,6",HomeSceneLoading.jpg,,64,0,3,FarmingDungeon4-6,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"171,172,173",21;21;21,"190,191,192","64,128,256","0,0;0,0;0,0","510,550,1330","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3",The challengers who complete the challenge will have the opportunity to receive a medal reward.,192, Промежуточный фермерский вызов, Нет штрафа за смерть,"413#1000,414#1000,415#1000;416#1000,417#1000,418#1000;419#1000,420#1000,421#1000","0,1440","779,1",,"4,4,4","827,828,829"
0,10,50003,1,"7,9",HomeSceneLoading.jpg,,512,0,3,FarmingDungeon7-9,1,3,1,10000,"1,3","10000,20000,30000","123,122,121",1,"174,175,176",21;21;21,"193,194,195","512,1024,2048","0,0;0,0;0,0","750,980,1990","Farm Challenge Chapter 1/3,Farm Challenge Chapter 2/3,Farm Challenge Chapter 3/3",The challengers who complete the challenge will have the opportunity to receive a medal reward.,193, Продвинутый фермерский вызов, Нет штрафа за смерть,"614#1000,615#1000,616#1000;617#1000,618#1000,619#1000;620#1000,621#1000,622#1000","0,1440","780,1",,"4,4,4","830,831,832"
